Tiempo;Evento
2.14;Posición inicial
3.87;< Contacto inicial derecho
3.91;> Despegue izquierdo
4.29;< Contacto inicial izquierdo
4.33;> Despegue derecho
4.72;< Contacto inicial derecho
4.77;> Despegue izquierdo
5.13;< Contacto inicial izquierdo
5.17;> Despegue derecho
5.55;< Contacto inicial derecho
5.61;> Despegue izquierdo
5.97;< Contacto inicial izquierdo
6.02;> Despegue derecho
6.4;< Contacto inicial derecho
6.46;> Despegue izquierdo
6.83;< Contacto inicial izquierdo
6.88;> Despegue derecho
7.26;< Contacto inicial derecho
7.32;> Despegue izquierdo
7.68;< Contacto inicial izquierdo
7.73;> Despegue derecho
8.12;< Contacto inicial derecho
8.18;> Despegue izquierdo
8.54;< Contacto inicial izquierdo
8.59;> Despegue derecho
8.97;< Contacto inicial derecho
9.03;> Despegue izquierdo
9.38;< Contacto inicial izquierdo
9.43;> Despegue derecho
9.83;< Contacto inicial derecho
9.89;> Despegue izquierdo
10.24;< Contacto inicial izquierdo
10.29;> Despegue derecho
10.68;< Contacto inicial derecho
10.74;> Despegue izquierdo
11.11;< Contacto inicial izquierdo
11.17;> Despegue derecho
11.58;< Contacto inicial derecho
11.65;> Despegue izquierdo
12.22;< Contacto inicial izquierdo
12.48;> Despegue derecho
