Flexo-extensión cadera derecha_Y,Flexo-extensión cadera izquierda_Y,Abducción-aducción cadera derecha_Y,Abducción-aducción cadera izquierda_Y,Rotación cadera derecha_Y,Rotación cadera izquierda_Y,SourceFile,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_Y,Flexo-extensión cuello_Y,Flexión lateral cuello_Y,Rotación cuello_Y,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_Y,Rotación hombro izquierdo_Y,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_Y,Rotación muñeca izquierda_Y,Rotación pelvis_Y,Inclinación pelvis_Y,Oblicuidad pelvis_Y,Flexo-extensión rodilla derecha_Y,Flexo-extensión rodilla izquierda_Y,Abducción-aducción rodilla derecha_Y,Abducción-aducción rodilla izquierda_Y,Rotación rodilla derecha_Y,Rotación rodilla izquierda_Y,Dorsiflexión-plantarflexión tobillo izquierdo_Y,Dorsiflexión-plantarflexión tobillo izquierdo_X.1,Dorsiflexión-plantarflexión tobillo izquierdo_Y.1,Eversión-inversión tobillo derecho_Y,Eversión-inversión tobillo izquierdo_Y,Rotación tobillo derecho_Y,Rotación tobillo izquierdo_Y,Flexo-extensión torso_Y,Flexión lateral torso_Y,Rotación torso_Y,Inclinación torso_Y
0.36852,0.47038,-0.08574,0.14236,-0.028,-0.16894,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3679,0.46999,-0.08524,0.14216,-0.03003,-0.16808,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36724,0.46972,-0.0846,0.14203,-0.03223,-0.16665,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3666,0.46962,-0.08384,0.14201,-0.0345,-0.1646,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36604,0.46973,-0.083,0.14212,-0.03675,-0.16189,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36564,0.47008,-0.08217,0.14238,-0.03889,-0.15853,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36548,0.4707,-0.08142,0.14281,-0.04082,-0.15457,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36564,0.47158,-0.08084,0.14342,-0.0425,-0.15009,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36617,0.47271,-0.08053,0.1442,-0.0439,-0.14521,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36713,0.4741,-0.08055,0.14518,-0.04503,-0.14009,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36853,0.47572,-0.08093,0.14634,-0.04595,-0.13491,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37035,0.47756,-0.08167,0.14769,-0.0467,-0.12988,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37257,0.4796,-0.08274,0.14921,-0.04738,-0.1252,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37511,0.48183,-0.08403,0.15089,-0.04807,-0.12104,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37792,0.48421,-0.08545,0.15272,-0.04888,-0.11757,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38091,0.48671,-0.08689,0.15466,-0.04989,-0.11486,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38403,0.48931,-0.08824,0.15671,-0.05121,-0.11295,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38721,0.49194,-0.08944,0.15885,-0.05294,-0.1118,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39044,0.49458,-0.09042,0.16106,-0.05518,-0.11129,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39369,0.49717,-0.0912,0.16333,-0.05803,-0.11123,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39698,0.49969,-0.09177,0.16567,-0.06156,-0.11139,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4003,0.5021,-0.09217,0.16807,-0.06585,-0.1115,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40366,0.50438,-0.09243,0.17049,-0.07094,-0.11127,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40704,0.50651,-0.09258,0.17291,-0.07686,-0.11038,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41039,0.50845,-0.09263,0.17528,-0.08358,-0.10855,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41364,0.51017,-0.09259,0.17754,-0.09105,-0.10554,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4167,0.51162,-0.09245,0.17964,-0.09915,-0.10115,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41945,0.51276,-0.09219,0.18151,-0.10769,-0.09526,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42176,0.51354,-0.0918,0.18313,-0.11643,-0.08786,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42352,0.51395,-0.09128,0.18448,-0.12506,-0.07907,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42464,0.51398,-0.09065,0.18557,-0.13319,-0.06911,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42506,0.51365,-0.08989,0.18645,-0.14042,-0.05832,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42475,0.51303,-0.08903,0.18716,-0.14635,-0.04714,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42372,0.51217,-0.08804,0.18776,-0.15059,-0.03606,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42205,0.51115,-0.08691,0.18827,-0.15284,-0.02559,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4198,0.51005,-0.08559,0.18874,-0.15289,-0.0162,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41709,0.50892,-0.08404,0.18914,-0.15066,-0.00828,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41402,0.50778,-0.08219,0.18946,-0.14621,-0.00211,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4107,0.50662,-0.08,0.18966,-0.13972,0.00216,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40723,0.50541,-0.07747,0.1897,-0.13147,0.0045,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40366,0.5041,-0.07458,0.18953,-0.12184,0.00501,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40003,0.50259,-0.07135,0.18912,-0.11122,0.00384,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39634,0.50082,-0.06783,0.18843,-0.10001,0.00116,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39257,0.49869,-0.06407,0.18747,-0.08856,-0.00286,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38867,0.49613,-0.06013,0.18622,-0.07719,-0.00809,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3846,0.4931,-0.0561,0.18472,-0.06616,-0.01445,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3803,0.48956,-0.05207,0.18298,-0.05568,-0.02183,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37573,0.4855,-0.04811,0.18104,-0.04592,-0.03015,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.37088,0.48096,-0.0443,0.17896,-0.03706,-0.03925,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36574,0.47599,-0.04071,0.17679,-0.02924,-0.0489,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36034,0.47067,-0.03738,0.17459,-0.02259,-0.05878,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35473,0.46513,-0.03431,0.17241,-0.01727,-0.06851,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34897,0.4595,-0.0315,0.17034,-0.01339,-0.07767,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.34317,0.45392,-0.02894,0.16841,-0.01107,-0.08585,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33745,0.44857,-0.0266,0.16671,-0.01038,-0.09272,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33194,0.44361,-0.02447,0.16526,-0.01137,-0.09806,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32679,0.43918,-0.02254,0.16411,-0.01398,-0.10175,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.32212,0.43539,-0.02079,0.16329,-0.01813,-0.10388,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31803,0.43234,-0.01923,0.1628,-0.02362,-0.10464,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31458,0.43004,-0.01787,0.16263,-0.03018,-0.10437,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31179,0.42849,-0.0167,0.16277,-0.03747,-0.1035,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30962,0.42759,-0.01571,0.16317,-0.04509,-0.1025,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30799,0.42725,-0.01488,0.16376,-0.05261,-0.10186,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3068,0.42731,-0.01417,0.1645,-0.0596,-0.10202,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30592,0.42761,-0.01354,0.16532,-0.06568,-0.10335,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30525,0.42799,-0.01297,0.16616,-0.07054,-0.1061,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3047,0.42833,-0.01242,0.167,-0.07393,-0.11042,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3042,0.42849,-0.0119,0.16783,-0.07574,-0.11632,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30374,0.42842,-0.01142,0.16867,-0.07597,-0.12372,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30332,0.42807,-0.01103,0.16956,-0.07469,-0.13245,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30298,0.42742,-0.01077,0.17058,-0.0721,-0.14228,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30276,0.4265,-0.01069,0.1718,-0.06843,-0.15292,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30271,0.42533,-0.01083,0.1733,-0.06396,-0.16407,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30289,0.42396,-0.01124,0.17511,-0.05896,-0.17541,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30334,0.42241,-0.01192,0.17728,-0.05373,-0.18661,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30409,0.42071,-0.01287,0.17981,-0.0485,-0.19736,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30516,0.41888,-0.01406,0.18267,-0.04348,-0.20739,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30655,0.41693,-0.01545,0.18581,-0.0388,-0.21645,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.30822,0.41484,-0.01699,0.18918,-0.03456,-0.22441,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.31013,0.41262,-0.01864,0.19268,-0.03076,-0.23117,Caderas.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
