Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.07933,0.00000,0.03935,0.00000,-0.24863,0.00000,0.07969,0.00000,0.10482,0.00000,-0.33075
0.01001,0.01000,0.07937,0.01000,0.03972,0.01000,-0.24787,0.01000,0.08036,0.01000,0.10084,0.01000,-0.32391
0.02001,0.02000,0.07940,0.02000,0.04010,0.02000,-0.24730,0.02000,0.08150,0.02000,0.09615,0.02000,-0.31642
0.03002,0.03000,0.07942,0.03000,0.04046,0.03000,-0.24697,0.03000,0.08318,0.03000,0.09086,0.03000,-0.30855
0.04002,0.04000,0.07938,0.04000,0.04074,0.04000,-0.24690,0.04000,0.08545,0.04000,0.08510,0.04000,-0.30062
0.05003,0.05000,0.07926,0.05000,0.04086,0.05000,-0.24706,0.05000,0.08835,0.05000,0.07903,0.05000,-0.29294
0.06004,0.06000,0.07903,0.06000,0.04075,0.06000,-0.24738,0.06000,0.09187,0.06000,0.07281,0.06000,-0.28580
0.07004,0.07000,0.07865,0.07000,0.04034,0.07000,-0.24775,0.07000,0.09597,0.07000,0.06661,0.07000,-0.27942
0.08005,0.08000,0.07812,0.08000,0.03956,0.08000,-0.24802,0.08000,0.10056,0.08000,0.06055,0.08000,-0.27400
0.09005,0.09000,0.07743,0.09000,0.03838,0.09000,-0.24803,0.09000,0.10551,0.09000,0.05471,0.09000,-0.26964
0.10006,0.10000,0.07660,0.10000,0.03677,0.10000,-0.24764,0.10000,0.11064,0.10000,0.04911,0.10000,-0.26638
0.11007,0.11000,0.07567,0.11000,0.03477,0.11000,-0.24673,0.11000,0.11577,0.11000,0.04371,0.11000,-0.26419
0.12007,0.12000,0.07471,0.12000,0.03245,0.12000,-0.24521,0.12000,0.12069,0.12000,0.03845,0.12000,-0.26299
0.13008,0.13000,0.07376,0.13000,0.02990,0.13000,-0.24309,0.13000,0.12521,0.13000,0.03319,0.13000,-0.26261
0.14008,0.14000,0.07290,0.14000,0.02727,0.14000,-0.24039,0.14000,0.12913,0.14000,0.02779,0.14000,-0.26285
0.15009,0.15000,0.07217,0.15000,0.02472,0.15000,-0.23721,0.15000,0.13229,0.15000,0.02212,0.15000,-0.26345
0.16010,0.16000,0.07163,0.16000,0.02239,0.16000,-0.23369,0.16000,0.13458,0.16000,0.01606,0.16000,-0.26412
0.17010,0.17000,0.07130,0.17000,0.02046,0.17000,-0.22999,0.17000,0.13589,0.17000,0.00954,0.17000,-0.26455
0.18011,0.18000,0.07117,0.18000,0.01906,0.18000,-0.22628,0.18000,0.13620,0.18000,0.00252,0.18000,-0.26444
0.19012,0.19000,0.07124,0.19000,0.01828,0.19000,-0.22274,0.19000,0.13548,0.19000,-0.00495,0.19000,-0.26355
0.20012,0.20000,0.07145,0.20000,0.01817,0.20000,-0.21953,0.20000,0.13379,0.20000,-0.01278,0.20000,-0.26168
0.21013,0.21000,0.07176,0.21000,0.01870,0.21000,-0.21677,0.21000,0.13120,0.21000,-0.02081,0.21000,-0.25877
0.22013,0.22000,0.07209,0.22000,0.01980,0.22000,-0.21461,0.22000,0.12781,0.22000,-0.02885,0.22000,-0.25482
0.23014,0.23000,0.07234,0.23000,0.02137,0.23000,-0.21312,0.23000,0.12377,0.23000,-0.03666,0.23000,-0.25001
0.24015,0.24000,0.07244,0.24000,0.02323,0.24000,-0.21238,0.24000,0.11923,0.24000,-0.04398,0.24000,-0.24460
0.25015,0.25000,0.07231,0.25000,0.02522,0.25000,-0.21244,0.25000,0.11436,0.25000,-0.05058,0.25000,-0.23900
0.26016,0.26000,0.07189,0.26000,0.02714,0.26000,-0.21328,0.26000,0.10936,0.26000,-0.05626,0.26000,-0.23364
0.27016,0.27000,0.07118,0.27000,0.02879,0.27000,-0.21485,0.27000,0.10440,0.27000,-0.06089,0.27000,-0.22898
0.28017,0.28000,0.07018,0.28000,0.02997,0.28000,-0.21705,0.28000,0.09967,0.28000,-0.06443,0.28000,-0.22543
0.29018,0.29000,0.06898,0.29000,0.03051,0.29000,-0.21973,0.29000,0.09532,0.29000,-0.06695,0.29000,-0.22328
0.30018,0.30000,0.06769,0.30000,0.03026,0.30000,-0.22268,0.30000,0.09149,0.30000,-0.06865,0.30000,-0.22267
0.31019,0.31000,0.06646,0.31000,0.02910,0.31000,-0.22570,0.31000,0.08829,0.31000,-0.06979,0.31000,-0.22357
0.32019,0.32000,0.06548,0.32000,0.02700,0.32000,-0.22860,0.32000,0.08579,0.32000,-0.07070,0.32000,-0.22578
0.33020,0.33000,0.06494,0.33000,0.02396,0.33000,-0.23122,0.33000,0.08402,0.33000,-0.07170,0.33000,-0.22892
0.34021,0.34000,0.06503,0.34000,0.02009,0.34000,-0.23346,0.34000,0.08293,0.34000,-0.07308,0.34000,-0.23253
0.35021,0.35000,0.06589,0.35000,0.01555,0.35000,-0.23529,0.35000,0.08245,0.35000,-0.07499,0.35000,-0.23612
0.36022,0.36000,0.06762,0.36000,0.01057,0.36000,-0.23674,0.36000,0.08244,0.36000,-0.07748,0.36000,-0.23916
0.37022,0.37000,0.07024,0.37000,0.00543,0.37000,-0.23787,0.37000,0.08271,0.37000,-0.08046,0.37000,-0.24125
0.38023,0.38000,0.07370,0.38000,0.00043,0.38000,-0.23874,0.38000,0.08305,0.38000,-0.08373,0.38000,-0.24207
0.39024,0.39000,0.07789,0.39000,-0.00418,0.39000,-0.23940,0.39000,0.08326,0.39000,-0.08702,0.39000,-0.24143
0.40024,0.40000,0.08260,0.40000,-0.00819,0.40000,-0.23986,0.40000,0.08315,0.40000,-0.09004,0.40000,-0.23932
0.41025,0.41000,0.08760,0.41000,-0.01144,0.41000,-0.24008,0.41000,0.08260,0.41000,-0.09249,0.41000,-0.23582
0.42025,0.42000,0.09263,0.42000,-0.01391,0.42000,-0.23997,0.42000,0.08154,0.42000,-0.09415,0.42000,-0.23111
0.43026,0.43000,0.09742,0.43000,-0.01560,0.43000,-0.23944,0.43000,0.07999,0.43000,-0.09489,0.43000,-0.22540
0.44027,0.44000,0.10171,0.44000,-0.01664,0.44000,-0.23839,0.44000,0.07803,0.44000,-0.09469,0.44000,-0.21893
0.45027,0.45000,0.10531,0.45000,-0.01714,0.45000,-0.23676,0.45000,0.07581,0.45000,-0.09364,0.45000,-0.21193
0.46028,0.46000,0.10803,0.46000,-0.01729,0.46000,-0.23452,0.46000,0.07351,0.46000,-0.09194,0.46000,-0.20461
0.47028,0.47000,0.10980,0.47000,-0.01725,0.47000,-0.23173,0.47000,0.07132,0.47000,-0.08984,0.47000,-0.19717
0.48029,0.48000,0.11060,0.48000,-0.01716,0.48000,-0.22849,0.48000,0.06941,0.48000,-0.08763,0.48000,-0.18980
0.49030,0.49000,0.11045,0.49000,-0.01714,0.49000,-0.22498,0.49000,0.06790,0.49000,-0.08560,0.49000,-0.18269
0.50030,0.50000,0.10946,0.50000,-0.01726,0.50000,-0.22142,0.50000,0.06685,0.50000,-0.08393,0.50000,-0.17604
0.51031,0.51000,0.10776,0.51000,-0.01753,0.51000,-0.21805,0.51000,0.06624,0.51000,-0.08273,0.51000,-0.17003
0.52031,0.52000,0.10550,0.52000,-0.01792,0.52000,-0.21512,0.52000,0.06598,0.52000,-0.08194,0.52000,-0.16483
0.53032,0.53000,0.10281,0.53000,-0.01835,0.53000,-0.21284,0.53000,0.06594,0.53000,-0.08140,0.53000,-0.16061
0.54033,0.54000,0.09984,0.54000,-0.01870,0.54000,-0.21139,0.54000,0.06596,0.54000,-0.08077,0.54000,-0.15748
0.55033,0.55000,0.09667,0.55000,-0.01883,0.55000,-0.21085,0.55000,0.06586,0.55000,-0.07966,0.55000,-0.15553
0.56034,0.56000,0.09339,0.56000,-0.01863,0.56000,-0.21125,0.56000,0.06548,0.56000,-0.07765,0.56000,-0.15481
0.57034,0.57000,0.09006,0.57000,-0.01802,0.57000,-0.21254,0.57000,0.06471,0.57000,-0.07435,0.57000,-0.15531
0.58035,0.58000,0.08672,0.58000,-0.01696,0.58000,-0.21461,0.58000,0.06348,0.58000,-0.06949,0.58000,-0.15699
0.59036,0.59000,0.08341,0.59000,-0.01549,0.59000,-0.21729,0.59000,0.06178,0.59000,-0.06295,0.59000,-0.15977
0.60036,0.60000,0.08015,0.60000,-0.01372,0.60000,-0.22040,0.60000,0.05963,0.60000,-0.05479,0.60000,-0.16350
0.61037,0.61000,0.07700,0.61000,-0.01181,0.61000,-0.22374,0.61000,0.05710,0.61000,-0.04525,0.61000,-0.16801
0.62037,0.62000,0.07399,0.62000,-0.00997,0.62000,-0.22713,0.62000,0.05429,0.62000,-0.03470,0.62000,-0.17307
0.63038,0.63000,0.07117,0.63000,-0.00841,0.63000,-0.23038,0.63000,0.05130,0.63000,-0.02359,0.63000,-0.17844
0.64039,0.64000,0.06856,0.64000,-0.00735,0.64000,-0.23338,0.64000,0.04825,0.64000,-0.01240,0.64000,-0.18385
0.65039,0.65000,0.06621,0.65000,-0.00696,0.65000,-0.23601,0.65000,0.04523,0.65000,-0.00155,0.65000,-0.18899
0.66040,0.66000,0.06410,0.66000,-0.00739,0.66000,-0.23820,0.66000,0.04232,0.66000,0.00862,0.66000,-0.19358
0.67040,0.67000,0.06226,0.67000,-0.00873,0.67000,-0.23992,0.67000,0.03959,0.67000,0.01786,0.67000,-0.19734
0.68041,0.68000,0.06069,0.68000,-0.01099,0.68000,-0.24115,0.68000,0.03708,0.68000,0.02608,0.68000,-0.19999
0.69042,0.69000,0.05939,0.69000,-0.01413,0.69000,-0.24188,0.69000,0.03481,0.69000,0.03327,0.69000,-0.20132
0.70042,0.70000,0.05840,0.70000,-0.01804,0.70000,-0.24212,0.70000,0.03280,0.70000,0.03947,0.70000,-0.20117
0.71043,0.71000,0.05775,0.71000,-0.02256,0.71000,-0.24190,0.71000,0.03106,0.71000,0.04476,0.71000,-0.19945
0.72044,0.72000,0.05750,0.72000,-0.02752,0.72000,-0.24123,0.72000,0.02959,0.72000,0.04919,0.72000,-0.19617
0.73044,0.73000,0.05768,0.73000,-0.03271,0.73000,-0.24014,0.73000,0.02842,0.73000,0.05278,0.73000,-0.19141
0.74045,0.74000,0.05836,0.74000,-0.03795,0.74000,-0.23865,0.74000,0.02755,0.74000,0.05554,0.74000,-0.18536
0.75045,0.75000,0.05954,0.75000,-0.04305,0.75000,-0.23681,0.75000,0.02700,0.75000,0.05746,0.75000,-0.17827
0.76046,0.76000,0.06122,0.76000,-0.04788,0.76000,-0.23467,0.76000,0.02679,0.76000,0.05856,0.76000,-0.17042
