Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.24314,0.00000,0.13676,0.00000,0.16318,0.00000,0.27949
0.01000,0.01000,-0.23851,0.01000,0.13892,0.01000,0.16886,0.01000,0.27672
0.02000,0.02000,-0.23301,0.02000,0.14123,0.02000,0.17510,0.02000,0.27333
0.03000,0.03000,-0.22670,0.03000,0.14356,0.03000,0.18171,0.03000,0.26932
0.04001,0.04000,-0.21963,0.04000,0.14577,0.04000,0.18849,0.04000,0.26467
0.05001,0.05000,-0.21191,0.05000,0.14773,0.05000,0.19524,0.05000,0.25941
0.06001,0.06000,-0.20362,0.06000,0.14933,0.06000,0.20178,0.06000,0.25355
0.07001,0.07000,-0.19490,0.07000,0.15047,0.07000,0.20797,0.07000,0.24716
0.08001,0.08000,-0.18587,0.08000,0.15111,0.08000,0.21368,0.08000,0.24032
0.09001,0.09000,-0.17667,0.09000,0.15126,0.09000,0.21880,0.09000,0.23317
0.10002,0.10000,-0.16747,0.10000,0.15096,0.10000,0.22328,0.10000,0.22586
0.11002,0.11000,-0.15840,0.11000,0.15031,0.11000,0.22703,0.11000,0.21858
0.12002,0.12000,-0.14961,0.12000,0.14943,0.12000,0.23003,0.12000,0.21150
0.13002,0.13000,-0.14120,0.13000,0.14846,0.13000,0.23223,0.13000,0.20483
0.14002,0.14000,-0.13325,0.14000,0.14757,0.14000,0.23363,0.14000,0.19871
0.15002,0.15000,-0.12581,0.15000,0.14690,0.15000,0.23426,0.15000,0.19329
0.16002,0.16000,-0.11890,0.16000,0.14657,0.16000,0.23416,0.16000,0.18866
0.17003,0.17000,-0.11249,0.17000,0.14670,0.17000,0.23343,0.17000,0.18490
0.18003,0.18000,-0.10656,0.18000,0.14738,0.18000,0.23223,0.18000,0.18203
0.19003,0.19000,-0.10107,0.19000,0.14866,0.19000,0.23073,0.19000,0.18008
0.20003,0.20000,-0.09599,0.20000,0.15057,0.20000,0.22916,0.20000,0.17901
0.21003,0.21000,-0.09130,0.21000,0.15310,0.21000,0.22773,0.21000,0.17880
0.22003,0.22000,-0.08699,0.22000,0.15620,0.22000,0.22666,0.22000,0.17939
0.23003,0.23000,-0.08304,0.23000,0.15981,0.23000,0.22610,0.23000,0.18069
0.24004,0.24000,-0.07944,0.24000,0.16381,0.24000,0.22613,0.24000,0.18260
0.25004,0.25000,-0.07617,0.25000,0.16808,0.25000,0.22676,0.25000,0.18499
0.26004,0.26000,-0.07320,0.26000,0.17247,0.26000,0.22788,0.26000,0.18770
0.27004,0.27000,-0.07044,0.27000,0.17683,0.27000,0.22934,0.27000,0.19057
0.28004,0.28000,-0.06783,0.28000,0.18100,0.28000,0.23095,0.28000,0.19342
0.29004,0.29000,-0.06525,0.29000,0.18483,0.29000,0.23249,0.29000,0.19607
0.30005,0.30000,-0.06260,0.30000,0.18821,0.30000,0.23381,0.30000,0.19839
0.31005,0.31000,-0.05975,0.31000,0.19104,0.31000,0.23480,0.31000,0.20023
0.32005,0.32000,-0.05662,0.32000,0.19326,0.32000,0.23542,0.32000,0.20151
0.33005,0.33000,-0.05315,0.33000,0.19488,0.33000,0.23572,0.33000,0.20222
0.34005,0.34000,-0.04934,0.34000,0.19594,0.34000,0.23581,0.34000,0.20238
0.35005,0.35000,-0.04522,0.35000,0.19654,0.35000,0.23586,0.35000,0.20209
0.36005,0.36000,-0.04090,0.36000,0.19682,0.36000,0.23607,0.36000,0.20150
0.37006,0.37000,-0.03649,0.37000,0.19695,0.37000,0.23664,0.37000,0.20082
0.38006,0.38000,-0.03215,0.38000,0.19713,0.38000,0.23779,0.38000,0.20024
0.39006,0.39000,-0.02801,0.39000,0.19752,0.39000,0.23968,0.39000,0.19997
0.40006,0.40000,-0.02422,0.40000,0.19827,0.40000,0.24243,0.40000,0.20017
0.41006,0.41000,-0.02087,0.41000,0.19946,0.41000,0.24610,0.41000,0.20094
0.42006,0.42000,-0.01808,0.42000,0.20113,0.42000,0.25064,0.42000,0.20230
0.43006,0.43000,-0.01593,0.43000,0.20323,0.43000,0.25594,0.43000,0.20424
0.44007,0.44000,-0.01453,0.44000,0.20568,0.44000,0.26177,0.44000,0.20665
0.45007,0.45000,-0.01394,0.45000,0.20835,0.45000,0.26780,0.45000,0.20942
0.46007,0.46000,-0.01426,0.46000,0.21109,0.46000,0.27363,0.46000,0.21238
0.47007,0.47000,-0.01553,0.47000,0.21377,0.47000,0.27877,0.47000,0.21537
0.48007,0.48000,-0.01773,0.48000,0.21623,0.48000,0.28272,0.48000,0.21823
0.49007,0.49000,-0.02081,0.49000,0.21835,0.49000,0.28492,0.49000,0.22081
0.50008,0.50000,-0.02461,0.50000,0.22001,0.50000,0.28489,0.50000,0.22295
0.51008,0.51000,-0.02897,0.51000,0.22112,0.51000,0.28221,0.51000,0.22453
0.52008,0.52000,-0.03366,0.52000,0.22160,0.52000,0.27658,0.52000,0.22544
0.53008,0.53000,-0.03848,0.53000,0.22139,0.53000,0.26787,0.53000,0.22560
0.54008,0.54000,-0.04326,0.54000,0.22044,0.54000,0.25614,0.54000,0.22496
0.55008,0.55000,-0.04789,0.55000,0.21868,0.55000,0.24164,0.55000,0.22350
0.56008,0.56000,-0.05236,0.56000,0.21607,0.56000,0.22480,0.56000,0.22124
0.57009,0.57000,-0.05673,0.57000,0.21257,0.57000,0.20620,0.57000,0.21823
0.58009,0.58000,-0.06114,0.58000,0.20816,0.58000,0.18654,0.58000,0.21460
0.59009,0.59000,-0.06576,0.59000,0.20283,0.59000,0.16655,0.59000,0.21051
0.60009,0.60000,-0.07082,0.60000,0.19657,0.60000,0.14701,0.60000,0.20615
0.61009,0.61000,-0.07651,0.61000,0.18942,0.61000,0.12859,0.61000,0.20176
0.62009,0.62000,-0.08302,0.62000,0.18142,0.62000,0.11192,0.62000,0.19760
0.63009,0.63000,-0.09048,0.63000,0.17263,0.63000,0.09746,0.63000,0.19392
