Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-6.10550,0.00000,1.03094,0.00000,2.15192
0.01000,0.01000,-5.97595,0.01000,0.96290,0.01000,2.15833
0.02000,0.02000,-5.83020,0.02000,0.89000,0.02000,2.16786
0.03000,0.03000,-5.67239,0.03000,0.81521,0.03000,2.18042
0.04001,0.04000,-5.50749,0.04000,0.74169,0.04000,2.19555
0.05001,0.05000,-5.34088,0.05000,0.67245,0.05000,2.21236
0.06001,0.06000,-5.17784,0.06000,0.61005,0.06000,2.22955
0.07001,0.07000,-5.02312,0.07000,0.55624,0.07000,2.24549
0.08001,0.08000,-4.88060,0.08000,0.51189,0.08000,2.25828
0.09001,0.09000,-4.75310,0.09000,0.47682,0.09000,2.26590
0.10002,0.10000,-4.64225,0.10000,0.44994,0.10000,2.26636
0.11002,0.11000,-4.54851,0.11000,0.42935,0.11000,2.25780
0.12002,0.12000,-4.47128,0.12000,0.41258,0.12000,2.23864
0.13002,0.13000,-4.40903,0.13000,0.39688,0.13000,2.20768
0.14002,0.14000,-4.35948,0.14000,0.37949,0.14000,2.16419
0.15002,0.15000,-4.31982,0.15000,0.35792,0.15000,2.10793
0.16002,0.16000,-4.28687,0.16000,0.33015,0.16000,2.03926
0.17003,0.17000,-4.25729,0.17000,0.29487,0.17000,1.95914
0.18003,0.18000,-4.22778,0.18000,0.25158,0.18000,1.86913
0.19003,0.19000,-4.19526,0.19000,0.20065,0.19000,1.77138
0.20003,0.20000,-4.15714,0.20000,0.14327,0.20000,1.66853
0.21003,0.21000,-4.11152,0.21000,0.08146,0.21000,1.56365
0.22003,0.22000,-4.05743,0.22000,0.01783,0.22000,1.45999
0.23003,0.23000,-3.99502,0.23000,-0.04450,0.23000,1.36081
0.24004,0.24000,-3.92567,0.24000,-0.10218,0.24000,1.26909
0.25004,0.25000,-3.85205,0.25000,-0.15189,0.25000,1.18729
0.26004,0.26000,-3.77794,0.26000,-0.19060,0.26000,1.11710
0.27004,0.27000,-3.70802,0.27000,-0.21585,0.27000,1.05926
0.28004,0.28000,-3.64748,0.28000,-0.22596,0.28000,1.01348
0.29004,0.29000,-3.60152,0.29000,-0.22018,0.29000,0.97845
0.30004,0.30000,-3.57491,0.30000,-0.19877,0.30000,0.95199
0.31005,0.31000,-3.57143,0.31000,-0.16293,0.31000,0.93128
0.32005,0.32000,-3.59358,0.32000,-0.11471,0.32000,0.91313
0.33005,0.33000,-3.64228,0.33000,-0.05677,0.33000,0.89435
0.34005,0.34000,-3.71686,0.34000,0.00783,0.34000,0.87204
0.35005,0.35000,-3.81511,0.35000,0.07590,0.35000,0.84380
0.36005,0.36000,-3.93355,0.36000,0.14434,0.36000,0.80798
0.37005,0.37000,-4.06775,0.37000,0.21039,0.37000,0.76369
0.38006,0.38000,-4.21275,0.38000,0.27175,0.38000,0.71080
0.39006,0.39000,-4.36337,0.39000,0.32671,0.39000,0.64985
0.40006,0.40000,-4.51466,0.40000,0.37419,0.40000,0.58190
0.41006,0.41000,-4.66209,0.41000,0.41374,0.41000,0.50835
0.42006,0.42000,-4.80183,0.42000,0.44551,0.42000,0.43082
0.43006,0.43000,-4.93086,0.43000,0.47009,0.43000,0.35094
0.44006,0.44000,-5.04701,0.44000,0.48846,0.44000,0.27028
0.45007,0.45000,-5.14896,0.45000,0.50184,0.45000,0.19024
0.46007,0.46000,-5.23621,0.46000,0.51153,0.46000,0.11203
0.47007,0.47000,-5.30894,0.47000,0.51880,0.47000,0.03658
0.48007,0.48000,-5.36795,0.48000,0.52480,0.48000,-0.03538
0.49007,0.49000,-5.41448,0.49000,0.53043,0.49000,-0.10338
0.50007,0.50000,-5.45007,0.50000,0.53634,0.50000,-0.16717
0.51007,0.51000,-5.47643,0.51000,0.54286,0.51000,-0.22666
0.52008,0.52000,-5.49530,0.52000,0.55003,0.52000,-0.28190
0.53008,0.53000,-5.50836,0.53000,0.55763,0.53000,-0.33304
0.54008,0.54000,-5.51712,0.54000,0.56520,0.54000,-0.38029
0.55008,0.55000,-5.52287,0.55000,0.57216,0.55000,-0.42391
0.56008,0.56000,-5.52670,0.56000,0.57785,0.56000,-0.46413
0.57008,0.57000,-5.52943,0.57000,0.58161,0.57000,-0.50123
0.58009,0.58000,-5.53166,0.58000,0.58287,0.58000,-0.53546
0.59009,0.59000,-5.53381,0.59000,0.58120,0.59000,-0.56711
0.60009,0.60000,-5.53611,0.60000,0.57634,0.60000,-0.59647
0.61009,0.61000,-5.53865,0.61000,0.56824,0.61000,-0.62386
0.62009,0.62000,-5.54143,0.62000,0.55706,0.62000,-0.64963
0.63009,0.63000,-5.54440,0.63000,0.54315,0.63000,-0.67420
0.64009,0.64000,-5.54750,0.64000,0.52702,0.64000,-0.69799
0.65010,0.65000,-5.55073,0.65000,0.50927,0.65000,-0.72149
0.66010,0.66000,-5.55414,0.66000,0.49058,0.66000,-0.74522
0.67010,0.67000,-5.55789,0.67000,0.47161,0.67000,-0.76974
0.68010,0.68000,-5.56225,0.68000,0.45294,0.68000,-0.79562
0.69010,0.69000,-5.56756,0.69000,0.43505,0.69000,-0.82343
0.70010,0.70000,-5.57426,0.70000,0.41826,0.70000,-0.85370
0.71010,0.71000,-5.58276,0.71000,0.40272,0.71000,-0.88687
