Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,1.33731,0.00000,-0.21186,0.00000,3.33083,0.00000,-1.01284,0.00000,1.38631,0.00000,-0.19168
0.01000,0.01000,1.36238,0.01000,-0.22374,0.01000,3.30018,0.01000,-1.00131,0.01000,1.41536,0.01000,-0.20411
0.02000,0.02000,1.38089,0.02000,-0.23512,0.02000,3.26106,0.02000,-0.98338,0.02000,1.43799,0.02000,-0.21620
0.03000,0.03000,1.38957,0.03000,-0.24505,0.03000,3.21324,0.03000,-0.95839,0.03000,1.45071,0.03000,-0.22699
0.04001,0.04000,1.38535,0.04000,-0.25252,0.04000,3.15687,0.04000,-0.92605,0.04000,1.45024,0.04000,-0.23548
0.05001,0.05000,1.36573,0.05000,-0.25657,0.05000,3.09242,0.05000,-0.88649,0.05000,1.43385,0.05000,-0.24066
0.06001,0.06000,1.32909,0.06000,-0.25632,0.06000,3.02070,0.06000,-0.84031,0.06000,1.39974,0.06000,-0.24165
0.07001,0.07000,1.27482,0.07000,-0.25106,0.07000,2.94273,0.07000,-0.78849,0.07000,1.34717,0.07000,-0.23769
0.08001,0.08000,1.20345,0.08000,-0.24028,0.08000,2.85970,0.08000,-0.73235,0.08000,1.27659,0.08000,-0.22825
0.09001,0.09000,1.11654,0.09000,-0.22374,0.09000,2.77291,0.09000,-0.67344,0.09000,1.18957,0.09000,-0.21302
0.10001,0.10000,1.01661,0.10000,-0.20144,0.10000,2.68366,0.10000,-0.61343,0.10000,1.08864,0.10000,-0.19199
0.11002,0.11000,0.90679,0.11000,-0.17363,0.11000,2.59322,0.11000,-0.55401,0.11000,0.97705,0.11000,-0.16538
0.12002,0.12000,0.79064,0.12000,-0.14080,0.12000,2.50274,0.12000,-0.49677,0.12000,0.85847,0.12000,-0.13366
0.13002,0.13000,0.67182,0.13000,-0.10364,0.13000,2.41326,0.13000,-0.44313,0.13000,0.73671,0.13000,-0.09749
0.14002,0.14000,0.55381,0.14000,-0.06293,0.14000,2.32566,0.14000,-0.39429,0.14000,0.61539,0.14000,-0.05767
0.15002,0.15000,0.43969,0.15000,-0.01955,0.15000,2.24063,0.15000,-0.35118,0.15000,0.49775,0.15000,-0.01505
0.16002,0.16000,0.33201,0.16000,0.02565,0.16000,2.15873,0.16000,-0.31446,0.16000,0.38645,0.16000,0.02950
0.17002,0.17000,0.23267,0.17000,0.07190,0.17000,2.08032,0.17000,-0.28447,0.17000,0.28352,0.17000,0.07519
0.18003,0.18000,0.14293,0.18000,0.11856,0.18000,2.00563,0.18000,-0.26129,0.18000,0.19028,0.18000,0.12138
