Tiempo;Evento
1.47;Posición inicial
4.21;< Contacto inicial izquierdo
4.27;> Despegue derecho
4.74;< Contacto inicial derecho
4.8;> Despegue izquierdo
5.26;< Contacto inicial izquierdo
5.33;> Despegue derecho
5.75;< Contacto inicial derecho
5.81;> Despegue izquierdo
6.24;< Contacto inicial izquierdo
6.31;> Despegue derecho
6.72;< Contacto inicial derecho
6.79;> Despegue izquierdo
7.22;< Contacto inicial izquierdo
7.28;> Despegue derecho
7.7;< Contacto inicial derecho
7.77;> Despegue izquierdo
8.19;< Contacto inicial izquierdo
8.26;> Despegue derecho
8.7;< Contacto inicial derecho
8.77;> Despegue izquierdo
9.19;< Contacto inicial izquierdo
9.26;> Despegue derecho
9.68;< Contacto inicial derecho
9.75;> Despegue izquierdo
10.17;< Contacto inicial izquierdo
10.24;> Despegue derecho
10.69;< Contacto inicial derecho
10.76;> Despegue izquierdo
11.18;< Contacto inicial izquierdo
11.25;> Despegue derecho
11.69;< Contacto inicial derecho
11.76;> Despegue izquierdo
12.15;< Contacto inicial izquierdo
12.22;> Despegue derecho
12.68;< Contacto inicial derecho
12.75;> Despegue izquierdo
13.18;< Contacto inicial izquierdo
13.25;> Despegue derecho
13.68;< Contacto inicial derecho
13.76;> Despegue izquierdo
14.14;< Contacto inicial izquierdo
14.23;> Despegue derecho
14.7;< Contacto inicial derecho
14.81;> Despegue izquierdo
15.5;< Contacto inicial izquierdo
16.14;> Despegue derecho
17.18;< Contacto inicial derecho
17.25;> Despegue izquierdo
17.69;< Contacto inicial izquierdo
17.76;> Despegue derecho
18.2;< Contacto inicial derecho
18.27;> Despegue izquierdo
18.7;< Contacto inicial izquierdo
18.76;> Despegue derecho
19.19;< Contacto inicial derecho
19.26;> Despegue izquierdo
19.68;< Contacto inicial izquierdo
19.75;> Despegue derecho
20.17;< Contacto inicial derecho
20.24;> Despegue izquierdo
20.66;< Contacto inicial izquierdo
20.73;> Despegue derecho
21.15;< Contacto inicial derecho
21.22;> Despegue izquierdo
21.62;< Contacto inicial izquierdo
21.69;> Despegue derecho
22.13;< Contacto inicial derecho
22.2;> Despegue izquierdo
22.62;< Contacto inicial izquierdo
22.69;> Despegue derecho
23.13;< Contacto inicial derecho
23.2;> Despegue izquierdo
23.62;< Contacto inicial izquierdo
23.69;> Despegue derecho
24.13;< Contacto inicial derecho
24.2;> Despegue izquierdo
24.62;< Contacto inicial izquierdo
24.69;> Despegue derecho
25.13;< Contacto inicial derecho
25.21;> Despegue izquierdo
25.64;< Contacto inicial izquierdo
25.72;> Despegue derecho
26.17;< Contacto inicial derecho
26.23;> Despegue izquierdo
26.64;< Contacto inicial izquierdo
26.71;> Despegue derecho
27.14;< Contacto inicial derecho
