Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.47062,0.00000,-0.03293
0.01001,0.01000,0.47111,0.01000,-0.03009
0.02001,0.02000,0.47139,0.02000,-0.02698
0.03002,0.03000,0.47138,0.03000,-0.02367
0.04002,0.04000,0.47104,0.04000,-0.02023
0.05003,0.05000,0.47034,0.05000,-0.01672
0.06004,0.06000,0.46928,0.06000,-0.01318
0.07004,0.07000,0.46788,0.07000,-0.00963
0.08005,0.08000,0.46618,0.08000,-0.00609
0.09005,0.09000,0.46419,0.09000,-0.00256
0.10006,0.10000,0.46190,0.10000,0.00095
0.11007,0.11000,0.45925,0.11000,0.00441
0.12007,0.12000,0.45616,0.12000,0.00778
0.13008,0.13000,0.45250,0.13000,0.01095
0.14008,0.14000,0.44811,0.14000,0.01383
0.15009,0.15000,0.44284,0.15000,0.01629
0.16010,0.16000,0.43652,0.16000,0.01819
0.17010,0.17000,0.42906,0.17000,0.01943
0.18011,0.18000,0.42039,0.18000,0.01993
0.19011,0.19000,0.41051,0.19000,0.01966
0.20012,0.20000,0.39947,0.20000,0.01863
0.21013,0.21000,0.38738,0.21000,0.01694
0.22013,0.22000,0.37436,0.22000,0.01474
0.23014,0.23000,0.36055,0.23000,0.01222
0.24014,0.24000,0.34608,0.24000,0.00964
0.25015,0.25000,0.33108,0.25000,0.00725
0.26015,0.26000,0.31567,0.26000,0.00531
0.27016,0.27000,0.29996,0.27000,0.00405
0.28017,0.28000,0.28408,0.28000,0.00362
0.29017,0.29000,0.26820,0.29000,0.00412
0.30018,0.30000,0.25249,0.30000,0.00557
0.31018,0.31000,0.23713,0.31000,0.00791
0.32019,0.32000,0.22231,0.32000,0.01103
0.33020,0.33000,0.20819,0.33000,0.01480
0.34020,0.34000,0.19491,0.34000,0.01904
0.35021,0.35000,0.18255,0.35000,0.02360
0.36021,0.36000,0.17113,0.36000,0.02829
0.37022,0.37000,0.16066,0.37000,0.03297
0.38023,0.38000,0.15107,0.38000,0.03751
0.39023,0.39000,0.14231,0.39000,0.04180
0.40024,0.40000,0.13432,0.40000,0.04579
0.41024,0.41000,0.12702,0.41000,0.04943
0.42025,0.42000,0.12039,0.42000,0.05270
0.43026,0.43000,0.11442,0.43000,0.05561
0.44026,0.44000,0.10912,0.44000,0.05818
0.45027,0.45000,0.10452,0.45000,0.06045
0.46027,0.46000,0.10069,0.46000,0.06245
0.47028,0.47000,0.09771,0.47000,0.06425
0.48029,0.48000,0.09569,0.48000,0.06591
0.49029,0.49000,0.09472,0.49000,0.06748
0.50030,0.50000,0.09493,0.50000,0.06901
0.51030,0.51000,0.09643,0.51000,0.07052
0.52031,0.52000,0.09935,0.52000,0.07204
0.53032,0.53000,0.10382,0.53000,0.07352
0.54032,0.54000,0.10995,0.54000,0.07492
0.55033,0.55000,0.11785,0.55000,0.07619
0.56033,0.56000,0.12757,0.56000,0.07724
0.57034,0.57000,0.13908,0.57000,0.07799
0.58034,0.58000,0.15228,0.58000,0.07834
0.59035,0.59000,0.16690,0.59000,0.07820
0.60036,0.60000,0.18259,0.60000,0.07746
0.61036,0.61000,0.19882,0.61000,0.07600
0.62037,0.62000,0.21493,0.62000,0.07372
0.63037,0.63000,0.23015,0.63000,0.07048
0.64038,0.64000,0.24368,0.64000,0.06617
0.65039,0.65000,0.25476,0.65000,0.06064
0.66039,0.66000,0.26275,0.66000,0.05374
0.67040,0.67000,0.26724,0.67000,0.04535
0.68040,0.68000,0.26808,0.68000,0.03532
0.69041,0.69000,0.26537,0.69000,0.02353
0.70042,0.70000,0.25937,0.70000,0.00991
0.71042,0.71000,0.25044,0.71000,-0.00555
0.72043,0.72000,0.23900,0.72000,-0.02276
0.73043,0.73000,0.22547,0.73000,-0.04151
0.74044,0.74000,0.21031,0.74000,-0.06143
0.75045,0.75000,0.19403,0.75000,-0.08203
0.76045,0.76000,0.17717,0.76000,-0.10273
0.77046,0.77000,0.16016,0.77000,-0.12290
0.78046,0.78000,0.14326,0.78000,-0.14198
0.79047,0.79000,0.12654,0.79000,-0.15954
0.80048,0.80000,0.10987,0.80000,-0.17533
0.81048,0.81000,0.09310,0.81000,-0.18935
0.82049,0.82000,0.07610,0.82000,-0.20177
0.83049,0.83000,0.05884,0.83000,-0.21296
0.84050,0.84000,0.04139,0.84000,-0.22339
0.85051,0.85000,0.02386,0.85000,-0.23357
0.86051,0.86000,0.00634,0.86000,-0.24398
0.87052,0.87000,-0.01117,0.87000,-0.25500
0.88052,0.88000,-0.02874,0.88000,-0.26687
0.89053,0.89000,-0.04648,0.89000,-0.27968
0.90053,0.90000,-0.06453,0.90000,-0.29338
0.91054,0.91000,-0.08297,0.91000,-0.30778
0.92055,0.92000,-0.10181,0.92000,-0.32260
0.93055,0.93000,-0.12101,0.93000,-0.33751
0.94056,0.94000,-0.14050,0.94000,-0.35220
0.95056,0.95000,-0.16015,0.95000,-0.36635
0.96057,0.96000,-0.17984,0.96000,-0.37971
0.97058,0.97000,-0.19945,0.97000,-0.39208
0.98058,0.98000,-0.21883,0.98000,-0.40332
0.99059,0.99000,-0.23782,0.99000,-0.41335
1.00059,1.00000,-0.25622,1.00000,-0.42218
1.01060,1.01000,-0.27380,1.01000,-0.42987
1.02061,1.02000,-0.29030,1.02000,-0.43656
1.03061,1.03000,-0.30543,1.03000,-0.44245
1.04062,1.04000,-0.31892,1.04000,-0.44781
1.05062,1.05000,-0.33054,1.05000,-0.45291
1.06063,1.06000,-0.34009,1.06000,-0.45807
1.07064,1.07000,-0.34746,1.07000,-0.46356
1.08064,1.08000,-0.35260,1.08000,-0.46958
1.09065,1.09000,-0.35555,1.09000,-0.47628
1.10065,1.10000,-0.35641,1.10000,-0.48370
1.11066,1.11000,-0.35536,1.11000,-0.49180
1.12067,1.12000,-0.35264,1.12000,-0.50043
1.13067,1.13000,-0.34853,1.13000,-0.50939
1.14068,1.14000,-0.34337,1.14000,-0.51845
1.15068,1.15000,-0.33750,1.15000,-0.52741
1.16069,1.16000,-0.33130,1.16000,-0.53610
1.17070,1.17000,-0.32514,1.17000,-0.54443
1.18070,1.18000,-0.31937,1.18000,-0.55243
1.19071,1.19000,-0.31432,1.19000,-0.56019
1.20071,1.20000,-0.31024,1.20000,-0.56788
1.21072,1.21000,-0.30733,1.21000,-0.57569
1.22072,1.22000,-0.30574,1.22000,-0.58383
1.23073,1.23000,-0.30556,1.23000,-0.59244
1.24074,1.24000,-0.30685,1.24000,-0.60165
1.25074,1.25000,-0.30967,1.25000,-0.61149
1.26075,1.26000,-0.31408,1.26000,-0.62197
1.27075,1.27000,-0.32009,1.27000,-0.63304
1.28076,1.28000,-0.32772,1.28000,-0.64464
1.29077,1.29000,-0.33690,1.29000,-0.65671
1.30077,1.30000,-0.34753,1.30000,-0.66924
1.31078,1.31000,-0.35940,1.31000,-0.68219
1.32078,1.32000,-0.37225,1.32000,-0.69557
1.33079,1.33000,-0.38576,1.33000,-0.70935
1.34080,1.34000,-0.39955,1.34000,-0.72346
1.35080,1.35000,-0.41326,1.35000,-0.73783
1.36081,1.36000,-0.42654,1.36000,-0.75231
1.37081,1.37000,-0.43909,1.37000,-0.76675
1.38082,1.38000,-0.45067,1.38000,-0.78099
1.39083,1.39000,-0.46113,1.39000,-0.79487
1.40083,1.40000,-0.47037,1.40000,-0.80827
1.41084,1.41000,-0.47838,1.41000,-0.82112
1.42084,1.42000,-0.48517,1.42000,-0.83336
1.43085,1.43000,-0.49076,1.43000,-0.84497
1.44086,1.44000,-0.49519,1.44000,-0.85597
1.45086,1.45000,-0.49850,1.45000,-0.86637
1.46087,1.46000,-0.50074,1.46000,-0.87620
1.47087,1.47000,-0.50197,1.47000,-0.88554
1.48088,1.48000,-0.50230,1.48000,-0.89448
1.49089,1.49000,-0.50191,1.49000,-0.90317
1.50089,1.50000,-0.50101,1.50000,-0.91183
1.51090,1.51000,-0.49990,1.51000,-0.92072
1.52090,1.52000,-0.49888,1.52000,-0.93009
1.53091,1.53000,-0.49831,1.53000,-0.94022
1.54091,1.54000,-0.49851,1.54000,-0.95130
1.55092,1.55000,-0.49973,1.55000,-0.96339
1.56093,1.56000,-0.50210,1.56000,-0.97641
1.57093,1.57000,-0.50561,1.57000,-0.99004
1.58094,1.58000,-0.51005,1.58000,-1.00370
1.59094,1.59000,-0.51507,1.59000,-1.01647
1.60095,1.60000,-0.52014,1.60000,-1.02715
1.61096,1.61000,-0.52457,1.61000,-1.03422
1.62096,1.62000,-0.52759,1.62000,-1.03593
1.63097,1.63000,-0.52833,1.63000,-1.03038
1.64097,1.64000,-0.52586,1.64000,-1.01568
1.65098,1.65000,-0.51923,1.65000,-0.99010
1.66099,1.66000,-0.50750,1.66000,-0.95228
1.67099,1.67000,-0.48977,1.67000,-0.90142
1.68100,1.68000,-0.46528,1.68000,-0.83748
1.69100,1.69000,-0.43350,1.69000,-0.76126
1.70101,1.70000,-0.39418,1.70000,-0.67451
1.71102,1.71000,-0.34750,1.71000,-0.57989
1.72102,1.72000,-0.29409,1.72000,-0.48081
1.73103,1.73000,-0.23506,1.73000,-0.38125
1.74103,1.74000,-0.17199,1.74000,-0.28546
1.75104,1.75000,-0.10682,1.75000,-0.19766
1.76105,1.76000,-0.04181,1.76000,-0.12168
1.77105,1.77000,0.02064,1.77000,-0.06069
1.78106,1.78000,0.07807,1.78000,-0.01697
1.79106,1.79000,0.12816,1.79000,0.00827
1.80107,1.80000,0.16878,1.80000,0.01494
1.81108,1.81000,0.19819,1.81000,0.00410
1.82108,1.82000,0.21509,1.82000,-0.02223
1.83109,1.83000,0.21875,1.83000,-0.06118
1.84109,1.84000,0.20905,1.84000,-0.10933
1.85110,1.85000,0.18649,1.85000,-0.16299
1.86111,1.86000,0.15214,1.86000,-0.21846
1.87111,1.87000,0.10761,1.87000,-0.27235
1.88112,1.88000,0.05493,1.88000,-0.32174
1.89112,1.89000,-0.00362,1.89000,-0.36442
1.90113,1.90000,-0.06561,1.90000,-0.39889
1.91113,1.91000,-0.12866,1.91000,-0.42442
1.92114,1.92000,-0.19050,1.92000,-0.44096
1.93115,1.93000,-0.24920,1.93000,-0.44904
1.94115,1.94000,-0.30313,1.94000,-0.44960
1.95116,1.95000,-0.35111,1.95000,-0.44390
1.96116,1.96000,-0.39237,1.96000,-0.43332
1.97117,1.97000,-0.42655,1.97000,-0.41928
1.98118,1.98000,-0.45367,1.98000,-0.40318
1.99118,1.99000,-0.47409,1.99000,-0.38629
2.00119,2.00000,-0.48846,2.00000,-0.36981
2.01119,2.01000,-0.49761,2.01000,-0.35476
2.02120,2.02000,-0.50254,2.02000,-0.34208
2.03121,2.03000,-0.50430,2.03000,-0.33253
2.04121,2.04000,-0.50395,2.04000,-0.32675
2.05122,2.05000,-0.50243,2.05000,-0.32518
2.06122,2.06000,-0.50056,2.06000,-0.32808
2.07123,2.07000,-0.49897,2.07000,-0.33551
2.08124,2.08000,-0.49806,2.08000,-0.34728
2.09124,2.09000,-0.49798,2.09000,-0.36295
2.10125,2.10000,-0.49867,2.10000,-0.38187
2.11125,2.11000,-0.49985,2.11000,-0.40319
2.12126,2.12000,-0.50111,2.12000,-0.42588
2.13127,2.13000,-0.50192,2.13000,-0.44884
2.14127,2.14000,-0.50174,2.14000,-0.47094
2.15128,2.15000,-0.50005,2.15000,-0.49109
2.16128,2.16000,-0.49642,2.16000,-0.50833
2.17129,2.17000,-0.49053,2.17000,-0.52191
2.18130,2.18000,-0.48221,2.18000,-0.53130
2.19130,2.19000,-0.47139,2.19000,-0.53624
2.20131,2.20000,-0.45816,2.20000,-0.53675
2.21131,2.21000,-0.44268,2.21000,-0.53313
2.22132,2.22000,-0.42522,2.22000,-0.52588
2.23132,2.23000,-0.40610,2.23000,-0.51569
2.24133,2.24000,-0.38573,2.24000,-0.50334
2.25134,2.25000,-0.36456,2.25000,-0.48959
2.26134,2.26000,-0.34312,2.26000,-0.47515
2.27135,2.27000,-0.32195,2.27000,-0.46062
2.28135,2.28000,-0.30165,2.28000,-0.44641
2.29136,2.29000,-0.28275,2.29000,-0.43278
2.30137,2.30000,-0.26576,2.30000,-0.41979
2.31137,2.31000,-0.25105,2.31000,-0.40737
2.32138,2.32000,-0.23890,2.32000,-0.39535
2.33138,2.33000,-0.22941,2.33000,-0.38343
2.34139,2.34000,-0.22255,2.34000,-0.37132
2.35140,2.35000,-0.21815,2.35000,-0.35867
2.36140,2.36000,-0.21592,2.36000,-0.34520
2.37141,2.37000,-0.21551,2.37000,-0.33062
2.38141,2.38000,-0.21650,2.38000,-0.31476
2.39142,2.39000,-0.21849,2.39000,-0.29748
2.40143,2.40000,-0.22109,2.40000,-0.27875
2.41143,2.41000,-0.22396,2.41000,-0.25864
2.42144,2.42000,-0.22682,2.42000,-0.23731
2.43144,2.43000,-0.22947,2.43000,-0.21503
2.44145,2.44000,-0.23179,2.44000,-0.19215
2.45146,2.45000,-0.23375,2.45000,-0.16910
2.46146,2.46000,-0.23534,2.46000,-0.14637
2.47147,2.47000,-0.23665,2.47000,-0.12448
2.48147,2.48000,-0.23775,2.48000,-0.10396
2.49148,2.49000,-0.23876,2.49000,-0.08532
2.50149,2.50000,-0.23976,2.50000,-0.06901
2.51149,2.51000,-0.24084,2.51000,-0.05544
2.52150,2.52000,-0.24205,2.52000,-0.04491
2.53150,2.53000,-0.24342,2.53000,-0.03763
2.54151,2.54000,-0.24494,2.54000,-0.03370
2.55151,2.55000,-0.24659,2.55000,-0.03312
2.56152,2.56000,-0.24832,2.56000,-0.03578
2.57153,2.57000,-0.25007,2.57000,-0.04149
2.58153,2.58000,-0.25176,2.58000,-0.04999
2.59154,2.59000,-0.25332,2.59000,-0.06098
2.60154,2.60000,-0.25470,2.60000,-0.07413
2.61155,2.61000,-0.25584,2.61000,-0.08912
2.62156,2.62000,-0.25672,2.62000,-0.10562
2.63156,2.63000,-0.25733,2.63000,-0.12334
2.64157,2.64000,-0.25766,2.64000,-0.14202
2.65157,2.65000,-0.25774,2.65000,-0.16141
2.66158,2.66000,-0.25760,2.66000,-0.18131
2.67159,2.67000,-0.25727,2.67000,-0.20156
2.68159,2.68000,-0.25679,2.68000,-0.22201
2.69160,2.69000,-0.25619,2.69000,-0.24254
2.70160,2.70000,-0.25549,2.70000,-0.26302
2.71161,2.71000,-0.25470,2.71000,-0.28334
2.72162,2.72000,-0.25385,2.72000,-0.30336
2.73162,2.73000,-0.25294,2.73000,-0.32291
2.74163,2.74000,-0.25197,2.74000,-0.34182
2.75163,2.75000,-0.25093,2.75000,-0.35987
2.76164,2.76000,-0.24983,2.76000,-0.37686
2.77165,2.77000,-0.24867,2.77000,-0.39256
2.78165,2.78000,-0.24744,2.78000,-0.40676
2.79166,2.79000,-0.24616,2.79000,-0.41927
2.80166,2.80000,-0.24482,2.80000,-0.42991
2.81167,2.81000,-0.24343,2.81000,-0.43853
2.82168,2.82000,-0.24197,2.82000,-0.44503
2.83168,2.83000,-0.24043,2.83000,-0.44932
2.84169,2.84000,-0.23875,2.84000,-0.45138
2.85169,2.85000,-0.23686,2.85000,-0.45125
2.86170,2.86000,-0.23467,2.86000,-0.44897
2.87170,2.87000,-0.23210,2.87000,-0.44464
2.88171,2.88000,-0.22908,2.88000,-0.43837
2.89172,2.89000,-0.22554,2.89000,-0.43027
2.90172,2.90000,-0.22150,2.90000,-0.42046
2.91173,2.91000,-0.21700,2.91000,-0.40904
2.92173,2.92000,-0.21213,2.92000,-0.39615
2.93174,2.93000,-0.20702,2.93000,-0.38191
2.94175,2.94000,-0.20182,2.94000,-0.36649
2.95175,2.95000,-0.19667,2.95000,-0.35006
2.96176,2.96000,-0.19172,2.96000,-0.33281
2.97176,2.97000,-0.18707,2.97000,-0.31494
2.98177,2.98000,-0.18282,2.98000,-0.29665
2.99178,2.99000,-0.17901,2.99000,-0.27814
3.00178,3.00000,-0.17565,3.00000,-0.25959
3.01179,3.01000,-0.17274,3.01000,-0.24116
3.02179,3.02000,-0.17023,3.02000,-0.22299
3.03180,3.03000,-0.16806,3.03000,-0.20519
3.04181,3.04000,-0.16617,3.04000,-0.18784
3.05181,3.05000,-0.16447,3.05000,-0.17099
3.06182,3.06000,-0.16291,3.06000,-0.15470
3.07182,3.07000,-0.16140,3.07000,-0.13899
3.08183,3.08000,-0.15988,3.08000,-0.12390
3.09184,3.09000,-0.15826,3.09000,-0.10946
3.10184,3.10000,-0.15648,3.10000,-0.09572
3.11185,3.11000,-0.15443,3.11000,-0.08273
3.12185,3.12000,-0.15203,3.12000,-0.07056
3.13186,3.13000,-0.14918,3.13000,-0.05926
3.14187,3.14000,-0.14579,3.14000,-0.04892
3.15187,3.15000,-0.14179,3.15000,-0.03960
3.16188,3.16000,-0.13712,3.16000,-0.03136
3.17188,3.17000,-0.13175,3.17000,-0.02426
3.18189,3.18000,-0.12566,3.18000,-0.01833
3.19189,3.19000,-0.11889,3.19000,-0.01357
3.20190,3.20000,-0.11148,3.20000,-0.00995
3.21191,3.21000,-0.10352,3.21000,-0.00742
3.22191,3.22000,-0.09507,3.22000,-0.00586
3.23192,3.23000,-0.08625,3.23000,-0.00513
3.24192,3.24000,-0.07714,3.24000,-0.00504
3.25193,3.25000,-0.06785,3.25000,-0.00539
3.26194,3.26000,-0.05847,3.26000,-0.00594
3.27194,3.27000,-0.04911,3.27000,-0.00642
3.28195,3.28000,-0.03987,3.28000,-0.00659
3.29195,3.29000,-0.03084,3.29000,-0.00623
3.30196,3.30000,-0.02216,3.30000,-0.00514
3.31197,3.31000,-0.01393,3.31000,-0.00318
3.32197,3.32000,-0.00628,3.32000,-0.00025
3.33198,3.33000,0.00067,3.33000,0.00367
3.34198,3.34000,0.00677,3.34000,0.00854
3.35199,3.35000,0.01190,3.35000,0.01428
3.36200,3.36000,0.01593,3.36000,0.02075
3.37200,3.37000,0.01876,3.37000,0.02779
3.38201,3.38000,0.02030,3.38000,0.03520
3.39201,3.39000,0.02046,3.39000,0.04280
3.40202,3.40000,0.01920,3.40000,0.05040
3.41203,3.41000,0.01653,3.41000,0.05784
3.42203,3.42000,0.01246,3.42000,0.06501
3.43204,3.43000,0.00710,3.43000,0.07183
3.44204,3.44000,0.00060,3.44000,0.07829
3.45205,3.45000,-0.00681,3.45000,0.08442
3.46206,3.46000,-0.01479,3.46000,0.09028
3.47206,3.47000,-0.02294,3.47000,0.09598
3.48207,3.48000,-0.03076,3.48000,0.10161
3.49207,3.49000,-0.03769,3.49000,0.10729
3.50208,3.50000,-0.04314,3.50000,0.11311
3.51208,3.51000,-0.04658,3.51000,0.11916
3.52209,3.52000,-0.04757,3.52000,0.12551
3.53210,3.53000,-0.04588,3.53000,0.13216
3.54210,3.54000,-0.04153,3.54000,0.13910
3.55211,3.55000,-0.03491,3.55000,0.14620
3.56211,3.56000,-0.02678,3.56000,0.15324
3.57212,3.57000,-0.01833,3.57000,0.15989
3.58213,3.58000,-0.01119,3.58000,0.16570
3.59213,3.59000,-0.00735,3.59000,0.17014
3.60214,3.60000,-0.00914,3.60000,0.17258
3.61214,3.61000,-0.01905,3.61000,0.17236
3.62215,3.62000,-0.03957,3.62000,0.16879
