Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.01536,0.00000,0.07794,0.00000,0.21797,0.00000,0.00628,0.00000,0.01674,0.00000,0.07798
0.01001,0.01000,0.01301,0.01000,0.07829,0.01000,0.21753,0.01000,0.00710,0.01000,0.01437,0.01000,0.07833
0.02001,0.02000,0.01030,0.02000,0.07817,0.02000,0.21704,0.02000,0.00798,0.02000,0.01166,0.02000,0.07822
0.03002,0.03000,0.00735,0.03000,0.07749,0.03000,0.21651,0.03000,0.00891,0.03000,0.00869,0.03000,0.07754
0.04002,0.04000,0.00428,0.04000,0.07616,0.04000,0.21596,0.04000,0.00988,0.04000,0.00561,0.04000,0.07622
0.05003,0.05000,0.00127,0.05000,0.07417,0.05000,0.21538,0.05000,0.01088,0.05000,0.00260,0.05000,0.07424
0.06004,0.06000,-0.00149,0.06000,0.07157,0.06000,0.21479,0.06000,0.01191,0.06000,-0.00017,0.06000,0.07164
0.07004,0.07000,-0.00381,0.07000,0.06846,0.07000,0.21419,0.07000,0.01300,0.07000,-0.00249,0.07000,0.06854
0.08005,0.08000,-0.00552,0.08000,0.06501,0.08000,0.21356,0.08000,0.01416,0.08000,-0.00421,0.08000,0.06510
0.09005,0.09000,-0.00649,0.09000,0.06144,0.09000,0.21288,0.09000,0.01542,0.09000,-0.00517,0.09000,0.06153
0.10006,0.10000,-0.00663,0.10000,0.05797,0.10000,0.21214,0.10000,0.01680,0.10000,-0.00530,0.10000,0.05807
0.11006,0.11000,-0.00590,0.11000,0.05482,0.11000,0.21132,0.11000,0.01829,0.11000,-0.00457,0.11000,0.05493
0.12007,0.12000,-0.00436,0.12000,0.05218,0.12000,0.21040,0.12000,0.01988,0.12000,-0.00301,0.12000,0.05229
0.13008,0.13000,-0.00213,0.13000,0.05013,0.13000,0.20938,0.13000,0.02153,0.13000,-0.00076,0.13000,0.05026
0.14008,0.14000,0.00061,0.14000,0.04871,0.14000,0.20826,0.14000,0.02319,0.14000,0.00199,0.14000,0.04884
0.15009,0.15000,0.00359,0.15000,0.04784,0.15000,0.20705,0.15000,0.02477,0.15000,0.00499,0.15000,0.04797
0.16009,0.16000,0.00652,0.16000,0.04739,0.16000,0.20579,0.16000,0.02621,0.16000,0.00793,0.16000,0.04753
0.17010,0.17000,0.00909,0.17000,0.04719,0.17000,0.20454,0.17000,0.02744,0.17000,0.01051,0.17000,0.04733
0.18010,0.18000,0.01103,0.18000,0.04710,0.18000,0.20337,0.18000,0.02842,0.18000,0.01246,0.18000,0.04724
0.19011,0.19000,0.01213,0.19000,0.04702,0.19000,0.20240,0.19000,0.02911,0.19000,0.01357,0.19000,0.04716
0.20012,0.20000,0.01227,0.20000,0.04690,0.20000,0.20179,0.20000,0.02953,0.20000,0.01371,0.20000,0.04704
