Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.31563	0.629973	0.634965	0.316752	0.314769	0.630363	0.635006	0.31675	0.314833	0.632004	0.634922	0.313569	0.315833	0.631866	0.632735	0.317241	0.314601	0.63233	0.6346	0.313797	0.312919	0.632828	0.635188	0.313284	0.316899	0.632193	0.632756	0.31548	0.314182	0.632444	0.635251	0.312667	-0.228753	0.667169	0.230619	0.670353	-0.226033	0.668795	0.225686	0.671333	-0.228127	0.668179	0.225334	0.671357	0.668098	0.224159	0.671991	-0.227654	0.668659	0.222919	0.671475	-0.228744	0.6735	0.219419	0.668831	-0.225652	0.317426	0.635091	0.63336	0.307824
0.01	0.315633	0.630013	0.634942	0.316715	0.314752	0.630404	0.635024	0.316649	0.314909	0.631996	0.634878	0.313596	0.315828	0.631891	0.632726	0.317213	0.314561	0.632388	0.634589	0.313743	0.312972	0.632826	0.635145	0.313322	0.316912	0.632188	0.632747	0.315494	0.314219	0.632471	0.635231	0.312614	-0.228742	0.667224	0.230592	0.67031	-0.22597	0.66887	0.225549	0.671326	-0.228141	0.668254	0.225301	0.671288	0.668135	0.224188	0.671917	-0.227732	0.668688	0.222964	0.671403	-0.228824	0.673451	0.219808	0.668703	-0.225798	0.317522	0.635091	0.633328	0.307789
0.02	0.31564	0.630023	0.634942	0.316687	0.314739	0.630451	0.635019	0.316578	0.314967	0.631985	0.634855	0.313607	0.315828	0.631903	0.63273	0.317182	0.314505	0.632445	0.63459	0.31368	0.313045	0.632814	0.6351	0.313363	0.316922	0.632187	0.632736	0.315507	0.31428	0.632487	0.635206	0.312571	-0.228713	0.667285	0.23054	0.670279	-0.225859	0.668956	0.225441	0.671314	-0.228295	0.668332	0.225189	0.671196	0.668166	0.224215	0.671852	-0.227806	0.668727	0.223001	0.671332	-0.228884	0.673395	0.220214	0.66859	-0.225904	0.317604	0.6351	0.633308	0.307729
0.03	0.315651	0.63004	0.634938	0.316651	0.31475	0.630499	0.634988	0.316535	0.314951	0.632012	0.634836	0.313608	0.31583	0.63192	0.632726	0.317154	0.314449	0.632482	0.634607	0.313628	0.313107	0.632801	0.635073	0.313384	0.316887	0.632211	0.632748	0.315473	0.314337	0.632516	0.63517	0.312529	-0.228658	0.667359	0.230454	0.670252	-0.225734	0.669037	0.225349	0.671306	-0.228367	0.668403	0.225071	0.671141	0.6682	0.224235	0.671785	-0.227885	0.668794	0.22297	0.671279	-0.228873	0.673306	0.220655	0.668496	-0.226017	0.31768	0.635113	0.633287	0.307666
0.04	0.315677	0.630044	0.634931	0.316631	0.314775	0.630546	0.634945	0.316503	0.314915	0.63206	0.634814	0.313593	0.315839	0.631946	0.632713	0.317118	0.314382	0.632532	0.634629	0.313549	0.313158	0.632795	0.635063	0.313365	0.316802	0.632259	0.632778	0.315401	0.31438	0.632552	0.635131	0.312493	-0.228605	0.667441	0.230363	0.67022	-0.225625	0.669108	0.225276	0.671296	-0.228325	0.668419	0.225031	0.671152	0.668243	0.224231	0.67172	-0.227956	0.668876	0.222912	0.67123	-0.228836	0.673213	0.221115	0.668398	-0.226134	0.31776	0.635121	0.633267	0.307608
0.05	0.315692	0.630077	0.634909	0.316595	0.314793	0.630614	0.63489	0.316458	0.314915	0.632074	0.63481	0.31357	0.315813	0.631989	0.6327	0.317086	0.314304	0.632597	0.634637	0.31348	0.313154	0.632826	0.635063	0.313307	0.316707	0.632306	0.632815	0.315325	0.314416	0.632577	0.635101	0.312466	-0.228555	0.667509	0.230309	0.670188	-0.225538	0.669163	0.225211	0.671292	-0.228309	0.668359	0.225085	0.671199	0.668296	0.224224	0.671651	-0.228012	0.668949	0.222849	0.671186	-0.22881	0.673125	0.221544	0.66831	-0.226238	0.31785	0.635114	0.633254	0.307557
0.06	0.315711	0.630116	0.634877	0.316562	0.314792	0.630698	0.634829	0.316417	0.31491	0.632067	0.634838	0.313533	0.315814	0.632016	0.632691	0.317049	0.314235	0.632656	0.634642	0.313421	0.313075	0.632899	0.635087	0.313188	0.316621	0.63235	0.632851	0.315251	0.314448	0.632592	0.63508	0.312446	-0.228502	0.667562	0.230268	0.670167	-0.225466	0.669191	0.225178	0.6713	-0.228323	0.668279	0.225265	0.671214	0.668348	0.224222	0.671588	-0.228048	0.669026	0.222806	0.671134	-0.228782	0.673018	0.221951	0.668246	-0.226344	0.317931	0.635124	0.633227	0.307508
0.07	0.315737	0.630154	0.634841	0.316533	0.314786	0.630764	0.634783	0.31638	0.314846	0.632115	0.634869	0.313439	0.315816	0.632029	0.63269	0.317022	0.314158	0.632726	0.634657	0.313326	0.313004	0.632979	0.635101	0.31307	0.316524	0.632403	0.632885	0.315176	0.314549	0.63257	0.635025	0.312503	-0.22843	0.667611	0.230219	0.67016	-0.225385	0.669197	0.225184	0.671318	-0.228346	0.668238	0.225445	0.671186	0.6684	0.224201	0.671542	-0.228048	0.669101	0.222763	0.671079	-0.228766	0.67291	0.222421	0.668151	-0.226485	0.318009	0.635135	0.633194	0.307473
0.08	0.315759	0.630187	0.63481	0.316507	0.314804	0.6308	0.634764	0.316329	0.314799	0.632168	0.634866	0.313385	0.315818	0.632053	0.632683	0.316986	0.31406	0.632796	0.634678	0.313239	0.312936	0.633058	0.635107	0.312966	0.316431	0.632458	0.632902	0.315124	0.314687	0.632526	0.634953	0.312598	-0.228348	0.667656	0.230165	0.670161	-0.225273	0.669197	0.225218	0.671345	-0.228421	0.668217	0.225517	0.671158	0.668452	0.224183	0.6715	-0.228037	0.66916	0.222769	0.671012	-0.228782	0.672857	0.222921	0.667994	-0.226611	0.318059	0.635127	0.633186	0.307453
0.09	0.315764	0.630204	0.634813	0.316464	0.314829	0.630806	0.634772	0.316276	0.314847	0.632164	0.634844	0.31339	0.315827	0.632065	0.632684	0.316951	0.313995	0.632852	0.6347	0.313149	0.312878	0.633138	0.635103	0.312871	0.316379	0.632481	0.632918	0.315099	0.314838	0.632484	0.634872	0.312695	-0.228243	0.667703	0.230108	0.670171	-0.225159	0.669182	0.225284	0.671376	-0.228629	0.668175	0.225546	0.671118	0.668502	0.224184	0.67145	-0.228039	0.669219	0.222822	0.670932	-0.228792	0.672876	0.223357	0.667807	-0.226681	0.318092	0.635107	0.633199	0.307434
