Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-0.04730,0.00000,0.15447,0.00000,-0.03307,0.00000,0.01216,0.00000,0.36790,0.00000,-0.04160
0.01000,0.01000,-0.04504,0.01000,0.15083,0.01000,-0.03105,0.01000,0.01411,0.01000,0.36735,0.01000,-0.04167
0.02000,0.02000,-0.04257,0.02000,0.14724,0.02000,-0.02906,0.02000,0.01604,0.02000,0.36837,0.02000,-0.04161
0.03000,0.03000,-0.03998,0.03000,0.14387,0.03000,-0.02722,0.03000,0.01783,0.03000,0.37120,0.03000,-0.04141
0.04001,0.04000,-0.03735,0.04000,0.14088,0.04000,-0.02561,0.04000,0.01940,0.04000,0.37593,0.04000,-0.04107
0.05001,0.05000,-0.03480,0.05000,0.13835,0.05000,-0.02430,0.05000,0.02070,0.05000,0.38244,0.05000,-0.04058
0.06001,0.06000,-0.03241,0.06000,0.13631,0.06000,-0.02330,0.06000,0.02172,0.06000,0.39039,0.06000,-0.03994
0.07001,0.07000,-0.03026,0.07000,0.13472,0.07000,-0.02257,0.07000,0.02248,0.07000,0.39929,0.07000,-0.03909
0.08001,0.08000,-0.02841,0.08000,0.13350,0.08000,-0.02204,0.08000,0.02304,0.08000,0.40848,0.08000,-0.03798
0.09001,0.09000,-0.02687,0.09000,0.13252,0.09000,-0.02158,0.09000,0.02350,0.09000,0.41729,0.09000,-0.03647
0.10001,0.10000,-0.02567,0.10000,0.13166,0.10000,-0.02105,0.10000,0.02394,0.10000,0.42510,0.10000,-0.03445
0.11002,0.11000,-0.02481,0.11000,0.13081,0.11000,-0.02031,0.11000,0.02445,0.11000,0.43139,0.11000,-0.03179
0.12002,0.12000,-0.02426,0.12000,0.12992,0.12000,-0.01924,0.12000,0.02511,0.12000,0.43588,0.12000,-0.02840
0.13002,0.13000,-0.02402,0.13000,0.12894,0.13000,-0.01774,0.13000,0.02595,0.13000,0.43848,0.13000,-0.02428
0.14002,0.14000,-0.02407,0.14000,0.12791,0.14000,-0.01578,0.14000,0.02697,0.14000,0.43936,0.14000,-0.01950
0.15002,0.15000,-0.02443,0.15000,0.12690,0.15000,-0.01340,0.15000,0.02813,0.15000,0.43890,0.15000,-0.01425
0.16002,0.16000,-0.02510,0.16000,0.12600,0.16000,-0.01068,0.16000,0.02939,0.16000,0.43760,0.16000,-0.00876
0.17002,0.17000,-0.02608,0.17000,0.12533,0.17000,-0.00778,0.17000,0.03070,0.17000,0.43604,0.17000,-0.00337
0.18003,0.18000,-0.02736,0.18000,0.12500,0.18000,-0.00487,0.18000,0.03199,0.18000,0.43477,0.18000,0.00160
0.19003,0.19000,-0.02893,0.19000,0.12512,0.19000,-0.00213,0.19000,0.03321,0.19000,0.43423,0.19000,0.00578
0.20003,0.20000,-0.03075,0.20000,0.12575,0.20000,0.00028,0.20000,0.03431,0.20000,0.43469,0.20000,0.00887
0.21003,0.21000,-0.03276,0.21000,0.12692,0.21000,0.00221,0.21000,0.03527,0.21000,0.43624,0.21000,0.01059
0.22003,0.22000,-0.03489,0.22000,0.12861,0.22000,0.00360,0.22000,0.03605,0.22000,0.43881,0.22000,0.01076
0.23003,0.23000,-0.03703,0.23000,0.13078,0.23000,0.00442,0.23000,0.03661,0.23000,0.44215,0.23000,0.00929
0.24003,0.24000,-0.03911,0.24000,0.13331,0.24000,0.00469,0.24000,0.03694,0.24000,0.44597,0.24000,0.00620
0.25004,0.25000,-0.04102,0.25000,0.13609,0.25000,0.00448,0.25000,0.03701,0.25000,0.44994,0.25000,0.00160
0.26004,0.26000,-0.04269,0.26000,0.13898,0.26000,0.00385,0.26000,0.03682,0.26000,0.45376,0.26000,-0.00431
0.27004,0.27000,-0.04404,0.27000,0.14188,0.27000,0.00289,0.27000,0.03636,0.27000,0.45720,0.27000,-0.01125
0.28004,0.28000,-0.04505,0.28000,0.14469,0.28000,0.00167,0.28000,0.03565,0.28000,0.46013,0.28000,-0.01893
0.29004,0.29000,-0.04571,0.29000,0.14737,0.29000,0.00024,0.29000,0.03471,0.29000,0.46252,0.29000,-0.02702
0.30004,0.30000,-0.04603,0.30000,0.14992,0.30000,-0.00135,0.30000,0.03361,0.30000,0.46441,0.30000,-0.03522
0.31004,0.31000,-0.04607,0.31000,0.15235,0.31000,-0.00309,0.31000,0.03239,0.31000,0.46587,0.31000,-0.04324
0.32005,0.32000,-0.04590,0.32000,0.15473,0.32000,-0.00494,0.32000,0.03113,0.32000,0.46702,0.32000,-0.05083
0.33005,0.33000,-0.04558,0.33000,0.15709,0.33000,-0.00688,0.33000,0.02992,0.33000,0.46797,0.33000,-0.05776
0.34005,0.34000,-0.04520,0.34000,0.15946,0.34000,-0.00887,0.34000,0.02883,0.34000,0.46879,0.34000,-0.06384
0.35005,0.35000,-0.04480,0.35000,0.16183,0.35000,-0.01086,0.35000,0.02794,0.35000,0.46954,0.35000,-0.06889
0.36005,0.36000,-0.04442,0.36000,0.16415,0.36000,-0.01277,0.36000,0.02732,0.36000,0.47023,0.36000,-0.07275
0.37005,0.37000,-0.04411,0.37000,0.16635,0.37000,-0.01450,0.37000,0.02702,0.37000,0.47084,0.37000,-0.07529
0.38005,0.38000,-0.04385,0.38000,0.16829,0.38000,-0.01595,0.38000,0.02705,0.38000,0.47132,0.38000,-0.07640
0.39006,0.39000,-0.04365,0.39000,0.16984,0.39000,-0.01702,0.39000,0.02738,0.39000,0.47160,0.39000,-0.07602
0.40006,0.40000,-0.04349,0.40000,0.17086,0.40000,-0.01760,0.40000,0.02796,0.40000,0.47164,0.40000,-0.07410
0.41006,0.41000,-0.04336,0.41000,0.17119,0.41000,-0.01763,0.41000,0.02869,0.41000,0.47138,0.41000,-0.07066
0.42006,0.42000,-0.04324,0.42000,0.17072,0.42000,-0.01707,0.42000,0.02947,0.42000,0.47086,0.42000,-0.06573
0.43006,0.43000,-0.04312,0.43000,0.16934,0.43000,-0.01594,0.43000,0.03021,0.43000,0.47012,0.43000,-0.05937
0.44006,0.44000,-0.04301,0.44000,0.16700,0.44000,-0.01427,0.44000,0.03084,0.44000,0.46930,0.44000,-0.05166
0.45006,0.45000,-0.04288,0.45000,0.16370,0.45000,-0.01216,0.45000,0.03132,0.45000,0.46859,0.45000,-0.04272
0.46007,0.46000,-0.04276,0.46000,0.15954,0.46000,-0.00970,0.46000,0.03165,0.46000,0.46820,0.46000,-0.03267
0.47007,0.47000,-0.04264,0.47000,0.15469,0.47000,-0.00705,0.47000,0.03185,0.47000,0.46835,0.47000,-0.02168
0.48007,0.48000,-0.04254,0.48000,0.14944,0.48000,-0.00432,0.48000,0.03197,0.48000,0.46923,0.48000,-0.00996
0.49007,0.49000,-0.04247,0.49000,0.14411,0.49000,-0.00167,0.49000,0.03208,0.49000,0.47097,0.49000,0.00220
0.50007,0.50000,-0.04245,0.50000,0.13909,0.50000,0.00081,0.50000,0.03224,0.50000,0.47357,0.50000,0.01448
0.51007,0.51000,-0.04250,0.51000,0.13475,0.51000,0.00300,0.51000,0.03250,0.51000,0.47694,0.51000,0.02648
0.52007,0.52000,-0.04262,0.52000,0.13142,0.52000,0.00482,0.52000,0.03292,0.52000,0.48084,0.52000,0.03776
0.53008,0.53000,-0.04283,0.53000,0.12936,0.53000,0.00621,0.53000,0.03353,0.53000,0.48500,0.53000,0.04787
0.54008,0.54000,-0.04313,0.54000,0.12870,0.54000,0.00712,0.54000,0.03439,0.54000,0.48907,0.54000,0.05636
0.55008,0.55000,-0.04353,0.55000,0.12946,0.55000,0.00752,0.55000,0.03551,0.55000,0.49278,0.55000,0.06283
0.56008,0.56000,-0.04404,0.56000,0.13154,0.56000,0.00740,0.56000,0.03692,0.56000,0.49588,0.56000,0.06696
0.57008,0.57000,-0.04468,0.57000,0.13473,0.57000,0.00676,0.57000,0.03861,0.57000,0.49826,0.57000,0.06856
0.58008,0.58000,-0.04547,0.58000,0.13876,0.58000,0.00563,0.58000,0.04056,0.58000,0.49987,0.58000,0.06755
0.59008,0.59000,-0.04644,0.59000,0.14327,0.59000,0.00405,0.59000,0.04270,0.59000,0.50076,0.59000,0.06400
0.60009,0.60000,-0.04762,0.60000,0.14790,0.60000,0.00211,0.60000,0.04497,0.60000,0.50106,0.60000,0.05814
0.61009,0.61000,-0.04902,0.61000,0.15230,0.61000,-0.00012,0.61000,0.04725,0.61000,0.50089,0.61000,0.05034
0.62009,0.62000,-0.05067,0.62000,0.15617,0.62000,-0.00250,0.62000,0.04945,0.62000,0.50040,0.62000,0.04111
0.63009,0.63000,-0.05254,0.63000,0.15928,0.63000,-0.00492,0.63000,0.05146,0.63000,0.49971,0.63000,0.03104
0.64009,0.64000,-0.05460,0.64000,0.16147,0.64000,-0.00722,0.64000,0.05317,0.64000,0.49893,0.64000,0.02078
0.65009,0.65000,-0.05680,0.65000,0.16272,0.65000,-0.00927,0.65000,0.05452,0.65000,0.49815,0.65000,0.01095
0.66009,0.66000,-0.05905,0.66000,0.16305,0.66000,-0.01092,0.66000,0.05547,0.66000,0.49742,0.66000,0.00213
0.67010,0.67000,-0.06125,0.67000,0.16257,0.67000,-0.01207,0.67000,0.05598,0.67000,0.49677,0.67000,-0.00524
0.68010,0.68000,-0.06329,0.68000,0.16139,0.68000,-0.01262,0.68000,0.05607,0.68000,0.49621,0.68000,-0.01082
0.69010,0.69000,-0.06507,0.69000,0.15967,0.69000,-0.01251,0.69000,0.05577,0.69000,0.49575,0.69000,-0.01448
0.70010,0.70000,-0.06651,0.70000,0.15752,0.70000,-0.01171,0.70000,0.05513,0.70000,0.49535,0.70000,-0.01619
0.71010,0.71000,-0.06752,0.71000,0.15503,0.71000,-0.01023,0.71000,0.05420,0.71000,0.49499,0.71000,-0.01608
0.72010,0.72000,-0.06809,0.72000,0.15225,0.72000,-0.00810,0.72000,0.05307,0.72000,0.49461,0.72000,-0.01434
0.73010,0.73000,-0.06820,0.73000,0.14923,0.73000,-0.00540,0.73000,0.05180,0.73000,0.49419,0.73000,-0.01125
0.74011,0.74000,-0.06787,0.74000,0.14596,0.74000,-0.00223,0.74000,0.05049,0.74000,0.49369,0.74000,-0.00710
0.75011,0.75000,-0.06713,0.75000,0.14247,0.75000,0.00126,0.75000,0.04921,0.75000,0.49309,0.75000,-0.00222
0.76011,0.76000,-0.06603,0.76000,0.13880,0.76000,0.00493,0.76000,0.04804,0.76000,0.49242,0.76000,0.00308
0.77011,0.77000,-0.06461,0.77000,0.13502,0.77000,0.00859,0.77000,0.04704,0.77000,0.49169,0.77000,0.00848
0.78011,0.78000,-0.06290,0.78000,0.13126,0.78000,0.01207,0.78000,0.04626,0.78000,0.49098,0.78000,0.01365
0.79011,0.79000,-0.06094,0.79000,0.12767,0.79000,0.01519,0.79000,0.04573,0.79000,0.49038,0.79000,0.01830
0.80011,0.80000,-0.05876,0.80000,0.12441,0.80000,0.01779,0.80000,0.04543,0.80000,0.49001,0.80000,0.02213
0.81012,0.81000,-0.05640,0.81000,0.12165,0.81000,0.01973,0.81000,0.04534,0.81000,0.49000,0.81000,0.02488
0.82012,0.82000,-0.05388,0.82000,0.11954,0.82000,0.02092,0.82000,0.04542,0.82000,0.49047,0.82000,0.02631
0.83012,0.83000,-0.05125,0.83000,0.11819,0.83000,0.02127,0.83000,0.04562,0.83000,0.49152,0.83000,0.02626
0.84012,0.84000,-0.04856,0.84000,0.11763,0.84000,0.02078,0.84000,0.04589,0.84000,0.49316,0.84000,0.02459
0.85012,0.85000,-0.04588,0.85000,0.11782,0.85000,0.01946,0.85000,0.04617,0.85000,0.49533,0.85000,0.02126
0.86012,0.86000,-0.04330,0.86000,0.11863,0.86000,0.01737,0.86000,0.04644,0.86000,0.49790,0.86000,0.01629
0.87012,0.87000,-0.04094,0.87000,0.11987,0.87000,0.01464,0.87000,0.04670,0.87000,0.50064,0.87000,0.00978
0.88013,0.88000,-0.03894,0.88000,0.12128,0.88000,0.01141,0.88000,0.04697,0.88000,0.50329,0.88000,0.00193
0.89013,0.89000,-0.03744,0.89000,0.12257,0.89000,0.00787,0.89000,0.04728,0.89000,0.50557,0.89000,-0.00703
0.90013,0.90000,-0.03659,0.90000,0.12346,0.90000,0.00425,0.90000,0.04769,0.90000,0.50723,0.90000,-0.01676
0.91013,0.91000,-0.03647,0.91000,0.12371,0.91000,0.00075,0.91000,0.04824,0.91000,0.50806,0.91000,-0.02693
0.92013,0.92000,-0.03712,0.92000,0.12318,0.92000,-0.00242,0.92000,0.04897,0.92000,0.50791,0.92000,-0.03717
0.93013,0.93000,-0.03851,0.93000,0.12183,0.93000,-0.00508,0.93000,0.04987,0.93000,0.50674,0.93000,-0.04715
0.94013,0.94000,-0.04053,0.94000,0.11975,0.94000,-0.00712,0.94000,0.05091,0.94000,0.50455,0.94000,-0.05655
0.95014,0.95000,-0.04301,0.95000,0.11715,0.95000,-0.00847,0.95000,0.05202,0.95000,0.50145,0.95000,-0.06514
0.96014,0.96000,-0.04573,0.96000,0.11431,0.96000,-0.00911,0.96000,0.05311,0.96000,0.49758,0.96000,-0.07273
0.97014,0.97000,-0.04848,0.97000,0.11155,0.97000,-0.00909,0.97000,0.05405,0.97000,0.49312,0.97000,-0.07920
0.98014,0.98000,-0.05103,0.98000,0.10922,0.98000,-0.00848,0.98000,0.05473,0.98000,0.48827,0.98000,-0.08452
0.99014,0.99000,-0.05322,0.99000,0.10757,0.99000,-0.00742,0.99000,0.05502,0.99000,0.48323,0.99000,-0.08874
1.00014,1.00000,-0.05490,1.00000,0.10679,1.00000,-0.00603,1.00000,0.05484,1.00000,0.47819,1.00000,-0.09197
1.01014,1.01000,-0.05602,1.01000,0.10693,1.01000,-0.00445,1.01000,0.05412,1.01000,0.47332,1.01000,-0.09436
1.02015,1.02000,-0.05657,1.02000,0.10794,1.02000,-0.00281,1.02000,0.05283,1.02000,0.46874,1.02000,-0.09609
1.03015,1.03000,-0.05663,1.03000,0.10962,1.03000,-0.00122,1.03000,0.05096,1.03000,0.46456,1.03000,-0.09736
