Tiempo;Evento
3.19;Posición inicial
5.55;< Contacto inicial derecho
5.63;> Despegue izquierdo
6.07;< Contacto inicial izquierdo
6.19;> Despegue derecho
6.61;< Contacto inicial derecho
6.68;> Despegue izquierdo
7.07;< Contacto inicial izquierdo
7.2;> Despegue derecho
7.59;< Contacto inicial derecho
7.67;> Despegue izquierdo
8.05;< Contacto inicial izquierdo
8.18;> Despegue derecho
8.58;< Contacto inicial derecho
8.66;> Despegue izquierdo
9.05;< Contacto inicial izquierdo
9.18;> Despegue derecho
9.57;< Contacto inicial derecho
9.65;> Despegue izquierdo
10.04;< Contacto inicial izquierdo
10.17;> Despegue derecho
10.56;< Contacto inicial derecho
10.64;> Despegue izquierdo
11.03;< Contacto inicial izquierdo
11.16;> Despegue derecho
11.54;< Contacto inicial derecho
11.62;> Despegue izquierdo
12;< Contacto inicial izquierdo
12.13;> Despegue derecho
12.52;< Contacto inicial derecho
12.61;> Despegue izquierdo
13;< Contacto inicial izquierdo
13.14;> Despegue derecho
13.55;< Contacto inicial derecho
13.64;> Despegue izquierdo
14.03;< Contacto inicial izquierdo
14.16;> Despegue derecho
14.56;< Contacto inicial derecho
14.65;> Despegue izquierdo
15.03;< Contacto inicial izquierdo
15.16;> Despegue derecho
15.54;< Contacto inicial derecho
15.63;> Despegue izquierdo
16;< Contacto inicial izquierdo
16.14;> Despegue derecho
16.56;< Contacto inicial derecho
16.68;> Despegue izquierdo
18.4;< Contacto inicial derecho
18.5;> Despegue izquierdo
18.93;< Contacto inicial izquierdo
19.07;> Despegue derecho
19.51;< Contacto inicial derecho
19.6;> Despegue izquierdo
20;< Contacto inicial izquierdo
20.13;> Despegue derecho
20.58;< Contacto inicial derecho
20.66;> Despegue izquierdo
21.04;< Contacto inicial izquierdo
21.17;> Despegue derecho
21.6;< Contacto inicial derecho
21.68;> Despegue izquierdo
22.06;< Contacto inicial izquierdo
22.19;> Despegue derecho
22.61;< Contacto inicial derecho
22.69;> Despegue izquierdo
23.07;< Contacto inicial izquierdo
23.2;> Despegue derecho
23.61;< Contacto inicial derecho
23.69;> Despegue izquierdo
24.08;< Contacto inicial izquierdo
24.21;> Despegue derecho
24.64;< Contacto inicial derecho
24.72;> Despegue izquierdo
25.09;< Contacto inicial izquierdo
25.22;> Despegue derecho
25.66;< Contacto inicial derecho
25.74;> Despegue izquierdo
26.11;< Contacto inicial izquierdo
26.24;> Despegue derecho
26.67;< Contacto inicial derecho
26.75;> Despegue izquierdo
27.13;< Contacto inicial izquierdo
27.26;> Despegue derecho
27.68;< Contacto inicial derecho
27.76;> Despegue izquierdo
28.15;< Contacto inicial izquierdo
28.28;> Despegue derecho
28.71;< Contacto inicial derecho
28.79;> Despegue izquierdo
29.17;< Contacto inicial izquierdo
29.31;> Despegue derecho
29.76;< Contacto inicial derecho
29.85;> Despegue izquierdo
30.25;< Contacto inicial izquierdo
30.41;> Despegue derecho
31.06;< Contacto inicial derecho
31.16;> Despegue izquierdo
31.61;< Contacto inicial izquierdo
31.72;> Despegue derecho
32.28;< Contacto inicial derecho
32.38;> Despegue izquierdo
32.77;< Contacto inicial izquierdo
32.9;> Despegue derecho
33.35;< Contacto inicial derecho
33.44;> Despegue izquierdo
33.66;< Contacto inicial izquierdo
33.86;> Despegue derecho
34.35;< Contacto inicial derecho
34.44;> Despegue izquierdo
34.8;< Contacto inicial izquierdo
34.94;> Despegue derecho
35.36;< Contacto inicial derecho
35.45;> Despegue izquierdo
35.82;< Contacto inicial izquierdo
35.95;> Despegue derecho
36.37;< Contacto inicial derecho
36.46;> Despegue izquierdo
36.83;< Contacto inicial izquierdo
36.96;> Despegue derecho
37.37;< Contacto inicial derecho
37.47;> Despegue izquierdo
37.68;< Contacto inicial izquierdo
37.89;> Despegue derecho
38.39;< Contacto inicial derecho
38.49;> Despegue izquierdo
38.85;< Contacto inicial izquierdo
39;> Despegue derecho
39.42;< Contacto inicial derecho
39.52;> Despegue izquierdo
39.89;< Contacto inicial izquierdo
40.03;> Despegue derecho
40.45;< Contacto inicial derecho
40.54;> Despegue izquierdo
40.92;< Contacto inicial izquierdo
41.05;> Despegue derecho
41.47;< Contacto inicial derecho
41.56;> Despegue izquierdo
41.79;< Contacto inicial izquierdo
41.99;> Despegue derecho
42.48;< Contacto inicial derecho
42.57;> Despegue izquierdo
42.8;< Contacto inicial izquierdo
43.02;> Despegue derecho
43.54;< Contacto inicial derecho
43.66;> Despegue izquierdo
45.44;< Contacto inicial derecho
45.54;> Despegue izquierdo
45.97;< Contacto inicial izquierdo
46.11;> Despegue derecho
46.57;< Contacto inicial derecho
46.66;> Despegue izquierdo
46.87;< Contacto inicial izquierdo
47.08;> Despegue derecho
47.6;< Contacto inicial derecho
47.69;> Despegue izquierdo
48.06;< Contacto inicial izquierdo
48.2;> Despegue derecho
48.64;< Contacto inicial derecho
48.73;> Despegue izquierdo
49.1;< Contacto inicial izquierdo
49.23;> Despegue derecho
