Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.10684,0.00000,0.06676
0.01000,0.01000,0.10563,0.01000,0.06319
0.02000,0.02000,0.10381,0.02000,0.05936
0.03000,0.03000,0.10131,0.03000,0.05544
0.04001,0.04000,0.09808,0.04000,0.05158
0.05001,0.05000,0.09414,0.05000,0.04795
0.06001,0.06000,0.08953,0.06000,0.04468
0.07001,0.07000,0.08435,0.07000,0.04183
0.08001,0.08000,0.07876,0.08000,0.03943
0.09001,0.09000,0.07294,0.09000,0.03745
0.10001,0.10000,0.06711,0.10000,0.03582
0.11001,0.11000,0.06152,0.11000,0.03448
0.12002,0.12000,0.05640,0.12000,0.03336
0.13002,0.13000,0.05198,0.13000,0.03240
0.14002,0.14000,0.04846,0.14000,0.03159
0.15002,0.15000,0.04595,0.15000,0.03096
0.16002,0.16000,0.04452,0.16000,0.03052
0.17002,0.17000,0.04412,0.17000,0.03034
0.18002,0.18000,0.04464,0.18000,0.03046
0.19002,0.19000,0.04589,0.19000,0.03093
0.20003,0.20000,0.04763,0.20000,0.03177
0.21003,0.21000,0.04958,0.21000,0.03300
0.22003,0.22000,0.05149,0.22000,0.03459
0.23003,0.23000,0.05310,0.23000,0.03653
0.24003,0.24000,0.05421,0.24000,0.03878
0.25003,0.25000,0.05468,0.25000,0.04129
0.26003,0.26000,0.05443,0.26000,0.04403
0.27003,0.27000,0.05341,0.27000,0.04699
0.28004,0.28000,0.05165,0.28000,0.05015
0.29004,0.29000,0.04920,0.29000,0.05352
0.30004,0.30000,0.04611,0.30000,0.05710
0.31004,0.31000,0.04250,0.31000,0.06089
0.32004,0.32000,0.03843,0.32000,0.06488
0.33004,0.33000,0.03400,0.33000,0.06902
0.34004,0.34000,0.02931,0.34000,0.07325
0.35005,0.35000,0.02447,0.35000,0.07748
0.36005,0.36000,0.01959,0.36000,0.08160
0.37005,0.37000,0.01480,0.37000,0.08548
0.38005,0.38000,0.01026,0.38000,0.08900
0.39005,0.39000,0.00614,0.39000,0.09202
0.40005,0.40000,0.00260,0.40000,0.09439
0.41005,0.41000,-0.00020,0.41000,0.09602
0.42005,0.42000,-0.00213,0.42000,0.09681
0.43006,0.43000,-0.00307,0.43000,0.09672
0.44006,0.44000,-0.00299,0.44000,0.09573
0.45006,0.45000,-0.00187,0.45000,0.09386
0.46006,0.46000,0.00022,0.46000,0.09117
0.47006,0.47000,0.00321,0.47000,0.08775
0.48006,0.48000,0.00698,0.48000,0.08367
0.49006,0.49000,0.01137,0.49000,0.07904
0.50006,0.50000,0.01626,0.50000,0.07395
0.51007,0.51000,0.02150,0.51000,0.06846
0.52007,0.52000,0.02696,0.52000,0.06265
0.53007,0.53000,0.03253,0.53000,0.05658
0.54007,0.54000,0.03807,0.54000,0.05029
0.55007,0.55000,0.04347,0.55000,0.04387
0.56007,0.56000,0.04860,0.56000,0.03739
0.57007,0.57000,0.05334,0.57000,0.03096
0.58007,0.58000,0.05757,0.58000,0.02470
0.59008,0.59000,0.06121,0.59000,0.01876
0.60008,0.60000,0.06419,0.60000,0.01332
0.61008,0.61000,0.06647,0.61000,0.00852
0.62008,0.62000,0.06806,0.62000,0.00450
0.63008,0.63000,0.06898,0.63000,0.00135
0.64008,0.64000,0.06928,0.64000,-0.00092
0.65008,0.65000,0.06906,0.65000,-0.00237
0.66008,0.66000,0.06842,0.66000,-0.00314
0.67009,0.67000,0.06748,0.67000,-0.00342
0.68009,0.68000,0.06640,0.68000,-0.00341
0.69009,0.69000,0.06532,0.69000,-0.00331
0.70009,0.70000,0.06440,0.70000,-0.00329
0.71009,0.71000,0.06379,0.71000,-0.00347
0.72009,0.72000,0.06358,0.72000,-0.00389
0.73009,0.73000,0.06385,0.73000,-0.00456
0.74009,0.74000,0.06461,0.74000,-0.00543
0.75010,0.75000,0.06581,0.75000,-0.00641
0.76010,0.76000,0.06737,0.76000,-0.00740
0.77010,0.77000,0.06915,0.77000,-0.00830
0.78010,0.78000,0.07099,0.78000,-0.00902
0.79010,0.79000,0.07275,0.79000,-0.00947
0.80010,0.80000,0.07430,0.80000,-0.00961
0.81010,0.81000,0.07554,0.81000,-0.00940
0.82010,0.82000,0.07644,0.82000,-0.00883
0.83011,0.83000,0.07700,0.83000,-0.00788
0.84011,0.84000,0.07724,0.84000,-0.00657
0.85011,0.85000,0.07723,0.85000,-0.00489
0.86011,0.86000,0.07704,0.86000,-0.00289
0.87011,0.87000,0.07675,0.87000,-0.00057
0.88011,0.88000,0.07643,0.88000,0.00202
0.89011,0.89000,0.07612,0.89000,0.00481
0.90012,0.90000,0.07585,0.90000,0.00776
0.91012,0.91000,0.07564,0.91000,0.01078
0.92012,0.92000,0.07547,0.92000,0.01382
0.93012,0.93000,0.07536,0.93000,0.01682
0.94012,0.94000,0.07528,0.94000,0.01977
0.95012,0.95000,0.07526,0.95000,0.02265
0.96012,0.96000,0.07529,0.96000,0.02549
0.97012,0.97000,0.07539,0.97000,0.02830
0.98013,0.98000,0.07558,0.98000,0.03113
0.99013,0.99000,0.07587,0.99000,0.03402
1.00013,1.00000,0.07625,1.00000,0.03697
1.01013,1.01000,0.07674,1.01000,0.03998
1.02013,1.02000,0.07734,1.02000,0.04299
1.03013,1.03000,0.07808,1.03000,0.04594
1.04013,1.04000,0.07897,1.04000,0.04869
1.05013,1.05000,0.08003,1.05000,0.05111
1.06014,1.06000,0.08129,1.06000,0.05304
1.07014,1.07000,0.08276,1.07000,0.05435
1.08014,1.08000,0.08445,1.08000,0.05492
1.09014,1.09000,0.08635,1.09000,0.05469
1.10014,1.10000,0.08847,1.10000,0.05367
1.11014,1.11000,0.09077,1.11000,0.05191
1.12014,1.12000,0.09322,1.12000,0.04955
1.13014,1.13000,0.09575,1.13000,0.04678
1.14015,1.14000,0.09829,1.14000,0.04379
1.15015,1.15000,0.10076,1.15000,0.04082
1.16015,1.16000,0.10304,1.16000,0.03807
1.17015,1.17000,0.10506,1.17000,0.03573
1.18015,1.18000,0.10674,1.18000,0.03393
1.19015,1.19000,0.10802,1.19000,0.03277
1.20015,1.20000,0.10887,1.20000,0.03226
1.21015,1.21000,0.10931,1.21000,0.03234
1.22016,1.22000,0.10934,1.22000,0.03288
1.23016,1.23000,0.10900,1.23000,0.03373
1.24016,1.24000,0.10834,1.24000,0.03466
1.25016,1.25000,0.10744,1.25000,0.03549
1.26016,1.26000,0.10636,1.26000,0.03605
1.27016,1.27000,0.10522,1.27000,0.03625
1.28016,1.28000,0.10410,1.28000,0.03607
1.29016,1.29000,0.10310,1.29000,0.03555
1.30017,1.30000,0.10230,1.30000,0.03480
1.31017,1.31000,0.10173,1.31000,0.03395
1.32017,1.32000,0.10137,1.32000,0.03316
1.33017,1.33000,0.10118,1.33000,0.03257
1.34017,1.34000,0.10105,1.34000,0.03230
1.35017,1.35000,0.10085,1.35000,0.03244
1.36017,1.36000,0.10049,1.36000,0.03303
1.37017,1.37000,0.09987,1.37000,0.03409
1.38018,1.38000,0.09895,1.38000,0.03562
1.39018,1.39000,0.09770,1.39000,0.03761
1.40018,1.40000,0.09615,1.40000,0.04004
1.41018,1.41000,0.09437,1.41000,0.04286
1.42018,1.42000,0.09241,1.42000,0.04606
1.43018,1.43000,0.09035,1.43000,0.04959
1.44018,1.44000,0.08823,1.44000,0.05338
1.45019,1.45000,0.08609,1.45000,0.05735
1.46019,1.46000,0.08396,1.46000,0.06137
1.47019,1.47000,0.08184,1.47000,0.06530
1.48019,1.48000,0.07973,1.48000,0.06899
1.49019,1.49000,0.07764,1.49000,0.07228
