Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.01940,0.00000,-0.07353,0.00000,0.04311
0.01000,0.01000,-0.01891,0.01000,-0.07046,0.01000,0.04263
0.02000,0.02000,-0.01888,0.02000,-0.06693,0.02000,0.04197
0.03000,0.03000,-0.01946,0.03000,-0.06298,0.03000,0.04115
0.04001,0.04000,-0.02075,0.04000,-0.05871,0.04000,0.04017
0.05001,0.05000,-0.02284,0.05000,-0.05420,0.05000,0.03907
0.06001,0.06000,-0.02575,0.06000,-0.04956,0.06000,0.03791
0.07001,0.07000,-0.02946,0.07000,-0.04486,0.07000,0.03672
0.08001,0.08000,-0.03390,0.08000,-0.04016,0.08000,0.03559
0.09001,0.09000,-0.03895,0.09000,-0.03553,0.09000,0.03457
0.10001,0.10000,-0.04446,0.10000,-0.03099,0.10000,0.03371
0.11001,0.11000,-0.05028,0.11000,-0.02658,0.11000,0.03305
0.12002,0.12000,-0.05624,0.12000,-0.02232,0.12000,0.03261
0.13002,0.13000,-0.06219,0.13000,-0.01823,0.13000,0.03240
0.14002,0.14000,-0.06798,0.14000,-0.01434,0.14000,0.03240
0.15002,0.15000,-0.07350,0.15000,-0.01069,0.15000,0.03258
0.16002,0.16000,-0.07867,0.16000,-0.00731,0.16000,0.03289
0.17002,0.17000,-0.08341,0.17000,-0.00423,0.17000,0.03327
0.18002,0.18000,-0.08768,0.18000,-0.00149,0.18000,0.03366
0.19002,0.19000,-0.09144,0.19000,0.00089,0.19000,0.03398
0.20003,0.20000,-0.09465,0.20000,0.00290,0.20000,0.03416
0.21003,0.21000,-0.09727,0.21000,0.00456,0.21000,0.03413
0.22003,0.22000,-0.09926,0.22000,0.00589,0.22000,0.03386
0.23003,0.23000,-0.10061,0.23000,0.00694,0.23000,0.03329
0.24003,0.24000,-0.10136,0.24000,0.00777,0.24000,0.03243
0.25003,0.25000,-0.10158,0.25000,0.00842,0.25000,0.03128
0.26003,0.26000,-0.10141,0.26000,0.00895,0.26000,0.02989
0.27003,0.27000,-0.10102,0.27000,0.00940,0.27000,0.02832
0.28004,0.28000,-0.10061,0.28000,0.00981,0.28000,0.02665
0.29004,0.29000,-0.10033,0.29000,0.01023,0.29000,0.02497
0.30004,0.30000,-0.10032,0.30000,0.01069,0.30000,0.02339
0.31004,0.31000,-0.10062,0.31000,0.01122,0.31000,0.02198
0.32004,0.32000,-0.10124,0.32000,0.01189,0.32000,0.02084
0.33004,0.33000,-0.10207,0.33000,0.01274,0.33000,0.02002
0.34004,0.34000,-0.10299,0.34000,0.01384,0.34000,0.01956
0.35005,0.35000,-0.10384,0.35000,0.01524,0.35000,0.01949
0.36005,0.36000,-0.10449,0.36000,0.01703,0.36000,0.01979
