Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.13232,0.00000,-0.26984,0.00000,0.12278,0.00000,-0.05767,0.00000,-0.13116,0.00000,-0.27000
0.01001,0.01000,-0.13373,0.01000,-0.26864,0.01000,0.12110,0.01000,-0.05505,0.01000,-0.13258,0.01000,-0.26880
0.02001,0.02000,-0.13577,0.02000,-0.26744,0.02000,0.11914,0.02000,-0.05171,0.02000,-0.13465,0.02000,-0.26759
0.03002,0.03000,-0.13849,0.03000,-0.26631,0.03000,0.11696,0.03000,-0.04767,0.03000,-0.13739,0.03000,-0.26645
0.04003,0.04000,-0.14184,0.04000,-0.26534,0.04000,0.11463,0.04000,-0.04297,0.04000,-0.14078,0.04000,-0.26546
0.05003,0.05000,-0.14575,0.05000,-0.26458,0.05000,0.11226,0.05000,-0.03769,0.05000,-0.14471,0.05000,-0.26469
0.06004,0.06000,-0.15006,0.06000,-0.26411,0.06000,0.10997,0.06000,-0.03195,0.06000,-0.14905,0.06000,-0.26420
0.07005,0.07000,-0.15458,0.07000,-0.26395,0.07000,0.10787,0.07000,-0.02592,0.07000,-0.15360,0.07000,-0.26403
0.08005,0.08000,-0.15908,0.08000,-0.26411,0.08000,0.10613,0.08000,-0.01976,0.08000,-0.15813,0.08000,-0.26417
0.09006,0.09000,-0.16333,0.09000,-0.26456,0.09000,0.10488,0.09000,-0.01367,0.09000,-0.16239,0.09000,-0.26459
0.10007,0.10000,-0.16708,0.10000,-0.26524,0.10000,0.10428,0.10000,-0.00784,0.10000,-0.16616,0.10000,-0.26526
0.11007,0.11000,-0.17011,0.11000,-0.26610,0.11000,0.10443,0.11000,-0.00244,0.11000,-0.16920,0.11000,-0.26610
0.12008,0.12000,-0.17223,0.12000,-0.26704,0.12000,0.10545,0.12000,0.00238,0.12000,-0.17132,0.12000,-0.26702
0.13009,0.13000,-0.17329,0.13000,-0.26800,0.13000,0.10736,0.13000,0.00652,0.13000,-0.17237,0.13000,-0.26797
0.14009,0.14000,-0.17318,0.14000,-0.26893,0.14000,0.11019,0.14000,0.00991,0.14000,-0.17223,0.14000,-0.26889
0.15010,0.15000,-0.17186,0.15000,-0.26981,0.15000,0.11385,0.15000,0.01256,0.15000,-0.17089,0.15000,-0.26976
0.16011,0.16000,-0.16938,0.16000,-0.27066,0.16000,0.11823,0.16000,0.01454,0.16000,-0.16837,0.16000,-0.27061
0.17012,0.17000,-0.16586,0.17000,-0.27155,0.17000,0.12316,0.17000,0.01599,0.17000,-0.16481,0.17000,-0.27149
0.18012,0.18000,-0.16150,0.18000,-0.27256,0.18000,0.12843,0.18000,0.01709,0.18000,-0.16041,0.18000,-0.27250
0.19013,0.19000,-0.15661,0.19000,-0.27381,0.19000,0.13378,0.19000,0.01809,0.19000,-0.15547,0.19000,-0.27375
0.20014,0.20000,-0.15150,0.20000,-0.27539,0.20000,0.13898,0.20000,0.01923,0.20000,-0.15033,0.20000,-0.27533
0.21014,0.21000,-0.14654,0.21000,-0.27739,0.21000,0.14380,0.21000,0.02073,0.21000,-0.14534,0.21000,-0.27733
0.22015,0.22000,-0.14208,0.22000,-0.27985,0.22000,0.14807,0.22000,0.02277,0.22000,-0.14085,0.22000,-0.27979
0.23016,0.23000,-0.13842,0.23000,-0.28282,0.23000,0.15166,0.23000,0.02543,0.23000,-0.13717,0.23000,-0.28275
0.24016,0.24000,-0.13579,0.24000,-0.28626,0.24000,0.15454,0.24000,0.02871,0.24000,-0.13453,0.24000,-0.28620
0.25017,0.25000,-0.13434,0.25000,-0.29017,0.25000,0.15672,0.25000,0.03253,0.25000,-0.13308,0.25000,-0.29009
0.26018,0.26000,-0.13412,0.26000,-0.29449,0.26000,0.15828,0.26000,0.03675,0.26000,-0.13287,0.26000,-0.29441
0.27018,0.27000,-0.13511,0.27000,-0.29918,0.27000,0.15935,0.27000,0.04118,0.27000,-0.13388,0.27000,-0.29909
0.28019,0.28000,-0.13722,0.28000,-0.30421,0.28000,0.16008,0.28000,0.04562,0.28000,-0.13599,0.28000,-0.30411
0.29020,0.29000,-0.14026,0.29000,-0.30953,0.29000,0.16061,0.29000,0.04990,0.29000,-0.13905,0.29000,-0.30943
0.30020,0.30000,-0.14404,0.30000,-0.31513,0.30000,0.16107,0.30000,0.05387,0.30000,-0.14284,0.30000,-0.31501
0.31021,0.31000,-0.14829,0.31000,-0.32097,0.31000,0.16158,0.31000,0.05739,0.31000,-0.14710,0.31000,-0.32084
0.32022,0.32000,-0.15275,0.32000,-0.32701,0.32000,0.16221,0.32000,0.06036,0.32000,-0.15156,0.32000,-0.32687
0.33022,0.33000,-0.15714,0.33000,-0.33321,0.33000,0.16301,0.33000,0.06270,0.33000,-0.15595,0.33000,-0.33306
0.34023,0.34000,-0.16118,0.34000,-0.33950,0.34000,0.16400,0.34000,0.06433,0.34000,-0.15998,0.34000,-0.33934
0.35024,0.35000,-0.16462,0.35000,-0.34580,0.35000,0.16515,0.35000,0.06520,0.35000,-0.16340,0.35000,-0.34563
0.36024,0.36000,-0.16726,0.36000,-0.35201,0.36000,0.16644,0.36000,0.06524,0.36000,-0.16603,0.36000,-0.35184
0.37025,0.37000,-0.16897,0.37000,-0.35804,0.37000,0.16783,0.37000,0.06443,0.37000,-0.16773,0.37000,-0.35786
0.38026,0.38000,-0.16970,0.38000,-0.36380,0.38000,0.16925,0.38000,0.06276,0.38000,-0.16844,0.38000,-0.36362
0.39026,0.39000,-0.16948,0.39000,-0.36924,0.39000,0.17067,0.39000,0.06028,0.39000,-0.16820,0.39000,-0.36907
0.40027,0.40000,-0.16843,0.40000,-0.37431,0.40000,0.17204,0.40000,0.05707,0.40000,-0.16714,0.40000,-0.37414
0.41028,0.41000,-0.16675,0.41000,-0.37899,0.41000,0.17333,0.41000,0.05328,0.41000,-0.16544,0.41000,-0.37883
0.42028,0.42000,-0.16466,0.42000,-0.38326,0.42000,0.17454,0.42000,0.04906,0.42000,-0.16334,0.42000,-0.38311
0.43029,0.43000,-0.16241,0.43000,-0.38710,0.43000,0.17567,0.43000,0.04462,0.43000,-0.16109,0.43000,-0.38696
0.44030,0.44000,-0.16027,0.44000,-0.39049,0.44000,0.17674,0.44000,0.04017,0.44000,-0.15894,0.44000,-0.39036
0.45030,0.45000,-0.15844,0.45000,-0.39340,0.45000,0.17777,0.45000,0.03590,0.45000,-0.15711,0.45000,-0.39329
0.46031,0.46000,-0.15711,0.46000,-0.39581,0.46000,0.17877,0.46000,0.03200,0.46000,-0.15578,0.46000,-0.39572
0.47032,0.47000,-0.15639,0.47000,-0.39772,0.47000,0.17973,0.47000,0.02861,0.47000,-0.15507,0.47000,-0.39764
