Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.06500,0.00000,-0.14708,0.00000,-1.42536,0.00000,-0.38350,0.00000,0.53918,0.00000,-0.07682
0.01001,0.01000,0.06564,0.01000,-0.15072,0.01000,-1.42484,0.01000,-0.37928,0.01000,0.54010,0.01000,-0.07824
0.02001,0.02000,0.06676,0.02000,-0.15464,0.02000,-1.42415,0.02000,-0.37491,0.02000,0.54105,0.02000,-0.07939
0.03002,0.03000,0.06835,0.03000,-0.15866,0.03000,-1.42324,0.03000,-0.37062,0.03000,0.54198,0.03000,-0.08013
0.04003,0.04000,0.07036,0.04000,-0.16261,0.04000,-1.42207,0.04000,-0.36664,0.04000,0.54288,0.04000,-0.08032
0.05003,0.05000,0.07268,0.05000,-0.16627,0.05000,-1.42055,0.05000,-0.36319,0.05000,0.54376,0.05000,-0.07985
0.06004,0.06000,0.07513,0.06000,-0.16947,0.06000,-1.41862,0.06000,-0.36041,0.06000,0.54462,0.06000,-0.07868
0.07005,0.07000,0.07752,0.07000,-0.17210,0.07000,-1.41620,0.07000,-0.35840,0.07000,0.54553,0.07000,-0.07681
0.08005,0.08000,0.07964,0.08000,-0.17407,0.08000,-1.41325,0.08000,-0.35720,0.08000,0.54655,0.08000,-0.07431
0.09006,0.09000,0.08132,0.09000,-0.17537,0.09000,-1.40976,0.09000,-0.35675,0.09000,0.54778,0.09000,-0.07129
0.10007,0.10000,0.08243,0.10000,-0.17605,0.10000,-1.40576,0.10000,-0.35694,0.10000,0.54930,0.10000,-0.06791
0.11007,0.11000,0.08287,0.11000,-0.17619,0.11000,-1.40131,0.11000,-0.35763,0.11000,0.55120,0.11000,-0.06430
0.12008,0.12000,0.08263,0.12000,-0.17588,0.12000,-1.39655,0.12000,-0.35865,0.12000,0.55352,0.12000,-0.06056
0.13009,0.13000,0.08173,0.13000,-0.17521,0.13000,-1.39162,0.13000,-0.35984,0.13000,0.55632,0.13000,-0.05672
0.14009,0.14000,0.08023,0.14000,-0.17423,0.14000,-1.38671,0.14000,-0.36105,0.14000,0.55959,0.14000,-0.05275
0.15010,0.15000,0.07820,0.15000,-0.17294,0.15000,-1.38201,0.15000,-0.36219,0.15000,0.56332,0.15000,-0.04856
0.16011,0.16000,0.07576,0.16000,-0.17129,0.16000,-1.37769,0.16000,-0.36321,0.16000,0.56745,0.16000,-0.04403
0.17012,0.17000,0.07298,0.17000,-0.16917,0.17000,-1.37387,0.17000,-0.36414,0.17000,0.57188,0.17000,-0.03906
0.18012,0.18000,0.06999,0.18000,-0.16645,0.18000,-1.37066,0.18000,-0.36502,0.18000,0.57648,0.18000,-0.03364
0.19013,0.19000,0.06687,0.19000,-0.16302,0.19000,-1.36804,0.19000,-0.36596,0.19000,0.58112,0.19000,-0.02785
0.20014,0.20000,0.06372,0.20000,-0.15882,0.20000,-1.36594,0.20000,-0.36705,0.20000,0.58565,0.20000,-0.02192
0.21014,0.21000,0.06058,0.21000,-0.15390,0.21000,-1.36415,0.21000,-0.36832,0.21000,0.58991,0.21000,-0.01621
0.22015,0.22000,0.05750,0.22000,-0.14843,0.22000,-1.36239,0.22000,-0.36977,0.22000,0.59381,0.22000,-0.01114
0.23016,0.23000,0.05445,0.23000,-0.14273,0.23000,-1.36025,0.23000,-0.37130,0.23000,0.59723,0.23000,-0.00716
0.24016,0.24000,0.05142,0.24000,-0.13723,0.24000,-1.35727,0.24000,-0.37275,0.24000,0.60013,0.24000,-0.00466
0.25017,0.25000,0.04832,0.25000,-0.13243,0.25000,-1.35298,0.25000,-0.37391,0.25000,0.60248,0.25000,-0.00392
0.26018,0.26000,0.04513,0.26000,-0.12881,0.26000,-1.34698,0.26000,-0.37458,0.26000,0.60426,0.26000,-0.00504
0.27018,0.27000,0.04180,0.27000,-0.12676,0.27000,-1.33897,0.27000,-0.37461,0.27000,0.60542,0.27000,-0.00798
0.28019,0.28000,0.03837,0.28000,-0.12653,0.28000,-1.32887,0.28000,-0.37389,0.28000,0.60592,0.28000,-0.01253
0.29020,0.29000,0.03490,0.29000,-0.12814,0.29000,-1.31678,0.29000,-0.37244,0.29000,0.60562,0.29000,-0.01842
0.30020,0.30000,0.03152,0.30000,-0.13141,0.30000,-1.30307,0.30000,-0.37032,0.30000,0.60443,0.30000,-0.02534
0.31021,0.31000,0.02837,0.31000,-0.13597,0.31000,-1.28826,0.31000,-0.36769,0.31000,0.60224,0.31000,-0.03301
0.32022,0.32000,0.02559,0.32000,-0.14131,0.32000,-1.27303,0.32000,-0.36473,0.32000,0.59904,0.32000,-0.04126
0.33022,0.33000,0.02330,0.33000,-0.14683,0.33000,-1.25813,0.33000,-0.36162,0.33000,0.59495,0.33000,-0.04997
0.34023,0.34000,0.02152,0.34000,-0.15195,0.34000,-1.24430,0.34000,-0.35852,0.34000,0.59021,0.34000,-0.05914
0.35024,0.35000,0.02023,0.35000,-0.15617,0.35000,-1.23220,0.35000,-0.35556,0.35000,0.58515,0.35000,-0.06881
0.36024,0.36000,0.01935,0.36000,-0.15909,0.36000,-1.22237,0.36000,-0.35281,0.36000,0.58018,0.36000,-0.07903
0.37025,0.37000,0.01877,0.37000,-0.16053,0.37000,-1.21517,0.37000,-0.35030,0.37000,0.57568,0.37000,-0.08982
0.38026,0.38000,0.01836,0.38000,-0.16043,0.38000,-1.21077,0.38000,-0.34800,0.38000,0.57193,0.38000,-0.10117
0.39026,0.39000,0.01806,0.39000,-0.15894,0.39000,-1.20919,0.39000,-0.34590,0.39000,0.56914,0.39000,-0.11295
0.40027,0.40000,0.01782,0.40000,-0.15633,0.40000,-1.21026,0.40000,-0.34391,0.40000,0.56737,0.40000,-0.12498
0.41028,0.41000,0.01769,0.41000,-0.15296,0.41000,-1.21367,0.41000,-0.34198,0.41000,0.56663,0.41000,-0.13704
0.42028,0.42000,0.01774,0.42000,-0.14926,0.42000,-1.21905,0.42000,-0.34005,0.42000,0.56686,0.42000,-0.14885
0.43029,0.43000,0.01809,0.43000,-0.14564,0.43000,-1.22591,0.43000,-0.33807,0.43000,0.56802,0.43000,-0.16012
0.44030,0.44000,0.01882,0.44000,-0.14249,0.44000,-1.23378,0.44000,-0.33601,0.44000,0.57010,0.44000,-0.17055
0.45030,0.45000,0.02004,0.45000,-0.14009,0.45000,-1.24214,0.45000,-0.33382,0.45000,0.57309,0.45000,-0.17987
0.46031,0.46000,0.02177,0.46000,-0.13863,0.46000,-1.25046,0.46000,-0.33152,0.46000,0.57702,0.46000,-0.18788
