Index	PelvisX	PelvisY	PelvisZ	PelvisW	Left_ThighX	Left_ThighY	Left_ThighZ	Left_ThighW	Left_CalfX	Left_CalfY	Left_CalfZ	Left_CalfW	Left_FootX	Left_FootY	Left_FootZ	Left_FootW	Right_ThighX	Right_ThighY	Right_ThighZ	Right_ThighW	Right_CalfX	Right_CalfY	Right_CalfZ	Right_CalfW	Right_FootX	Right_FootY	Right_FootZ	Right_FootW	DorsalX	DorsalY	DorsalZ	DorsalW	Left_ArmX	Left_ArmY	Left_ArmZ	Left_ArmW	Left_ForearmX	Left_ForearmY	Left_ForearmZ	Left_ForearmW	Left_HandX	Left_HandY	Left_HandZ	Left_HandW	Right_ArmX	Right_ArmY	Right_ArmZ	Right_ArmW	Right_ForearmX	Right_ForearmY	Right_ForearmZ	Right_ForearmW	Right_HandX	Right_HandY	Right_HandZ	Right_HandW	HeadX	HeadY	HeadZ	HeadW
0	0.364093	0.609451	0.603094	0.363707	0.363492	0.609457	0.603144	0.364215	0.364306	0.606786	0.604518	0.365581	0.36347	0.607492	0.60542	0.363743	0.362768	0.61071	0.602835	0.363348	0.361419	0.60945	0.605303	0.362706	0.364317	0.606505	0.605672	0.364125	0.364311	0.607884	0.604483	0.363806	-0.17239	0.688243	0.169279	0.684067	-0.172397	0.687781	0.169641	0.68444	-0.169784	0.688424	0.167398	0.684999	0.688324	0.172263	0.684019	-0.169271	0.688085	0.173849	0.683747	-0.169722	0.688489	0.174241	0.683212	-0.16984	0.36594	0.60778	0.60215	0.366206
0.01	0.364105	0.609464	0.603064	0.363724	0.36353	0.609439	0.603116	0.364253	0.364372	0.606764	0.604477	0.365621	0.363506	0.607477	0.605407	0.363754	0.362795	0.610719	0.602811	0.363348	0.361395	0.609467	0.605318	0.362675	0.364327	0.606521	0.605652	0.364121	0.364317	0.607921	0.604463	0.363771	-0.172477	0.688262	0.169299	0.684021	-0.172417	0.687796	0.16962	0.684425	-0.169854	0.688435	0.167416	0.684966	0.688356	0.172297	0.683973	-0.169294	0.68815	0.173803	0.683704	-0.169681	0.688567	0.174233	0.68314	-0.169814	0.365935	0.607813	0.602147	0.36616
0.02	0.364112	0.609487	0.603034	0.363728	0.363569	0.609432	0.603083	0.364281	0.364417	0.606753	0.60444	0.365654	0.363528	0.60747	0.605401	0.363756	0.36279	0.61076	0.602784	0.363328	0.361368	0.609478	0.605345	0.362637	0.364336	0.606519	0.605642	0.36413	0.364315	0.607958	0.604456	0.363724	-0.17258	0.688272	0.16935	0.683973	-0.172438	0.687808	0.169592	0.684415	-0.169931	0.688439	0.167446	0.684936	0.688387	0.172317	0.683935	-0.1693	0.688202	0.173767	0.68367	-0.169645	0.688622	0.174224	0.683088	-0.169814	0.365923	0.607844	0.602152	0.366114
0.03	0.364127	0.609493	0.603016	0.363734	0.3636	0.609445	0.603043	0.364294	0.364451	0.606752	0.604402	0.365685	0.36354	0.607473	0.605396	0.363747	0.362787	0.610808	0.602748	0.36331	0.361337	0.609487	0.605385	0.362589	0.364334	0.606525	0.605643	0.364122	0.364292	0.608003	0.604463	0.36366	-0.172696	0.68827	0.16944	0.683923	-0.172442	0.68782	0.169558	0.684411	-0.170021	0.688423	0.167493	0.684918	0.688409	0.172323	0.683914	-0.169291	0.688219	0.173785	0.683648	-0.169644	0.688633	0.174193	0.683084	-0.169817	0.365905	0.607874	0.602161	0.366067
0.04	0.36415	0.609499	0.602991	0.363741	0.363636	0.609461	0.602998	0.364307	0.364502	0.606731	0.60437	0.365721	0.363554	0.607465	0.605398	0.36374	0.362788	0.610841	0.602705	0.363324	0.361296	0.609509	0.605436	0.362507	0.364315	0.606539	0.605662	0.364086	0.364269	0.608034	0.604477	0.363607	-0.172805	0.688255	0.169547	0.683884	-0.172453	0.687834	0.169531	0.6844	-0.170142	0.688396	0.167554	0.6849	0.688418	0.172313	0.683907	-0.16929	0.688232	0.173827	0.683613	-0.169685	0.688638	0.17417	0.683079	-0.169839	0.365889	0.607906	0.602169	0.366018
0.05	0.364165	0.609508	0.602967	0.36375	0.363665	0.609467	0.60297	0.364315	0.364568	0.606698	0.604335	0.365769	0.363568	0.607457	0.605401	0.363736	0.362781	0.610861	0.60267	0.363356	0.361224	0.609546	0.6055	0.362409	0.364265	0.606559	0.60569	0.364057	0.364245	0.608054	0.604499	0.363562	-0.172904	0.688231	0.169653	0.683857	-0.172523	0.687839	0.169555	0.684371	-0.170263	0.688366	0.16761	0.684887	0.688423	0.172309	0.683902	-0.169297	0.688245	0.173858	0.683585	-0.169718	0.688667	0.174163	0.683039	-0.169891	0.365868	0.607948	0.60217	0.365966
0.06	0.364133	0.609542	0.602964	0.36373	0.363685	0.609474	0.602953	0.364311	0.364639	0.606667	0.604291	0.365823	0.363582	0.607454	0.605399	0.36373	0.362785	0.610871	0.602648	0.363372	0.361155	0.60958	0.605557	0.362326	0.364221	0.606591	0.605708	0.364017	0.364217	0.608075	0.604519	0.363521	-0.172993	0.688208	0.169741	0.683835	-0.172584	0.687841	0.169577	0.684349	-0.17037	0.688343	0.167656	0.684872	0.688429	0.17231	0.683898	-0.169285	0.688247	0.173887	0.68357	-0.169738	0.688692	0.174152	0.683013	-0.169903	0.365858	0.607981	0.602169	0.365923
0.07	0.364098	0.609584	0.602958	0.363705	0.363696	0.60947	0.602944	0.364321	0.364722	0.606628	0.604244	0.365881	0.363591	0.607451	0.605393	0.363737	0.362794	0.610882	0.602627	0.363378	0.361085	0.609617	0.605607	0.36225	0.364166	0.606618	0.605728	0.363993	0.364174	0.608108	0.604528	0.363494	-0.17306	0.688194	0.169814	0.683815	-0.172646	0.687848	0.16959	0.684322	-0.170469	0.68833	0.16769	0.684852	0.688433	0.172299	0.683907	-0.169246	0.688233	0.173919	0.68357	-0.169761	0.688683	0.174135	0.68303	-0.169891	0.365876	0.607994	0.602162	0.365894
0.08	0.364065	0.609622	0.602956	0.363678	0.363734	0.609445	0.602937	0.364338	0.36481	0.606586	0.604195	0.365944	0.363609	0.607444	0.605386	0.363742	0.362798	0.610893	0.602609	0.363386	0.361003	0.609677	0.60565	0.36216	0.364133	0.606646	0.605724	0.363987	0.364133	0.608144	0.604524	0.363481	-0.173115	0.688177	0.169875	0.683802	-0.172694	0.687868	0.169601	0.684288	-0.17055	0.688336	0.16771	0.684821	0.688433	0.172262	0.683931	-0.169186	0.688222	0.173911	0.683585	-0.169753	0.688652	0.174135	0.683059	-0.169899	0.365905	0.608003	0.602153	0.365867
0.09	0.364029	0.609663	0.602962	0.363636	0.363775	0.609413	0.602923	0.364374	0.364871	0.606561	0.604162	0.365979	0.363628	0.607434	0.605379	0.363752	0.362789	0.610896	0.602601	0.363402	0.360964	0.609709	0.605675	0.362102	0.364107	0.606655	0.605707	0.364027	0.364086	0.608195	0.60451	0.363466	-0.173173	0.688168	0.169919	0.683786	-0.172705	0.687897	0.169597	0.684257	-0.170603	0.688372	0.167706	0.684773	0.688436	0.172217	0.683949	-0.169147	0.688213	0.17388	0.683609	-0.169726	0.688617	0.17417	0.683077	-0.169934	0.365937	0.607995	0.602149	0.365853
