Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.19381,0.00000,-0.11231,0.00000,-0.05426,0.00000,-0.13340,0.00000,0.19364,0.00000,-0.11290
0.01000,0.01000,0.19560,0.01000,-0.11345,0.01000,-0.05303,0.01000,-0.13496,0.01000,0.19543,0.01000,-0.11405
0.02000,0.02000,0.19751,0.02000,-0.11420,0.02000,-0.05202,0.02000,-0.13637,0.02000,0.19733,0.02000,-0.11480
0.03000,0.03000,0.19947,0.03000,-0.11439,0.03000,-0.05132,0.03000,-0.13751,0.03000,0.19929,0.03000,-0.11499
0.04001,0.04000,0.20144,0.04000,-0.11385,0.04000,-0.05103,0.04000,-0.13828,0.04000,0.20127,0.04000,-0.11445
0.05001,0.05000,0.20340,0.05000,-0.11243,0.05000,-0.05117,0.05000,-0.13865,0.05000,0.20322,0.05000,-0.11303
0.06001,0.06000,0.20532,0.06000,-0.11005,0.06000,-0.05175,0.06000,-0.13861,0.06000,0.20513,0.06000,-0.11065
0.07001,0.07000,0.20721,0.07000,-0.10671,0.07000,-0.05273,0.07000,-0.13821,0.07000,0.20701,0.07000,-0.10730
0.08001,0.08000,0.20908,0.08000,-0.10244,0.08000,-0.05405,0.08000,-0.13757,0.08000,0.20888,0.08000,-0.10302
0.09001,0.09000,0.21094,0.09000,-0.09737,0.09000,-0.05565,0.09000,-0.13681,0.09000,0.21074,0.09000,-0.09794
0.10001,0.10000,0.21281,0.10000,-0.09168,0.10000,-0.05746,0.10000,-0.13612,0.10000,0.21261,0.10000,-0.09224
0.11001,0.11000,0.21469,0.11000,-0.08555,0.11000,-0.05942,0.11000,-0.13566,0.11000,0.21448,0.11000,-0.08610
0.12002,0.12000,0.21657,0.12000,-0.07920,0.12000,-0.06149,0.12000,-0.13557,0.12000,0.21635,0.12000,-0.07974
0.13002,0.13000,0.21845,0.13000,-0.07283,0.13000,-0.06366,0.13000,-0.13597,0.13000,0.21823,0.13000,-0.07335
0.14002,0.14000,0.22035,0.14000,-0.06657,0.14000,-0.06589,0.14000,-0.13691,0.14000,0.22013,0.14000,-0.06709
0.15002,0.15000,0.22232,0.15000,-0.06053,0.15000,-0.06820,0.15000,-0.13842,0.15000,0.22210,0.15000,-0.06103
0.16002,0.16000,0.22443,0.16000,-0.05473,0.16000,-0.07056,0.16000,-0.14044,0.16000,0.22421,0.16000,-0.05523
