Tiempo;Evento
3.4;Posición inicial
5.55;< Contacto inicial derecho
5.62;> Despegue izquierdo
6.16;< Contacto inicial izquierdo
6.22;> Despegue derecho
6.65;< Contacto inicial derecho
6.73;> Despegue izquierdo
7.18;< Contacto inicial izquierdo
7.24;> Despegue derecho
7.67;< Contacto inicial derecho
7.75;> Despegue izquierdo
8.22;< Contacto inicial izquierdo
8.29;> Despegue derecho
8.73;< Contacto inicial derecho
8.81;> Despegue izquierdo
9.27;< Contacto inicial izquierdo
9.34;> Despegue derecho
9.77;< Contacto inicial derecho
9.86;> Despegue izquierdo
10.32;< Contacto inicial izquierdo
10.39;> Despegue derecho
10.81;< Contacto inicial derecho
10.9;> Despegue izquierdo
11.37;< Contacto inicial izquierdo
11.44;> Despegue derecho
11.86;< Contacto inicial derecho
11.95;> Despegue izquierdo
12.4;< Contacto inicial izquierdo
12.46;> Despegue derecho
12.89;< Contacto inicial derecho
12.98;> Despegue izquierdo
13.42;< Contacto inicial izquierdo
13.49;> Despegue derecho
13.93;< Contacto inicial derecho
14.02;> Despegue izquierdo
14.46;< Contacto inicial izquierdo
14.53;> Despegue derecho
14.98;< Contacto inicial derecho
15.06;> Despegue izquierdo
15.51;< Contacto inicial izquierdo
15.58;> Despegue derecho
16;< Contacto inicial derecho
16.09;> Despegue izquierdo
16.52;< Contacto inicial izquierdo
16.6;> Despegue derecho
17.03;< Contacto inicial derecho
17.12;> Despegue izquierdo
17.52;< Contacto inicial izquierdo
17.62;> Despegue derecho
17.91;< Contacto inicial derecho
18.05;> Despegue izquierdo
19.37;< Contacto inicial derecho
19.44;> Despegue izquierdo
19.91;< Contacto inicial izquierdo
19.97;> Despegue derecho
20.4;< Contacto inicial derecho
20.48;> Despegue izquierdo
20.93;< Contacto inicial izquierdo
21;> Despegue derecho
21.42;< Contacto inicial derecho
21.5;> Despegue izquierdo
21.95;< Contacto inicial izquierdo
22.02;> Despegue derecho
22.43;< Contacto inicial derecho
22.51;> Despegue izquierdo
22.95;< Contacto inicial izquierdo
23.02;> Despegue derecho
23.46;< Contacto inicial derecho
23.54;> Despegue izquierdo
23.97;< Contacto inicial izquierdo
24.04;> Despegue derecho
24.47;< Contacto inicial derecho
24.56;> Despegue izquierdo
25;< Contacto inicial izquierdo
25.07;> Despegue derecho
25.49;< Contacto inicial derecho
25.58;> Despegue izquierdo
26.01;< Contacto inicial izquierdo
26.09;> Despegue derecho
26.52;< Contacto inicial derecho
26.61;> Despegue izquierdo
27.04;< Contacto inicial izquierdo
27.11;> Despegue derecho
27.58;< Contacto inicial derecho
27.66;> Despegue izquierdo
28.1;< Contacto inicial izquierdo
28.17;> Despegue derecho
28.64;< Contacto inicial derecho
28.73;> Despegue izquierdo
29.18;< Contacto inicial izquierdo
29.25;> Despegue derecho
29.71;< Contacto inicial derecho
29.8;> Despegue izquierdo
30.24;< Contacto inicial izquierdo
30.31;> Despegue derecho
30.77;< Contacto inicial derecho
30.87;> Despegue izquierdo
31.24;< Contacto inicial izquierdo
31.31;> Despegue derecho
31.43;< Contacto inicial derecho
31.63;> Despegue izquierdo
32.45;< Contacto inicial izquierdo
32.52;> Despegue derecho
33.02;< Contacto inicial derecho
33.1;> Despegue izquierdo
33.56;< Contacto inicial izquierdo
33.63;> Despegue derecho
34.06;< Contacto inicial derecho
34.15;> Despegue izquierdo
34.59;< Contacto inicial izquierdo
34.66;> Despegue derecho
35.09;< Contacto inicial derecho
35.18;> Despegue izquierdo
35.63;< Contacto inicial izquierdo
35.7;> Despegue derecho
36.13;< Contacto inicial derecho
36.22;> Despegue izquierdo
36.66;< Contacto inicial izquierdo
36.73;> Despegue derecho
37.19;< Contacto inicial derecho
37.28;> Despegue izquierdo
37.7;< Contacto inicial izquierdo
37.77;> Despegue derecho
38.22;< Contacto inicial derecho
38.31;> Despegue izquierdo
38.73;< Contacto inicial izquierdo
38.8;> Despegue derecho
39.22;< Contacto inicial derecho
39.32;> Despegue izquierdo
39.77;< Contacto inicial izquierdo
39.84;> Despegue derecho
40.28;< Contacto inicial derecho
40.37;> Despegue izquierdo
40.8;< Contacto inicial izquierdo
40.87;> Despegue derecho
41.31;< Contacto inicial derecho
41.4;> Despegue izquierdo
41.83;< Contacto inicial izquierdo
41.9;> Despegue derecho
42.35;< Contacto inicial derecho
42.45;> Despegue izquierdo
42.87;< Contacto inicial izquierdo
42.95;> Despegue derecho
43.4;< Contacto inicial derecho
43.51;> Despegue izquierdo
43.71;< Contacto inicial izquierdo
43.88;> Despegue derecho
44.4;< Contacto inicial derecho
44.47;> Despegue izquierdo
45.14;< Contacto inicial izquierdo
45.2;> Despegue derecho
45.69;< Contacto inicial derecho
45.76;> Despegue izquierdo
46.2;< Contacto inicial izquierdo
46.27;> Despegue derecho
46.72;< Contacto inicial derecho
46.8;> Despegue izquierdo
47.23;< Contacto inicial izquierdo
47.31;> Despegue derecho
47.73;< Contacto inicial derecho
47.81;> Despegue izquierdo
48.24;< Contacto inicial izquierdo
48.31;> Despegue derecho
48.74;< Contacto inicial derecho
48.83;> Despegue izquierdo
49.26;< Contacto inicial izquierdo
49.33;> Despegue derecho
49.76;< Contacto inicial derecho
49.85;> Despegue izquierdo
50.27;< Contacto inicial izquierdo
50.35;> Despegue derecho
50.77;< Contacto inicial derecho
50.86;> Despegue izquierdo
51.29;< Contacto inicial izquierdo
51.36;> Despegue derecho
51.8;< Contacto inicial derecho
51.89;> Despegue izquierdo
52.33;< Contacto inicial izquierdo
52.4;> Despegue derecho
52.84;< Contacto inicial derecho
52.93;> Despegue izquierdo
53.35;< Contacto inicial izquierdo
53.42;> Despegue derecho
53.87;< Contacto inicial derecho
53.96;> Despegue izquierdo
54.37;< Contacto inicial izquierdo
54.45;> Despegue derecho
54.9;< Contacto inicial derecho
54.99;> Despegue izquierdo
55.4;< Contacto inicial izquierdo
55.48;> Despegue derecho
55.93;< Contacto inicial derecho
56.03;> Despegue izquierdo
56.24;< Contacto inicial izquierdo
