Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.18843,0.00000,-2.30071,0.00000,-0.52205,0.00000,0.09082,0.00000,-0.18675,0.00000,-2.29842
0.01001,0.01000,-0.19535,0.01000,-2.29776,0.01000,-0.52388,0.01000,0.09300,0.01000,-0.19367,0.01000,-2.29542
0.02001,0.02000,-0.20338,0.02000,-2.29413,0.02000,-0.52589,0.02000,0.09578,0.02000,-0.20169,0.02000,-2.29174
0.03002,0.03000,-0.21237,0.03000,-2.28984,0.03000,-0.52799,0.03000,0.09920,0.03000,-0.21068,0.03000,-2.28738
0.04003,0.04000,-0.22210,0.04000,-2.28492,0.04000,-0.53004,0.04000,0.10326,0.04000,-0.22041,0.04000,-2.28237
0.05003,0.05000,-0.23233,0.05000,-2.27941,0.05000,-0.53189,0.05000,0.10794,0.05000,-0.23064,0.05000,-2.27676
0.06004,0.06000,-0.24280,0.06000,-2.27337,0.06000,-0.53340,0.06000,0.11320,0.06000,-0.24112,0.06000,-2.27062
0.07005,0.07000,-0.25322,0.07000,-2.26689,0.07000,-0.53439,0.07000,0.11896,0.07000,-0.25155,0.07000,-2.26402
0.08005,0.08000,-0.26334,0.08000,-2.26003,0.08000,-0.53473,0.08000,0.12512,0.08000,-0.26168,0.08000,-2.25704
0.09006,0.09000,-0.27288,0.09000,-2.25285,0.09000,-0.53429,0.09000,0.13155,0.09000,-0.27125,0.09000,-2.24975
0.10007,0.10000,-0.28161,0.10000,-2.24541,0.10000,-0.53297,0.10000,0.13809,0.10000,-0.28001,0.10000,-2.24219
0.11007,0.11000,-0.28931,0.11000,-2.23771,0.11000,-0.53072,0.11000,0.14456,0.11000,-0.28773,0.11000,-2.23438
