Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.35051,0.00000,-1.43025
0.01000,0.01000,-0.35231,0.01000,-1.42935
0.02000,0.02000,-0.35527,0.02000,-1.43137
0.03000,0.03000,-0.35963,0.03000,-1.43710
0.04001,0.04000,-0.36558,0.04000,-1.44716
0.05001,0.05000,-0.37322,0.05000,-1.46197
0.06001,0.06000,-0.38259,0.06000,-1.48163
0.07001,0.07000,-0.39360,0.07000,-1.50593
0.08001,0.08000,-0.40603,0.08000,-1.53431
0.09001,0.09000,-0.41954,0.09000,-1.56585
0.10002,0.10000,-0.43369,0.10000,-1.59936
0.11002,0.11000,-0.44799,0.11000,-1.63346
0.12002,0.12000,-0.46196,0.12000,-1.66663
0.13002,0.13000,-0.47515,0.13000,-1.69734
0.14002,0.14000,-0.48721,0.14000,-1.72417
0.15002,0.15000,-0.49786,0.15000,-1.74589
0.16002,0.16000,-0.50696,0.16000,-1.76157
0.17003,0.17000,-0.51444,0.17000,-1.77062
0.18003,0.18000,-0.52033,0.18000,-1.77284
0.19003,0.19000,-0.52472,0.19000,-1.76838
0.20003,0.20000,-0.52773,0.20000,-1.75774
0.21003,0.21000,-0.52952,0.21000,-1.74172
0.22003,0.22000,-0.53025,0.22000,-1.72135
0.23003,0.23000,-0.53008,0.23000,-1.69781
0.24004,0.24000,-0.52919,0.24000,-1.67228
0.25004,0.25000,-0.52782,0.25000,-1.64587
0.26004,0.26000,-0.52624,0.26000,-1.61947
0.27004,0.27000,-0.52478,0.27000,-1.59366
0.28004,0.28000,-0.52381,0.28000,-1.56875
0.29004,0.29000,-0.52375,0.29000,-1.54482
0.30005,0.30000,-0.52500,0.30000,-1.52188
0.31005,0.31000,-0.52788,0.31000,-1.49998
0.32005,0.32000,-0.53268,0.32000,-1.47933
0.33005,0.33000,-0.53951,0.33000,-1.46032
0.34005,0.34000,-0.54838,0.34000,-1.44349
0.35005,0.35000,-0.55913,0.35000,-1.42943
0.36005,0.36000,-0.57149,0.36000,-1.41861
0.37006,0.37000,-0.58507,0.37000,-1.41137
0.38006,0.38000,-0.59944,0.38000,-1.40780
0.39006,0.39000,-0.61415,0.39000,-1.40772
0.40006,0.40000,-0.62879,0.40000,-1.41074
0.41006,0.41000,-0.64297,0.41000,-1.41628
0.42006,0.42000,-0.65636,0.42000,-1.42363
0.43006,0.43000,-0.66872,0.43000,-1.43202
0.44007,0.44000,-0.67984,0.44000,-1.44063
0.45007,0.45000,-0.68958,0.45000,-1.44861
0.46007,0.46000,-0.69788,0.46000,-1.45505
0.47007,0.47000,-0.70472,0.47000,-1.45892
0.48007,0.48000,-0.71019,0.48000,-1.45912
0.49007,0.49000,-0.71441,0.49000,-1.45446
0.50008,0.50000,-0.71761,0.50000,-1.44376
0.51008,0.51000,-0.72002,0.51000,-1.42602
0.52008,0.52000,-0.72193,0.52000,-1.40055
0.53008,0.53000,-0.72359,0.53000,-1.36714
0.54008,0.54000,-0.72521,0.54000,-1.32621
0.55008,0.55000,-0.72693,0.55000,-1.27875
0.56008,0.56000,-0.72876,0.56000,-1.22635
0.57009,0.57000,-0.73063,0.57000,-1.17092
0.58009,0.58000,-0.73233,0.58000,-1.11458
0.59009,0.59000,-0.73364,0.59000,-1.05939
0.60009,0.60000,-0.73431,0.60000,-1.00715
0.61009,0.61000,-0.73413,0.61000,-0.95927
0.62009,0.62000,-0.73300,0.62000,-0.91669
0.63009,0.63000,-0.73089,0.63000,-0.87988
0.64010,0.64000,-0.72787,0.64000,-0.84885
0.65010,0.65000,-0.72405,0.65000,-0.82323
0.66010,0.66000,-0.71959,0.66000,-0.80236
0.67010,0.67000,-0.71464,0.67000,-0.78537
0.68010,0.68000,-0.70931,0.68000,-0.77119
0.69010,0.69000,-0.70366,0.69000,-0.75865
0.70010,0.70000,-0.69772,0.70000,-0.74655
0.71011,0.71000,-0.69144,0.71000,-0.73370
0.72011,0.72000,-0.68477,0.72000,-0.71898
0.73011,0.73000,-0.67765,0.73000,-0.70147
0.74011,0.74000,-0.67003,0.74000,-0.68044
0.75011,0.75000,-0.66191,0.75000,-0.65546
0.76011,0.76000,-0.65330,0.76000,-0.62639
0.77012,0.77000,-0.64427,0.77000,-0.59339
0.78012,0.78000,-0.63486,0.78000,-0.55686
0.79012,0.79000,-0.62513,0.79000,-0.51735
0.80012,0.80000,-0.61512,0.80000,-0.47550
0.81012,0.81000,-0.60486,0.81000,-0.43192
0.82012,0.82000,-0.59439,0.82000,-0.38720
0.83012,0.83000,-0.58373,0.83000,-0.34181
0.84013,0.84000,-0.57297,0.84000,-0.29618
0.85013,0.85000,-0.56222,0.85000,-0.25069
0.86013,0.86000,-0.55162,0.86000,-0.20568
0.87013,0.87000,-0.54138,0.87000,-0.16153
0.88013,0.88000,-0.53174,0.88000,-0.11865
0.89013,0.89000,-0.52291,0.89000,-0.07752
0.90013,0.90000,-0.51512,0.90000,-0.03867
0.91014,0.91000,-0.50857,0.91000,-0.00266
0.92014,0.92000,-0.50339,0.92000,0.02998
0.93014,0.93000,-0.49966,0.93000,0.05879
0.94014,0.94000,-0.49739,0.94000,0.08351
0.95014,0.95000,-0.49653,0.95000,0.10403
0.96014,0.96000,-0.49696,0.96000,0.12049
0.97015,0.97000,-0.49851,0.97000,0.13324
0.98015,0.98000,-0.50099,0.98000,0.14277
0.99015,0.99000,-0.50416,0.99000,0.14971
1.00015,1.00000,-0.50779,1.00000,0.15470
1.01015,1.01000,-0.51165,1.01000,0.15840
1.02015,1.02000,-0.51552,1.02000,0.16136
1.03015,1.03000,-0.51922,1.03000,0.16403
1.04016,1.04000,-0.52262,1.04000,0.16675
1.05016,1.05000,-0.52561,1.05000,0.16974
1.06016,1.06000,-0.52814,1.06000,0.17315
1.07016,1.07000,-0.53016,1.07000,0.17712
1.08016,1.08000,-0.53166,1.08000,0.18175
1.09016,1.09000,-0.53265,1.09000,0.18716
1.10016,1.10000,-0.53320,1.10000,0.19340
1.11017,1.11000,-0.53341,1.11000,0.20041
1.12017,1.12000,-0.53349,1.12000,0.20800
1.13017,1.13000,-0.53366,1.13000,0.21582
1.14017,1.14000,-0.53421,1.14000,0.22343
1.15017,1.15000,-0.53544,1.15000,0.23033
1.16017,1.16000,-0.53764,1.16000,0.23604
1.17018,1.17000,-0.54106,1.17000,0.24016
1.18018,1.18000,-0.54590,1.18000,0.24244
1.19018,1.19000,-0.55225,1.19000,0.24281
1.20018,1.20000,-0.56016,1.20000,0.24138
1.21018,1.21000,-0.56956,1.21000,0.23844
1.22018,1.22000,-0.58031,1.22000,0.23446
1.23018,1.23000,-0.59222,1.23000,0.22997
1.24019,1.24000,-0.60504,1.24000,0.22556
1.25019,1.25000,-0.61853,1.25000,0.22179
1.26019,1.26000,-0.63245,1.26000,0.21906
1.27019,1.27000,-0.64661,1.27000,0.21759
1.28019,1.28000,-0.66088,1.28000,0.21737
1.29019,1.29000,-0.67514,1.29000,0.21812
1.30019,1.30000,-0.68931,1.30000,0.21932
1.31020,1.31000,-0.70330,1.31000,0.22031
1.32020,1.32000,-0.71695,1.32000,0.22034
1.33020,1.33000,-0.73004,1.33000,0.21864
1.34020,1.34000,-0.74228,1.34000,0.21446
1.35020,1.35000,-0.75331,1.35000,0.20713
1.36020,1.36000,-0.76279,1.36000,0.19600
1.37020,1.37000,-0.77039,1.37000,0.18047
1.38021,1.38000,-0.77588,1.38000,0.15991
1.39021,1.39000,-0.77913,1.39000,0.13369
1.40021,1.40000,-0.78017,1.40000,0.10120
1.41021,1.41000,-0.77910,1.41000,0.06193
1.42021,1.42000,-0.77615,1.42000,0.01563
1.43021,1.43000,-0.77156,1.43000,-0.03751
1.44022,1.44000,-0.76557,1.44000,-0.09670
1.45022,1.45000,-0.75837,1.45000,-0.16052
1.46022,1.46000,-0.75004,1.46000,-0.22689
1.47022,1.47000,-0.74063,1.47000,-0.29336
1.48022,1.48000,-0.73010,1.48000,-0.35747
1.49022,1.49000,-0.71842,1.49000,-0.41719
1.50022,1.50000,-0.70554,1.50000,-0.47136
1.51023,1.51000,-0.69145,1.51000,-0.51996
1.52023,1.52000,-0.67619,1.52000,-0.56406
1.53023,1.53000,-0.65981,1.53000,-0.60557
1.54023,1.54000,-0.64235,1.54000,-0.64677
1.55023,1.55000,-0.62385,1.55000,-0.68978
1.56023,1.56000,-0.60428,1.56000,-0.73615
1.57023,1.57000,-0.58364,1.57000,-0.78655
1.58024,1.58000,-0.56192,1.58000,-0.84082
1.59024,1.59000,-0.53919,1.59000,-0.89816
1.60024,1.60000,-0.51565,1.60000,-0.95746
1.61024,1.61000,-0.49165,1.61000,-1.01764
1.62024,1.62000,-0.46771,1.62000,-1.07794
1.63024,1.63000,-0.44442,1.63000,-1.13802
1.64025,1.64000,-0.42243,1.64000,-1.19787
1.65025,1.65000,-0.40227,1.65000,-1.25763
1.66025,1.66000,-0.38436,1.66000,-1.31735
1.67025,1.67000,-0.36889,1.67000,-1.37668
1.68025,1.68000,-0.35587,1.68000,-1.43483
1.69025,1.69000,-0.34510,1.69000,-1.49049
1.70025,1.70000,-0.33627,1.70000,-1.54206
1.71026,1.71000,-0.32895,1.71000,-1.58781
1.72026,1.72000,-0.32267,1.72000,-1.62622
1.73026,1.73000,-0.31699,1.73000,-1.65621
1.74026,1.74000,-0.31151,1.74000,-1.67729
1.75026,1.75000,-0.30596,1.75000,-1.68965
1.76026,1.76000,-0.30016,1.76000,-1.69402
1.77026,1.77000,-0.29408,1.77000,-1.69161
1.78027,1.78000,-0.28774,1.78000,-1.68389
1.79027,1.79000,-0.28123,1.79000,-1.67244
1.80027,1.80000,-0.27463,1.80000,-1.65881
1.81027,1.81000,-0.26799,1.81000,-1.64436
1.82027,1.82000,-0.26131,1.82000,-1.63020
1.83027,1.83000,-0.25452,1.83000,-1.61708
1.84028,1.84000,-0.24754,1.84000,-1.60532
1.85028,1.85000,-0.24027,1.85000,-1.59477
1.86028,1.86000,-0.23263,1.86000,-1.58480
1.87028,1.87000,-0.22464,1.87000,-1.57436
1.88028,1.88000,-0.21637,1.88000,-1.56210
1.89028,1.89000,-0.20796,1.89000,-1.54649
1.90028,1.90000,-0.19963,1.90000,-1.52603
1.91029,1.91000,-0.19161,1.91000,-1.49940
1.92029,1.92000,-0.18409,1.92000,-1.46555
1.93029,1.93000,-0.17723,1.93000,-1.42375
1.94029,1.94000,-0.17104,1.94000,-1.37362
1.95029,1.95000,-0.16543,1.95000,-1.31505
1.96029,1.96000,-0.16019,1.96000,-1.24819
1.97029,1.97000,-0.15503,1.97000,-1.17344
1.98030,1.98000,-0.14960,1.98000,-1.09147
1.99030,1.99000,-0.14355,1.99000,-1.00316
2.00030,2.00000,-0.13657,2.00000,-0.90962
2.01030,2.01000,-0.12846,2.01000,-0.81215
2.02030,2.02000,-0.11908,2.02000,-0.71212
2.03030,2.03000,-0.10842,2.03000,-0.61093
2.04030,2.04000,-0.09655,2.04000,-0.50994
2.05031,2.05000,-0.08364,2.05000,-0.41040
2.06031,2.06000,-0.06989,2.06000,-0.31343
2.07031,2.07000,-0.05557,2.07000,-0.22002
2.08031,2.08000,-0.04097,2.08000,-0.13105
2.09031,2.09000,-0.02640,2.09000,-0.04729
2.10031,2.10000,-0.01214,2.10000,0.03049
2.11032,2.11000,0.00154,2.11000,0.10156
2.12032,2.12000,0.01444,2.12000,0.16512
2.13032,2.13000,0.02640,2.13000,0.22037
2.14032,2.14000,0.03733,2.14000,0.26649
2.15032,2.15000,0.04718,2.15000,0.30272
2.16032,2.16000,0.05595,2.16000,0.32843
2.17032,2.17000,0.06364,2.17000,0.34317
2.18033,2.18000,0.07025,2.18000,0.34675
2.19033,2.19000,0.07579,2.19000,0.33931
2.20033,2.20000,0.08030,2.20000,0.32122
2.21033,2.21000,0.08384,2.21000,0.29312
2.22033,2.22000,0.08652,2.22000,0.25579
2.23033,2.23000,0.08847,2.23000,0.21003
2.24033,2.24000,0.08984,2.24000,0.15660
2.25034,2.25000,0.09072,2.25000,0.09612
2.26034,2.26000,0.09115,2.26000,0.02902
2.27034,2.27000,0.09108,2.27000,-0.04443
2.28034,2.28000,0.09038,2.28000,-0.12412
2.29034,2.29000,0.08882,2.29000,-0.21005
2.30034,2.30000,0.08612,2.30000,-0.30231
2.31035,2.31000,0.08201,2.31000,-0.40098
2.32035,2.32000,0.07626,2.32000,-0.50614
2.33035,2.33000,0.06868,2.33000,-0.61783
2.34035,2.34000,0.05914,2.34000,-0.73603
2.35035,2.35000,0.04753,2.35000,-0.86059
2.36035,2.36000,0.03375,2.36000,-0.99123
2.37035,2.37000,0.01765,2.37000,-1.12741
2.38036,2.38000,-0.00097,2.38000,-1.26835
2.39036,2.39000,-0.02239,2.39000,-1.41288
2.40036,2.40000,-0.04689,2.40000,-1.55944
2.41036,2.41000,-0.07478,2.41000,-1.70605
2.42036,2.42000,-0.10636,2.42000,-1.85031
2.43036,2.43000,-0.14187,2.43000,-1.98945
2.44036,2.44000,-0.18153,2.44000,-2.12048
2.45037,2.45000,-0.22549,2.45000,-2.24036
2.46037,2.46000,-0.27381,2.46000,-2.34625
2.47037,2.47000,-0.32644,2.47000,-2.43580
2.48037,2.48000,-0.38309,2.48000,-2.50731
2.49037,2.49000,-0.44324,2.49000,-2.55994
2.50037,2.50000,-0.50601,2.50000,-2.59374
2.51037,2.51000,-0.57018,2.51000,-2.60959
2.52038,2.52000,-0.63423,2.52000,-2.60912
2.53038,2.53000,-0.69639,2.53000,-2.59453
2.54038,2.54000,-0.75483,2.54000,-2.56836
2.55038,2.55000,-0.80784,2.55000,-2.53327
2.56038,2.56000,-0.85411,2.56000,-2.49181
2.57038,2.57000,-0.89283,2.57000,-2.44626
2.58039,2.58000,-0.92388,2.58000,-2.39855
2.59039,2.59000,-0.94773,2.59000,-2.35026
2.60039,2.60000,-0.96525,2.60000,-2.30260
2.61039,2.61000,-0.97739,2.61000,-2.25644
2.62039,2.62000,-0.98482,2.62000,-2.21234
2.63039,2.63000,-0.98767,2.63000,-2.17051
2.64039,2.64000,-0.98549,2.64000,-2.13082
2.65040,2.65000,-0.97737,2.65000,-2.09284
2.66040,2.66000,-0.96227,2.66000,-2.05589
2.67040,2.67000,-0.93936,2.67000,-2.01919
2.68040,2.68000,-0.90843,2.68000,-1.98198
2.69040,2.69000,-0.87002,2.69000,-1.94367
2.70040,2.70000,-0.82540,2.70000,-1.90397
2.71040,2.71000,-0.77643,2.71000,-1.86287
2.72041,2.72000,-0.72519,2.72000,-1.82063
2.73041,2.73000,-0.67371,2.73000,-1.77760
2.74041,2.74000,-0.62358,2.74000,-1.73414
2.75041,2.75000,-0.57583,2.75000,-1.69044
2.76041,2.76000,-0.53079,2.76000,-1.64649
2.77041,2.77000,-0.48817,2.77000,-1.60200
2.78042,2.78000,-0.44723,2.78000,-1.55653
2.79042,2.79000,-0.40702,2.79000,-1.50959
2.80042,2.80000,-0.36655,2.80000,-1.46075
2.81042,2.81000,-0.32503,2.81000,-1.40978
2.82042,2.82000,-0.28190,2.82000,-1.35672
