Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.65022,0.00000,0.19215,0.00000,-0.34449,0.00000,0.11447,0.00000,0.65025,0.00000,0.19155
0.01000,0.01000,0.65362,0.01000,0.21519,0.01000,-0.34875,0.01000,0.12801,0.01000,0.65366,0.01000,0.21453
0.02000,0.02000,0.65782,0.02000,0.24221,0.02000,-0.35344,0.02000,0.14341,0.02000,0.65787,0.02000,0.24146
0.03000,0.03000,0.66260,0.03000,0.27254,0.03000,-0.35842,0.03000,0.16021,0.03000,0.66265,0.03000,0.27170
0.04001,0.04000,0.66759,0.04000,0.30524,0.04000,-0.36353,0.04000,0.17785,0.04000,0.66764,0.04000,0.30430
0.05001,0.05000,0.67232,0.05000,0.33915,0.05000,-0.36862,0.05000,0.19569,0.05000,0.67237,0.05000,0.33809
0.06001,0.06000,0.67619,0.06000,0.37298,0.06000,-0.37355,0.06000,0.21305,0.06000,0.67624,0.06000,0.37179
0.07001,0.07000,0.67860,0.07000,0.40538,0.07000,-0.37822,0.07000,0.22921,0.07000,0.67865,0.07000,0.40407
0.08001,0.08000,0.67896,0.08000,0.43509,0.08000,-0.38253,0.08000,0.24351,0.08000,0.67901,0.08000,0.43364
0.09001,0.09000,0.67682,0.09000,0.46097,0.09000,-0.38641,0.09000,0.25535,0.09000,0.67689,0.09000,0.45940
0.10002,0.10000,0.67197,0.10000,0.48211,0.10000,-0.38980,0.10000,0.26422,0.10000,0.67205,0.10000,0.48042
0.11002,0.11000,0.66444,0.11000,0.49786,0.11000,-0.39260,0.11000,0.26976,0.11000,0.66454,0.11000,0.49607
0.12002,0.12000,0.65457,0.12000,0.50786,0.12000,-0.39472,0.12000,0.27180,0.12000,0.65470,0.12000,0.50599
0.13002,0.13000,0.64300,0.13000,0.51208,0.13000,-0.39606,0.13000,0.27034,0.13000,0.64316,0.13000,0.51016
0.14002,0.14000,0.63056,0.14000,0.51079,0.14000,-0.39649,0.14000,0.26561,0.14000,0.63074,0.14000,0.50884
0.15002,0.15000,0.61820,0.15000,0.50451,0.15000,-0.39590,0.15000,0.25800,0.15000,0.61840,0.15000,0.50257
0.16002,0.16000,0.60687,0.16000,0.49400,0.16000,-0.39417,0.16000,0.24805,0.16000,0.60709,0.16000,0.49210
