Tiempo;Evento
3.48;Posición inicial
5.6;< Contacto inicial izquierdo
5.64;> Despegue derecho
5.97;< Contacto inicial derecho
6.02;> Despegue izquierdo
6.35;< Contacto inicial izquierdo
6.41;> Despegue derecho
6.73;< Contacto inicial derecho
6.79;> Despegue izquierdo
7.12;< Contacto inicial izquierdo
7.19;> Despegue derecho
7.51;< Contacto inicial derecho
7.58;> Despegue izquierdo
7.92;< Contacto inicial izquierdo
7.99;> Despegue derecho
8.33;< Contacto inicial derecho
8.41;> Despegue izquierdo
8.74;< Contacto inicial izquierdo
8.81;> Despegue derecho
9.13;< Contacto inicial derecho
9.21;> Despegue izquierdo
9.55;< Contacto inicial izquierdo
9.63;> Despegue derecho
9.94;< Contacto inicial derecho
10.02;> Despegue izquierdo
10.37;< Contacto inicial izquierdo
10.44;> Despegue derecho
10.76;< Contacto inicial derecho
10.84;> Despegue izquierdo
11.18;< Contacto inicial izquierdo
11.25;> Despegue derecho
11.57;< Contacto inicial derecho
11.66;> Despegue izquierdo
12.01;< Contacto inicial izquierdo
12.08;> Despegue derecho
12.4;< Contacto inicial derecho
12.49;> Despegue izquierdo
12.83;< Contacto inicial izquierdo
12.92;> Despegue derecho
13.18;< Contacto inicial derecho
13.32;> Despegue izquierdo
