Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.27805,0.00000,-1.50323
0.01000,0.01000,0.28184,0.01000,-1.50618
0.02001,0.02000,0.28678,0.02000,-1.50975
0.03001,0.03000,0.29290,0.03000,-1.51399
0.04002,0.04000,0.30018,0.04000,-1.51891
0.05002,0.05000,0.30855,0.05000,-1.52454
0.06002,0.06000,0.31787,0.06000,-1.53085
0.07003,0.07000,0.32797,0.07000,-1.53772
0.08003,0.08000,0.33862,0.08000,-1.54497
0.09004,0.09000,0.34958,0.09000,-1.55229
0.10004,0.10000,0.36061,0.10000,-1.55931
0.11004,0.11000,0.37147,0.11000,-1.56553
0.12005,0.12000,0.38195,0.12000,-1.57045
0.13005,0.13000,0.39187,0.13000,-1.57356
0.14006,0.14000,0.40109,0.14000,-1.57441
0.15006,0.15000,0.40949,0.15000,-1.57265
0.16007,0.16000,0.41701,0.16000,-1.56810
0.17007,0.17000,0.42358,0.17000,-1.56076
0.18007,0.18000,0.42919,0.18000,-1.55085
0.19008,0.19000,0.43384,0.19000,-1.53874
0.20008,0.20000,0.43753,0.20000,-1.52497
0.21009,0.21000,0.44033,0.21000,-1.51021
0.22009,0.22000,0.44229,0.22000,-1.49513
0.23009,0.23000,0.44351,0.23000,-1.48044
0.24010,0.24000,0.44412,0.24000,-1.46678
0.25010,0.25000,0.44424,0.25000,-1.45472
0.26011,0.26000,0.44399,0.26000,-1.44477
0.27011,0.27000,0.44346,0.27000,-1.43730
0.28011,0.28000,0.44269,0.28000,-1.43259
0.29012,0.29000,0.44170,0.29000,-1.43076
0.30012,0.30000,0.44047,0.30000,-1.43177
0.31013,0.31000,0.43894,0.31000,-1.43538
0.32013,0.32000,0.43704,0.32000,-1.44119
0.33013,0.33000,0.43473,0.33000,-1.44866
0.34014,0.34000,0.43196,0.34000,-1.45714
0.35014,0.35000,0.42871,0.35000,-1.46597
0.36015,0.36000,0.42498,0.36000,-1.47446
0.37015,0.37000,0.42080,0.37000,-1.48203
0.38015,0.38000,0.41623,0.38000,-1.48821
0.39016,0.39000,0.41133,0.39000,-1.49271
0.40016,0.40000,0.40623,0.40000,-1.49540
0.41017,0.41000,0.40107,0.41000,-1.49634
0.42017,0.42000,0.39601,0.42000,-1.49578
0.43017,0.43000,0.39125,0.43000,-1.49403
0.44018,0.44000,0.38696,0.44000,-1.49152
0.45018,0.45000,0.38330,0.45000,-1.48862
0.46019,0.46000,0.38038,0.46000,-1.48567
0.47019,0.47000,0.37825,0.47000,-1.48287
0.48019,0.48000,0.37686,0.48000,-1.48031
0.49020,0.49000,0.37612,0.49000,-1.47793
0.50020,0.50000,0.37585,0.50000,-1.47560
0.51021,0.51000,0.37582,0.51000,-1.47313
0.52021,0.52000,0.37577,0.52000,-1.47031
0.53021,0.53000,0.37539,0.53000,-1.46702
0.54022,0.54000,0.37442,0.54000,-1.46317
0.55022,0.55000,0.37257,0.55000,-1.45881
0.56023,0.56000,0.36963,0.56000,-1.45406
0.57023,0.57000,0.36546,0.57000,-1.44911
0.58023,0.58000,0.35999,0.58000,-1.44419
0.59024,0.59000,0.35327,0.59000,-1.43953
0.60024,0.60000,0.34543,0.60000,-1.43533
0.61025,0.61000,0.33670,0.61000,-1.43176
0.62025,0.62000,0.32737,0.62000,-1.42894
0.63025,0.63000,0.31779,0.63000,-1.42693
0.64026,0.64000,0.30835,0.64000,-1.42575
0.65026,0.65000,0.29940,0.65000,-1.42538
0.66027,0.66000,0.29129,0.66000,-1.42575
0.67027,0.67000,0.28426,0.67000,-1.42677
0.68028,0.68000,0.27849,0.68000,-1.42830
0.69028,0.69000,0.27409,0.69000,-1.43020
0.70028,0.70000,0.27104,0.70000,-1.43232
0.71029,0.71000,0.26928,0.71000,-1.43450
0.72029,0.72000,0.26871,0.72000,-1.43660
0.73030,0.73000,0.26918,0.73000,-1.43847
0.74030,0.74000,0.27058,0.74000,-1.43998
0.75030,0.75000,0.27279,0.75000,-1.44100
0.76031,0.76000,0.27576,0.76000,-1.44142
0.77031,0.77000,0.27946,0.77000,-1.44118
0.78032,0.78000,0.28390,0.78000,-1.44020
0.79032,0.79000,0.28907,0.79000,-1.43848
0.80032,0.80000,0.29496,0.80000,-1.43602
0.81033,0.81000,0.30152,0.81000,-1.43284
0.82033,0.82000,0.30861,0.82000,-1.42898
0.83034,0.83000,0.31607,0.83000,-1.42445
0.84034,0.84000,0.32365,0.84000,-1.41929
0.85034,0.85000,0.33109,0.85000,-1.41352
0.86035,0.86000,0.33813,0.86000,-1.40717
0.87035,0.87000,0.34454,0.87000,-1.40027
0.88036,0.88000,0.35014,0.88000,-1.39287
0.89036,0.89000,0.35486,0.89000,-1.38508
0.90036,0.90000,0.35870,0.90000,-1.37701
0.91037,0.91000,0.36177,0.91000,-1.36884
0.92037,0.92000,0.36424,0.92000,-1.36076
0.93038,0.93000,0.36633,0.93000,-1.35298
0.94038,0.94000,0.36823,0.94000,-1.34572
0.95038,0.95000,0.37013,0.95000,-1.33914
0.96039,0.96000,0.37215,0.96000,-1.33339
0.97039,0.97000,0.37434,0.97000,-1.32855
0.98040,0.98000,0.37670,0.98000,-1.32461
0.99040,0.99000,0.37914,0.99000,-1.32154
1.00040,1.00000,0.38156,1.00000,-1.31924
1.01041,1.01000,0.38379,1.01000,-1.31757
1.02041,1.02000,0.38566,1.02000,-1.31636
1.03042,1.03000,0.38702,1.03000,-1.31544
1.04042,1.04000,0.38772,1.04000,-1.31467
1.05042,1.05000,0.38767,1.05000,-1.31390
1.06043,1.06000,0.38684,1.06000,-1.31305
1.07043,1.07000,0.38527,1.07000,-1.31205
1.08044,1.08000,0.38305,1.08000,-1.31089
1.09044,1.09000,0.38034,1.09000,-1.30955
1.10044,1.10000,0.37733,1.10000,-1.30807
1.11045,1.11000,0.37423,1.11000,-1.30648
1.12045,1.12000,0.37123,1.12000,-1.30487
1.13046,1.13000,0.36850,1.13000,-1.30331
1.14046,1.14000,0.36616,1.14000,-1.30192
1.15046,1.15000,0.36426,1.15000,-1.30083
1.16047,1.16000,0.36282,1.16000,-1.30017
1.17047,1.17000,0.36182,1.17000,-1.30005
1.18048,1.18000,0.36120,1.18000,-1.30058
1.19048,1.19000,0.36089,1.19000,-1.30183
1.20048,1.20000,0.36083,1.20000,-1.30386
1.21049,1.21000,0.36094,1.21000,-1.30664
1.22049,1.22000,0.36118,1.22000,-1.31012
1.23050,1.23000,0.36152,1.23000,-1.31415
1.24050,1.24000,0.36196,1.24000,-1.31852
1.25051,1.25000,0.36250,1.25000,-1.32296
1.26051,1.26000,0.36317,1.26000,-1.32718
1.27051,1.27000,0.36401,1.27000,-1.33087
1.28052,1.28000,0.36506,1.28000,-1.33376
1.29052,1.29000,0.36635,1.29000,-1.33563
1.30053,1.30000,0.36790,1.30000,-1.33633
1.31053,1.31000,0.36972,1.31000,-1.33581
1.32053,1.32000,0.37182,1.32000,-1.33415
1.33054,1.33000,0.37420,1.33000,-1.33152
1.34054,1.34000,0.37686,1.34000,-1.32822
1.35055,1.35000,0.37978,1.35000,-1.32460
1.36055,1.36000,0.38297,1.36000,-1.32108
1.37055,1.37000,0.38640,1.37000,-1.31806
1.38056,1.38000,0.39006,1.38000,-1.31586
1.39056,1.39000,0.39390,1.39000,-1.31473
1.40057,1.40000,0.39788,1.40000,-1.31478
1.41057,1.41000,0.40191,1.41000,-1.31602
1.42057,1.42000,0.40591,1.42000,-1.31837
1.43058,1.43000,0.40977,1.43000,-1.32166
1.44058,1.44000,0.41337,1.44000,-1.32569
1.45059,1.45000,0.41661,1.45000,-1.33023
1.46059,1.46000,0.41935,1.46000,-1.33500
1.47059,1.47000,0.42149,1.47000,-1.33974
1.48060,1.48000,0.42294,1.48000,-1.34415
1.49060,1.49000,0.42361,1.49000,-1.34792
1.50061,1.50000,0.42346,1.50000,-1.35075
1.51061,1.51000,0.42246,1.51000,-1.35240
1.52061,1.52000,0.42063,1.52000,-1.35268
1.53062,1.53000,0.41805,1.53000,-1.35154
1.54062,1.54000,0.41483,1.54000,-1.34905
1.55063,1.55000,0.41113,1.55000,-1.34543
1.56063,1.56000,0.40717,1.56000,-1.34106
1.57063,1.57000,0.40315,1.57000,-1.33635
1.58064,1.58000,0.39928,1.58000,-1.33177
1.59064,1.59000,0.39574,1.59000,-1.32774
1.60065,1.60000,0.39267,1.60000,-1.32455
1.61065,1.61000,0.39018,1.61000,-1.32235
1.62065,1.62000,0.38830,1.62000,-1.32114
1.63066,1.63000,0.38705,1.63000,-1.32075
1.64066,1.64000,0.38638,1.64000,-1.32090
1.65067,1.65000,0.38621,1.65000,-1.32125
1.66067,1.66000,0.38643,1.66000,-1.32144
1.67067,1.67000,0.38690,1.67000,-1.32116
1.68068,1.68000,0.38746,1.68000,-1.32017
1.69068,1.69000,0.38797,1.69000,-1.31830
1.70069,1.70000,0.38833,1.70000,-1.31551
1.71069,1.71000,0.38847,1.71000,-1.31182
1.72069,1.72000,0.38840,1.72000,-1.30732
1.73070,1.73000,0.38818,1.73000,-1.30213
1.74070,1.74000,0.38792,1.74000,-1.29641
