Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.02515,0.00000,0.24767
0.01000,0.01000,-0.02789,0.01000,0.24348
0.02000,0.02000,-0.03155,0.02000,0.23962
0.03000,0.03000,-0.03610,0.03000,0.23672
0.04001,0.04000,-0.04147,0.04000,0.23554
0.05001,0.05000,-0.04751,0.05000,0.23691
0.06001,0.06000,-0.05401,0.06000,0.24166
0.07001,0.07000,-0.06073,0.07000,0.25051
0.08001,0.08000,-0.06740,0.08000,0.26399
0.09001,0.09000,-0.07380,0.09000,0.28228
0.10001,0.10000,-0.07975,0.10000,0.30519
0.11002,0.11000,-0.08513,0.11000,0.33212
0.12002,0.12000,-0.08988,0.12000,0.36207
0.13002,0.13000,-0.09403,0.13000,0.39368
0.14002,0.14000,-0.09765,0.14000,0.42536
0.15002,0.15000,-0.10087,0.15000,0.45538
0.16002,0.16000,-0.10381,0.16000,0.48204
0.17002,0.17000,-0.10661,0.17000,0.50381
0.18002,0.18000,-0.10936,0.18000,0.51943
0.19003,0.19000,-0.11210,0.19000,0.52801
0.20003,0.20000,-0.11481,0.20000,0.52907
0.21003,0.21000,-0.11740,0.21000,0.52255
0.22003,0.22000,-0.11975,0.22000,0.50872
0.23003,0.23000,-0.12171,0.23000,0.48814
0.24003,0.24000,-0.12313,0.24000,0.46160
0.25003,0.25000,-0.12393,0.25000,0.43002
0.26004,0.26000,-0.12408,0.26000,0.39444
0.27004,0.27000,-0.12364,0.27000,0.35599
0.28004,0.28000,-0.12277,0.28000,0.31587
0.29004,0.29000,-0.12172,0.29000,0.27542
0.30004,0.30000,-0.12078,0.30000,0.23602
0.31004,0.31000,-0.12029,0.31000,0.19916
0.32004,0.32000,-0.12056,0.32000,0.16630
0.33004,0.33000,-0.12186,0.33000,0.13880
0.34005,0.34000,-0.12437,0.34000,0.11780
0.35005,0.35000,-0.12816,0.35000,0.10414
0.36005,0.36000,-0.13316,0.36000,0.09819
0.37005,0.37000,-0.13918,0.37000,0.09979
0.38005,0.38000,-0.14594,0.38000,0.10826
0.39005,0.39000,-0.15307,0.39000,0.12236
0.40005,0.40000,-0.16014,0.40000,0.14042
0.41006,0.41000,-0.16675,0.41000,0.16047
0.42006,0.42000,-0.17251,0.42000,0.18041
0.43006,0.43000,-0.17709,0.43000,0.19822
0.44006,0.44000,-0.18018,0.44000,0.21214
0.45006,0.45000,-0.18156,0.45000,0.22081
0.46006,0.46000,-0.18102,0.46000,0.22339
0.47006,0.47000,-0.17837,0.47000,0.21952
0.48007,0.48000,-0.17347,0.48000,0.20938
0.49007,0.49000,-0.16624,0.49000,0.19350
0.50007,0.50000,-0.15667,0.50000,0.17276
0.51007,0.51000,-0.14489,0.51000,0.14822
0.52007,0.52000,-0.13116,0.52000,0.12106
0.53007,0.53000,-0.11587,0.53000,0.09253
0.54007,0.54000,-0.09960,0.54000,0.06395
0.55007,0.55000,-0.08301,0.55000,0.03666
0.56008,0.56000,-0.06688,0.56000,0.01205
0.57008,0.57000,-0.05203,0.57000,-0.00850
0.58008,0.58000,-0.03924,0.58000,-0.02364
