Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.52320,0.00000,-0.60204
0.01000,0.01000,-0.52413,0.01000,-0.59784
0.02000,0.02000,-0.52515,0.02000,-0.59392
0.03000,0.03000,-0.52628,0.03000,-0.59056
0.04001,0.04000,-0.52751,0.04000,-0.58796
0.05001,0.05000,-0.52883,0.05000,-0.58627
0.06001,0.06000,-0.53022,0.06000,-0.58548
0.07001,0.07000,-0.53165,0.07000,-0.58550
0.08001,0.08000,-0.53304,0.08000,-0.58611
0.09001,0.09000,-0.53429,0.09000,-0.58701
0.10001,0.10000,-0.53531,0.10000,-0.58784
0.11002,0.11000,-0.53600,0.11000,-0.58820
0.12002,0.12000,-0.53631,0.12000,-0.58769
0.13002,0.13000,-0.53623,0.13000,-0.58596
0.14002,0.14000,-0.53578,0.14000,-0.58273
0.15002,0.15000,-0.53505,0.15000,-0.57783
0.16002,0.16000,-0.53413,0.16000,-0.57123
0.17002,0.17000,-0.53311,0.17000,-0.56306
0.18003,0.18000,-0.53211,0.18000,-0.55356
0.19003,0.19000,-0.53118,0.19000,-0.54309
0.20003,0.20000,-0.53037,0.20000,-0.53203
0.21003,0.21000,-0.52970,0.21000,-0.52081
0.22003,0.22000,-0.52917,0.22000,-0.50982
0.23003,0.23000,-0.52874,0.23000,-0.49936
0.24004,0.24000,-0.52837,0.24000,-0.48968
0.25004,0.25000,-0.52802,0.25000,-0.48092
0.26004,0.26000,-0.52763,0.26000,-0.47316
0.27004,0.27000,-0.52716,0.27000,-0.46640
0.28004,0.28000,-0.52654,0.28000,-0.46064
0.29004,0.29000,-0.52573,0.29000,-0.45584
0.30004,0.30000,-0.52465,0.30000,-0.45199
0.31005,0.31000,-0.52321,0.31000,-0.44907
0.32005,0.32000,-0.52128,0.32000,-0.44708
0.33005,0.33000,-0.51869,0.33000,-0.44602
0.34005,0.34000,-0.51526,0.34000,-0.44587
0.35005,0.35000,-0.51078,0.35000,-0.44658
0.36005,0.36000,-0.50508,0.36000,-0.44812
0.37005,0.37000,-0.49805,0.37000,-0.45039
0.38006,0.38000,-0.48963,0.38000,-0.45334
0.39006,0.39000,-0.47986,0.39000,-0.45692
0.40006,0.40000,-0.46888,0.40000,-0.46110
0.41006,0.41000,-0.45687,0.41000,-0.46589
0.42006,0.42000,-0.44406,0.42000,-0.47133
0.43006,0.43000,-0.43071,0.43000,-0.47749
0.44006,0.44000,-0.41704,0.44000,-0.48440
0.45007,0.45000,-0.40328,0.45000,-0.49211
0.46007,0.46000,-0.38962,0.46000,-0.50062
0.47007,0.47000,-0.37626,0.47000,-0.50988
0.48007,0.48000,-0.36341,0.48000,-0.51982
0.49007,0.49000,-0.35126,0.49000,-0.53028
0.50007,0.50000,-0.34004,0.50000,-0.54106
0.51007,0.51000,-0.32994,0.51000,-0.55189
0.52008,0.52000,-0.32115,0.52000,-0.56244
0.53008,0.53000,-0.31383,0.53000,-0.57234
