Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.56852,0.00000,-2.03327,0.00000,0.03537
0.01001,0.01000,-0.57220,0.01000,-2.03388,0.01000,0.03450
0.02001,0.02000,-0.57620,0.02000,-2.03421,0.02000,0.03353
0.03002,0.03000,-0.58040,0.03000,-2.03420,0.03000,0.03251
0.04002,0.04000,-0.58473,0.04000,-2.03384,0.04000,0.03150
0.05003,0.05000,-0.58913,0.05000,-2.03320,0.05000,0.03056
0.06003,0.06000,-0.59357,0.06000,-2.03240,0.06000,0.02976
0.07004,0.07000,-0.59809,0.07000,-2.03162,0.07000,0.02914
0.08004,0.08000,-0.60276,0.08000,-2.03114,0.08000,0.02875
0.09005,0.09000,-0.60770,0.09000,-2.03126,0.09000,0.02862
0.10005,0.10000,-0.61303,0.10000,-2.03232,0.10000,0.02878
0.11006,0.11000,-0.61889,0.11000,-2.03465,0.11000,0.02922
0.12006,0.12000,-0.62544,0.12000,-2.03858,0.12000,0.02992
0.13007,0.13000,-0.63279,0.13000,-2.04436,0.13000,0.03087
0.14007,0.14000,-0.64103,0.14000,-2.05216,0.14000,0.03201
0.15008,0.15000,-0.65024,0.15000,-2.06206,0.15000,0.03332
0.16008,0.16000,-0.66043,0.16000,-2.07399,0.16000,0.03474
0.17009,0.17000,-0.67158,0.17000,-2.08777,0.17000,0.03624
0.18009,0.18000,-0.68359,0.18000,-2.10310,0.18000,0.03778
0.19010,0.19000,-0.69630,0.19000,-2.11956,0.19000,0.03933
0.20011,0.20000,-0.70949,0.20000,-2.13665,0.20000,0.04086
0.21011,0.21000,-0.72284,0.21000,-2.15383,0.21000,0.04235
0.22012,0.22000,-0.73597,0.22000,-2.17054,0.22000,0.04376
0.23012,0.23000,-0.74845,0.23000,-2.18621,0.23000,0.04505
0.24013,0.24000,-0.75985,0.24000,-2.20034,0.24000,0.04617
0.25013,0.25000,-0.76974,0.25000,-2.21248,0.25000,0.04707
0.26014,0.26000,-0.77777,0.26000,-2.22231,0.26000,0.04769
0.27014,0.27000,-0.78372,0.27000,-2.22961,0.27000,0.04800
0.28015,0.28000,-0.78746,0.28000,-2.23430,0.28000,0.04797
0.29015,0.29000,-0.78904,0.29000,-2.23646,0.29000,0.04759
0.30016,0.30000,-0.78864,0.30000,-2.23630,0.30000,0.04687
0.31016,0.31000,-0.78658,0.31000,-2.23416,0.31000,0.04584
0.32017,0.32000,-0.78331,0.32000,-2.23052,0.32000,0.04457
0.33017,0.33000,-0.77932,0.33000,-2.22592,0.33000,0.04310
