Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.32555,0.00000,-0.08754
0.01001,0.01000,-0.32583,0.01000,-0.08861
0.02001,0.02000,-0.32640,0.02000,-0.08985
0.03002,0.03000,-0.32726,0.03000,-0.09122
0.04002,0.04000,-0.32842,0.04000,-0.09268
0.05003,0.05000,-0.32985,0.05000,-0.09417
0.06003,0.06000,-0.33150,0.06000,-0.09564
0.07004,0.07000,-0.33328,0.07000,-0.09704
0.08005,0.08000,-0.33511,0.08000,-0.09833
0.09005,0.09000,-0.33689,0.09000,-0.09949
0.10006,0.10000,-0.33852,0.10000,-0.10050
0.11006,0.11000,-0.33996,0.11000,-0.10135
0.12007,0.12000,-0.34115,0.12000,-0.10205
0.13007,0.13000,-0.34211,0.13000,-0.10259
0.14008,0.14000,-0.34286,0.14000,-0.10298
0.15009,0.15000,-0.34346,0.15000,-0.10319
0.16009,0.16000,-0.34395,0.16000,-0.10321
0.17010,0.17000,-0.34440,0.17000,-0.10302
0.18010,0.18000,-0.34485,0.18000,-0.10259
0.19011,0.19000,-0.34533,0.19000,-0.10191
0.20011,0.20000,-0.34587,0.20000,-0.10098
0.21012,0.21000,-0.34646,0.21000,-0.09980
0.22013,0.22000,-0.34710,0.22000,-0.09844
0.23013,0.23000,-0.34778,0.23000,-0.09698
0.24014,0.24000,-0.34852,0.24000,-0.09552
0.25014,0.25000,-0.34931,0.25000,-0.09421
0.26015,0.26000,-0.35018,0.26000,-0.09320
0.27015,0.27000,-0.35115,0.27000,-0.09265
0.28016,0.28000,-0.35227,0.28000,-0.09272
0.29016,0.29000,-0.35358,0.29000,-0.09355
0.30017,0.30000,-0.35513,0.30000,-0.09524
0.31018,0.31000,-0.35696,0.31000,-0.09788
0.32018,0.32000,-0.35911,0.32000,-0.10147
0.33019,0.33000,-0.36162,0.33000,-0.10599
0.34019,0.34000,-0.36450,0.34000,-0.11134
0.35020,0.35000,-0.36780,0.35000,-0.11736
0.36020,0.36000,-0.37152,0.36000,-0.12385
0.37021,0.37000,-0.37570,0.37000,-0.13056
0.38022,0.38000,-0.38035,0.38000,-0.13724
0.39022,0.39000,-0.38544,0.39000,-0.14363
0.40023,0.40000,-0.39096,0.40000,-0.14949
0.41023,0.41000,-0.39682,0.41000,-0.15463
0.42024,0.42000,-0.40293,0.42000,-0.15892
0.43024,0.43000,-0.40916,0.43000,-0.16227
0.44025,0.44000,-0.41536,0.44000,-0.16470
0.45026,0.45000,-0.42139,0.45000,-0.16627
0.46026,0.46000,-0.42713,0.46000,-0.16712
0.47027,0.47000,-0.43247,0.47000,-0.16742
0.48027,0.48000,-0.43733,0.48000,-0.16739
0.49028,0.49000,-0.44167,0.49000,-0.16722
0.50028,0.50000,-0.44548,0.50000,-0.16710
0.51029,0.51000,-0.44876,0.51000,-0.16720
0.52030,0.52000,-0.45154,0.52000,-0.16761
0.53030,0.53000,-0.45386,0.53000,-0.16839
0.54031,0.54000,-0.45577,0.54000,-0.16953
0.55031,0.55000,-0.45730,0.55000,-0.17097
0.56032,0.56000,-0.45854,0.56000,-0.17263
0.57032,0.57000,-0.45955,0.57000,-0.17436
0.58033,0.58000,-0.46043,0.58000,-0.17604
0.59033,0.59000,-0.46128,0.59000,-0.17753
0.60034,0.60000,-0.46221,0.60000,-0.17872
0.61035,0.61000,-0.46333,0.61000,-0.17953
0.62035,0.62000,-0.46477,0.62000,-0.17995
0.63036,0.63000,-0.46661,0.63000,-0.18000
0.64036,0.64000,-0.46894,0.64000,-0.17977
0.65037,0.65000,-0.47182,0.65000,-0.17937
0.66037,0.66000,-0.47529,0.66000,-0.17894
0.67038,0.67000,-0.47934,0.67000,-0.17864
0.68039,0.68000,-0.48393,0.68000,-0.17860
0.69039,0.69000,-0.48899,0.69000,-0.17895
0.70040,0.70000,-0.49439,0.70000,-0.17975
0.71040,0.71000,-0.49997,0.71000,-0.18104
0.72041,0.72000,-0.50554,0.72000,-0.18281
0.73041,0.73000,-0.51092,0.73000,-0.18496
0.74042,0.74000,-0.51593,0.74000,-0.18738
0.75043,0.75000,-0.52042,0.75000,-0.18991
0.76043,0.76000,-0.52427,0.76000,-0.19239
0.77044,0.77000,-0.52741,0.77000,-0.19467
0.78044,0.78000,-0.52984,0.78000,-0.19662
0.79045,0.79000,-0.53160,0.79000,-0.19816
0.80045,0.80000,-0.53275,0.80000,-0.19928
0.81046,0.81000,-0.53343,0.81000,-0.19998
0.82047,0.82000,-0.53378,0.82000,-0.20032
0.83047,0.83000,-0.53394,0.83000,-0.20039
0.84048,0.84000,-0.53406,0.84000,-0.20029
0.85048,0.85000,-0.53425,0.85000,-0.20008
0.86049,0.86000,-0.53462,0.86000,-0.19983
0.87049,0.87000,-0.53519,0.87000,-0.19959
0.88050,0.88000,-0.53596,0.88000,-0.19937
0.89051,0.89000,-0.53688,0.89000,-0.19916
0.90051,0.90000,-0.53785,0.90000,-0.19896
0.91052,0.91000,-0.53878,0.91000,-0.19878
0.92052,0.92000,-0.53955,0.92000,-0.19864
0.93053,0.93000,-0.54009,0.93000,-0.19855
0.94053,0.94000,-0.54034,0.94000,-0.19857
0.95054,0.95000,-0.54032,0.95000,-0.19876
0.96054,0.96000,-0.54007,0.96000,-0.19916
0.97055,0.97000,-0.53968,0.97000,-0.19983
0.98056,0.98000,-0.53927,0.98000,-0.20079
0.99056,0.99000,-0.53895,0.99000,-0.20205
1.00057,1.00000,-0.53881,1.00000,-0.20358
1.01057,1.01000,-0.53891,1.01000,-0.20532
1.02058,1.02000,-0.53925,1.02000,-0.20723
1.03058,1.03000,-0.53980,1.03000,-0.20921
1.04059,1.04000,-0.54045,1.04000,-0.21120
1.05060,1.05000,-0.54107,1.05000,-0.21312
1.06060,1.06000,-0.54149,1.06000,-0.21487
1.07061,1.07000,-0.54154,1.07000,-0.21638
1.08061,1.08000,-0.54106,1.08000,-0.21756
1.09062,1.09000,-0.53989,1.09000,-0.21836
1.10062,1.10000,-0.53795,1.10000,-0.21873
1.11063,1.11000,-0.53519,1.11000,-0.21864
1.12064,1.12000,-0.53159,1.12000,-0.21809
1.13064,1.13000,-0.52720,1.13000,-0.21711
1.14065,1.14000,-0.52210,1.14000,-0.21575
1.15065,1.15000,-0.51639,1.15000,-0.21405
1.16066,1.16000,-0.51021,1.16000,-0.21207
1.17066,1.17000,-0.50369,1.17000,-0.20986
1.18067,1.18000,-0.49698,1.18000,-0.20746
1.19068,1.19000,-0.49018,1.19000,-0.20490
1.20068,1.20000,-0.48341,1.20000,-0.20221
1.21069,1.21000,-0.47673,1.21000,-0.19941
1.22069,1.22000,-0.47019,1.22000,-0.19655
1.23070,1.23000,-0.46380,1.23000,-0.19365
1.24070,1.24000,-0.45752,1.24000,-0.19078
1.25071,1.25000,-0.45132,1.25000,-0.18796
1.26071,1.26000,-0.44514,1.26000,-0.18525
1.27072,1.27000,-0.43892,1.27000,-0.18267
1.28073,1.28000,-0.43260,1.28000,-0.18024
1.29073,1.29000,-0.42614,1.29000,-0.17796
1.30074,1.30000,-0.41950,1.30000,-0.17580
1.31074,1.31000,-0.41265,1.31000,-0.17370
1.32075,1.32000,-0.40560,1.32000,-0.17158
1.33075,1.33000,-0.39834,1.33000,-0.16936
1.34076,1.34000,-0.39090,1.34000,-0.16694
1.35077,1.35000,-0.38329,1.35000,-0.16427
1.36077,1.36000,-0.37556,1.36000,-0.16130
1.37078,1.37000,-0.36776,1.37000,-0.15804
1.38078,1.38000,-0.35993,1.38000,-0.15454
1.39079,1.39000,-0.35215,1.39000,-0.15088
1.40079,1.40000,-0.34451,1.40000,-0.14717
1.41080,1.41000,-0.33707,1.41000,-0.14353
1.42081,1.42000,-0.32995,1.42000,-0.14005
1.43081,1.43000,-0.32322,1.43000,-0.13683
1.44082,1.44000,-0.31696,1.44000,-0.13392
1.45082,1.45000,-0.31122,1.45000,-0.13135
1.46083,1.46000,-0.30601,1.46000,-0.12911
1.47083,1.47000,-0.30131,1.47000,-0.12717
1.48084,1.48000,-0.29706,1.48000,-0.12547
1.49085,1.49000,-0.29317,1.49000,-0.12393
1.50085,1.50000,-0.28951,1.50000,-0.12248
1.51086,1.51000,-0.28597,1.51000,-0.12101
1.52086,1.52000,-0.28238,1.52000,-0.11946
1.53087,1.53000,-0.27862,1.53000,-0.11777
1.54087,1.54000,-0.27455,1.54000,-0.11590
1.55088,1.55000,-0.27010,1.55000,-0.11386
1.56088,1.56000,-0.26520,1.56000,-0.11169
1.57089,1.57000,-0.25984,1.57000,-0.10944
1.58090,1.58000,-0.25406,1.58000,-0.10717
1.59090,1.59000,-0.24795,1.59000,-0.10494
1.60091,1.60000,-0.24162,1.60000,-0.10277
1.61091,1.61000,-0.23524,1.61000,-0.10068
1.62092,1.62000,-0.22895,1.62000,-0.09862
1.63092,1.63000,-0.22289,1.63000,-0.09655
1.64093,1.64000,-0.21717,1.64000,-0.09437
1.65094,1.65000,-0.21184,1.65000,-0.09198
1.66094,1.66000,-0.20690,1.66000,-0.08930
1.67095,1.67000,-0.20232,1.67000,-0.08622
1.68095,1.68000,-0.19799,1.68000,-0.08268
1.69096,1.69000,-0.19380,1.69000,-0.07862
1.70096,1.70000,-0.18963,1.70000,-0.07407
1.71097,1.71000,-0.18532,1.71000,-0.06909
1.72098,1.72000,-0.18077,1.72000,-0.06378
1.73098,1.73000,-0.17588,1.73000,-0.05832
1.74099,1.74000,-0.17061,1.74000,-0.05291
1.75099,1.75000,-0.16496,1.75000,-0.04778
1.76100,1.76000,-0.15898,1.76000,-0.04311
1.77100,1.77000,-0.15277,1.77000,-0.03905
1.78101,1.78000,-0.14645,1.78000,-0.03566
1.79102,1.79000,-0.14016,1.79000,-0.03294
1.80102,1.80000,-0.13404,1.80000,-0.03079
1.81103,1.81000,-0.12820,1.81000,-0.02905
1.82103,1.82000,-0.12275,1.82000,-0.02752
1.83104,1.83000,-0.11773,1.83000,-0.02602
1.84104,1.84000,-0.11314,1.84000,-0.02437
1.85105,1.85000,-0.10896,1.85000,-0.02242
1.86105,1.86000,-0.10512,1.86000,-0.02012
1.87106,1.87000,-0.10154,1.87000,-0.01745
1.88107,1.88000,-0.09812,1.88000,-0.01448
1.89107,1.89000,-0.09477,1.89000,-0.01131
1.90108,1.90000,-0.09142,1.90000,-0.00807
1.91108,1.91000,-0.08802,1.91000,-0.00491
1.92109,1.92000,-0.08456,1.92000,-0.00194
1.93109,1.93000,-0.08106,1.93000,0.00073
1.94110,1.94000,-0.07758,1.94000,0.00306
1.95111,1.95000,-0.07418,1.95000,0.00505
1.96111,1.96000,-0.07097,1.96000,0.00673
1.97112,1.97000,-0.06801,1.97000,0.00818
1.98112,1.98000,-0.06537,1.98000,0.00946
1.99113,1.99000,-0.06309,1.99000,0.01067
2.00113,2.00000,-0.06113,2.00000,0.01187
2.01114,2.01000,-0.05944,2.01000,0.01312
2.02115,2.02000,-0.05791,2.02000,0.01445
2.03115,2.03000,-0.05641,2.03000,0.01587
2.04116,2.04000,-0.05479,2.04000,0.01734
2.05116,2.05000,-0.05293,2.05000,0.01879
