Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.34891,0.00000,0.09080,0.00000,-0.10765,0.00000,0.45220,0.00000,-0.34894,0.00000,0.09218
0.01001,0.01000,-0.34821,0.01000,0.08926,0.01000,-0.10939,0.01000,0.45084,0.01000,-0.34824,0.01000,0.09067
0.02001,0.02000,-0.34764,0.02000,0.08734,0.02000,-0.11130,0.02000,0.44918,0.02000,-0.34767,0.02000,0.08875
0.03002,0.03000,-0.34730,0.03000,0.08502,0.03000,-0.11330,0.03000,0.44721,0.03000,-0.34733,0.03000,0.08645
0.04002,0.04000,-0.34725,0.04000,0.08235,0.04000,-0.11530,0.04000,0.44496,0.04000,-0.34728,0.04000,0.08378
0.05003,0.05000,-0.34755,0.05000,0.07937,0.05000,-0.11720,0.05000,0.44246,0.05000,-0.34757,0.05000,0.08081
0.06003,0.06000,-0.34822,0.06000,0.07618,0.06000,-0.11889,0.06000,0.43974,0.06000,-0.34824,0.06000,0.07763
0.07004,0.07000,-0.34925,0.07000,0.07289,0.07000,-0.12029,0.07000,0.43686,0.07000,-0.34928,0.07000,0.07433
0.08005,0.08000,-0.35060,0.08000,0.06961,0.08000,-0.12132,0.08000,0.43387,0.08000,-0.35063,0.08000,0.07107
0.09005,0.09000,-0.35218,0.09000,0.06651,0.09000,-0.12193,0.09000,0.43083,0.09000,-0.35221,0.09000,0.06797
0.10006,0.10000,-0.35387,0.10000,0.06373,0.10000,-0.12207,0.10000,0.42779,0.10000,-0.35389,0.10000,0.06520
0.11006,0.11000,-0.35550,0.11000,0.06140,0.11000,-0.12174,0.11000,0.42480,0.11000,-0.35553,0.11000,0.06287
0.12007,0.12000,-0.35693,0.12000,0.05962,0.12000,-0.12093,0.12000,0.42187,0.12000,-0.35695,0.12000,0.06111
0.13007,0.13000,-0.35799,0.13000,0.05846,0.13000,-0.11967,0.13000,0.41904,0.13000,-0.35801,0.13000,0.05998
0.14008,0.14000,-0.35852,0.14000,0.05795,0.14000,-0.11799,0.14000,0.41629,0.14000,-0.35853,0.14000,0.05949
0.15009,0.15000,-0.35840,0.15000,0.05808,0.15000,-0.11593,0.15000,0.41366,0.15000,-0.35841,0.15000,0.05964
0.16009,0.16000,-0.35754,0.16000,0.05878,0.16000,-0.11353,0.16000,0.41113,0.16000,-0.35755,0.16000,0.06037
0.17010,0.17000,-0.35590,0.17000,0.06001,0.17000,-0.11085,0.17000,0.40873,0.17000,-0.35590,0.17000,0.06162
