Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.75086,0.00000,0.04423,0.00000,-0.41312,0.00000,0.65971,0.00000,-0.74829,0.00000,0.04834
0.01000,0.01000,-0.75325,0.01000,0.03533,0.01000,-0.40928,0.01000,0.66699,0.01000,-0.75068,0.01000,0.03935
0.02000,0.02000,-0.75519,0.02000,0.02381,0.02000,-0.40462,0.02000,0.67142,0.02000,-0.75263,0.02000,0.02773
0.03000,0.03000,-0.75640,0.03000,0.00976,0.03000,-0.39926,0.03000,0.67185,0.03000,-0.75386,0.03000,0.01357
0.04001,0.04000,-0.75667,0.04000,-0.00650,0.04000,-0.39342,0.04000,0.66729,0.04000,-0.75414,0.04000,-0.00282
0.05001,0.05000,-0.75578,0.05000,-0.02441,0.05000,-0.38740,0.05000,0.65703,0.05000,-0.75327,0.05000,-0.02087
0.06001,0.06000,-0.75364,0.06000,-0.04317,0.06000,-0.38154,0.06000,0.64076,0.06000,-0.75113,0.06000,-0.03978
0.07001,0.07000,-0.75020,0.07000,-0.06175,0.07000,-0.37623,0.07000,0.61861,0.07000,-0.74770,0.07000,-0.05850
0.08001,0.08000,-0.74555,0.08000,-0.07896,0.08000,-0.37184,0.08000,0.59123,0.08000,-0.74305,0.08000,-0.07585
0.09001,0.09000,-0.73984,0.09000,-0.09356,0.09000,-0.36871,0.09000,0.55977,0.09000,-0.73735,0.09000,-0.09058
0.10002,0.10000,-0.73334,0.10000,-0.10438,0.10000,-0.36711,0.10000,0.52575,0.10000,-0.73083,0.10000,-0.10151
0.11002,0.11000,-0.72636,0.11000,-0.11044,0.11000,-0.36719,0.11000,0.49095,0.11000,-0.72384,0.11000,-0.10766
0.12002,0.12000,-0.71927,0.12000,-0.11111,0.12000,-0.36898,0.12000,0.45728,0.12000,-0.71673,0.12000,-0.10840
0.13002,0.13000,-0.71246,0.13000,-0.10619,0.13000,-0.37239,0.13000,0.42660,0.13000,-0.70989,0.13000,-0.10353
0.14002,0.14000,-0.70629,0.14000,-0.09597,0.14000,-0.37718,0.14000,0.40056,0.14000,-0.70370,0.14000,-0.09333
0.15002,0.15000,-0.70110,0.15000,-0.08121,0.15000,-0.38301,0.15000,0.38049,0.15000,-0.69848,0.15000,-0.07857
0.16002,0.16000,-0.69717,0.16000,-0.06303,0.16000,-0.38947,0.16000,0.36736,0.16000,-0.69451,0.16000,-0.06036
0.17003,0.17000,-0.69468,0.17000,-0.04283,0.17000,-0.39609,0.17000,0.36171,0.17000,-0.69199,0.17000,-0.04011
0.18003,0.18000,-0.69374,0.18000,-0.02211,0.18000,-0.40240,0.18000,0.36363,0.18000,-0.69103,0.18000,-0.01932
0.19003,0.19000,-0.69437,0.19000,-0.00238,0.19000,-0.40797,0.19000,0.37276,0.19000,-0.69165,0.19000,0.00050
0.20003,0.20000,-0.69653,0.20000,0.01498,0.20000,-0.41240,0.20000,0.38828,0.20000,-0.69380,0.20000,0.01796
0.21003,0.21000,-0.70007,0.21000,0.02875,0.21000,-0.41542,0.21000,0.40894,0.21000,-0.69733,0.21000,0.03183
0.22003,0.22000,-0.70476,0.22000,0.03799,0.22000,-0.41685,0.22000,0.43314,0.22000,-0.70203,0.22000,0.04117
0.23003,0.23000,-0.71033,0.23000,0.04203,0.23000,-0.41665,0.23000,0.45903,0.23000,-0.70761,0.23000,0.04531
0.24004,0.24000,-0.71643,0.24000,0.04056,0.24000,-0.41491,0.24000,0.48462,0.24000,-0.71371,0.24000,0.04392
0.25004,0.25000,-0.72266,0.25000,0.03363,0.25000,-0.41186,0.25000,0.50791,0.25000,-0.71996,0.25000,0.03706
0.26004,0.26000,-0.72860,0.26000,0.02162,0.26000,-0.40780,0.26000,0.52708,0.26000,-0.72593,0.26000,0.02510
0.27004,0.27000,-0.73386,0.27000,0.00529,0.27000,-0.40316,0.27000,0.54057,0.27000,-0.73120,0.27000,0.00878
0.28004,0.28000,-0.73805,0.28000,-0.01436,0.28000,-0.39838,0.28000,0.54724,0.28000,-0.73540,0.28000,-0.01087
0.29004,0.29000,-0.74085,0.29000,-0.03605,0.29000,-0.39391,0.29000,0.54648,0.29000,-0.73820,0.29000,-0.03261
0.30004,0.30000,-0.74200,0.30000,-0.05838,0.30000,-0.39020,0.30000,0.53820,0.30000,-0.73935,0.30000,-0.05500
0.31005,0.31000,-0.74137,0.31000,-0.07986,0.31000,-0.38759,0.31000,0.52292,0.31000,-0.73871,0.31000,-0.07657
0.32005,0.32000,-0.73890,0.32000,-0.09904,0.32000,-0.38638,0.32000,0.50169,0.32000,-0.73622,0.32000,-0.09586
0.33005,0.33000,-0.73468,0.33000,-0.11467,0.33000,-0.38673,0.33000,0.47596,0.33000,-0.73197,0.33000,-0.11160
0.34005,0.34000,-0.72890,0.34000,-0.12573,0.34000,-0.38870,0.34000,0.44753,0.34000,-0.72616,0.34000,-0.12278
0.35005,0.35000,-0.72186,0.35000,-0.13158,0.35000,-0.39223,0.35000,0.41837,0.35000,-0.71907,0.35000,-0.12876
0.36005,0.36000,-0.71395,0.36000,-0.13201,0.36000,-0.39715,0.36000,0.39047,0.36000,-0.71113,0.36000,-0.12929
