Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,0.35459,0.00000,0.37002,0.00000,-0.06173
0.01000,0.01000,0.35290,0.01000,0.37141,0.01000,-0.06185
0.02000,0.02000,0.35083,0.02000,0.37329,0.02000,-0.06185
0.03000,0.03000,0.34840,0.03000,0.37564,0.03000,-0.06170
0.04001,0.04000,0.34564,0.04000,0.37846,0.04000,-0.06136
0.05001,0.05000,0.34262,0.05000,0.38164,0.05000,-0.06080
0.06001,0.06000,0.33941,0.06000,0.38510,0.06000,-0.06000
0.07001,0.07000,0.33610,0.07000,0.38867,0.07000,-0.05897
0.08001,0.08000,0.33277,0.08000,0.39218,0.08000,-0.05774
0.09001,0.09000,0.32954,0.09000,0.39546,0.09000,-0.05639
0.10002,0.10000,0.32656,0.10000,0.39834,0.10000,-0.05501
0.11002,0.11000,0.32403,0.11000,0.40067,0.11000,-0.05373
0.12002,0.12000,0.32215,0.12000,0.40231,0.12000,-0.05267
0.13002,0.13000,0.32118,0.13000,0.40321,0.13000,-0.05197
0.14002,0.14000,0.32134,0.14000,0.40333,0.14000,-0.05172
0.15002,0.15000,0.32282,0.15000,0.40268,0.15000,-0.05197
0.16002,0.16000,0.32574,0.16000,0.40135,0.16000,-0.05272
0.17003,0.17000,0.33012,0.17000,0.39945,0.17000,-0.05390
0.18003,0.18000,0.33584,0.18000,0.39714,0.18000,-0.05541
0.19003,0.19000,0.34271,0.19000,0.39460,0.19000,-0.05708
0.20003,0.20000,0.35039,0.20000,0.39201,0.20000,-0.05872
0.21003,0.21000,0.35852,0.21000,0.38953,0.21000,-0.06012
0.22003,0.22000,0.36666,0.22000,0.38730,0.22000,-0.06111
0.23003,0.23000,0.37442,0.23000,0.38541,0.23000,-0.06154
0.24004,0.24000,0.38145,0.24000,0.38389,0.24000,-0.06128
0.25004,0.25000,0.38748,0.25000,0.38274,0.25000,-0.06029
0.26004,0.26000,0.39238,0.26000,0.38192,0.26000,-0.05858
0.27004,0.27000,0.39615,0.27000,0.38138,0.27000,-0.05620
0.28004,0.28000,0.39895,0.28000,0.38106,0.28000,-0.05327
0.29004,0.29000,0.40106,0.29000,0.38089,0.29000,-0.04994
0.30004,0.30000,0.40283,0.30000,0.38081,0.30000,-0.04640
0.31005,0.31000,0.40467,0.31000,0.38079,0.31000,-0.04283
0.32005,0.32000,0.40697,0.32000,0.38079,0.32000,-0.03940
0.33005,0.33000,0.41003,0.33000,0.38078,0.33000,-0.03627
0.34005,0.34000,0.41406,0.34000,0.38072,0.34000,-0.03354
0.35005,0.35000,0.41914,0.35000,0.38057,0.35000,-0.03129
0.36005,0.36000,0.42521,0.36000,0.38030,0.36000,-0.02951
0.37005,0.37000,0.43205,0.37000,0.37986,0.37000,-0.02816
0.38006,0.38000,0.43935,0.38000,0.37921,0.38000,-0.02716
0.39006,0.39000,0.44670,0.39000,0.37832,0.39000,-0.02638
0.40006,0.40000,0.45367,0.40000,0.37718,0.40000,-0.02568
0.41006,0.41000,0.45978,0.41000,0.37578,0.41000,-0.02492
0.42006,0.42000,0.46464,0.42000,0.37412,0.42000,-0.02397
0.43006,0.43000,0.46791,0.43000,0.37218,0.43000,-0.02271
0.44007,0.44000,0.46937,0.44000,0.36996,0.44000,-0.02108
0.45007,0.45000,0.46893,0.45000,0.36743,0.45000,-0.01901
0.46007,0.46000,0.46667,0.46000,0.36454,0.46000,-0.01651
0.47007,0.47000,0.46280,0.47000,0.36125,0.47000,-0.01360
0.48007,0.48000,0.45766,0.48000,0.35750,0.48000,-0.01034
0.49007,0.49000,0.45169,0.49000,0.35324,0.49000,-0.00681
0.50007,0.50000,0.44538,0.50000,0.34844,0.50000,-0.00307
0.51008,0.51000,0.43921,0.51000,0.34309,0.51000,0.00077
0.52008,0.52000,0.43363,0.52000,0.33720,0.52000,0.00465
0.53008,0.53000,0.42901,0.53000,0.33080,0.53000,0.00851
0.54008,0.54000,0.42561,0.54000,0.32396,0.54000,0.01231
0.55008,0.55000,0.42357,0.55000,0.31675,0.55000,0.01606
0.56008,0.56000,0.42293,0.56000,0.30928,0.56000,0.01973
0.57008,0.57000,0.42362,0.57000,0.30166,0.57000,0.02334
0.58009,0.58000,0.42552,0.58000,0.29401,0.58000,0.02689
0.59009,0.59000,0.42841,0.59000,0.28645,0.59000,0.03038
0.60009,0.60000,0.43207,0.60000,0.27906,0.60000,0.03382
0.61009,0.61000,0.43619,0.61000,0.27193,0.61000,0.03721
0.62009,0.62000,0.44046,0.62000,0.26508,0.62000,0.04053
0.63009,0.63000,0.44449,0.63000,0.25854,0.63000,0.04379
0.64009,0.64000,0.44790,0.64000,0.25228,0.64000,0.04700
0.65010,0.65000,0.45027,0.65000,0.24629,0.65000,0.05018
0.66010,0.66000,0.45121,0.66000,0.24052,0.66000,0.05336
0.67010,0.67000,0.45036,0.67000,0.23493,0.67000,0.05657
0.68010,0.68000,0.44744,0.68000,0.22948,0.68000,0.05987
0.69010,0.69000,0.44228,0.69000,0.22414,0.69000,0.06329
0.70010,0.70000,0.43483,0.70000,0.21887,0.70000,0.06688
0.71010,0.71000,0.42515,0.71000,0.21364,0.71000,0.07068
0.72011,0.72000,0.41346,0.72000,0.20842,0.72000,0.07470
0.73011,0.73000,0.40008,0.73000,0.20318,0.73000,0.07895
0.74011,0.74000,0.38542,0.74000,0.19791,0.74000,0.08342
0.75011,0.75000,0.36994,0.75000,0.19256,0.75000,0.08806
0.76011,0.76000,0.35413,0.76000,0.18710,0.76000,0.09284
0.77011,0.77000,0.33847,0.77000,0.18148,0.77000,0.09766
0.78012,0.78000,0.32334,0.78000,0.17567,0.78000,0.10246
0.79012,0.79000,0.30907,0.79000,0.16961,0.79000,0.10713
0.80012,0.80000,0.29588,0.80000,0.16326,0.80000,0.11156
0.81012,0.81000,0.28387,0.81000,0.15658,0.81000,0.11566
0.82012,0.82000,0.27306,0.82000,0.14955,0.82000,0.11933
0.83012,0.83000,0.26335,0.83000,0.14216,0.83000,0.12253
0.84012,0.84000,0.25458,0.84000,0.13441,0.84000,0.12520
0.85013,0.85000,0.24651,0.85000,0.12632,0.85000,0.12737
0.86013,0.86000,0.23885,0.86000,0.11794,0.86000,0.12905
0.87013,0.87000,0.23127,0.87000,0.10931,0.87000,0.13031
0.88013,0.88000,0.22342,0.88000,0.10051,0.88000,0.13121
0.89013,0.89000,0.21497,0.89000,0.09161,0.89000,0.13183
0.90013,0.90000,0.20562,0.90000,0.08267,0.90000,0.13228
0.91013,0.91000,0.19517,0.91000,0.07376,0.91000,0.13261
0.92014,0.92000,0.18349,0.92000,0.06494,0.92000,0.13293
0.93014,0.93000,0.17059,0.93000,0.05626,0.93000,0.13330
0.94014,0.94000,0.15655,0.94000,0.04779,0.94000,0.13377
0.95014,0.95000,0.14157,0.95000,0.03962,0.95000,0.13442
0.96014,0.96000,0.12591,0.96000,0.03185,0.96000,0.13529
0.97014,0.97000,0.10987,0.97000,0.02460,0.97000,0.13641
0.98014,0.98000,0.09379,0.98000,0.01800,0.98000,0.13782
0.99015,0.99000,0.07798,0.99000,0.01217,0.99000,0.13953
1.00015,1.00000,0.06277,1.00000,0.00722,1.00000,0.14151
1.01015,1.01000,0.04845,1.01000,0.00322,1.01000,0.14372
1.02015,1.02000,0.03529,1.02000,0.00021,1.02000,0.14609
1.03015,1.03000,0.02355,1.03000,-0.00183,1.03000,0.14849
1.04015,1.04000,0.01344,1.04000,-0.00296,1.04000,0.15080
1.05015,1.05000,0.00514,1.05000,-0.00329,1.05000,0.15284
1.06016,1.06000,-0.00121,1.06000,-0.00301,1.06000,0.15446
1.07016,1.07000,-0.00550,1.07000,-0.00233,1.07000,0.15553
1.08016,1.08000,-0.00772,1.08000,-0.00150,1.08000,0.15594
1.09016,1.09000,-0.00789,1.09000,-0.00077,1.09000,0.15563
1.10016,1.10000,-0.00610,1.10000,-0.00038,1.10000,0.15461
1.11016,1.11000,-0.00249,1.11000,-0.00051,1.11000,0.15292
1.12016,1.12000,0.00275,1.12000,-0.00128,1.12000,0.15065
1.13017,1.13000,0.00940,1.13000,-0.00274,1.13000,0.14793
1.14017,1.14000,0.01722,1.14000,-0.00484,1.14000,0.14491
1.15017,1.15000,0.02594,1.15000,-0.00748,1.15000,0.14175
1.16017,1.16000,0.03534,1.16000,-0.01046,1.16000,0.13862
1.17017,1.17000,0.04520,1.17000,-0.01359,1.17000,0.13568
1.18017,1.18000,0.05531,1.18000,-0.01661,1.18000,0.13309
1.19018,1.19000,0.06553,1.19000,-0.01927,1.19000,0.13099
1.20018,1.20000,0.07573,1.20000,-0.02135,1.20000,0.12951
1.21018,1.21000,0.08580,1.21000,-0.02264,1.21000,0.12872
1.22018,1.22000,0.09565,1.22000,-0.02299,1.22000,0.12867
1.23018,1.23000,0.10521,1.23000,-0.02228,1.23000,0.12934
1.24018,1.24000,0.11438,1.24000,-0.02049,1.24000,0.13070
1.25018,1.25000,0.12310,1.25000,-0.01765,1.25000,0.13264
1.26019,1.26000,0.13128,1.26000,-0.01388,1.26000,0.13503
1.27019,1.27000,0.13887,1.27000,-0.00935,1.27000,0.13770
1.28019,1.28000,0.14583,1.28000,-0.00431,1.28000,0.14047
1.29019,1.29000,0.15217,1.29000,0.00094,1.29000,0.14316
1.30019,1.30000,0.15790,1.30000,0.00606,1.30000,0.14560
1.31019,1.31000,0.16309,1.31000,0.01069,1.31000,0.14763
1.32019,1.32000,0.16780,1.32000,0.01450,1.32000,0.14913
1.33020,1.33000,0.17208,1.33000,0.01716,1.33000,0.15002
1.34020,1.34000,0.17598,1.34000,0.01846,1.34000,0.15026
1.35020,1.35000,0.17949,1.35000,0.01825,1.35000,0.14985
1.36020,1.36000,0.18255,1.36000,0.01649,1.36000,0.14883
1.37020,1.37000,0.18503,1.37000,0.01327,1.37000,0.14732
1.38020,1.38000,0.18677,1.38000,0.00878,1.38000,0.14542
1.39020,1.39000,0.18753,1.39000,0.00330,1.39000,0.14330
1.40021,1.40000,0.18707,1.40000,-0.00281,1.40000,0.14114
1.41021,1.41000,0.18518,1.41000,-0.00917,1.41000,0.13913
1.42021,1.42000,0.18164,1.42000,-0.01536,1.42000,0.13743
1.43021,1.43000,0.17634,1.43000,-0.02099,1.43000,0.13620
1.44021,1.44000,0.16925,1.44000,-0.02573,1.44000,0.13552
1.45021,1.45000,0.16042,1.45000,-0.02930,1.45000,0.13544
1.46021,1.46000,0.15003,1.46000,-0.03152,1.46000,0.13594
1.47022,1.47000,0.13834,1.47000,-0.03231,1.47000,0.13696
1.48022,1.48000,0.12571,1.48000,-0.03171,1.48000,0.13836
1.49022,1.49000,0.11254,1.49000,-0.02985,1.49000,0.13997
1.50022,1.50000,0.09927,1.50000,-0.02698,1.50000,0.14161
1.51022,1.51000,0.08635,1.51000,-0.02342,1.51000,0.14306
1.52022,1.52000,0.07422,1.52000,-0.01955,1.52000,0.14412
1.53023,1.53000,0.06328,1.53000,-0.01579,1.53000,0.14462
1.54023,1.54000,0.05387,1.54000,-0.01257,1.54000,0.14441
1.55023,1.55000,0.04628,1.55000,-0.01027,1.55000,0.14341
1.56023,1.56000,0.04072,1.56000,-0.00922,1.56000,0.14159
1.57023,1.57000,0.03731,1.57000,-0.00964,1.57000,0.13898
1.58023,1.58000,0.03605,1.58000,-0.01164,1.58000,0.13570
1.59023,1.59000,0.03682,1.59000,-0.01520,1.59000,0.13192
1.60024,1.60000,0.03939,1.60000,-0.02017,1.60000,0.12788
1.61024,1.61000,0.04338,1.61000,-0.02629,1.61000,0.12382
1.62024,1.62000,0.04832,1.62000,-0.03320,1.62000,0.12002
1.63024,1.63000,0.05365,1.63000,-0.04049,1.63000,0.11673
1.64024,1.64000,0.05877,1.64000,-0.04773,1.64000,0.11417
1.65024,1.65000,0.06312,1.65000,-0.05452,1.65000,0.11249
1.66024,1.66000,0.06618,1.66000,-0.06048,1.66000,0.11174
1.67025,1.67000,0.06756,1.67000,-0.06535,1.67000,0.11190
1.68025,1.68000,0.06698,1.68000,-0.06894,1.68000,0.11287
1.69025,1.69000,0.06439,1.69000,-0.07115,1.69000,0.11448
1.70025,1.70000,0.05989,1.70000,-0.07202,1.70000,0.11649
1.71025,1.71000,0.05374,1.71000,-0.07166,1.71000,0.11866
1.72025,1.72000,0.04640,1.72000,-0.07030,1.72000,0.12073
1.73025,1.73000,0.03840,1.73000,-0.06821,1.73000,0.12247
1.74026,1.74000,0.03036,1.74000,-0.06571,1.74000,0.12367
1.75026,1.75000,0.02293,1.75000,-0.06313,1.75000,0.12418
1.76026,1.76000,0.01671,1.76000,-0.06082,1.76000,0.12389
1.77026,1.77000,0.01224,1.77000,-0.05906,1.77000,0.12277
1.78026,1.78000,0.00990,1.78000,-0.05810,1.78000,0.12083
1.79026,1.79000,0.00989,1.79000,-0.05812,1.79000,0.11817
1.80026,1.80000,0.01220,1.80000,-0.05918,1.80000,0.11491
1.81027,1.81000,0.01658,1.81000,-0.06123,1.81000,0.11124
1.82027,1.82000,0.02257,1.82000,-0.06414,1.82000,0.10734
1.83027,1.83000,0.02950,1.83000,-0.06764,1.83000,0.10341
1.84027,1.84000,0.03656,1.84000,-0.07143,1.84000,0.09961
1.85027,1.85000,0.04293,1.85000,-0.07517,1.85000,0.09607
