Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.33460,0.00000,-0.25510,0.00000,0.16291,0.00000,0.04077,0.00000,-0.33405,0.00000,-0.25500
0.01000,0.01000,-0.33283,0.01000,-0.25538,0.01000,0.16038,0.01000,0.04317,0.01000,-0.33228,0.01000,-0.25527
0.02000,0.02000,-0.33069,0.02000,-0.25581,0.02000,0.15700,0.02000,0.04606,0.02000,-0.33015,0.02000,-0.25570
0.03000,0.03000,-0.32825,0.03000,-0.25642,0.03000,0.15267,0.03000,0.04937,0.03000,-0.32772,0.03000,-0.25630
0.04001,0.04000,-0.32561,0.04000,-0.25722,0.04000,0.14733,0.04000,0.05297,0.04000,-0.32509,0.04000,-0.25710
0.05001,0.05000,-0.32291,0.05000,-0.25824,0.05000,0.14097,0.05000,0.05672,0.05000,-0.32241,0.05000,-0.25811
0.06001,0.06000,-0.32032,0.06000,-0.25947,0.06000,0.13359,0.06000,0.06043,0.06000,-0.31983,0.06000,-0.25933
0.07001,0.07000,-0.31800,0.07000,-0.26092,0.07000,0.12528,0.07000,0.06392,0.07000,-0.31753,0.07000,-0.26077
0.08001,0.08000,-0.31610,0.08000,-0.26254,0.08000,0.11618,0.08000,0.06700,0.08000,-0.31566,0.08000,-0.26239
0.09001,0.09000,-0.31473,0.09000,-0.26431,0.09000,0.10649,0.09000,0.06953,0.09000,-0.31432,0.09000,-0.26415
0.10001,0.10000,-0.31396,0.10000,-0.26615,0.10000,0.09649,0.10000,0.07142,0.10000,-0.31358,0.10000,-0.26598
0.11002,0.11000,-0.31377,0.11000,-0.26795,0.11000,0.08649,0.11000,0.07262,0.11000,-0.31342,0.11000,-0.26778
0.12002,0.12000,-0.31407,0.12000,-0.26958,0.12000,0.07679,0.12000,0.07314,0.12000,-0.31375,0.12000,-0.26942
0.13002,0.13000,-0.31470,0.13000,-0.27090,0.13000,0.06770,0.13000,0.07306,0.13000,-0.31442,0.13000,-0.27073
0.14002,0.14000,-0.31547,0.14000,-0.27173,0.14000,0.05946,0.14000,0.07248,0.14000,-0.31522,0.14000,-0.27158
0.15002,0.15000,-0.31613,0.15000,-0.27195,0.15000,0.05221,0.15000,0.07152,0.15000,-0.31591,0.15000,-0.27179
0.16002,0.16000,-0.31645,0.16000,-0.27140,0.16000,0.04601,0.16000,0.07034,0.16000,-0.31625,0.16000,-0.27125
0.17002,0.17000,-0.31622,0.17000,-0.27001,0.17000,0.04083,0.17000,0.06909,0.17000,-0.31604,0.17000,-0.26986
0.18003,0.18000,-0.31527,0.18000,-0.26773,0.18000,0.03655,0.18000,0.06791,0.18000,-0.31511,0.18000,-0.26759
0.19003,0.19000,-0.31351,0.19000,-0.26459,0.19000,0.03302,0.19000,0.06693,0.19000,-0.31337,0.19000,-0.26446
0.20003,0.20000,-0.31091,0.20000,-0.26067,0.20000,0.03005,0.20000,0.06624,0.20000,-0.31078,0.20000,-0.26054
0.21003,0.21000,-0.30750,0.21000,-0.25609,0.21000,0.02744,0.21000,0.06591,0.21000,-0.30738,0.21000,-0.25597
0.22003,0.22000,-0.30336,0.22000,-0.25102,0.22000,0.02502,0.22000,0.06597,0.22000,-0.30325,0.22000,-0.25090
0.23003,0.23000,-0.29862,0.23000,-0.24564,0.23000,0.02264,0.23000,0.06642,0.23000,-0.29852,0.23000,-0.24552
0.24003,0.24000,-0.29340,0.24000,-0.24014,0.24000,0.02018,0.24000,0.06723,0.24000,-0.29331,0.24000,-0.24002
0.25004,0.25000,-0.28783,0.25000,-0.23469,0.25000,0.01758,0.25000,0.06836,0.25000,-0.28776,0.25000,-0.23457
0.26004,0.26000,-0.28205,0.26000,-0.22945,0.26000,0.01479,0.26000,0.06975,0.26000,-0.28198,0.26000,-0.22933
0.27004,0.27000,-0.27613,0.27000,-0.22452,0.27000,0.01183,0.27000,0.07134,0.27000,-0.27608,0.27000,-0.22439
0.28004,0.28000,-0.27014,0.28000,-0.21995,0.28000,0.00873,0.28000,0.07309,0.28000,-0.27011,0.28000,-0.21982
0.29004,0.29000,-0.26411,0.29000,-0.21575,0.29000,0.00555,0.29000,0.07495,0.29000,-0.26409,0.29000,-0.21562
0.30004,0.30000,-0.25804,0.30000,-0.21188,0.30000,0.00238,0.30000,0.07686,0.30000,-0.25802,0.30000,-0.21174
0.31004,0.31000,-0.25189,0.31000,-0.20826,0.31000,-0.00070,0.31000,0.07880,0.31000,-0.25189,0.31000,-0.20811
0.32004,0.32000,-0.24566,0.32000,-0.20477,0.32000,-0.00362,0.32000,0.08072,0.32000,-0.24568,0.32000,-0.20462
0.33005,0.33000,-0.23933,0.33000,-0.20130,0.33000,-0.00632,0.33000,0.08259,0.33000,-0.23936,0.33000,-0.20115
0.34005,0.34000,-0.23291,0.34000,-0.19775,0.34000,-0.00881,0.34000,0.08437,0.34000,-0.23295,0.34000,-0.19759
0.35005,0.35000,-0.22646,0.35000,-0.19403,0.35000,-0.01108,0.35000,0.08602,0.35000,-0.22650,0.35000,-0.19386
0.36005,0.36000,-0.22004,0.36000,-0.19009,0.36000,-0.01321,0.36000,0.08753,0.36000,-0.22009,0.36000,-0.18992
0.37005,0.37000,-0.21376,0.37000,-0.18594,0.37000,-0.01526,0.37000,0.08887,0.37000,-0.21382,0.37000,-0.18575
0.38005,0.38000,-0.20775,0.38000,-0.18160,0.38000,-0.01730,0.38000,0.09002,0.38000,-0.20781,0.38000,-0.18142
0.39005,0.39000,-0.20212,0.39000,-0.17717,0.39000,-0.01942,0.39000,0.09099,0.39000,-0.20220,0.39000,-0.17697
0.40006,0.40000,-0.19701,0.40000,-0.17274,0.40000,-0.02166,0.40000,0.09178,0.40000,-0.19709,0.40000,-0.17254
0.41006,0.41000,-0.19249,0.41000,-0.16843,0.41000,-0.02407,0.41000,0.09238,0.41000,-0.19258,0.41000,-0.16823
0.42006,0.42000,-0.18864,0.42000,-0.16436,0.42000,-0.02663,0.42000,0.09280,0.42000,-0.18873,0.42000,-0.16416
0.43006,0.43000,-0.18545,0.43000,-0.16066,0.43000,-0.02933,0.43000,0.09306,0.43000,-0.18555,0.43000,-0.16045
0.44006,0.44000,-0.18292,0.44000,-0.15739,0.44000,-0.03212,0.44000,0.09314,0.44000,-0.18302,0.44000,-0.15719
0.45006,0.45000,-0.18097,0.45000,-0.15463,0.45000,-0.03495,0.45000,0.09303,0.45000,-0.18108,0.45000,-0.15442
0.46006,0.46000,-0.17951,0.46000,-0.15240,0.46000,-0.03775,0.46000,0.09274,0.46000,-0.17962,0.46000,-0.15219
0.47007,0.47000,-0.17841,0.47000,-0.15070,0.47000,-0.04048,0.47000,0.09224,0.47000,-0.17853,0.47000,-0.15049
0.48007,0.48000,-0.17756,0.48000,-0.14951,0.48000,-0.04309,0.48000,0.09153,0.48000,-0.17768,0.48000,-0.14930
0.49007,0.49000,-0.17681,0.49000,-0.14878,0.49000,-0.04556,0.49000,0.09062,0.49000,-0.17694,0.49000,-0.14857
0.50007,0.50000,-0.17607,0.50000,-0.14848,0.50000,-0.04789,0.50000,0.08953,0.50000,-0.17620,0.50000,-0.14827
0.51007,0.51000,-0.17525,0.51000,-0.14853,0.51000,-0.05008,0.51000,0.08831,0.51000,-0.17538,0.51000,-0.14833
