Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.45551,0.00000,0.59260,0.00000,-0.29272
0.01000,0.01000,-0.45291,0.01000,0.59297,0.01000,-0.29184
0.02000,0.02000,-0.45033,0.02000,0.59331,0.02000,-0.29086
0.03000,0.03000,-0.44789,0.03000,0.59358,0.03000,-0.28980
0.04001,0.04000,-0.44572,0.04000,0.59378,0.04000,-0.28870
0.05001,0.05000,-0.44393,0.05000,0.59389,0.05000,-0.28759
0.06001,0.06000,-0.44258,0.06000,0.59390,0.06000,-0.28650
0.07001,0.07000,-0.44172,0.07000,0.59380,0.07000,-0.28546
0.08001,0.08000,-0.44136,0.08000,0.59361,0.08000,-0.28449
0.09001,0.09000,-0.44150,0.09000,0.59333,0.09000,-0.28362
0.10001,0.10000,-0.44211,0.10000,0.59296,0.10000,-0.28284
0.11002,0.11000,-0.44317,0.11000,0.59250,0.11000,-0.28216
0.12002,0.12000,-0.44465,0.12000,0.59193,0.12000,-0.28158
0.13002,0.13000,-0.44650,0.13000,0.59125,0.13000,-0.28107
0.14002,0.14000,-0.44869,0.14000,0.59042,0.14000,-0.28063
0.15002,0.15000,-0.45118,0.15000,0.58943,0.15000,-0.28024
0.16002,0.16000,-0.45392,0.16000,0.58824,0.16000,-0.27988
0.17002,0.17000,-0.45688,0.17000,0.58681,0.17000,-0.27956
0.18003,0.18000,-0.46002,0.18000,0.58511,0.18000,-0.27926
0.19003,0.19000,-0.46332,0.19000,0.58311,0.19000,-0.27900
0.20003,0.20000,-0.46675,0.20000,0.58079,0.20000,-0.27876
0.21003,0.21000,-0.47028,0.21000,0.57814,0.21000,-0.27855
0.22003,0.22000,-0.47390,0.22000,0.57518,0.22000,-0.27836
0.23003,0.23000,-0.47758,0.23000,0.57192,0.23000,-0.27819
0.24003,0.24000,-0.48129,0.24000,0.56840,0.24000,-0.27804
0.25004,0.25000,-0.48501,0.25000,0.56467,0.25000,-0.27790
0.26004,0.26000,-0.48868,0.26000,0.56079,0.26000,-0.27778
0.27004,0.27000,-0.49224,0.27000,0.55680,0.27000,-0.27768
0.28004,0.28000,-0.49561,0.28000,0.55277,0.28000,-0.27759
0.29004,0.29000,-0.49872,0.29000,0.54875,0.29000,-0.27750
0.30004,0.30000,-0.50147,0.30000,0.54480,0.30000,-0.27742
0.31004,0.31000,-0.50381,0.31000,0.54096,0.31000,-0.27732
0.32004,0.32000,-0.50567,0.32000,0.53728,0.32000,-0.27719
0.33005,0.33000,-0.50706,0.33000,0.53381,0.33000,-0.27702
0.34005,0.34000,-0.50797,0.34000,0.53056,0.34000,-0.27680
0.35005,0.35000,-0.50846,0.35000,0.52757,0.35000,-0.27653
0.36005,0.36000,-0.50861,0.36000,0.52483,0.36000,-0.27622
0.37005,0.37000,-0.50849,0.37000,0.52235,0.37000,-0.27586
0.38005,0.38000,-0.50818,0.38000,0.52013,0.38000,-0.27550
0.39005,0.39000,-0.50776,0.39000,0.51812,0.39000,-0.27514
0.40006,0.40000,-0.50724,0.40000,0.51632,0.40000,-0.27483
0.41006,0.41000,-0.50663,0.41000,0.51469,0.41000,-0.27459
0.42006,0.42000,-0.50586,0.42000,0.51318,0.42000,-0.27444
0.43006,0.43000,-0.50483,0.43000,0.51177,0.43000,-0.27439
0.44006,0.44000,-0.50339,0.44000,0.51041,0.44000,-0.27443
0.45006,0.45000,-0.50139,0.45000,0.50906,0.45000,-0.27454
0.46006,0.46000,-0.49868,0.46000,0.50768,0.46000,-0.27467
0.47007,0.47000,-0.49514,0.47000,0.50621,0.47000,-0.27475
0.48007,0.48000,-0.49072,0.48000,0.50462,0.48000,-0.27472
0.49007,0.49000,-0.48541,0.49000,0.50288,0.49000,-0.27451
0.50007,0.50000,-0.47930,0.50000,0.50095,0.50000,-0.27405
0.51007,0.51000,-0.47249,0.51000,0.49880,0.51000,-0.27330
0.52007,0.52000,-0.46516,0.52000,0.49642,0.52000,-0.27222
0.53007,0.53000,-0.45748,0.53000,0.49379,0.53000,-0.27081
0.54008,0.54000,-0.44963,0.54000,0.49090,0.54000,-0.26908
0.55008,0.55000,-0.44175,0.55000,0.48775,0.55000,-0.26707
0.56008,0.56000,-0.43399,0.56000,0.48435,0.56000,-0.26482
0.57008,0.57000,-0.42642,0.57000,0.48073,0.57000,-0.26239
0.58008,0.58000,-0.41909,0.58000,0.47692,0.58000,-0.25982
0.59008,0.59000,-0.41204,0.59000,0.47297,0.59000,-0.25717
0.60008,0.60000,-0.40524,0.60000,0.46896,0.60000,-0.25448
0.61008,0.61000,-0.39869,0.61000,0.46497,0.61000,-0.25180
0.62009,0.62000,-0.39233,0.62000,0.46110,0.62000,-0.24917
0.63009,0.63000,-0.38613,0.63000,0.45742,0.63000,-0.24661
0.64009,0.64000,-0.38005,0.64000,0.45403,0.64000,-0.24417
0.65009,0.65000,-0.37404,0.65000,0.45099,0.65000,-0.24189
0.66009,0.66000,-0.36807,0.66000,0.44835,0.66000,-0.23978
0.67009,0.67000,-0.36209,0.67000,0.44612,0.67000,-0.23788
0.68009,0.68000,-0.35606,0.68000,0.44431,0.68000,-0.23619
0.69010,0.69000,-0.34993,0.69000,0.44288,0.69000,-0.23473
0.70010,0.70000,-0.34366,0.70000,0.44177,0.70000,-0.23347
0.71010,0.71000,-0.33722,0.71000,0.44091,0.71000,-0.23239
0.72010,0.72000,-0.33061,0.72000,0.44021,0.72000,-0.23145
0.73010,0.73000,-0.32382,0.73000,0.43956,0.73000,-0.23061
0.74010,0.74000,-0.31691,0.74000,0.43888,0.74000,-0.22982
0.75010,0.75000,-0.30995,0.75000,0.43806,0.75000,-0.22902
0.76011,0.76000,-0.30304,0.76000,0.43703,0.76000,-0.22817
0.77011,0.77000,-0.29630,0.77000,0.43572,0.77000,-0.22721
0.78011,0.78000,-0.28986,0.78000,0.43410,0.78000,-0.22612
0.79011,0.79000,-0.28383,0.79000,0.43216,0.79000,-0.22486
0.80011,0.80000,-0.27832,0.80000,0.42989,0.80000,-0.22344
0.81011,0.81000,-0.27339,0.81000,0.42736,0.81000,-0.22185
0.82011,0.82000,-0.26909,0.82000,0.42461,0.82000,-0.22013
0.83012,0.83000,-0.26539,0.83000,0.42171,0.83000,-0.21832
0.84012,0.84000,-0.26227,0.84000,0.41873,0.84000,-0.21648
0.85012,0.85000,-0.25966,0.85000,0.41572,0.85000,-0.21467
0.86012,0.86000,-0.25749,0.86000,0.41275,0.86000,-0.21296
0.87012,0.87000,-0.25569,0.87000,0.40982,0.87000,-0.21143
0.88012,0.88000,-0.25420,0.88000,0.40697,0.88000,-0.21013
0.89012,0.89000,-0.25296,0.89000,0.40418,0.89000,-0.20910
0.90012,0.90000,-0.25194,0.90000,0.40145,0.90000,-0.20835
0.91013,0.91000,-0.25116,0.91000,0.39877,0.91000,-0.20787
0.92013,0.92000,-0.25061,0.92000,0.39613,0.92000,-0.20763
0.93013,0.93000,-0.25034,0.93000,0.39353,0.93000,-0.20757
0.94013,0.94000,-0.25038,0.94000,0.39097,0.94000,-0.20765
0.95013,0.95000,-0.25076,0.95000,0.38846,0.95000,-0.20779
0.96013,0.96000,-0.25149,0.96000,0.38603,0.96000,-0.20795
0.97013,0.97000,-0.25253,0.97000,0.38369,0.97000,-0.20808
0.98014,0.98000,-0.25381,0.98000,0.38144,0.98000,-0.20814
0.99014,0.99000,-0.25518,0.99000,0.37929,0.99000,-0.20810
1.00014,1.00000,-0.25647,1.00000,0.37723,1.00000,-0.20794
1.01014,1.01000,-0.25744,1.01000,0.37520,1.01000,-0.20763
1.02014,1.02000,-0.25788,1.02000,0.37317,1.02000,-0.20717
1.03014,1.03000,-0.25756,1.03000,0.37104,1.03000,-0.20652
1.04014,1.04000,-0.25626,1.04000,0.36874,1.04000,-0.20568
1.05015,1.05000,-0.25386,1.05000,0.36618,1.05000,-0.20464
1.06015,1.06000,-0.25025,1.06000,0.36327,1.06000,-0.20341
1.07015,1.07000,-0.24542,1.07000,0.35997,1.07000,-0.20201
1.08015,1.08000,-0.23940,1.08000,0.35624,1.08000,-0.20047
1.09015,1.09000,-0.23228,1.09000,0.35207,1.09000,-0.19884
1.10015,1.10000,-0.22420,1.10000,0.34752,1.10000,-0.19719
1.11015,1.11000,-0.21532,1.11000,0.34266,1.11000,-0.19554
1.12016,1.12000,-0.20580,1.12000,0.33760,1.12000,-0.19395
1.13016,1.13000,-0.19581,1.13000,0.33245,1.13000,-0.19243
1.14016,1.14000,-0.18550,1.14000,0.32735,1.14000,-0.19098
1.15016,1.15000,-0.17500,1.15000,0.32244,1.15000,-0.18956
1.16016,1.16000,-0.16445,1.16000,0.31784,1.16000,-0.18814
1.17016,1.17000,-0.15394,1.17000,0.31367,1.17000,-0.18665
1.18016,1.18000,-0.14360,1.18000,0.30999,1.18000,-0.18503
1.19016,1.19000,-0.13352,1.19000,0.30684,1.19000,-0.18323
1.20017,1.20000,-0.12381,1.20000,0.30423,1.20000,-0.18121
1.21017,1.21000,-0.11453,1.21000,0.30211,1.21000,-0.17895
1.22017,1.22000,-0.10576,1.22000,0.30039,1.22000,-0.17646
1.23017,1.23000,-0.09753,1.23000,0.29896,1.23000,-0.17373
1.24017,1.24000,-0.08984,1.24000,0.29767,1.24000,-0.17082
1.25017,1.25000,-0.08268,1.25000,0.29636,1.25000,-0.16774
1.26017,1.26000,-0.07597,1.26000,0.29488,1.26000,-0.16454
1.27018,1.27000,-0.06966,1.27000,0.29308,1.27000,-0.16124
1.28018,1.28000,-0.06365,1.28000,0.29086,1.28000,-0.15788
1.29018,1.29000,-0.05786,1.29000,0.28816,1.29000,-0.15448
1.30018,1.30000,-0.05223,1.30000,0.28497,1.30000,-0.15105
1.31018,1.31000,-0.04669,1.31000,0.28134,1.31000,-0.14763
1.32018,1.32000,-0.04123,1.32000,0.27734,1.32000,-0.14424
1.33018,1.33000,-0.03582,1.33000,0.27311,1.33000,-0.14089
1.34019,1.34000,-0.03049,1.34000,0.26880,1.34000,-0.13761
1.35019,1.35000,-0.02527,1.35000,0.26457,1.35000,-0.13442
1.36019,1.36000,-0.02022,1.36000,0.26058,1.36000,-0.13136
1.37019,1.37000,-0.01539,1.37000,0.25698,1.37000,-0.12842
1.38019,1.38000,-0.01089,1.38000,0.25389,1.38000,-0.12563
1.39019,1.39000,-0.00680,1.39000,0.25139,1.39000,-0.12299
1.40019,1.40000,-0.00322,1.40000,0.24952,1.40000,-0.12051
1.41020,1.41000,-0.00023,1.41000,0.24829,1.41000,-0.11819
1.42020,1.42000,0.00210,1.42000,0.24765,1.42000,-0.11604
1.43020,1.43000,0.00371,1.43000,0.24752,1.43000,-0.11407
1.44020,1.44000,0.00460,1.44000,0.24775,1.44000,-0.11226
1.45020,1.45000,0.00480,1.45000,0.24820,1.45000,-0.11063
1.46020,1.46000,0.00436,1.46000,0.24867,1.46000,-0.10914
1.47020,1.47000,0.00337,1.47000,0.24900,1.47000,-0.10778
1.48020,1.48000,0.00192,1.48000,0.24899,1.48000,-0.10651
1.49021,1.49000,0.00012,1.49000,0.24849,1.49000,-0.10529
1.50021,1.50000,-0.00197,1.50000,0.24740,1.50000,-0.10407
1.51021,1.51000,-0.00426,1.51000,0.24561,1.51000,-0.10279
1.52021,1.52000,-0.00673,1.52000,0.24311,1.52000,-0.10143
1.53021,1.53000,-0.00937,1.53000,0.23988,1.53000,-0.09994
1.54021,1.54000,-0.01219,1.54000,0.23597,1.54000,-0.09831
1.55021,1.55000,-0.01521,1.55000,0.23142,1.55000,-0.09652
1.56022,1.56000,-0.01846,1.56000,0.22631,1.56000,-0.09458
1.57022,1.57000,-0.02200,1.57000,0.22075,1.57000,-0.09252
1.58022,1.58000,-0.02583,1.58000,0.21484,1.58000,-0.09038
1.59022,1.59000,-0.02996,1.59000,0.20868,1.59000,-0.08820
1.60022,1.60000,-0.03438,1.60000,0.20239,1.60000,-0.08602
1.61022,1.61000,-0.03904,1.61000,0.19608,1.61000,-0.08390
1.62022,1.62000,-0.04385,1.62000,0.18985,1.62000,-0.08187
1.63023,1.63000,-0.04869,1.63000,0.18379,1.63000,-0.07994
1.64023,1.64000,-0.05341,1.64000,0.17798,1.64000,-0.07811
1.65023,1.65000,-0.05787,1.65000,0.17248,1.65000,-0.07635
1.66023,1.66000,-0.06189,1.66000,0.16733,1.66000,-0.07464
1.67023,1.67000,-0.06534,1.67000,0.16254,1.67000,-0.07293
1.68023,1.68000,-0.06811,1.68000,0.15809,1.68000,-0.07115
1.69023,1.69000,-0.07011,1.69000,0.15395,1.69000,-0.06925
1.70024,1.70000,-0.07133,1.70000,0.15007,1.70000,-0.06719
1.71024,1.71000,-0.07179,1.71000,0.14639,1.71000,-0.06494
1.72024,1.72000,-0.07155,1.72000,0.14287,1.72000,-0.06247
1.73024,1.73000,-0.07069,1.73000,0.13945,1.73000,-0.05979
1.74024,1.74000,-0.06930,1.74000,0.13607,1.74000,-0.05691
1.75024,1.75000,-0.06749,1.75000,0.13269,1.75000,-0.05388
1.76024,1.76000,-0.06536,1.76000,0.12926,1.76000,-0.05075
1.77024,1.77000,-0.06299,1.77000,0.12575,1.77000,-0.04755
1.78025,1.78000,-0.06043,1.78000,0.12212,1.78000,-0.04436
1.79025,1.79000,-0.05774,1.79000,0.11834,1.79000,-0.04121
1.80025,1.80000,-0.05492,1.80000,0.11439,1.80000,-0.03814
1.81025,1.81000,-0.05199,1.81000,0.11028,1.81000,-0.03515
1.82025,1.82000,-0.04892,1.82000,0.10602,1.82000,-0.03227
1.83025,1.83000,-0.04571,1.83000,0.10164,1.83000,-0.02946
1.84025,1.84000,-0.04234,1.84000,0.09719,1.84000,-0.02672
1.85026,1.85000,-0.03882,1.85000,0.09271,1.85000,-0.02403
1.86026,1.86000,-0.03518,1.86000,0.08829,1.86000,-0.02138
1.87026,1.87000,-0.03146,1.87000,0.08397,1.87000,-0.01878
1.88026,1.88000,-0.02771,1.88000,0.07981,1.88000,-0.01624
1.89026,1.89000,-0.02401,1.89000,0.07585,1.89000,-0.01378
1.90026,1.90000,-0.02042,1.90000,0.07209,1.90000,-0.01143
1.91026,1.91000,-0.01700,1.91000,0.06854,1.91000,-0.00924
1.92027,1.92000,-0.01382,1.92000,0.06518,1.92000,-0.00723
1.93027,1.93000,-0.01091,1.93000,0.06197,1.93000,-0.00545
1.94027,1.94000,-0.00831,1.94000,0.05889,1.94000,-0.00392
1.95027,1.95000,-0.00602,1.95000,0.05591,1.95000,-0.00267
1.96027,1.96000,-0.00405,1.96000,0.05301,1.96000,-0.00171
1.97027,1.97000,-0.00240,1.97000,0.05017,1.97000,-0.00104
1.98027,1.98000,-0.00104,1.98000,0.04736,1.98000,-0.00066
1.99028,1.99000,0.00006,1.99000,0.04456,1.99000,-0.00053
2.00028,2.00000,0.00092,2.00000,0.04174,2.00000,-0.00059
2.01028,2.01000,0.00160,2.01000,0.03888,2.01000,-0.00078
2.02028,2.02000,0.00214,2.02000,0.03596,2.02000,-0.00103
2.03028,2.03000,0.00259,2.03000,0.03295,2.03000,-0.00128
2.04028,2.04000,0.00298,2.04000,0.02985,2.04000,-0.00147
2.05028,2.05000,0.00335,2.05000,0.02665,2.05000,-0.00158
2.06029,2.06000,0.00370,2.06000,0.02336,2.06000,-0.00160
2.07029,2.07000,0.00403,2.07000,0.01999,2.07000,-0.00154
2.08029,2.08000,0.00429,2.08000,0.01657,2.08000,-0.00146
2.09029,2.09000,0.00445,2.09000,0.01310,2.09000,-0.00139
2.10029,2.10000,0.00445,2.10000,0.00961,2.10000,-0.00140
2.11029,2.11000,0.00420,2.11000,0.00612,2.11000,-0.00153
2.12029,2.12000,0.00364,2.12000,0.00265,2.12000,-0.00182
2.13029,2.13000,0.00269,2.13000,-0.00081,2.13000,-0.00229
2.14030,2.14000,0.00129,2.14000,-0.00422,2.14000,-0.00293
2.15030,2.15000,-0.00060,2.15000,-0.00759,2.15000,-0.00371
2.16030,2.16000,-0.00297,2.16000,-0.01091,2.16000,-0.00462
2.17030,2.17000,-0.00577,2.17000,-0.01417,2.17000,-0.00561
2.18030,2.18000,-0.00888,2.18000,-0.01736,2.18000,-0.00665
