Tiempo;Evento
3.6;Posición inicial
6.7;< Contacto inicial derecho
6.76;> Despegue izquierdo
7.27;< Contacto inicial izquierdo
7.32;> Despegue derecho
7.75;< Contacto inicial derecho
7.81;> Despegue izquierdo
8.25;< Contacto inicial izquierdo
8.3;> Despegue derecho
8.74;< Contacto inicial derecho
8.8;> Despegue izquierdo
9.22;< Contacto inicial izquierdo
9.28;> Despegue derecho
9.71;< Contacto inicial derecho
9.77;> Despegue izquierdo
10.19;< Contacto inicial izquierdo
10.25;> Despegue derecho
10.7;< Contacto inicial derecho
10.77;> Despegue izquierdo
11.2;< Contacto inicial izquierdo
11.25;> Despegue derecho
11.71;< Contacto inicial derecho
11.77;> Despegue izquierdo
12.21;< Contacto inicial izquierdo
12.26;> Despegue derecho
12.7;< Contacto inicial derecho
12.76;> Despegue izquierdo
13.19;< Contacto inicial izquierdo
13.25;> Despegue derecho
13.68;< Contacto inicial derecho
13.75;> Despegue izquierdo
14.19;< Contacto inicial izquierdo
14.25;> Despegue derecho
14.67;< Contacto inicial derecho
14.74;> Despegue izquierdo
15.16;< Contacto inicial izquierdo
15.22;> Despegue derecho
15.64;< Contacto inicial derecho
15.71;> Despegue izquierdo
16.12;< Contacto inicial izquierdo
16.17;> Despegue derecho
16.6;< Contacto inicial derecho
16.66;> Despegue izquierdo
17.05;< Contacto inicial izquierdo
17.11;> Despegue derecho
17.54;< Contacto inicial derecho
17.61;> Despegue izquierdo
17.99;< Contacto inicial izquierdo
18.04;> Despegue derecho
18.48;< Contacto inicial derecho
18.55;> Despegue izquierdo
18.95;< Contacto inicial izquierdo
19;> Despegue derecho
19.44;< Contacto inicial derecho
19.51;> Despegue izquierdo
19.91;< Contacto inicial izquierdo
19.96;> Despegue derecho
20.38;< Contacto inicial derecho
20.45;> Despegue izquierdo
20.82;< Contacto inicial izquierdo
20.88;> Despegue derecho
21.28;< Contacto inicial derecho
21.35;> Despegue izquierdo
21.44;< Contacto inicial izquierdo
21.52;> Despegue derecho
22.78;< Contacto inicial izquierdo
22.84;> Despegue derecho
23.36;< Contacto inicial derecho
23.42;> Despegue izquierdo
23.85;< Contacto inicial izquierdo
23.91;> Despegue derecho
24.35;< Contacto inicial derecho
24.41;> Despegue izquierdo
24.8;< Contacto inicial izquierdo
24.85;> Despegue derecho
25.28;< Contacto inicial derecho
25.34;> Despegue izquierdo
25.75;< Contacto inicial izquierdo
25.81;> Despegue derecho
26.25;< Contacto inicial derecho
26.31;> Despegue izquierdo
26.7;< Contacto inicial izquierdo
26.76;> Despegue derecho
27.2;< Contacto inicial derecho
27.26;> Despegue izquierdo
27.66;< Contacto inicial izquierdo
27.71;> Despegue derecho
28.16;< Contacto inicial derecho
28.22;> Despegue izquierdo
28.61;< Contacto inicial izquierdo
28.66;> Despegue derecho
29.1;< Contacto inicial derecho
29.16;> Despegue izquierdo
