Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.00107,0.00000,0.61949,0.00000,0.30033
0.01001,0.01000,0.00266,0.01000,0.61983,0.01000,0.29955
0.02001,0.02000,0.00612,0.02000,0.62040,0.02000,0.29860
0.03002,0.03000,0.00898,0.03000,0.62127,0.03000,0.29752
0.04002,0.04000,0.01097,0.04000,0.62247,0.04000,0.29634
0.05003,0.05000,0.01183,0.05000,0.62406,0.05000,0.29508
0.06003,0.06000,0.01138,0.06000,0.62606,0.06000,0.29382
0.07004,0.07000,0.00954,0.07000,0.62852,0.07000,0.29259
0.08004,0.08000,0.00633,0.08000,0.63144,0.08000,0.29147
0.09005,0.09000,0.00189,0.09000,0.63485,0.09000,0.29050
0.10005,0.10000,-0.00353,0.10000,0.63873,0.10000,0.28972
0.11006,0.11000,-0.00959,0.11000,0.64308,0.11000,0.28916
0.12007,0.12000,-0.01585,0.12000,0.64785,0.12000,0.28884
0.13007,0.13000,-0.02187,0.13000,0.65297,0.13000,0.28876
0.14008,0.14000,-0.02717,0.14000,0.65838,0.14000,0.28890
0.15008,0.15000,-0.03134,0.15000,0.66396,0.15000,0.28923
0.16009,0.16000,-0.03401,0.16000,0.66959,0.16000,0.28972
0.17009,0.17000,-0.03490,0.17000,0.67516,0.17000,0.29032
0.18010,0.18000,-0.03386,0.18000,0.68054,0.18000,0.29099
0.19010,0.19000,-0.03081,0.19000,0.68562,0.19000,0.29169
0.20011,0.20000,-0.02577,0.20000,0.69031,0.20000,0.29238
0.21011,0.21000,-0.01886,0.21000,0.69456,0.21000,0.29301
0.22012,0.22000,-0.01026,0.22000,0.69833,0.22000,0.29357
0.23013,0.23000,-0.00020,0.23000,0.70165,0.23000,0.29404
0.24013,0.24000,0.01108,0.24000,0.70455,0.24000,0.29442
0.25014,0.25000,0.02330,0.25000,0.70713,0.25000,0.29475
0.26014,0.26000,0.03618,0.26000,0.70948,0.26000,0.29504
0.27015,0.27000,0.04947,0.27000,0.71174,0.27000,0.29536
0.28015,0.28000,0.06287,0.28000,0.71402,0.28000,0.29575
0.29016,0.29000,0.07613,0.29000,0.71644,0.29000,0.29625
0.30016,0.30000,0.08897,0.30000,0.71909,0.30000,0.29690
0.31017,0.31000,0.10112,0.31000,0.72205,0.31000,0.29774
0.32017,0.32000,0.11232,0.32000,0.72537,0.32000,0.29878
0.33018,0.33000,0.12235,0.33000,0.72907,0.33000,0.30002
0.34019,0.34000,0.13102,0.34000,0.73316,0.34000,0.30147
0.35019,0.35000,0.13819,0.35000,0.73762,0.35000,0.30311
0.36020,0.36000,0.14379,0.36000,0.74243,0.36000,0.30494
0.37020,0.37000,0.14780,0.37000,0.74755,0.37000,0.30695
0.38021,0.38000,0.15028,0.38000,0.75292,0.38000,0.30913
0.39021,0.39000,0.15134,0.39000,0.75850,0.39000,0.31150
0.40022,0.40000,0.15113,0.40000,0.76421,0.40000,0.31402
0.41022,0.41000,0.14985,0.41000,0.76998,0.41000,0.31671
0.42023,0.42000,0.14773,0.42000,0.77572,0.42000,0.31954
0.43023,0.43000,0.14506,0.43000,0.78135,0.43000,0.32249
0.44024,0.44000,0.14209,0.44000,0.78681,0.44000,0.32552
0.45024,0.45000,0.13913,0.45000,0.79202,0.45000,0.32858
0.46025,0.46000,0.13645,0.46000,0.79692,0.46000,0.33163
0.47026,0.47000,0.13434,0.47000,0.80149,0.47000,0.33461
0.48026,0.48000,0.13304,0.48000,0.80570,0.48000,0.33746
0.49027,0.49000,0.13275,0.49000,0.80955,0.49000,0.34016
0.50027,0.50000,0.13363,0.50000,0.81304,0.50000,0.34266
0.51028,0.51000,0.13578,0.51000,0.81618,0.51000,0.34495
