Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.02177,0.00000,0.25442,0.00000,0.25487
0.01000,0.01000,-0.01677,0.01000,0.25413,0.01000,0.25386
0.02000,0.02000,-0.01125,0.02000,0.25389,0.02000,0.25269
0.03000,0.03000,-0.00545,0.03000,0.25375,0.03000,0.25138
0.04001,0.04000,0.00040,0.04000,0.25376,0.04000,0.24998
0.05001,0.05000,0.00601,0.05000,0.25396,0.05000,0.24853
0.06001,0.06000,0.01114,0.06000,0.25440,0.06000,0.24707
0.07001,0.07000,0.01553,0.07000,0.25512,0.07000,0.24565
0.08001,0.08000,0.01901,0.08000,0.25613,0.08000,0.24429
0.09001,0.09000,0.02145,0.09000,0.25744,0.09000,0.24302
0.10002,0.10000,0.02280,0.10000,0.25907,0.10000,0.24182
0.11002,0.11000,0.02305,0.11000,0.26099,0.11000,0.24069
0.12002,0.12000,0.02229,0.12000,0.26320,0.12000,0.23958
0.13002,0.13000,0.02066,0.13000,0.26568,0.13000,0.23848
0.14002,0.14000,0.01832,0.14000,0.26841,0.14000,0.23734
0.15002,0.15000,0.01550,0.15000,0.27141,0.15000,0.23614
0.16002,0.16000,0.01244,0.16000,0.27467,0.16000,0.23486
0.17003,0.17000,0.00937,0.17000,0.27822,0.17000,0.23348
0.18003,0.18000,0.00654,0.18000,0.28208,0.18000,0.23202
0.19003,0.19000,0.00417,0.19000,0.28629,0.19000,0.23052
0.20003,0.20000,0.00246,0.20000,0.29089,0.20000,0.22900
0.21003,0.21000,0.00159,0.21000,0.29588,0.21000,0.22751
0.22003,0.22000,0.00168,0.22000,0.30128,0.22000,0.22611
0.23003,0.23000,0.00284,0.23000,0.30705,0.23000,0.22484
0.24004,0.24000,0.00508,0.24000,0.31316,0.24000,0.22372
0.25004,0.25000,0.00838,0.25000,0.31953,0.25000,0.22279
0.26004,0.26000,0.01266,0.26000,0.32606,0.26000,0.22204
0.27004,0.27000,0.01776,0.27000,0.33261,0.27000,0.22147
0.28004,0.28000,0.02348,0.28000,0.33905,0.28000,0.22104
0.29004,0.29000,0.02956,0.29000,0.34520,0.29000,0.22072
0.30004,0.30000,0.03575,0.30000,0.35091,0.30000,0.22046
0.31005,0.31000,0.04177,0.31000,0.35601,0.31000,0.22020
0.32005,0.32000,0.04736,0.32000,0.36034,0.32000,0.21988
0.33005,0.33000,0.05231,0.33000,0.36380,0.33000,0.21947
0.34005,0.34000,0.05645,0.34000,0.36629,0.34000,0.21892
0.35005,0.35000,0.05970,0.35000,0.36778,0.35000,0.21820
0.36005,0.36000,0.06204,0.36000,0.36830,0.36000,0.21730
0.37006,0.37000,0.06353,0.37000,0.36789,0.37000,0.21623
0.38006,0.38000,0.06431,0.38000,0.36666,0.38000,0.21499
0.39006,0.39000,0.06456,0.39000,0.36475,0.39000,0.21361
0.40006,0.40000,0.06451,0.40000,0.36232,0.40000,0.21211
0.41006,0.41000,0.06437,0.41000,0.35953,0.41000,0.21052
0.42006,0.42000,0.06435,0.42000,0.35656,0.42000,0.20887
0.43006,0.43000,0.06463,0.43000,0.35355,0.43000,0.20717
0.44007,0.44000,0.06536,0.44000,0.35065,0.44000,0.20546
0.45007,0.45000,0.06662,0.45000,0.34796,0.45000,0.20373
0.46007,0.46000,0.06845,0.46000,0.34556,0.46000,0.20199
0.47007,0.47000,0.07081,0.47000,0.34348,0.47000,0.20022
0.48007,0.48000,0.07365,0.48000,0.34176,0.48000,0.19841
0.49007,0.49000,0.07688,0.49000,0.34040,0.49000,0.19653
0.50007,0.50000,0.08039,0.50000,0.33939,0.50000,0.19455
0.51008,0.51000,0.08410,0.51000,0.33872,0.51000,0.19244
0.52008,0.52000,0.08790,0.52000,0.33835,0.52000,0.19018
0.53008,0.53000,0.09173,0.53000,0.33828,0.53000,0.18775
0.54008,0.54000,0.09554,0.54000,0.33847,0.54000,0.18515
0.55008,0.55000,0.09928,0.55000,0.33889,0.55000,0.18238
0.56008,0.56000,0.10293,0.56000,0.33948,0.56000,0.17948
0.57009,0.57000,0.10646,0.57000,0.34019,0.57000,0.17646
0.58009,0.58000,0.10988,0.58000,0.34094,0.58000,0.17336
0.59009,0.59000,0.11319,0.59000,0.34166,0.59000,0.17021
0.60009,0.60000,0.11643,0.60000,0.34226,0.60000,0.16706
0.61009,0.61000,0.11965,0.61000,0.34267,0.61000,0.16392
0.62009,0.62000,0.12293,0.62000,0.34283,0.62000,0.16083
0.63009,0.63000,0.12638,0.63000,0.34271,0.63000,0.15782
0.64010,0.64000,0.13008,0.64000,0.34229,0.64000,0.15490
0.65010,0.65000,0.13414,0.65000,0.34159,0.65000,0.15211
0.66010,0.66000,0.13865,0.66000,0.34066,0.66000,0.14945
0.67010,0.67000,0.14368,0.67000,0.33957,0.67000,0.14694
0.68010,0.68000,0.14927,0.68000,0.33839,0.68000,0.14459
0.69010,0.69000,0.15542,0.69000,0.33721,0.69000,0.14242
0.70010,0.70000,0.16212,0.70000,0.33611,0.70000,0.14042
0.71011,0.71000,0.16933,0.71000,0.33517,0.71000,0.13860
0.72011,0.72000,0.17698,0.72000,0.33445,0.72000,0.13697
0.73011,0.73000,0.18501,0.73000,0.33402,0.73000,0.13554
0.74011,0.74000,0.19336,0.74000,0.33389,0.74000,0.13432
0.75011,0.75000,0.20201,0.75000,0.33409,0.75000,0.13332
0.76011,0.76000,0.21096,0.76000,0.33461,0.76000,0.13255
0.77011,0.77000,0.22023,0.77000,0.33542,0.77000,0.13204
0.78012,0.78000,0.22988,0.78000,0.33647,0.78000,0.13179
0.79012,0.79000,0.23999,0.79000,0.33772,0.79000,0.13181
0.80012,0.80000,0.25064,0.80000,0.33908,0.80000,0.13210
0.81012,0.81000,0.26187,0.81000,0.34049,0.81000,0.13267
0.82012,0.82000,0.27370,0.82000,0.34186,0.82000,0.13348
0.83012,0.83000,0.28610,0.83000,0.34314,0.83000,0.13454
0.84013,0.84000,0.29900,0.84000,0.34427,0.84000,0.13581
0.85013,0.85000,0.31225,0.85000,0.34522,0.85000,0.13727
0.86013,0.86000,0.32569,0.86000,0.34597,0.86000,0.13887
0.87013,0.87000,0.33913,0.87000,0.34652,0.87000,0.14060
0.88013,0.88000,0.35236,0.88000,0.34687,0.88000,0.14239
0.89013,0.89000,0.36517,0.89000,0.34706,0.89000,0.14423
0.90013,0.90000,0.37739,0.90000,0.34711,0.90000,0.14606
0.91014,0.91000,0.38888,0.91000,0.34704,0.91000,0.14785
0.92014,0.92000,0.39954,0.92000,0.34690,0.92000,0.14958
0.93014,0.93000,0.40929,0.93000,0.34671,0.93000,0.15122
0.94014,0.94000,0.41807,0.94000,0.34649,0.94000,0.15276
0.95014,0.95000,0.42586,0.95000,0.34625,0.95000,0.15418
0.96014,0.96000,0.43261,0.96000,0.34599,0.96000,0.15548
0.97014,0.97000,0.43827,0.97000,0.34569,0.97000,0.15668
0.98015,0.98000,0.44279,0.98000,0.34532,0.98000,0.15777
0.99015,0.99000,0.44609,0.99000,0.34486,0.99000,0.15876
1.00015,1.00000,0.44811,1.00000,0.34427,1.00000,0.15968
1.01015,1.01000,0.44879,1.01000,0.34353,1.01000,0.16054
1.02015,1.02000,0.44810,1.02000,0.34262,1.02000,0.16135
