Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.05737,0.00000,0.00848,0.00000,-0.01581
0.01000,0.01000,-0.05995,0.01000,0.00864,0.01000,-0.01932
0.02000,0.02000,-0.06244,0.02000,0.00905,0.02000,-0.02264
0.03000,0.03000,-0.06463,0.03000,0.00978,0.03000,-0.02546
0.04001,0.04000,-0.06627,0.04000,0.01094,0.04000,-0.02745
0.05001,0.05000,-0.06711,0.05000,0.01263,0.05000,-0.02830
0.06001,0.06000,-0.06694,0.06000,0.01495,0.06000,-0.02773
0.07001,0.07000,-0.06559,0.07000,0.01800,0.07000,-0.02556
0.08001,0.08000,-0.06295,0.08000,0.02185,0.08000,-0.02169
0.09001,0.09000,-0.05901,0.09000,0.02655,0.09000,-0.01617
0.10002,0.10000,-0.05384,0.10000,0.03211,0.10000,-0.00915
0.11002,0.11000,-0.04762,0.11000,0.03850,0.11000,-0.00092
0.12002,0.12000,-0.04061,0.12000,0.04561,0.12000,0.00810
0.13002,0.13000,-0.03316,0.13000,0.05328,0.13000,0.01745
0.14002,0.14000,-0.02564,0.14000,0.06130,0.14000,0.02658
0.15002,0.15000,-0.01845,0.15000,0.06939,0.15000,0.03495
0.16002,0.16000,-0.01198,0.16000,0.07726,0.16000,0.04207
0.17003,0.17000,-0.00654,0.17000,0.08459,0.17000,0.04755
0.18003,0.18000,-0.00235,0.18000,0.09111,0.18000,0.05112
0.19003,0.19000,0.00047,0.19000,0.09657,0.19000,0.05271
0.20003,0.20000,0.00190,0.20000,0.10082,0.20000,0.05241
0.21003,0.21000,0.00203,0.21000,0.10380,0.21000,0.05049
0.22003,0.22000,0.00102,0.22000,0.10552,0.22000,0.04738
0.23003,0.23000,-0.00091,0.23000,0.10609,0.23000,0.04360
0.24004,0.24000,-0.00354,0.24000,0.10567,0.24000,0.03973
0.25004,0.25000,-0.00662,0.25000,0.10448,0.25000,0.03634
0.26004,0.26000,-0.00993,0.26000,0.10277,0.26000,0.03394
0.27004,0.27000,-0.01327,0.27000,0.10080,0.27000,0.03292
0.28004,0.28000,-0.01647,0.28000,0.09883,0.28000,0.03352
0.29004,0.29000,-0.01938,0.29000,0.09710,0.29000,0.03582
0.30005,0.30000,-0.02190,0.30000,0.09583,0.30000,0.03971
0.31005,0.31000,-0.02396,0.31000,0.09520,0.31000,0.04495
0.32005,0.32000,-0.02551,0.32000,0.09534,0.32000,0.05116
0.33005,0.33000,-0.02656,0.33000,0.09631,0.33000,0.05785
0.34005,0.34000,-0.02712,0.34000,0.09810,0.34000,0.06448
0.35005,0.35000,-0.02725,0.35000,0.10061,0.35000,0.07051
0.36005,0.36000,-0.02700,0.36000,0.10369,0.36000,0.07544
0.37006,0.37000,-0.02647,0.37000,0.10716,0.37000,0.07883
0.38006,0.38000,-0.02572,0.38000,0.11081,0.38000,0.08041
0.39006,0.39000,-0.02482,0.39000,0.11442,0.39000,0.08003
0.40006,0.40000,-0.02382,0.40000,0.11782,0.40000,0.07775
0.41006,0.41000,-0.02269,0.41000,0.12089,0.41000,0.07375
0.42006,0.42000,-0.02141,0.42000,0.12354,0.42000,0.06843
0.43006,0.43000,-0.01986,0.43000,0.12578,0.43000,0.06225
0.44007,0.44000,-0.01793,0.44000,0.12762,0.44000,0.05581
0.45007,0.45000,-0.01549,0.45000,0.12916,0.45000,0.04968
0.46007,0.46000,-0.01241,0.46000,0.13051,0.46000,0.04446
0.47007,0.47000,-0.00860,0.47000,0.13180,0.47000,0.04064
0.48007,0.48000,-0.00404,0.48000,0.13314,0.48000,0.03861
0.49007,0.49000,0.00125,0.49000,0.13467,0.49000,0.03858
0.50008,0.50000,0.00722,0.50000,0.13649,0.50000,0.04064
0.51008,0.51000,0.01375,0.51000,0.13868,0.51000,0.04464
0.52008,0.52000,0.02071,0.52000,0.14128,0.52000,0.05032
0.53008,0.53000,0.02798,0.53000,0.14432,0.53000,0.05723
0.54008,0.54000,0.03539,0.54000,0.14775,0.54000,0.06483
0.55008,0.55000,0.04279,0.55000,0.15148,0.55000,0.07252
0.56008,0.56000,0.04999,0.56000,0.15539,0.56000,0.07968
0.57009,0.57000,0.05683,0.57000,0.15932,0.57000,0.08574
0.58009,0.58000,0.06315,0.58000,0.16310,0.58000,0.09026
0.59009,0.59000,0.06879,0.59000,0.16653,0.59000,0.09290
0.60009,0.60000,0.07368,0.60000,0.16947,0.60000,0.09352
0.61009,0.61000,0.07779,0.61000,0.17177,0.61000,0.09217
0.62009,0.62000,0.08117,0.62000,0.17334,0.62000,0.08907
0.63009,0.63000,0.08394,0.63000,0.17414,0.63000,0.08459
0.64010,0.64000,0.08632,0.64000,0.17414,0.64000,0.07921
0.65010,0.65000,0.08854,0.65000,0.17338,0.65000,0.07347
0.66010,0.66000,0.09084,0.66000,0.17190,0.66000,0.06793
0.67010,0.67000,0.09347,0.67000,0.16980,0.67000,0.06309
0.68010,0.68000,0.09662,0.68000,0.16717,0.68000,0.05936
0.69010,0.69000,0.10043,0.69000,0.16415,0.69000,0.05706
0.70010,0.70000,0.10498,0.70000,0.16088,0.70000,0.05634
0.71011,0.71000,0.11028,0.71000,0.15748,0.71000,0.05723
0.72011,0.72000,0.11629,0.72000,0.15411,0.72000,0.05962
0.73011,0.73000,0.12291,0.73000,0.15088,0.73000,0.06326
0.74011,0.74000,0.12996,0.74000,0.14789,0.74000,0.06783
0.75011,0.75000,0.13724,0.75000,0.14521,0.75000,0.07291
0.76011,0.76000,0.14448,0.76000,0.14283,0.76000,0.07806
0.77012,0.77000,0.15140,0.77000,0.14071,0.77000,0.08284
0.78012,0.78000,0.15770,0.78000,0.13875,0.78000,0.08684
0.79012,0.79000,0.16311,0.79000,0.13682,0.79000,0.08972
0.80012,0.80000,0.16740,0.80000,0.13471,0.80000,0.09121
0.81012,0.81000,0.17042,0.81000,0.13225,0.81000,0.09119
0.82012,0.82000,0.17209,0.82000,0.12923,0.82000,0.08962
0.83012,0.83000,0.17249,0.83000,0.12548,0.83000,0.08665
0.84013,0.84000,0.17178,0.84000,0.12090,0.84000,0.08250
0.85013,0.85000,0.17024,0.85000,0.11542,0.85000,0.07752
0.86013,0.86000,0.16819,0.86000,0.10908,0.86000,0.07215
0.87013,0.87000,0.16603,0.87000,0.10197,0.87000,0.06684
0.88013,0.88000,0.16408,0.88000,0.09426,0.88000,0.06205
0.89013,0.89000,0.16264,0.89000,0.08619,0.89000,0.05819
0.90013,0.90000,0.16192,0.90000,0.07802,0.90000,0.05556
0.91014,0.91000,0.16201,0.91000,0.07001,0.91000,0.05436
0.92014,0.92000,0.16289,0.92000,0.06245,0.92000,0.05463
0.93014,0.93000,0.16444,0.93000,0.05557,0.93000,0.05627
