Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.01030,0.00000,0.03922,0.00000,0.02656,0.00000,-0.06584,0.00000,-0.11055,0.00000,0.13202
0.01001,0.01000,0.01014,0.01000,0.03745,0.01000,0.02624,0.01000,-0.06385,0.01000,-0.11106,0.01000,0.13036
0.02001,0.02000,0.00989,0.02000,0.03581,0.02000,0.02590,0.02000,-0.06174,0.02000,-0.11097,0.02000,0.12825
0.03002,0.03000,0.00953,0.03000,0.03443,0.03000,0.02554,0.03000,-0.05960,0.03000,-0.11010,0.03000,0.12560
0.04002,0.04000,0.00905,0.04000,0.03346,0.04000,0.02519,0.04000,-0.05751,0.04000,-0.10828,0.04000,0.12236
0.05003,0.05000,0.00841,0.05000,0.03299,0.05000,0.02483,0.05000,-0.05554,0.05000,-0.10541,0.05000,0.11847
0.06003,0.06000,0.00761,0.06000,0.03309,0.06000,0.02447,0.06000,-0.05375,0.06000,-0.10142,0.06000,0.11387
0.07004,0.07000,0.00663,0.07000,0.03377,0.07000,0.02409,0.07000,-0.05217,0.07000,-0.09636,0.07000,0.10854
0.08004,0.08000,0.00549,0.08000,0.03497,0.08000,0.02368,0.08000,-0.05080,0.08000,-0.09035,0.08000,0.10246
0.09005,0.09000,0.00420,0.09000,0.03656,0.09000,0.02324,0.09000,-0.04963,0.09000,-0.08362,0.09000,0.09564
0.10006,0.10000,0.00282,0.10000,0.03836,0.10000,0.02273,0.10000,-0.04861,0.10000,-0.07647,0.10000,0.08808
0.11006,0.11000,0.00139,0.11000,0.04017,0.11000,0.02217,0.11000,-0.04768,0.11000,-0.06927,0.11000,0.07983
0.12007,0.12000,-0.00003,0.12000,0.04174,0.12000,0.02155,0.12000,-0.04677,0.12000,-0.06245,0.12000,0.07094
0.13007,0.13000,-0.00138,0.13000,0.04286,0.13000,0.02089,0.13000,-0.04582,0.13000,-0.05640,0.13000,0.06152
0.14008,0.14000,-0.00261,0.14000,0.04332,0.14000,0.02021,0.14000,-0.04480,0.14000,-0.05149,0.14000,0.05168
0.15008,0.15000,-0.00367,0.15000,0.04298,0.15000,0.01954,0.15000,-0.04369,0.15000,-0.04805,0.15000,0.04162
0.16009,0.16000,-0.00451,0.16000,0.04178,0.16000,0.01895,0.16000,-0.04248,0.16000,-0.04630,0.16000,0.03154
0.17009,0.17000,-0.00509,0.17000,0.03970,0.17000,0.01849,0.17000,-0.04121,0.17000,-0.04638,0.17000,0.02165
0.18010,0.18000,-0.00539,0.18000,0.03679,0.18000,0.01824,0.18000,-0.03994,0.18000,-0.04831,0.18000,0.01216
0.19010,0.19000,-0.00539,0.19000,0.03318,0.19000,0.01825,0.19000,-0.03873,0.19000,-0.05203,0.19000,0.00325
0.20011,0.20000,-0.00508,0.20000,0.02901,0.20000,0.01857,0.20000,-0.03765,0.20000,-0.05741,0.20000,-0.00496
0.21012,0.21000,-0.00446,0.21000,0.02446,0.21000,0.01924,0.21000,-0.03675,0.21000,-0.06425,0.21000,-0.01242
0.22012,0.22000,-0.00354,0.22000,0.01972,0.22000,0.02027,0.22000,-0.03609,0.22000,-0.07230,0.22000,-0.01914
0.23013,0.23000,-0.00233,0.23000,0.01497,0.23000,0.02162,0.23000,-0.03567,0.23000,-0.08135,0.23000,-0.02518
0.24013,0.24000,-0.00085,0.24000,0.01036,0.24000,0.02324,0.24000,-0.03548,0.24000,-0.09115,0.24000,-0.03067
0.25014,0.25000,0.00085,0.25000,0.00597,0.25000,0.02506,0.25000,-0.03549,0.25000,-0.10149,0.25000,-0.03571
0.26014,0.26000,0.00275,0.26000,0.00184,0.26000,0.02696,0.26000,-0.03559,0.26000,-0.11219,0.26000,-0.04042
0.27015,0.27000,0.00479,0.27000,-0.00204,0.27000,0.02885,0.27000,-0.03570,0.27000,-0.12305,0.27000,-0.04486
0.28015,0.28000,0.00691,0.28000,-0.00574,0.28000,0.03062,0.28000,-0.03568,0.28000,-0.13384,0.28000,-0.04905
0.29016,0.29000,0.00903,0.29000,-0.00938,0.29000,0.03218,0.29000,-0.03541,0.29000,-0.14432,0.29000,-0.05294
