Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	0.13089	0.00000	-0.25387	0.00000	1.25317	0.00000	-0.86968	0.00000	-0.10841	0.00000	-1.10034	0.00000	-0.19082	0.00000	0.20763	0.00000	-0.40758	0.00000	0.49503	0.00000	0.09376	0.00000	-0.48797	0.00000	-0.38055	0.00000	0.40998	0.00000	-0.35201	0.00000	-0.48446	0.00000	-0.38250	0.00000	0.07414	0.00000	-0.08536	0.00000	0.12419	0.00000	-0.11410	0.00000	-0.79213	0.00000	0.02151	0.00000	0.70978	0.00000	-1.05924	0.00000	0.13445	0.00000	-1.09336	0.00000	-1.97047	0.00000	-0.17684	0.00000	0.42560	0.00000	0.39783	0.00000	-0.03125	0.00000	-0.17678	0.00000	-0.78534	0.00000	-0.85162	0.00000	0.14705	0.00000	-0.54162	0.00000	-0.45952	0.00000	-0.63415	0.00000	0.57171	0.00000	-0.07310	0.00000	0.85307	
0.01001	0.01000	0.13756	0.01000	-0.25187	0.01000	1.25162	0.01000	-0.87720	0.01000	-0.11145	0.01000	-1.09021	0.01000	-0.19254	0.01000	0.20499	0.01000	-0.40392	0.01000	0.49528	0.01000	0.09296	0.01000	-0.48645	0.01000	-0.37887	0.01000	0.40659	0.01000	-0.35434	0.01000	-0.48297	0.01000	-0.38083	0.01000	0.07102	0.01000	-0.08451	0.01000	0.11537	0.01000	-0.11344	0.01000	-0.78648	0.01000	0.01842	0.01000	0.71001	0.01000	-1.06342	0.01000	0.13237	0.01000	-1.09500	0.01000	-1.97551	0.01000	-0.17909	0.01000	0.43715	0.01000	0.41059	0.01000	-0.02560	0.01000	-0.18024	0.01000	-0.78687	0.01000	-0.85059	0.01000	0.14584	0.01000	-0.54555	0.01000	-0.44337	0.01000	-0.63626	0.01000	0.57789	0.01000	-0.06857	0.01000	0.85886	
0.02001	0.02000	0.14494	0.02000	-0.24955	0.02000	1.24938	0.02000	-0.88485	0.02000	-0.11449	0.02000	-1.07846	0.02000	-0.19455	0.02000	0.20174	0.02000	-0.39948	0.02000	0.49532	0.02000	0.09209	0.02000	-0.48486	0.02000	-0.37739	0.02000	0.40230	0.02000	-0.35684	0.02000	-0.48143	0.02000	-0.37938	0.02000	0.06720	0.02000	-0.08309	0.02000	0.10569	0.02000	-0.11297	0.02000	-0.78015	0.02000	0.01446	0.02000	0.71046	0.02000	-1.06780	0.02000	0.12975	0.02000	-1.09620	0.02000	-1.98063	0.02000	-0.18127	0.02000	0.44965	0.02000	0.40347	0.02000	-0.01856	0.02000	-0.18366	0.02000	-0.78832	0.02000	-0.84954	0.02000	0.14439	0.02000	-0.55038	0.02000	-0.42387	0.02000	-0.63825	0.02000	0.58526	0.02000	-0.06320	0.02000	0.86542	
0.03001	0.03000	0.15275	0.03000	-0.24700	0.03000	1.24644	0.03000	-0.89216	0.03000	-0.11735	0.03000	-1.06531	0.03000	-0.19678	0.03000	0.19790	0.03000	-0.39436	0.03000	0.49511	0.03000	0.09118	0.03000	-0.48327	0.03000	-0.37625	0.03000	0.39714	0.03000	-0.35946	0.03000	-0.47989	0.03000	-0.37826	0.03000	0.06277	0.03000	-0.08109	0.03000	0.09550	0.03000	-0.11275	0.03000	-0.77334	0.03000	0.00961	0.03000	0.71116	0.03000	-1.07211	0.03000	0.12664	0.03000	-1.09677	0.03000	-1.98554	0.03000	-0.18327	0.03000	0.46251	0.03000	0.39236	0.03000	-0.01017	0.03000	-0.18687	0.03000	-0.78956	0.03000	-0.84853	0.03000	0.14276	0.03000	-0.55605	0.03000	-0.40122	0.03000	-0.63994	0.03000	0.59370	0.03000	-0.05703	0.03000	0.87253	
0.04002	0.04000	0.16065	0.04000	-0.24439	0.04000	1.24287	0.04000	-0.89866	0.04000	-0.11982	0.04000	-1.05103	0.04000	-0.19909	0.04000	0.19350	0.04000	-0.38872	0.04000	0.49462	0.04000	0.09030	0.04000	-0.48174	0.04000	-0.37557	0.04000	0.39120	0.04000	-0.36212	0.04000	-0.47843	0.04000	-0.37760	0.04000	0.05788	0.04000	-0.07855	0.04000	0.08521	0.04000	-0.11284	0.04000	-0.76627	0.04000	0.00392	0.04000	0.71217	0.04000	-1.07606	0.04000	0.12314	0.04000	-1.09657	0.04000	-1.98997	0.04000	-0.18499	0.04000	0.47506	0.04000	0.38896	0.04000	-0.00059	0.04000	-0.18966	0.04000	-0.79048	0.04000	-0.84759	0.04000	0.14102	0.04000	-0.56243	0.04000	-0.37581	0.04000	-0.64113	0.04000	0.60300	0.04000	-0.05011	0.04000	0.87991	
0.05002	0.05000	0.16825	0.05000	-0.24187	0.05000	1.23879	0.05000	-0.90391	0.05000	-0.12174	0.05000	-1.03595	0.05000	-0.20133	0.05000	0.18860	0.05000	-0.38281	0.05000	0.49385	0.05000	0.08952	0.05000	-0.48032	0.05000	-0.37543	0.05000	0.38466	0.05000	-0.36479	0.05000	-0.47707	0.05000	-0.37749	0.05000	0.05274	0.05000	-0.07560	0.05000	0.07524	0.05000	-0.11326	0.05000	-0.75920	0.05000	-0.00256	0.05000	0.71353	0.05000	-1.07938	0.05000	0.11936	0.05000	-1.09548	0.05000	-1.99367	0.05000	-0.18639	0.05000	0.48656	0.05000	0.39143	0.05000	0.00994	0.05000	-0.19189	0.05000	-0.79100	0.05000	-0.84674	0.05000	0.13926	0.05000	-0.56934	0.05000	-0.34820	0.05000	-0.64163	0.05000	0.61289	0.05000	-0.04251	0.05000	0.88724	
0.06003	0.06000	0.17518	0.06000	-0.23965	0.06000	1.23439	0.06000	-0.90755	0.06000	-0.12300	0.06000	-1.02044	0.06000	-0.20332	0.06000	0.18327	0.06000	-0.37689	0.06000	0.49282	0.06000	0.08891	0.06000	-0.47903	0.06000	-0.37587	0.06000	0.37773	0.06000	-0.36745	0.06000	-0.47587	0.06000	-0.37796	0.06000	0.04758	0.06000	-0.07241	0.06000	0.06596	0.06000	-0.11399	0.06000	-0.75234	0.06000	-0.00971	0.06000	0.71525	0.06000	-1.08177	0.06000	0.11549	0.06000	-1.09345	0.06000	-1.99646	0.06000	-0.18742	0.06000	0.49635	0.06000	0.38899	0.06000	0.02113	0.06000	-0.19343	0.06000	-0.79105	0.06000	-0.84601	0.06000	0.13759	0.06000	-0.57658	0.06000	-0.31903	0.06000	-0.64128	0.06000	0.62304	0.06000	-0.03434	0.06000	0.89420	
0.07003	0.07000	0.18111	0.07000	-0.23789	0.07000	1.22991	0.07000	-0.90937	0.07000	-0.12354	0.07000	-1.00485	0.07000	-0.20489	0.07000	0.17758	0.07000	-0.37127	0.07000	0.49160	0.07000	0.08854	0.07000	-0.47789	0.07000	-0.37688	0.07000	0.37069	0.07000	-0.37008	0.07000	-0.47480	0.07000	-0.37899	0.07000	0.04268	0.07000	-0.06922	0.07000	0.05768	0.07000	-0.11498	0.07000	-0.74591	0.07000	-0.01740	0.07000	0.71731	0.07000	-1.08303	0.07000	0.11172	0.07000	-1.09049	0.07000	-1.99820	0.07000	-0.18808	0.07000	0.50388	0.07000	0.38240	0.07000	0.03266	0.07000	-0.19420	0.07000	-0.79060	0.07000	-0.84542	0.07000	0.13611	0.07000	-0.58392	0.07000	-0.28906	0.07000	-0.63997	0.07000	0.63310	0.07000	-0.02571	0.07000	0.90047	
0.08004	0.08000	0.18574	0.08000	-0.23675	0.08000	1.22560	0.08000	-0.90930	0.08000	-0.12340	0.08000	-0.98957	0.08000	-0.20589	0.08000	0.17159	0.08000	-0.36622	0.08000	0.49032	0.08000	0.08846	0.08000	-0.47688	0.08000	-0.37838	0.08000	0.36381	0.08000	-0.37269	0.08000	-0.47386	0.08000	-0.38052	0.08000	0.03829	0.08000	-0.06629	0.08000	0.05057	0.08000	-0.11615	0.08000	-0.74006	0.08000	-0.02547	0.08000	0.71970	0.08000	-1.08298	0.08000	0.10824	0.08000	-1.08666	0.08000	-1.99886	0.08000	-0.18837	0.08000	0.50877	0.08000	0.37678	0.08000	0.04422	0.08000	-0.19419	0.08000	-0.78965	0.08000	-0.84499	0.08000	0.13490	0.08000	-0.59112	0.08000	-0.25903	0.08000	-0.63768	0.08000	0.64274	0.08000	-0.01673	0.08000	0.90577	
0.09004	0.09000	0.18890	0.09000	-0.23633	0.09000	1.22166	0.09000	-0.90740	0.09000	-0.12266	0.09000	-0.97495	0.09000	-0.20620	0.09000	0.16538	0.09000	-0.36199	0.09000	0.48911	0.09000	0.08871	0.09000	-0.47595	0.09000	-0.38025	0.09000	0.35734	0.09000	-0.37527	0.09000	-0.47300	0.09000	-0.38242	0.09000	0.03465	0.09000	-0.06388	0.09000	0.04470	0.09000	-0.11738	0.09000	-0.73491	0.09000	-0.03375	0.09000	0.72234	0.09000	-1.08155	0.09000	0.10525	0.09000	-1.08209	0.09000	-1.99843	0.09000	-0.18830	0.09000	0.51083	0.09000	0.36975	0.09000	0.05555	0.09000	-0.19344	0.09000	-0.78826	0.09000	-0.84471	0.09000	0.13401	0.09000	-0.59798	0.09000	-0.22966	0.09000	-0.63443	0.09000	0.65162	0.09000	-0.00756	0.09000	0.90990	
0.10005	0.10000	0.19047	0.10000	-0.23662	0.10000	1.21829	0.10000	-0.90389	0.10000	-0.12151	0.10000	-0.96130	0.10000	-0.20579	0.10000	0.15900	0.10000	-0.35876	0.10000	0.48815	0.10000	0.08928	0.10000	-0.47505	0.10000	-0.38233	0.10000	0.35151	0.10000	-0.37779	0.10000	-0.47216	0.10000	-0.38452	0.10000	0.03195	0.10000	-0.06221	0.10000	0.03998	0.10000	-0.11856	0.10000	-0.73049	0.10000	-0.04209	0.10000	0.72515	0.10000	-1.07875	0.10000	0.10289	0.10000	-1.07696	0.10000	-1.99694	0.10000	-0.18791	0.10000	0.51011	0.10000	0.36194	0.10000	0.06646	0.10000	-0.19203	0.10000	-0.78645	0.10000	-0.84459	0.10000	0.13346	0.10000	-0.60427	0.10000	-0.20158	0.10000	-0.63034	0.10000	0.65947	0.10000	0.00163	0.10000	0.91274	
0.11005	0.11000	0.19047	0.11000	-0.23758	0.11000	1.21559	0.11000	-0.89909	0.11000	-0.12013	0.11000	-0.94893	0.11000	-0.20470	0.11000	0.15249	0.11000	-0.35660	0.11000	0.48762	0.11000	0.09017	0.11000	-0.47412	0.11000	-0.38442	0.11000	0.34646	0.11000	-0.38020	0.11000	-0.47127	0.11000	-0.38664	0.11000	0.03032	0.11000	-0.06145	0.11000	0.03622	0.11000	-0.11958	0.11000	-0.72682	0.11000	-0.05035	0.11000	0.72803	0.11000	-1.07466	0.11000	0.10125	0.11000	-1.07147	0.11000	-1.99444	0.11000	-0.18721	0.11000	0.50687	0.11000	0.35339	0.11000	0.07689	0.11000	-0.19010	0.11000	-0.78428	0.11000	-0.84463	0.11000	0.13323	0.11000	-0.60981	0.11000	-0.17525	0.11000	-0.62561	0.11000	0.66608	0.11000	0.01065	0.11000	0.91428	
