Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.26243,0.00000,0.10709
0.01001,0.01000,-0.26233,0.01000,0.09584
0.02001,0.02000,-0.26161,0.02000,0.08312
0.03002,0.03000,-0.26013,0.03000,0.06928
0.04002,0.04000,-0.25775,0.04000,0.05479
0.05003,0.05000,-0.25438,0.05000,0.04014
0.06003,0.06000,-0.24997,0.06000,0.02583
0.07004,0.07000,-0.24456,0.07000,0.01232
0.08005,0.08000,-0.23822,0.08000,-0.00001
0.09005,0.09000,-0.23109,0.09000,-0.01085
0.10006,0.10000,-0.22334,0.10000,-0.02002
0.11006,0.11000,-0.21517,0.11000,-0.02741
0.12007,0.12000,-0.20675,0.12000,-0.03300
0.13007,0.13000,-0.19829,0.13000,-0.03682
0.14008,0.14000,-0.18995,0.14000,-0.03893
0.15008,0.15000,-0.18188,0.15000,-0.03942
0.16009,0.16000,-0.17422,0.16000,-0.03838
0.17010,0.17000,-0.16707,0.17000,-0.03590
0.18010,0.18000,-0.16051,0.18000,-0.03205
0.19011,0.19000,-0.15462,0.19000,-0.02689
0.20011,0.20000,-0.14941,0.20000,-0.02047
0.21012,0.21000,-0.14489,0.21000,-0.01283
0.22012,0.22000,-0.14102,0.22000,-0.00399
0.23013,0.23000,-0.13769,0.23000,0.00600
0.24014,0.24000,-0.13479,0.24000,0.01712
0.25014,0.25000,-0.13215,0.25000,0.02929
0.26015,0.26000,-0.12958,0.26000,0.04247
0.27015,0.27000,-0.12690,0.27000,0.05654
0.28016,0.28000,-0.12395,0.28000,0.07138
0.29016,0.29000,-0.12059,0.29000,0.08683
0.30017,0.30000,-0.11678,0.30000,0.10266
0.31017,0.31000,-0.11250,0.31000,0.11861
0.32018,0.32000,-0.10780,0.32000,0.13435
0.33019,0.33000,-0.10277,0.33000,0.14954
0.34019,0.34000,-0.09753,0.34000,0.16378
0.35020,0.35000,-0.09220,0.35000,0.17666
0.36020,0.36000,-0.08692,0.36000,0.18781
0.37021,0.37000,-0.08178,0.37000,0.19687
0.38021,0.38000,-0.07691,0.38000,0.20355
0.39022,0.39000,-0.07239,0.39000,0.20764
0.40023,0.40000,-0.06830,0.40000,0.20902
0.41023,0.41000,-0.06473,0.41000,0.20770
0.42024,0.42000,-0.06174,0.42000,0.20380
0.43024,0.43000,-0.05936,0.43000,0.19753
0.44025,0.44000,-0.05761,0.44000,0.18919
0.45025,0.45000,-0.05651,0.45000,0.17917
0.46026,0.46000,-0.05602,0.46000,0.16788
0.47026,0.47000,-0.05613,0.47000,0.15579
0.48027,0.48000,-0.05684,0.48000,0.14336
0.49028,0.49000,-0.05815,0.49000,0.13107
0.50028,0.50000,-0.06011,0.50000,0.11935
0.51029,0.51000,-0.06279,0.51000,0.10863
0.52029,0.52000,-0.06625,0.52000,0.09925
0.53030,0.53000,-0.07055,0.53000,0.09147
0.54030,0.54000,-0.07570,0.54000,0.08547
0.55031,0.55000,-0.08166,0.55000,0.08131
0.56032,0.56000,-0.08832,0.56000,0.07892
0.57032,0.57000,-0.09551,0.57000,0.07813
0.58033,0.58000,-0.10301,0.58000,0.07867
0.59033,0.59000,-0.11056,0.59000,0.08018
0.60034,0.60000,-0.11793,0.60000,0.08225
0.61034,0.61000,-0.12488,0.61000,0.08447
0.62035,0.62000,-0.13127,0.62000,0.08644
0.63035,0.63000,-0.13700,0.63000,0.08783
0.64036,0.64000,-0.14208,0.64000,0.08840
0.65037,0.65000,-0.14655,0.65000,0.08802
0.66037,0.66000,-0.15052,0.66000,0.08669
0.67038,0.67000,-0.15412,0.67000,0.08450
0.68038,0.68000,-0.15746,0.68000,0.08164
0.69039,0.69000,-0.16061,0.69000,0.07837
0.70039,0.70000,-0.16362,0.70000,0.07498
0.71040,0.71000,-0.16650,0.71000,0.07174
0.72041,0.72000,-0.16924,0.72000,0.06889
0.73041,0.73000,-0.17181,0.73000,0.06660
0.74042,0.74000,-0.17417,0.74000,0.06499
0.75042,0.75000,-0.17625,0.75000,0.06407
0.76043,0.76000,-0.17802,0.76000,0.06382
0.77043,0.77000,-0.17940,0.77000,0.06414
0.78044,0.78000,-0.18031,0.78000,0.06492
0.79044,0.79000,-0.18066,0.79000,0.06602
0.80045,0.80000,-0.18038,0.80000,0.06732
0.81046,0.81000,-0.17940,0.81000,0.06872
0.82046,0.82000,-0.17772,0.82000,0.07014
0.83047,0.83000,-0.17536,0.83000,0.07154
0.84047,0.84000,-0.17240,0.84000,0.07291
0.85048,0.85000,-0.16894,0.85000,0.07425
0.86048,0.86000,-0.16514,0.86000,0.07559
0.87049,0.87000,-0.16113,0.87000,0.07696
0.88050,0.88000,-0.15704,0.88000,0.07840
0.89050,0.89000,-0.15299,0.89000,0.07991
0.90051,0.90000,-0.14909,0.90000,0.08148
0.91051,0.91000,-0.14540,0.91000,0.08308
0.92052,0.92000,-0.14198,0.92000,0.08468
0.93052,0.93000,-0.13887,0.93000,0.08622
0.94053,0.94000,-0.13610,0.94000,0.08764
0.95053,0.95000,-0.13369,0.95000,0.08889
0.96054,0.96000,-0.13161,0.96000,0.08993
0.97055,0.97000,-0.12983,0.97000,0.09072
0.98055,0.98000,-0.12827,0.98000,0.09126
0.99056,0.99000,-0.12684,0.99000,0.09153
1.00056,1.00000,-0.12541,1.00000,0.09154
1.01057,1.01000,-0.12388,1.01000,0.09130
1.02057,1.02000,-0.12209,1.02000,0.09082
1.03058,1.03000,-0.11994,1.03000,0.09008
1.04059,1.04000,-0.11729,1.04000,0.08907
1.05059,1.05000,-0.11402,1.05000,0.08775
1.06060,1.06000,-0.10998,1.06000,0.08607
1.07060,1.07000,-0.10507,1.07000,0.08398
1.08061,1.08000,-0.09919,1.08000,0.08142
1.09061,1.09000,-0.09232,1.09000,0.07834
1.10062,1.10000,-0.08452,1.10000,0.07468
1.11062,1.11000,-0.07594,1.11000,0.07042
1.12063,1.12000,-0.06681,1.12000,0.06559
1.13064,1.13000,-0.05743,1.13000,0.06024
1.14064,1.14000,-0.04815,1.14000,0.05448
1.15065,1.15000,-0.03930,1.15000,0.04846
1.16065,1.16000,-0.03123,1.16000,0.04238
1.17066,1.17000,-0.02424,1.17000,0.03649
1.18066,1.18000,-0.01859,1.18000,0.03104
1.19067,1.19000,-0.01453,1.19000,0.02626
1.20068,1.20000,-0.01220,1.20000,0.02236
1.21068,1.21000,-0.01171,1.21000,0.01950
1.22069,1.22000,-0.01304,1.22000,0.01774
1.23069,1.23000,-0.01604,1.23000,0.01710
1.24070,1.24000,-0.02040,1.24000,0.01750
1.25070,1.25000,-0.02568,1.25000,0.01877
1.26071,1.26000,-0.03133,1.26000,0.02074
1.27071,1.27000,-0.03672,1.27000,0.02316
1.28072,1.28000,-0.04124,1.28000,0.02582
1.29073,1.29000,-0.04437,1.29000,0.02852
1.30073,1.30000,-0.04571,1.30000,0.03109
1.31074,1.31000,-0.04507,1.31000,0.03340
1.32074,1.32000,-0.04245,1.32000,0.03539
1.33075,1.33000,-0.03807,1.33000,0.03699
1.34075,1.34000,-0.03233,1.34000,0.03817
1.35076,1.35000,-0.02577,1.35000,0.03890
1.36077,1.36000,-0.01904,1.36000,0.03914
1.37077,1.37000,-0.01276,1.37000,0.03882
1.38078,1.38000,-0.00753,1.38000,0.03787
1.39078,1.39000,-0.00379,1.39000,0.03622
1.40079,1.40000,-0.00185,1.40000,0.03378
1.41079,1.41000,-0.00179,1.41000,0.03051
1.42080,1.42000,-0.00353,1.42000,0.02639
1.43080,1.43000,-0.00684,1.43000,0.02147
1.44081,1.44000,-0.01139,1.44000,0.01585
1.45082,1.45000,-0.01679,1.45000,0.00970
1.46082,1.46000,-0.02261,1.46000,0.00326
1.47083,1.47000,-0.02845,1.47000,-0.00319
1.48083,1.48000,-0.03391,1.48000,-0.00938
1.49084,1.49000,-0.03862,1.49000,-0.01500
1.50084,1.50000,-0.04230,1.50000,-0.01981
1.51085,1.51000,-0.04470,1.51000,-0.02361
1.52086,1.52000,-0.04565,1.52000,-0.02628
1.53086,1.53000,-0.04510,1.53000,-0.02780
1.54087,1.54000,-0.04307,1.54000,-0.02821
1.55087,1.55000,-0.03970,1.55000,-0.02770
1.56088,1.56000,-0.03518,1.56000,-0.02649
1.57088,1.57000,-0.02977,1.57000,-0.02488
1.58089,1.58000,-0.02376,1.58000,-0.02320
1.59089,1.59000,-0.01740,1.59000,-0.02177
1.60090,1.60000,-0.01096,1.60000,-0.02089
1.61091,1.61000,-0.00471,1.61000,-0.02076
1.62091,1.62000,0.00106,1.62000,-0.02153
1.63092,1.63000,0.00604,1.63000,-0.02320
1.64092,1.64000,0.00981,1.64000,-0.02571
1.65093,1.65000,0.01195,1.65000,-0.02888
