Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,0.26503,0.00000,0.13494,0.00000,0.08585
0.01000,0.01000,0.26032,0.01000,0.13479,0.01000,0.08512
0.02000,0.02000,0.25505,0.02000,0.13462,0.02000,0.08433
0.03000,0.03000,0.24936,0.03000,0.13447,0.03000,0.08349
0.04001,0.04000,0.24348,0.04000,0.13441,0.04000,0.08263
0.05001,0.05000,0.23762,0.05000,0.13450,0.05000,0.08179
0.06001,0.06000,0.23200,0.06000,0.13481,0.06000,0.08096
0.07001,0.07000,0.22682,0.07000,0.13541,0.07000,0.08016
0.08001,0.08000,0.22221,0.08000,0.13635,0.08000,0.07937
0.09001,0.09000,0.21825,0.09000,0.13766,0.09000,0.07856
0.10001,0.10000,0.21497,0.10000,0.13937,0.10000,0.07772
0.11002,0.11000,0.21228,0.11000,0.14148,0.11000,0.07681
0.12002,0.12000,0.21004,0.12000,0.14399,0.12000,0.07580
0.13002,0.13000,0.20806,0.13000,0.14685,0.13000,0.07467
0.14002,0.14000,0.20607,0.14000,0.15004,0.14000,0.07344
0.15002,0.15000,0.20382,0.15000,0.15351,0.15000,0.07210
0.16002,0.16000,0.20106,0.16000,0.15718,0.16000,0.07069
0.17002,0.17000,0.19762,0.17000,0.16100,0.17000,0.06924
0.18003,0.18000,0.19339,0.18000,0.16487,0.18000,0.06778
0.19003,0.19000,0.18837,0.19000,0.16871,0.19000,0.06635
0.20003,0.20000,0.18267,0.20000,0.17244,0.20000,0.06497
0.21003,0.21000,0.17645,0.21000,0.17598,0.21000,0.06368
0.22003,0.22000,0.16997,0.22000,0.17925,0.22000,0.06248
0.23003,0.23000,0.16348,0.23000,0.18221,0.23000,0.06139
0.24003,0.24000,0.15725,0.24000,0.18484,0.24000,0.06042
0.25004,0.25000,0.15150,0.25000,0.18714,0.25000,0.05956
0.26004,0.26000,0.14639,0.26000,0.18916,0.26000,0.05883
0.27004,0.27000,0.14203,0.27000,0.19098,0.27000,0.05824
0.28004,0.28000,0.13841,0.28000,0.19268,0.28000,0.05779
0.29004,0.29000,0.13551,0.29000,0.19433,0.29000,0.05749
0.30004,0.30000,0.13320,0.30000,0.19598,0.30000,0.05732
0.31004,0.31000,0.13136,0.31000,0.19762,0.31000,0.05726
0.32005,0.32000,0.12987,0.32000,0.19920,0.32000,0.05729
0.33005,0.33000,0.12862,0.33000,0.20060,0.33000,0.05736
0.34005,0.34000,0.12752,0.34000,0.20166,0.34000,0.05739
0.35005,0.35000,0.12651,0.35000,0.20220,0.35000,0.05733
0.36005,0.36000,0.12555,0.36000,0.20205,0.36000,0.05711
0.37005,0.37000,0.12459,0.37000,0.20108,0.37000,0.05665
0.38005,0.38000,0.12359,0.38000,0.19924,0.38000,0.05592
0.39006,0.39000,0.12247,0.39000,0.19652,0.39000,0.05488
0.40006,0.40000,0.12116,0.40000,0.19302,0.40000,0.05355
0.41006,0.41000,0.11955,0.41000,0.18888,0.41000,0.05194
0.42006,0.42000,0.11756,0.42000,0.18433,0.42000,0.05012
0.43006,0.43000,0.11507,0.43000,0.17960,0.43000,0.04817
0.44006,0.44000,0.11201,0.44000,0.17491,0.44000,0.04619
0.45006,0.45000,0.10831,0.45000,0.17047,0.45000,0.04430
0.46007,0.46000,0.10393,0.46000,0.16644,0.46000,0.04259
0.47007,0.47000,0.09889,0.47000,0.16291,0.47000,0.04117
0.48007,0.48000,0.09324,0.48000,0.15990,0.48000,0.04009
0.49007,0.49000,0.08711,0.49000,0.15737,0.49000,0.03939
0.50007,0.50000,0.08070,0.50000,0.15519,0.50000,0.03905
0.51007,0.51000,0.07425,0.51000,0.15323,0.51000,0.03901
0.52007,0.52000,0.06806,0.52000,0.15130,0.52000,0.03920
0.53008,0.53000,0.06247,0.53000,0.14921,0.53000,0.03952
0.54008,0.54000,0.05782,0.54000,0.14682,0.54000,0.03985
0.55008,0.55000,0.05440,0.55000,0.14398,0.55000,0.04011
0.56008,0.56000,0.05249,0.56000,0.14060,0.56000,0.04021
0.57008,0.57000,0.05226,0.57000,0.13663,0.57000,0.04013
0.58008,0.58000,0.05381,0.58000,0.13209,0.58000,0.03984
0.59008,0.59000,0.05718,0.59000,0.12702,0.59000,0.03936
0.60009,0.60000,0.06230,0.60000,0.12149,0.60000,0.03874
0.61009,0.61000,0.06910,0.61000,0.11560,0.61000,0.03803
0.62009,0.62000,0.07743,0.62000,0.10946,0.62000,0.03729
0.63009,0.63000,0.08716,0.63000,0.10319,0.63000,0.03656
0.64009,0.64000,0.09813,0.64000,0.09690,0.64000,0.03591
0.65009,0.65000,0.11020,0.65000,0.09067,0.65000,0.03538
0.66009,0.66000,0.12326,0.66000,0.08460,0.66000,0.03503
0.67010,0.67000,0.13718,0.67000,0.07877,0.67000,0.03491
