Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,0.67866,0.00000,-0.49830,0.00000,0.02128
0.01000,0.01000,0.66688,0.01000,-0.49251,0.01000,0.02381
0.02000,0.02000,0.65202,0.02000,-0.48565,0.02000,0.02608
0.03000,0.03000,0.63409,0.03000,-0.47796,0.03000,0.02784
0.04001,0.04000,0.61326,0.04000,-0.46980,0.04000,0.02885
0.05001,0.05000,0.58988,0.05000,-0.46165,0.05000,0.02889
0.06001,0.06000,0.56446,0.06000,-0.45408,0.06000,0.02782
0.07001,0.07000,0.53765,0.07000,-0.44768,0.07000,0.02561
0.08001,0.08000,0.51020,0.08000,-0.44304,0.08000,0.02231
0.09001,0.09000,0.48288,0.09000,-0.44069,0.09000,0.01807
0.10001,0.10000,0.45645,0.10000,-0.44098,0.10000,0.01312
0.11002,0.11000,0.43157,0.11000,-0.44405,0.11000,0.00774
0.12002,0.12000,0.40879,0.12000,-0.44979,0.12000,0.00219
0.13002,0.13000,0.38848,0.13000,-0.45780,0.13000,-0.00327
0.14002,0.14000,0.37087,0.14000,-0.46744,0.14000,-0.00846
0.15002,0.15000,0.35601,0.15000,-0.47787,0.15000,-0.01327
0.16002,0.16000,0.34388,0.16000,-0.48817,0.16000,-0.01763
0.17002,0.17000,0.33431,0.17000,-0.49745,0.17000,-0.02154
0.18003,0.18000,0.32707,0.18000,-0.50492,0.18000,-0.02504
0.19003,0.19000,0.32187,0.19000,-0.51001,0.19000,-0.02818
0.20003,0.20000,0.31831,0.20000,-0.51237,0.20000,-0.03103
0.21003,0.21000,0.31594,0.21000,-0.51190,0.21000,-0.03364
0.22003,0.22000,0.31428,0.22000,-0.50873,0.22000,-0.03608
0.23003,0.23000,0.31277,0.23000,-0.50320,0.23000,-0.03841
0.24003,0.24000,0.31090,0.24000,-0.49578,0.24000,-0.04071
0.25004,0.25000,0.30819,0.25000,-0.48706,0.25000,-0.04305
0.26004,0.26000,0.30426,0.26000,-0.47769,0.26000,-0.04552
0.27004,0.27000,0.29887,0.27000,-0.46832,0.27000,-0.04822
0.28004,0.28000,0.29192,0.28000,-0.45957,0.28000,-0.05123
0.29004,0.29000,0.28353,0.29000,-0.45203,0.29000,-0.05462
0.30004,0.30000,0.27394,0.30000,-0.44625,0.30000,-0.05842
0.31004,0.31000,0.26356,0.31000,-0.44267,0.31000,-0.06266
0.32005,0.32000,0.25287,0.32000,-0.44167,0.32000,-0.06732
0.33005,0.33000,0.24240,0.33000,-0.44347,0.33000,-0.07234
0.34005,0.34000,0.23266,0.34000,-0.44813,0.34000,-0.07766
0.35005,0.35000,0.22410,0.35000,-0.45548,0.35000,-0.08316
0.36005,0.36000,0.21709,0.36000,-0.46508,0.36000,-0.08869
0.37005,0.37000,0.21187,0.37000,-0.47619,0.37000,-0.09409
0.38006,0.38000,0.20855,0.38000,-0.48784,0.38000,-0.09914
0.39006,0.39000,0.20710,0.39000,-0.49886,0.39000,-0.10364
0.40006,0.40000,0.20737,0.40000,-0.50799,0.40000,-0.10738
0.41006,0.41000,0.20907,0.41000,-0.51395,0.41000,-0.11018
0.42006,0.42000,0.21182,0.42000,-0.51564,0.42000,-0.11193
0.43006,0.43000,0.21518,0.43000,-0.51219,0.43000,-0.11256
0.44006,0.44000,0.21868,0.44000,-0.50312,0.44000,-0.11211
0.45007,0.45000,0.22183,0.45000,-0.48840,0.45000,-0.11071
0.46007,0.46000,0.22424,0.46000,-0.46850,0.46000,-0.10857
0.47007,0.47000,0.22559,0.47000,-0.44441,0.47000,-0.10597
0.48007,0.48000,0.22568,0.48000,-0.41752,0.48000,-0.10325
0.49007,0.49000,0.22449,0.49000,-0.38957,0.49000,-0.10075
0.50007,0.50000,0.22212,0.50000,-0.36241,0.50000,-0.09877
0.51007,0.51000,0.21885,0.51000,-0.33788,0.51000,-0.09753
0.52008,0.52000,0.21502,0.52000,-0.31758,0.52000,-0.09718
0.53008,0.53000,0.21104,0.53000,-0.30271,0.53000,-0.09774
0.54008,0.54000,0.20728,0.54000,-0.29389,0.54000,-0.09912
0.55008,0.55000,0.20405,0.55000,-0.29115,0.55000,-0.10113
0.56008,0.56000,0.20155,0.56000,-0.29387,0.56000,-0.10351
0.57008,0.57000,0.19986,0.57000,-0.30090,0.57000,-0.10596
0.58008,0.58000,0.19892,0.58000,-0.31068,0.58000,-0.10816
0.59009,0.59000,0.19857,0.59000,-0.32142,0.59000,-0.10984
0.60009,0.60000,0.19853,0.60000,-0.33130,0.60000,-0.11075
0.61009,0.61000,0.19847,0.61000,-0.33868,0.61000,-0.11072
0.62009,0.62000,0.19804,0.62000,-0.34225,0.62000,-0.10968
0.63009,0.63000,0.19685,0.63000,-0.34116,0.63000,-0.10767
0.64009,0.64000,0.19457,0.64000,-0.33506,0.64000,-0.10482
0.65009,0.65000,0.19092,0.65000,-0.32416,0.65000,-0.10137
0.66010,0.66000,0.18569,0.66000,-0.30917,0.66000,-0.09762
0.67010,0.67000,0.17880,0.67000,-0.29124,0.67000,-0.09394
0.68010,0.68000,0.17027,0.68000,-0.27183,0.68000,-0.09067
0.69010,0.69000,0.16024,0.69000,-0.25260,0.69000,-0.08814
0.70010,0.70000,0.14894,0.70000,-0.23520,0.70000,-0.08660
0.71010,0.71000,0.13667,0.71000,-0.22118,0.71000,-0.08616
0.72010,0.72000,0.12379,0.72000,-0.21179,0.72000,-0.08682
0.73011,0.73000,0.11064,0.73000,-0.20789,0.73000,-0.08846
0.74011,0.74000,0.09756,0.74000,-0.20987,0.74000,-0.09084
0.75011,0.75000,0.08483,0.75000,-0.21758,0.75000,-0.09366
0.76011,0.76000,0.07266,0.76000,-0.23037,0.76000,-0.09658
0.77011,0.77000,0.06122,0.77000,-0.24712,0.77000,-0.09931
0.78011,0.78000,0.05065,0.78000,-0.26633,0.78000,-0.10158
0.79011,0.79000,0.04105,0.79000,-0.28630,0.79000,-0.10321
0.80012,0.80000,0.03255,0.80000,-0.30524,0.80000,-0.10408
0.81012,0.81000,0.02526,0.81000,-0.32151,0.81000,-0.10417
0.82012,0.82000,0.01932,0.82000,-0.33374,0.82000,-0.10349
0.83012,0.83000,0.01486,0.83000,-0.34093,0.83000,-0.10213
0.84012,0.84000,0.01199,0.84000,-0.34262,0.84000,-0.10016
0.85012,0.85000,0.01075,0.85000,-0.33879,0.85000,-0.09768
0.86012,0.86000,0.01111,0.86000,-0.32990,0.86000,-0.09478
0.87013,0.87000,0.01296,0.87000,-0.31680,0.87000,-0.09152
0.88013,0.88000,0.01610,0.88000,-0.30057,0.88000,-0.08799
0.89013,0.89000,0.02029,0.89000,-0.28243,0.89000,-0.08422
0.90013,0.90000,0.02519,0.90000,-0.26361,0.90000,-0.08029
0.91013,0.91000,0.03049,0.91000,-0.24523,0.91000,-0.07624
0.92013,0.92000,0.03589,0.92000,-0.22827,0.92000,-0.07213
0.93013,0.93000,0.04110,0.93000,-0.21346,0.93000,-0.06805
0.94014,0.94000,0.04591,0.94000,-0.20132,0.94000,-0.06405
0.95014,0.95000,0.05018,0.95000,-0.19213,0.95000,-0.06020
0.96014,0.96000,0.05382,0.96000,-0.18593,0.96000,-0.05659
0.97014,0.97000,0.05680,0.97000,-0.18256,0.97000,-0.05329
0.98014,0.98000,0.05913,0.98000,-0.18164,0.98000,-0.05036
0.99014,0.99000,0.06086,0.99000,-0.18263,0.99000,-0.04791
1.00014,1.00000,0.06209,1.00000,-0.18487,1.00000,-0.04598
1.01015,1.01000,0.06293,1.01000,-0.18761,1.01000,-0.04466
1.02015,1.02000,0.06356,1.02000,-0.19010,1.02000,-0.04395
1.03015,1.03000,0.06417,1.03000,-0.19165,1.03000,-0.04386
1.04015,1.04000,0.06499,1.04000,-0.19165,1.04000,-0.04432
1.05015,1.05000,0.06623,1.05000,-0.18967,1.05000,-0.04522
1.06015,1.06000,0.06803,1.06000,-0.18540,1.06000,-0.04639
1.07015,1.07000,0.07048,1.07000,-0.17872,1.07000,-0.04764
1.08016,1.08000,0.07357,1.08000,-0.16964,1.08000,-0.04878
1.09016,1.09000,0.07719,1.09000,-0.15834,1.09000,-0.04963
1.10016,1.10000,0.08116,1.10000,-0.14514,1.10000,-0.05006
1.11016,1.11000,0.08526,1.11000,-0.13046,1.11000,-0.05000
1.12016,1.12000,0.08929,1.12000,-0.11484,1.12000,-0.04948
1.13016,1.13000,0.09313,1.13000,-0.09888,1.13000,-0.04857
1.14016,1.14000,0.09673,1.14000,-0.08319,1.14000,-0.04742
1.15017,1.15000,0.10015,1.15000,-0.06838,1.15000,-0.04622
1.16017,1.16000,0.10357,1.16000,-0.05503,1.16000,-0.04519
1.17017,1.17000,0.10720,1.17000,-0.04362,1.17000,-0.04453
1.18017,1.18000,0.11129,1.18000,-0.03454,1.18000,-0.04442
1.19017,1.19000,0.11603,1.19000,-0.02805,1.19000,-0.04496
1.20017,1.20000,0.12154,1.20000,-0.02424,1.20000,-0.04621
1.21017,1.21000,0.12783,1.21000,-0.02304,1.21000,-0.04811
1.22018,1.22000,0.13480,1.22000,-0.02415,1.22000,-0.05053
1.23018,1.23000,0.14223,1.23000,-0.02710,1.23000,-0.05323
1.24018,1.24000,0.14986,1.24000,-0.03125,1.24000,-0.05593
1.25018,1.25000,0.15735,1.25000,-0.03578,1.25000,-0.05829
1.26018,1.26000,0.16438,1.26000,-0.03982,1.26000,-0.05998
1.27018,1.27000,0.17058,1.27000,-0.04243,1.27000,-0.06074
1.28018,1.28000,0.17564,1.28000,-0.04275,1.28000,-0.06038
1.29019,1.29000,0.17924,1.29000,-0.04005,1.29000,-0.05880
1.30019,1.30000,0.18113,1.30000,-0.03383,1.30000,-0.05605
1.31019,1.31000,0.18105,1.31000,-0.02391,1.31000,-0.05231
1.32019,1.32000,0.17884,1.32000,-0.01052,1.32000,-0.04784
1.33019,1.33000,0.17437,1.33000,0.00571,1.33000,-0.04300
1.34019,1.34000,0.16761,1.34000,0.02373,1.34000,-0.03819
1.35019,1.35000,0.15861,1.35000,0.04217,1.35000,-0.03380
1.36020,1.36000,0.14753,1.36000,0.05947,1.36000,-0.03020
1.37020,1.37000,0.13465,1.37000,0.07402,1.37000,-0.02766
1.38020,1.38000,0.12034,1.38000,0.08439,1.38000,-0.02636
1.39020,1.39000,0.10505,1.39000,0.08945,1.39000,-0.02634
1.40020,1.40000,0.08932,1.40000,0.08857,1.40000,-0.02751
1.41020,1.41000,0.07367,1.41000,0.08169,1.41000,-0.02970
1.42020,1.42000,0.05865,1.42000,0.06933,1.42000,-0.03260
1.43021,1.43000,0.04473,1.43000,0.05258,1.43000,-0.03588
1.44021,1.44000,0.03231,1.44000,0.03292,1.44000,-0.03921
1.45021,1.45000,0.02172,1.45000,0.01209,1.45000,-0.04225
1.46021,1.46000,0.01317,1.46000,-0.00807,1.46000,-0.04472
1.47021,1.47000,0.00681,1.47000,-0.02587,1.47000,-0.04645
1.48021,1.48000,0.00270,1.48000,-0.03987,1.48000,-0.04729
1.49021,1.49000,0.00083,1.49000,-0.04905,1.49000,-0.04723
1.50022,1.50000,0.00116,1.50000,-0.05283,1.50000,-0.04630
1.51022,1.51000,0.00358,1.51000,-0.05116,1.51000,-0.04459
1.52022,1.52000,0.00795,1.52000,-0.04446,1.52000,-0.04225
1.53022,1.53000,0.01404,1.53000,-0.03357,1.53000,-0.03944
1.54022,1.54000,0.02155,1.54000,-0.01967,1.54000,-0.03635
1.55022,1.55000,0.03014,1.55000,-0.00415,1.55000,-0.03314
1.56022,1.56000,0.03939,1.56000,0.01153,1.56000,-0.02996
1.57023,1.57000,0.04885,1.57000,0.02594,1.57000,-0.02692
1.58023,1.58000,0.05805,1.58000,0.03785,1.58000,-0.02411
1.59023,1.59000,0.06655,1.59000,0.04630,1.59000,-0.02156
1.60023,1.60000,0.07398,1.60000,0.05068,1.60000,-0.01929
1.61023,1.61000,0.08004,1.61000,0.05079,1.61000,-0.01729
1.62023,1.62000,0.08456,1.62000,0.04684,1.62000,-0.01553
1.63023,1.63000,0.08748,1.63000,0.03939,1.63000,-0.01399
1.64024,1.64000,0.08890,1.64000,0.02935,1.64000,-0.01264
1.65024,1.65000,0.08905,1.65000,0.01787,1.65000,-0.01145
1.66024,1.66000,0.08830,1.66000,0.00619,1.66000,-0.01038
1.67024,1.67000,0.08713,1.67000,-0.00439,1.67000,-0.00936
1.68024,1.68000,0.08611,1.68000,-0.01269,1.68000,-0.00830
1.69024,1.69000,0.08587,1.69000,-0.01774,1.69000,-0.00710
1.70024,1.70000,0.08705,1.70000,-0.01884,1.70000,-0.00561
1.71025,1.71000,0.09019,1.71000,-0.01562,1.71000,-0.00371
1.72025,1.72000,0.09574,1.72000,-0.00808,1.72000,-0.00127
1.73025,1.73000,0.10395,1.73000,0.00345,1.73000,0.00179
1.74025,1.74000,0.11484,1.74000,0.01831,1.74000,0.00551
1.75025,1.75000,0.12818,1.75000,0.03557,1.75000,0.00983
1.76025,1.76000,0.14348,1.76000,0.05409,1.76000,0.01467
1.77025,1.77000,0.16002,1.77000,0.07259,1.77000,0.01986
1.78026,1.78000,0.17693,1.78000,0.08976,1.78000,0.02519
1.79026,1.79000,0.19323,1.79000,0.10435,1.79000,0.03046
1.80026,1.80000,0.20795,1.80000,0.11528,1.80000,0.03546
1.81026,1.81000,0.22019,1.81000,0.12175,1.81000,0.04002
1.82026,1.82000,0.22924,1.82000,0.12331,1.82000,0.04404
1.83026,1.83000,0.23460,1.83000,0.11992,1.83000,0.04749
1.84026,1.84000,0.23604,1.84000,0.11198,1.84000,0.05040
1.85027,1.85000,0.23362,1.85000,0.10030,1.85000,0.05286
1.86027,1.86000,0.22766,1.86000,0.08600,1.86000,0.05503
1.87027,1.87000,0.21871,1.87000,0.07047,1.87000,0.05707
1.88027,1.88000,0.20749,1.88000,0.05518,1.88000,0.05915
1.89027,1.89000,0.19482,1.89000,0.04154,1.89000,0.06139
1.90027,1.90000,0.18156,1.90000,0.03079,1.90000,0.06389
1.91027,1.91000,0.16848,1.91000,0.02383,1.91000,0.06666
1.92028,1.92000,0.15624,1.92000,0.02119,1.92000,0.06965
1.93028,1.93000,0.14527,1.93000,0.02290,1.93000,0.07274
1.94028,1.94000,0.13582,1.94000,0.02855,1.94000,0.07575
1.95028,1.95000,0.12786,1.95000,0.03733,1.95000,0.07847
1.96028,1.96000,0.12117,1.96000,0.04808,1.96000,0.08068
1.97028,1.97000,0.11534,1.97000,0.05947,1.97000,0.08218
1.98028,1.98000,0.10985,1.98000,0.07010,1.98000,0.08283
1.99029,1.99000,0.10415,1.99000,0.07870,1.99000,0.08254
2.00029,2.00000,0.09772,2.00000,0.08427,2.00000,0.08134
2.01029,2.01000,0.09020,2.01000,0.08616,2.01000,0.07931
2.02029,2.02000,0.08137,2.02000,0.08422,2.02000,0.07663
2.03029,2.03000,0.07125,2.03000,0.07872,2.03000,0.07353
2.04029,2.04000,0.06009,2.04000,0.07040,2.04000,0.07030
2.05029,2.05000,0.04834,2.05000,0.06029,2.05000,0.06721
2.06030,2.06000,0.03660,2.06000,0.04967,2.06000,0.06454
2.07030,2.07000,0.02559,2.07000,0.03987,2.07000,0.06252
2.08030,2.08000,0.01605,2.08000,0.03213,2.08000,0.06129
2.09030,2.09000,0.00868,2.09000,0.02750,2.09000,0.06096
2.10030,2.10000,0.00406,2.10000,0.02668,2.10000,0.06155
2.11030,2.11000,0.00263,2.11000,0.02999,2.11000,0.06299
2.12030,2.12000,0.00458,2.12000,0.03731,2.12000,0.06516
2.13031,2.13000,0.00988,2.13000,0.04810,2.13000,0.06791
2.14031,2.14000,0.01826,2.14000,0.06146,2.14000,0.07104
2.15031,2.15000,0.02920,2.15000,0.07621,2.15000,0.07436
2.16031,2.16000,0.04201,2.16000,0.09104,2.16000,0.07767
2.17031,2.17000,0.05581,2.17000,0.10462,2.17000,0.08080
2.18031,2.18000,0.06967,2.18000,0.11574,2.18000,0.08361
2.19031,2.19000,0.08263,2.19000,0.12343,2.19000,0.08599
2.20032,2.20000,0.09384,2.20000,0.12702,2.20000,0.08789
2.21032,2.21000,0.10257,2.21000,0.12623,2.21000,0.08926
2.22032,2.22000,0.10838,2.22000,0.12119,2.22000,0.09011
2.23032,2.23000,0.11106,2.23000,0.11238,2.23000,0.09045
2.24032,2.24000,0.11076,2.24000,0.10063,2.24000,0.09035
2.25032,2.25000,0.10793,2.25000,0.08704,2.25000,0.08987
