Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.09398,0.00000,-0.37056
0.01000,0.01000,0.09196,0.01000,-0.38465
0.02000,0.02000,0.08839,0.02000,-0.39689
0.03000,0.03000,0.08309,0.03000,-0.40597
0.04001,0.04000,0.07604,0.04000,-0.41067
0.05001,0.05000,0.06734,0.05000,-0.41009
0.06001,0.06000,0.05725,0.06000,-0.40377
0.07001,0.07000,0.04616,0.07000,-0.39187
0.08001,0.08000,0.03459,0.08000,-0.37514
0.09001,0.09000,0.02313,0.09000,-0.35487
0.10002,0.10000,0.01238,0.10000,-0.33278
0.11002,0.11000,0.00290,0.11000,-0.31080
0.12002,0.12000,-0.00486,0.12000,-0.29090
0.13002,0.13000,-0.01058,0.13000,-0.27491
0.14002,0.14000,-0.01408,0.14000,-0.26440
0.15002,0.15000,-0.01537,0.15000,-0.26053
0.16002,0.16000,-0.01462,0.16000,-0.26402
0.17003,0.17000,-0.01211,0.17000,-0.27505
0.18003,0.18000,-0.00823,0.18000,-0.29322
0.19003,0.19000,-0.00343,0.19000,-0.31759
0.20003,0.20000,0.00182,0.20000,-0.34669
0.21003,0.21000,0.00704,0.21000,-0.37863
0.22003,0.22000,0.01183,0.22000,-0.41124
0.23003,0.23000,0.01585,0.23000,-0.44230
0.24004,0.24000,0.01885,0.24000,-0.46971
0.25004,0.25000,0.02067,0.25000,-0.49174
0.26004,0.26000,0.02128,0.26000,-0.50719
0.27004,0.27000,0.02070,0.27000,-0.51549
0.28004,0.28000,0.01904,0.28000,-0.51677
0.29004,0.29000,0.01647,0.29000,-0.51181
0.30005,0.30000,0.01318,0.30000,-0.50197
0.31005,0.31000,0.00938,0.31000,-0.48899
0.32005,0.32000,0.00525,0.32000,-0.47487
0.33005,0.33000,0.00099,0.33000,-0.46160
0.34005,0.34000,-0.00324,0.34000,-0.45100
0.35005,0.35000,-0.00728,0.35000,-0.44449
0.36005,0.36000,-0.01101,0.36000,-0.44299
0.37006,0.37000,-0.01430,0.37000,-0.44682
0.38006,0.38000,-0.01708,0.38000,-0.45569
0.39006,0.39000,-0.01926,0.39000,-0.46879
0.40006,0.40000,-0.02083,0.40000,-0.48484
0.41006,0.41000,-0.02179,0.41000,-0.50231
0.42006,0.42000,-0.02218,0.42000,-0.51954
0.43006,0.43000,-0.02208,0.43000,-0.53495
0.44007,0.44000,-0.02160,0.44000,-0.54721
0.45007,0.45000,-0.02087,0.45000,-0.55540
0.46007,0.46000,-0.02006,0.46000,-0.55905
0.47007,0.47000,-0.01931,0.47000,-0.55822
0.48007,0.48000,-0.01877,0.48000,-0.55346
0.49007,0.49000,-0.01854,0.49000,-0.54573
0.50007,0.50000,-0.01869,0.50000,-0.53630
0.51008,0.51000,-0.01924,0.51000,-0.52658
0.52008,0.52000,-0.02016,0.52000,-0.51795
0.53008,0.53000,-0.02138,0.53000,-0.51162
0.54008,0.54000,-0.02283,0.54000,-0.50851
0.55008,0.55000,-0.02440,0.55000,-0.50911
0.56008,0.56000,-0.02600,0.56000,-0.51353
0.57009,0.57000,-0.02755,0.57000,-0.52144
0.58009,0.58000,-0.02898,0.58000,-0.53218
0.59009,0.59000,-0.03025,0.59000,-0.54485
0.60009,0.60000,-0.03132,0.60000,-0.55844
0.61009,0.61000,-0.03217,0.61000,-0.57196
0.62009,0.62000,-0.03282,0.62000,-0.58452
0.63009,0.63000,-0.03326,0.63000,-0.59552
0.64010,0.64000,-0.03353,0.64000,-0.60458
0.65010,0.65000,-0.03366,0.65000,-0.61163
0.66010,0.66000,-0.03367,0.66000,-0.61687
0.67010,0.67000,-0.03360,0.67000,-0.62062
0.68010,0.68000,-0.03347,0.68000,-0.62333
0.69010,0.69000,-0.03333,0.69000,-0.62539
0.70010,0.70000,-0.03322,0.70000,-0.62709
0.71011,0.71000,-0.03316,0.71000,-0.62860
0.72011,0.72000,-0.03323,0.72000,-0.62988
0.73011,0.73000,-0.03346,0.73000,-0.63076
0.74011,0.74000,-0.03390,0.74000,-0.63099
0.75011,0.75000,-0.03459,0.75000,-0.63024
0.76011,0.76000,-0.03553,0.76000,-0.62825
0.77011,0.77000,-0.03670,0.77000,-0.62486
0.78012,0.78000,-0.03806,0.78000,-0.62005
0.79012,0.79000,-0.03952,0.79000,-0.61401
0.80012,0.80000,-0.04101,0.80000,-0.60707
0.81012,0.81000,-0.04239,0.81000,-0.59974
0.82012,0.82000,-0.04356,0.82000,-0.59262
0.83012,0.83000,-0.04442,0.83000,-0.58633
0.84013,0.84000,-0.04490,0.84000,-0.58143
0.85013,0.85000,-0.04497,0.85000,-0.57835
0.86013,0.86000,-0.04465,0.86000,-0.57732
0.87013,0.87000,-0.04402,0.87000,-0.57833
0.88013,0.88000,-0.04320,0.88000,-0.58111
0.89013,0.89000,-0.04232,0.89000,-0.58520
0.90013,0.90000,-0.04155,0.90000,-0.59001
0.91014,0.91000,-0.04103,0.91000,-0.59489
0.92014,0.92000,-0.04086,0.92000,-0.59923
0.93014,0.93000,-0.04112,0.93000,-0.60257
0.94014,0.94000,-0.04181,0.94000,-0.60466
0.95014,0.95000,-0.04290,0.95000,-0.60547
0.96014,0.96000,-0.04429,0.96000,-0.60521
0.97014,0.97000,-0.04586,0.97000,-0.60428
0.98015,0.98000,-0.04746,0.98000,-0.60319
0.99015,0.99000,-0.04894,0.99000,-0.60244
1.00015,1.00000,-0.05016,1.00000,-0.60246
1.01015,1.01000,-0.05101,1.01000,-0.60349
1.02015,1.02000,-0.05145,1.02000,-0.60554
1.03015,1.03000,-0.05145,1.03000,-0.60837
1.04015,1.04000,-0.05107,1.04000,-0.61153
1.05016,1.05000,-0.05039,1.05000,-0.61440
1.06016,1.06000,-0.04952,1.06000,-0.61630
1.07016,1.07000,-0.04859,1.07000,-0.61659
1.08016,1.08000,-0.04770,1.08000,-0.61475
1.09016,1.09000,-0.04696,1.09000,-0.61048
1.10016,1.10000,-0.04642,1.10000,-0.60375
1.11017,1.11000,-0.04609,1.11000,-0.59485
1.12017,1.12000,-0.04594,1.12000,-0.58430
1.13017,1.13000,-0.04589,1.13000,-0.57289
1.14017,1.14000,-0.04585,1.14000,-0.56153
1.15017,1.15000,-0.04569,1.15000,-0.55119
1.16017,1.16000,-0.04531,1.16000,-0.54282
1.17017,1.17000,-0.04460,1.17000,-0.53716
1.18018,1.18000,-0.04351,1.18000,-0.53477
1.19018,1.19000,-0.04202,1.19000,-0.53586
1.20018,1.20000,-0.04015,1.20000,-0.54033
1.21018,1.21000,-0.03797,1.21000,-0.54772
1.22018,1.22000,-0.03558,1.22000,-0.55730
1.23018,1.23000,-0.03311,1.23000,-0.56814
1.24018,1.24000,-0.03071,1.24000,-0.57921
1.25019,1.25000,-0.02853,1.25000,-0.58951
1.26019,1.26000,-0.02669,1.26000,-0.59822
1.27019,1.27000,-0.02528,1.27000,-0.60472
1.28019,1.28000,-0.02437,1.28000,-0.60875
1.29019,1.29000,-0.02398,1.29000,-0.61036
1.30019,1.30000,-0.02411,1.30000,-0.60991
1.31020,1.31000,-0.02470,1.31000,-0.60800
1.32020,1.32000,-0.02569,1.32000,-0.60534
1.33020,1.33000,-0.02700,1.33000,-0.60266
1.34020,1.34000,-0.02854,1.34000,-0.60059
1.35020,1.35000,-0.03021,1.35000,-0.59954
1.36020,1.36000,-0.03194,1.36000,-0.59970
1.37020,1.37000,-0.03366,1.37000,-0.60096
1.38021,1.38000,-0.03529,1.38000,-0.60299
1.39021,1.39000,-0.03678,1.39000,-0.60526
1.40021,1.40000,-0.03808,1.40000,-0.60716
1.41021,1.41000,-0.03914,1.41000,-0.60805
1.42021,1.42000,-0.03993,1.42000,-0.60739
1.43021,1.43000,-0.04042,1.43000,-0.60479
1.44021,1.44000,-0.04058,1.44000,-0.60003
1.45022,1.45000,-0.04043,1.45000,-0.59314
1.46022,1.46000,-0.03997,1.46000,-0.58436
1.47022,1.47000,-0.03925,1.47000,-0.57413
1.48022,1.48000,-0.03831,1.48000,-0.56304
1.49022,1.49000,-0.03721,1.49000,-0.55177
1.50022,1.50000,-0.03601,1.50000,-0.54102
1.51022,1.51000,-0.03477,1.51000,-0.53141
1.52023,1.52000,-0.03356,1.52000,-0.52340
1.53023,1.53000,-0.03244,1.53000,-0.51725
1.54023,1.54000,-0.03145,1.54000,-0.51295
1.55023,1.55000,-0.03063,1.55000,-0.51022
1.56023,1.56000,-0.03003,1.56000,-0.50855
1.57023,1.57000,-0.02967,1.57000,-0.50729
1.58024,1.58000,-0.02953,1.58000,-0.50571
1.59024,1.59000,-0.02962,1.59000,-0.50313
1.60024,1.60000,-0.02991,1.60000,-0.49900
1.61024,1.61000,-0.03036,1.61000,-0.49300
1.62024,1.62000,-0.03090,1.62000,-0.48508
1.63024,1.63000,-0.03149,1.63000,-0.47547
1.64024,1.64000,-0.03205,1.64000,-0.46466
1.65025,1.65000,-0.03251,1.65000,-0.45328
1.66025,1.66000,-0.03277,1.66000,-0.44208
1.67025,1.67000,-0.03278,1.67000,-0.43175
1.68025,1.68000,-0.03245,1.68000,-0.42287
1.69025,1.69000,-0.03176,1.69000,-0.41579
1.70025,1.70000,-0.03066,1.70000,-0.41060
1.71025,1.71000,-0.02918,1.71000,-0.40711
1.72026,1.72000,-0.02734,1.72000,-0.40489
1.73026,1.73000,-0.02519,1.73000,-0.40331
1.74026,1.74000,-0.02283,1.74000,-0.40166
1.75026,1.75000,-0.02034,1.75000,-0.39922
1.76026,1.76000,-0.01781,1.76000,-0.39540
1.77026,1.77000,-0.01536,1.77000,-0.38981
1.78026,1.78000,-0.01308,1.78000,-0.38236
1.79027,1.79000,-0.01106,1.79000,-0.37324
1.80027,1.80000,-0.00936,1.80000,-0.36294
1.81027,1.81000,-0.00804,1.81000,-0.35225
1.82027,1.82000,-0.00711,1.82000,-0.34208
1.83027,1.83000,-0.00658,1.83000,-0.33345
1.84027,1.84000,-0.00641,1.84000,-0.32731
1.85028,1.85000,-0.00657,1.85000,-0.32443
1.86028,1.86000,-0.00698,1.86000,-0.32527
1.87028,1.87000,-0.00758,1.87000,-0.32995
1.88028,1.88000,-0.00830,1.88000,-0.33814
1.89028,1.89000,-0.00907,1.89000,-0.34912
1.90028,1.90000,-0.00984,1.90000,-0.36183
1.91028,1.91000,-0.01057,1.91000,-0.37495
1.92029,1.92000,-0.01121,1.92000,-0.38709
1.93029,1.93000,-0.01177,1.93000,-0.39689
1.94029,1.94000,-0.01223,1.94000,-0.40318
1.95029,1.95000,-0.01261,1.95000,-0.40514
1.96029,1.96000,-0.01294,1.96000,-0.40235
1.97029,1.97000,-0.01323,1.97000,-0.39487
1.98029,1.98000,-0.01349,1.98000,-0.38321
1.99030,1.99000,-0.01372,1.99000,-0.36825
2.00030,2.00000,-0.01390,2.00000,-0.35120
2.01030,2.01000,-0.01401,2.01000,-0.33340
2.02030,2.02000,-0.01399,2.02000,-0.31623
2.03030,2.03000,-0.01379,2.03000,-0.30096
2.04030,2.04000,-0.01338,2.04000,-0.28860
2.05030,2.05000,-0.01272,2.05000,-0.27986
2.06031,2.06000,-0.01179,2.06000,-0.27505
