Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.23716,0.00000,-0.09949,0.00000,0.29721,0.00000,0.04410,0.00000,-0.23815,0.00000,-0.09940
0.01001,0.01000,-0.23098,0.01000,-0.09957,0.01000,0.29424,0.01000,0.04009,0.01000,-0.23195,0.01000,-0.09950
0.02001,0.02000,-0.22453,0.02000,-0.09861,0.02000,0.29013,0.02000,0.03253,0.02000,-0.22547,0.02000,-0.09857
0.03002,0.03000,-0.21810,0.03000,-0.09637,0.03000,0.28485,0.03000,0.02104,0.03000,-0.21902,0.03000,-0.09636
0.04003,0.04000,-0.21199,0.04000,-0.09261,0.04000,0.27843,0.04000,0.00555,0.04000,-0.21288,0.04000,-0.09265
0.05003,0.05000,-0.20647,0.05000,-0.08719,0.05000,0.27100,0.05000,-0.01361,0.05000,-0.20734,0.05000,-0.08730
0.06004,0.06000,-0.20174,0.06000,-0.08007,0.06000,0.26276,0.06000,-0.03567,0.06000,-0.20260,0.06000,-0.08026
0.07005,0.07000,-0.19795,0.07000,-0.07137,0.07000,0.25401,0.07000,-0.05940,0.07000,-0.19880,0.07000,-0.07162
0.08005,0.08000,-0.19516,0.08000,-0.06134,0.08000,0.24509,0.08000,-0.08321,0.08000,-0.19599,0.08000,-0.06167
0.09006,0.09000,-0.19334,0.09000,-0.05047,0.09000,0.23641,0.09000,-0.10527,0.09000,-0.19417,0.09000,-0.05087
0.10007,0.10000,-0.19242,0.10000,-0.03943,0.10000,0.22837,0.10000,-0.12371,0.10000,-0.19324,0.10000,-0.03989
0.11007,0.11000,-0.19227,0.11000,-0.02909,0.11000,0.22136,0.11000,-0.13683,0.11000,-0.19308,0.11000,-0.02958
0.12008,0.12000,-0.19273,0.12000,-0.02040,0.12000,0.21570,0.12000,-0.14333,0.12000,-0.19353,0.12000,-0.02091
0.13009,0.13000,-0.19360,0.13000,-0.01435,0.13000,0.21162,0.13000,-0.14243,0.13000,-0.19440,0.13000,-0.01484
0.14009,0.14000,-0.19470,0.14000,-0.01175,0.14000,0.20921,0.14000,-0.13403,0.14000,-0.19550,0.14000,-0.01221
