Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	0.00630	0.00000	0.01297	0.00000	-0.18172	0.00000	0.16969	0.00000	0.24826	0.00000	-0.38493	0.00000	-0.10149	0.00000	-0.52498	0.00000	0.71240	0.00000	0.12116	0.00000	-0.21960	0.00000	-0.23716	0.00000	-0.09949	0.00000	0.29721	0.00000	0.04410	0.00000	-0.23815	0.00000	-0.09940	0.00000	-0.04134	0.00000	-3.43434	0.00000	0.09250	0.00000	1.53509	0.00000	0.05797	0.00000	-2.29566	0.00000	0.67963	0.00000	0.44520	0.00000	0.28856	0.00000	0.28490	0.00000	0.46098	0.00000	-0.07356	0.00000	0.24494	0.00000	0.36037	0.00000	0.32643	0.00000	-0.21178	0.00000	0.17132	0.00000	0.38416	0.00000	-0.79594	0.00000	-0.26642	0.00000	0.90161	0.00000	-0.22855	0.00000	-0.00901	0.00000	-0.23930	0.00000	0.22905	
0.01001	0.01000	0.00364	0.01000	0.01397	0.01000	-0.17896	0.01000	0.16868	0.01000	0.24161	0.01000	-0.37733	0.01000	-0.09495	0.01000	-0.54223	0.01000	0.71352	0.01000	0.11813	0.01000	-0.21808	0.01000	-0.23098	0.01000	-0.09957	0.01000	0.29424	0.01000	0.04009	0.01000	-0.23195	0.01000	-0.09950	0.01000	-0.04692	0.01000	-3.49115	0.01000	0.09205	0.01000	1.56271	0.01000	0.06301	0.01000	-2.02991	0.01000	0.66879	0.01000	0.44461	0.01000	0.29050	0.01000	0.28255	0.01000	0.46251	0.01000	-0.07409	0.01000	0.24369	0.01000	0.36894	0.01000	0.33181	0.01000	-0.21086	0.01000	0.17215	0.01000	0.38444	0.01000	-0.79671	0.01000	-0.26940	0.01000	0.89493	0.01000	-0.22627	0.01000	-0.00406	0.01000	-0.24472	0.01000	0.22719	
0.02001	0.02000	0.00075	0.02000	0.01423	0.02000	-0.17645	0.02000	0.16762	0.02000	0.23535	0.02000	-0.36868	0.02000	-0.08876	0.02000	-0.56183	0.02000	0.71644	0.02000	0.11525	0.02000	-0.21797	0.02000	-0.22453	0.02000	-0.09861	0.02000	0.29013	0.02000	0.03253	0.02000	-0.22547	0.02000	-0.09857	0.02000	-0.05313	0.02000	-3.59462	0.02000	0.09001	0.02000	1.59471	0.02000	0.06918	0.02000	-1.75172	0.02000	0.65643	0.02000	0.44438	0.02000	0.29238	0.02000	0.28045	0.02000	0.46418	0.02000	-0.07429	0.02000	0.24228	0.02000	0.37705	0.02000	0.33825	0.02000	-0.20979	0.02000	0.17344	0.02000	0.38476	0.02000	-0.79753	0.02000	-0.27226	0.02000	0.88813	0.02000	-0.22448	0.02000	0.00194	0.02000	-0.25095	0.02000	0.22594	
0.03002	0.03000	-0.00226	0.03000	0.01350	0.03000	-0.17445	0.03000	0.16660	0.03000	0.22988	0.03000	-0.35917	0.03000	-0.08337	0.03000	-0.58328	0.03000	0.72129	0.03000	0.11287	0.03000	-0.21953	0.03000	-0.21810	0.03000	-0.09637	0.03000	0.28485	0.03000	0.02104	0.03000	-0.21902	0.03000	-0.09636	0.03000	-0.05967	0.03000	-3.74843	0.03000	0.08625	0.03000	1.62875	0.03000	0.07625	0.03000	-1.47444	0.03000	0.64294	0.03000	0.44462	0.03000	0.29404	0.03000	0.27882	0.03000	0.46591	0.03000	-0.07407	0.03000	0.24075	0.03000	0.37819	0.03000	0.34565	0.03000	-0.20855	0.03000	0.17525	0.03000	0.38507	0.03000	-0.79839	0.03000	-0.27478	0.03000	0.88165	0.03000	-0.22337	0.03000	0.00885	0.03000	-0.25773	0.03000	0.22549	
0.04003	0.04000	-0.00525	0.04000	0.01161	0.04000	-0.17317	0.04000	0.16566	0.04000	0.22547	0.04000	-0.34906	0.04000	-0.07920	0.04000	-0.60595	0.04000	0.72803	0.04000	0.11137	0.04000	-0.22287	0.04000	-0.21199	0.04000	-0.09261	0.04000	0.27843	0.04000	0.00555	0.04000	-0.21288	0.04000	-0.09265	0.04000	-0.06618	0.04000	-3.95195	0.04000	0.08084	0.04000	1.66152	0.04000	0.08382	0.04000	-1.21215	0.04000	0.62881	0.04000	0.44541	0.04000	0.29532	0.04000	0.27788	0.04000	0.46760	0.04000	-0.07334	0.04000	0.23917	0.04000	0.36874	0.04000	0.35382	0.04000	-0.20713	0.04000	0.17762	0.04000	0.38537	0.04000	-0.79924	0.04000	-0.27671	0.04000	0.87599	0.04000	-0.22308	0.04000	0.01642	0.04000	-0.26471	0.04000	0.22594	
0.05003	0.05000	-0.00810	0.05000	0.00842	0.05000	-0.17279	0.05000	0.16488	0.05000	0.22229	0.05000	-0.33864	0.05000	-0.07655	0.05000	-0.62916	0.05000	0.73639	0.05000	0.11117	0.05000	-0.22788	0.05000	-0.20647	0.05000	-0.08719	0.05000	0.27100	0.05000	-0.01361	0.05000	-0.20734	0.05000	-0.08730	0.05000	-0.07226	0.05000	-4.19936	0.05000	0.07404	0.05000	1.68891	0.05000	0.09136	0.05000	-0.97826	0.05000	0.61460	0.05000	0.44677	0.05000	0.29609	0.05000	0.27782	0.05000	0.46917	0.05000	-0.07207	0.05000	0.23760	0.05000	0.33790	0.05000	0.36252	0.05000	-0.20548	0.05000	0.18056	0.05000	0.38562	0.05000	-0.80007	0.05000	-0.27784	0.05000	0.87164	0.05000	-0.22366	0.05000	0.02434	0.05000	-0.27149	0.05000	0.22733	
0.06004	0.06000	-0.01069	0.06000	0.00392	0.06000	-0.17344	0.06000	0.16431	0.06000	0.22032	0.06000	-0.32819	0.06000	-0.07561	0.06000	-0.65224	0.06000	0.74590	0.06000	0.11264	0.06000	-0.23421	0.06000	-0.20174	0.06000	-0.08007	0.06000	0.26276	0.06000	-0.03567	0.06000	-0.20260	0.06000	-0.08026	0.06000	-0.07745	0.06000	-4.47955	0.06000	0.06629	0.06000	1.70646	0.06000	0.09828	0.06000	-0.78430	0.06000	0.60089	0.06000	0.44871	0.06000	0.29622	0.06000	0.27878	0.06000	0.47050	0.06000	-0.07024	0.06000	0.23612	0.06000	0.30435	0.06000	0.37147	0.06000	-0.20358	0.06000	0.18402	0.06000	0.38580	0.06000	-0.80086	0.06000	-0.27799	0.06000	0.86904	0.06000	-0.22506	0.06000	0.03220	0.06000	-0.27758	0.06000	0.22954	
0.07005	0.07000	-0.01295	0.07000	-0.00186	0.07000	-0.17517	0.07000	0.16399	0.07000	0.21939	0.07000	-0.31797	0.07000	-0.07640	0.07000	-0.67461	0.07000	0.75587	0.07000	0.11609	0.07000	-0.24129	0.07000	-0.19795	0.07000	-0.07137	0.07000	0.25401	0.07000	-0.05940	0.07000	-0.19880	0.07000	-0.07162	0.07000	-0.08135	0.07000	-4.77658	0.07000	0.05812	0.07000	1.70991	0.07000	0.10397	0.07000	-0.63909	0.07000	0.58826	0.07000	0.45116	0.07000	0.29561	0.07000	0.28082	0.07000	0.47153	0.07000	-0.06789	0.07000	0.23477	0.07000	0.27258	0.07000	0.38037	0.07000	-0.20137	0.07000	0.18796	0.07000	0.38588	0.07000	-0.80160	0.07000	-0.27705	0.07000	0.86852	0.07000	-0.22712	0.07000	0.03958	0.07000	-0.28249	0.07000	0.23235	
0.08005	0.08000	-0.01486	0.08000	-0.00875	0.08000	-0.17794	0.08000	0.16395	0.08000	0.21919	0.08000	-0.30821	0.08000	-0.07874	0.08000	-0.69581	0.08000	0.76552	0.08000	0.12168	0.08000	-0.24839	0.08000	-0.19516	0.08000	-0.06134	0.08000	0.24509	0.08000	-0.08321	0.08000	-0.19599	0.08000	-0.06167	0.08000	-0.08360	0.08000	-5.07079	0.08000	0.05012	0.08000	1.69588	0.08000	0.10792	0.08000	-0.54803	0.08000	0.57720	0.08000	0.45403	0.08000	0.29425	0.08000	0.28392	0.08000	0.47217	0.08000	-0.06510	0.08000	0.23363	0.08000	0.24155	0.08000	0.38891	0.08000	-0.19880	0.08000	0.19228	0.08000	0.38585	0.08000	-0.80230	0.08000	-0.27499	0.08000	0.87024	0.08000	-0.22958	0.08000	0.04606	0.08000	-0.28578	0.08000	0.23543	
0.09006	0.09000	-0.01643	0.09000	-0.01652	0.09000	-0.18162	0.09000	0.16418	0.09000	0.21934	0.09000	-0.29910	0.09000	-0.08235	0.09000	-0.71553	0.09000	0.77401	0.09000	0.12940	0.09000	-0.25470	0.09000	-0.19334	0.09000	-0.05047	0.09000	0.23641	0.09000	-0.10527	0.09000	-0.19417	0.09000	-0.05087	0.09000	-0.08392	0.09000	-5.34053	0.09000	0.04281	0.09000	1.66246	0.09000	0.10981	0.09000	-0.51275	0.09000	0.56807	0.09000	0.45720	0.09000	0.29213	0.09000	0.28796	0.09000	0.47240	0.09000	-0.06196	0.09000	0.23274	0.09000	0.22231	0.09000	0.39679	0.09000	-0.19583	0.09000	0.19685	0.09000	0.38569	0.09000	-0.80296	0.09000	-0.27190	0.09000	0.87421	0.09000	-0.23210	0.09000	0.05128	0.09000	-0.28705	0.09000	0.23839	
0.10007	0.10000	-0.01777	0.10000	-0.02489	0.10000	-0.18603	0.10000	0.16465	0.10000	0.21939	0.10000	-0.29074	0.10000	-0.08683	0.10000	-0.73359	0.10000	0.78053	0.10000	0.13902	0.10000	-0.25949	0.10000	-0.19242	0.10000	-0.03943	0.10000	0.22837	0.10000	-0.12371	0.10000	-0.19324	0.10000	-0.03989	0.10000	-0.08218	0.10000	-5.56419	0.10000	0.03659	0.10000	1.60964	0.10000	0.10951	0.10000	-0.53101	0.10000	0.56112	0.10000	0.46052	0.10000	0.28934	0.10000	0.29274	0.10000	0.47220	0.10000	-0.05861	0.10000	0.23213	0.10000	0.23435	0.10000	0.40378	0.10000	-0.19244	0.10000	0.20154	0.10000	0.38538	0.10000	-0.80362	0.10000	-0.26795	0.10000	0.88025	0.10000	-0.23427	0.10000	0.05497	0.10000	-0.28606	0.10000	0.24077	
