Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.63605,0.00000,-1.44965,0.00000,0.28713,0.00000,-1.21217,0.00000,-0.63392,0.00000,-1.47104
0.01000,0.01000,-0.66461,0.01000,-1.48539,0.01000,0.28322,0.01000,-1.15918,0.01000,-0.66254,0.01000,-1.50594
0.02000,0.02000,-0.69309,0.02000,-1.52753,0.02000,0.27877,0.02000,-1.10076,0.02000,-0.69106,0.02000,-1.54716
0.03000,0.03000,-0.71946,0.03000,-1.57549,0.03000,0.27406,0.03000,-1.03861,0.03000,-0.71746,0.03000,-1.59413
0.04001,0.04000,-0.74162,0.04000,-1.62836,0.04000,0.26946,0.04000,-0.97460,0.04000,-0.73963,0.04000,-1.64600
0.05001,0.05000,-0.75760,0.05000,-1.68506,0.05000,0.26542,0.05000,-0.91056,0.05000,-0.75559,0.05000,-1.70171
0.06001,0.06000,-0.76578,0.06000,-1.74439,0.06000,0.26244,0.06000,-0.84814,0.06000,-0.76373,0.06000,-1.76010
0.07001,0.07000,-0.76513,0.07000,-1.80515,0.07000,0.26100,0.07000,-0.78862,0.07000,-0.76301,0.07000,-1.81998
0.08001,0.08000,-0.75532,0.08000,-1.86620,0.08000,0.26148,0.08000,-0.73295,0.08000,-0.75310,0.08000,-1.88025
0.09001,0.09000,-0.73678,0.09000,-1.92656,0.09000,0.26413,0.09000,-0.68168,0.09000,-0.73442,0.09000,-1.93992
0.10001,0.10000,-0.71066,0.10000,-1.98544,0.10000,0.26899,0.10000,-0.63504,0.10000,-0.70816,0.10000,-1.99821
0.11002,0.11000,-0.67877,0.11000,-2.04224,0.11000,0.27589,0.11000,-0.59303,0.11000,-0.67611,0.11000,-2.05451
0.12002,0.12000,-0.64337,0.12000,-2.09653,0.12000,0.28441,0.12000,-0.55552,0.12000,-0.64055,0.12000,-2.10840
0.13002,0.13000,-0.60695,0.13000,-2.14802,0.13000,0.29394,0.13000,-0.52230,0.13000,-0.60398,0.13000,-2.15954
0.14002,0.14000,-0.57202,0.14000,-2.19640,0.14000,0.30370,0.14000,-0.49310,0.14000,-0.56892,0.14000,-2.20763
0.15002,0.15000,-0.54087,0.15000,-2.24127,0.15000,0.31281,0.15000,-0.46762,0.15000,-0.53766,0.15000,-2.25225
0.16002,0.16000,-0.51534,0.16000,-2.28204,0.16000,0.32037,0.16000,-0.44547,0.16000,-0.51206,0.16000,-2.29279
0.17002,0.17000,-0.49671,0.17000,-2.31786,0.17000,0.32556,0.17000,-0.42612,0.17000,-0.49340,0.17000,-2.32838
0.18003,0.18000,-0.48564,0.18000,-2.34764,0.18000,0.32769,0.18000,-0.40887,0.18000,-0.48233,0.18000,-2.35790
0.19003,0.19000,-0.48209,0.19000,-2.37013,0.19000,0.32631,0.19000,-0.39287,0.19000,-0.47884,0.19000,-2.38011
0.20003,0.20000,-0.48544,0.20000,-2.38412,0.20000,0.32126,0.20000,-0.37707,0.20000,-0.48227,0.20000,-2.39376
0.21003,0.21000,-0.49450,0.21000,-2.38859,0.21000,0.31270,0.21000,-0.36033,0.21000,-0.49144,0.21000,-2.39782
0.22003,0.22000,-0.50765,0.22000,-2.38297,0.22000,0.30112,0.22000,-0.34148,0.22000,-0.50473,0.22000,-2.39170
0.23003,0.23000,-0.52301,0.23000,-2.36732,0.23000,0.28734,0.23000,-0.31943,0.23000,-0.52024,0.23000,-2.37545
0.24003,0.24000,-0.53857,0.24000,-2.34249,0.24000,0.27241,0.24000,-0.29327,0.24000,-0.53594,0.24000,-2.34990
0.25004,0.25000,-0.55243,0.25000,-2.31011,0.25000,0.25758,0.25000,-0.26238,0.25000,-0.54993,0.25000,-2.31669
0.26004,0.26000,-0.56294,0.26000,-2.27262,0.26000,0.24416,0.26000,-0.22654,0.26000,-0.56055,0.26000,-2.27826
0.27004,0.27000,-0.56891,0.27000,-2.23302,0.27000,0.23343,0.27000,-0.18590,0.27000,-0.56660,0.27000,-2.23762
0.28004,0.28000,-0.56969,0.28000,-2.19469,0.28000,0.22650,0.28000,-0.14107,0.28000,-0.56742,0.28000,-2.19817
0.29004,0.29000,-0.56526,0.29000,-2.16101,0.29000,0.22423,0.29000,-0.09303,0.29000,-0.56300,0.29000,-2.16334
0.30004,0.30000,-0.55622,0.30000,-2.13509,0.30000,0.22712,0.30000,-0.04307,0.30000,-0.55393,0.30000,-2.13625
0.31004,0.31000,-0.54377,0.31000,-2.11942,0.31000,0.23528,0.31000,0.00732,0.31000,-0.54142,0.31000,-2.11944
0.32005,0.32000,-0.52954,0.32000,-2.11560,0.32000,0.24837,0.32000,0.05661,0.32000,-0.52711,0.32000,-2.11454
0.33005,0.33000,-0.51547,0.33000,-2.12417,0.33000,0.26568,0.33000,0.10332,0.33000,-0.51294,0.33000,-2.12214
0.34005,0.34000,-0.50358,0.34000,-2.14453,0.34000,0.28615,0.34000,0.14619,0.34000,-0.50096,0.34000,-2.14162
0.35005,0.35000,-0.49579,0.35000,-2.17489,0.35000,0.30850,0.35000,0.18425,0.35000,-0.49308,0.35000,-2.17125
0.36005,0.36000,-0.49363,0.36000,-2.21248,0.36000,0.33128,0.36000,0.21685,0.36000,-0.49086,0.36000,-2.20825
0.37005,0.37000,-0.49814,0.37000,-2.25375,0.37000,0.35307,0.37000,0.24366,0.37000,-0.49534,0.37000,-2.24906
0.38005,0.38000,-0.50968,0.38000,-2.29477,0.38000,0.37252,0.38000,0.26462,0.38000,-0.50688,0.38000,-2.28973
0.39006,0.39000,-0.52788,0.39000,-2.33156,0.39000,0.38853,0.39000,0.27985,0.39000,-0.52510,0.39000,-2.32629
0.40006,0.40000,-0.55160,0.40000,-2.36062,0.40000,0.40035,0.40000,0.28962,0.40000,-0.54888,0.40000,-2.35520
0.41006,0.41000,-0.57906,0.41000,-2.37923,0.41000,0.40763,0.41000,0.29431,0.41000,-0.57643,0.41000,-2.37375
0.42006,0.42000,-0.60800,0.42000,-2.38583,0.42000,0.41049,0.42000,0.29440,0.42000,-0.60546,0.42000,-2.38034
0.43006,0.43000,-0.63586,0.43000,-2.38013,0.43000,0.40952,0.43000,0.29042,0.43000,-0.63342,0.43000,-2.37469
0.44006,0.44000,-0.66012,0.44000,-2.36317,0.44000,0.40571,0.44000,0.28299,0.44000,-0.65777,0.44000,-2.35782
0.45006,0.45000,-0.67853,0.45000,-2.33714,0.45000,0.40037,0.45000,0.27272,0.45000,-0.67625,0.45000,-2.33192
0.46007,0.46000,-0.68938,0.46000,-2.30513,0.46000,0.39502,0.46000,0.26027,0.46000,-0.68716,0.46000,-2.30008
0.47007,0.47000,-0.69171,0.47000,-2.27075,0.47000,0.39120,0.47000,0.24621,0.47000,-0.68951,0.47000,-2.26588
0.48007,0.48000,-0.68538,0.48000,-2.23766,0.48000,0.39031,0.48000,0.23109,0.48000,-0.68318,0.48000,-2.23301
0.49007,0.49000,-0.67114,0.49000,-2.20924,0.49000,0.39349,0.49000,0.21538,0.49000,-0.66890,0.49000,-2.20483
0.50007,0.50000,-0.65053,0.50000,-2.18814,0.50000,0.40147,0.50000,0.19945,0.50000,-0.64825,0.50000,-2.18400
0.51007,0.51000,-0.62578,0.51000,-2.17613,0.51000,0.41449,0.51000,0.18358,0.51000,-0.62344,0.51000,-2.17226
0.52007,0.52000,-0.59954,0.52000,-2.17386,0.52000,0.43224,0.52000,0.16798,0.52000,-0.59717,0.52000,-2.17028
0.53008,0.53000,-0.57466,0.53000,-2.18093,0.53000,0.45394,0.53000,0.15277,0.53000,-0.57226,0.53000,-2.17765
0.54008,0.54000,-0.55385,0.54000,-2.19596,0.54000,0.47835,0.54000,0.13799,0.54000,-0.55146,0.54000,-2.19298
0.55008,0.55000,-0.53941,0.55000,-2.21677,0.55000,0.50393,0.55000,0.12364,0.55000,-0.53706,0.55000,-2.21411
0.56008,0.56000,-0.53298,0.56000,-2.24072,0.56000,0.52898,0.56000,0.10962,0.56000,-0.53072,0.56000,-2.23837
0.57008,0.57000,-0.53538,0.57000,-2.26494,0.57000,0.55183,0.57000,0.09579,0.57000,-0.53324,0.57000,-2.26290
0.58008,0.58000,-0.54645,0.58000,-2.28665,0.58000,0.57100,0.58000,0.08191,0.58000,-0.54448,0.58000,-2.28493
0.59008,0.59000,-0.56513,0.59000,-2.30341,0.59000,0.58534,0.59000,0.06764,0.59000,-0.56333,0.59000,-2.30201
0.60009,0.60000,-0.58945,0.60000,-2.31328,0.60000,0.59421,0.60000,0.05262,0.60000,-0.58783,0.60000,-2.31222
0.61009,0.61000,-0.61679,0.61000,-2.31495,0.61000,0.59748,0.61000,0.03642,0.61000,-0.61532,0.61000,-2.31426
0.62009,0.62000,-0.64408,0.62000,-2.30779,0.62000,0.59561,0.62000,0.01869,0.62000,-0.64274,0.62000,-2.30749
0.63009,0.63000,-0.66818,0.63000,-2.29179,0.63000,0.58958,0.63000,-0.00086,0.63000,-0.66690,0.63000,-2.29191
0.64009,0.64000,-0.68618,0.64000,-2.26752,0.64000,0.58077,0.64000,-0.02235,0.64000,-0.68491,0.64000,-2.26810
0.65009,0.65000,-0.69580,0.65000,-2.23603,0.65000,0.57086,0.65000,-0.04569,0.65000,-0.69447,0.65000,-2.23710
0.66009,0.66000,-0.69562,0.66000,-2.19872,0.66000,0.56159,0.66000,-0.07058,0.66000,-0.69417,0.66000,-2.20030
0.67010,0.67000,-0.68532,0.67000,-2.15721,0.67000,0.55466,0.67000,-0.09647,0.67000,-0.68369,0.67000,-2.15932
0.68010,0.68000,-0.66568,0.68000,-2.11320,0.68000,0.55148,0.68000,-0.12264,0.68000,-0.66385,0.68000,-2.11583
0.69010,0.69000,-0.63860,0.69000,-2.06836,0.69000,0.55306,0.69000,-0.14819,0.69000,-0.63656,0.69000,-2.07148
0.70010,0.70000,-0.60686,0.70000,-2.02423,0.70000,0.55990,0.70000,-0.17219,0.70000,-0.60463,0.70000,-2.02780
0.71010,0.71000,-0.57386,0.71000,-1.98213,0.71000,0.57197,0.71000,-0.19372,0.71000,-0.57147,0.71000,-1.98608
0.72010,0.72000,-0.54323,0.72000,-1.94315,0.72000,0.58868,0.72000,-0.21200,0.72000,-0.54076,0.72000,-1.94740
0.73010,0.73000,-0.51848,0.73000,-1.90808,0.73000,0.60899,0.73000,-0.22646,0.73000,-0.51600,0.73000,-1.91253
0.74011,0.74000,-0.50259,0.74000,-1.87741,0.74000,0.63153,0.74000,-0.23680,0.74000,-0.50018,0.74000,-1.88196
0.75011,0.75000,-0.49767,0.75000,-1.85136,0.75000,0.65477,0.75000,-0.24304,0.75000,-0.49542,0.75000,-1.85593
0.76011,0.76000,-0.50476,0.76000,-1.82987,0.76000,0.67715,0.76000,-0.24551,0.76000,-0.50273,0.76000,-1.83435
0.77011,0.77000,-0.52363,0.77000,-1.81257,0.77000,0.69729,0.77000,-0.24477,0.77000,-0.52188,0.77000,-1.81691
0.78011,0.78000,-0.55284,0.78000,-1.79890,0.78000,0.71411,0.78000,-0.24159,0.78000,-0.55138,0.78000,-1.80304
0.79011,0.79000,-0.58982,0.79000,-1.78809,0.79000,0.72696,0.79000,-0.23683,0.79000,-0.58864,0.79000,-1.79199
0.80011,0.80000,-0.63113,0.80000,-1.77926,0.80000,0.73563,0.80000,-0.23133,0.80000,-0.63019,0.80000,-1.78291
0.81012,0.81000,-0.67282,0.81000,-1.77148,0.81000,0.74040,0.81000,-0.22581,0.81000,-0.67204,0.81000,-1.77488
0.82012,0.82000,-0.71081,0.82000,-1.76386,0.82000,0.74196,0.82000,-0.22081,0.82000,-0.71009,0.82000,-1.76703
0.83012,0.83000,-0.74135,0.83000,-1.75560,0.83000,0.74135,0.83000,-0.21662,0.83000,-0.74058,0.83000,-1.75856
0.84012,0.84000,-0.76142,0.84000,-1.74605,0.84000,0.73984,0.84000,-0.21329,0.84000,-0.76047,0.84000,-1.74883
0.85012,0.85000,-0.76902,0.85000,-1.73471,0.85000,0.73874,0.85000,-0.21066,0.85000,-0.76780,0.85000,-1.73735
0.86012,0.86000,-0.76344,0.86000,-1.72126,0.86000,0.73932,0.86000,-0.20837,0.86000,-0.76187,0.86000,-1.72377
0.87012,0.87000,-0.74530,0.87000,-1.70551,0.87000,0.74261,0.87000,-0.20594,0.87000,-0.74333,0.87000,-1.70792
0.88013,0.88000,-0.71648,0.88000,-1.68738,0.88000,0.74931,0.88000,-0.20284,0.88000,-0.71409,0.88000,-1.68971
0.89013,0.89000,-0.67993,0.89000,-1.66694,0.89000,0.75973,0.89000,-0.19854,0.89000,-0.67717,0.89000,-1.66917
0.90013,0.90000,-0.63941,0.90000,-1.64429,0.90000,0.77370,0.90000,-0.19257,0.90000,-0.63633,0.90000,-1.64643
0.91013,0.91000,-0.59903,0.91000,-1.61965,0.91000,0.79061,0.91000,-0.18456,0.91000,-0.59575,0.91000,-1.62170
0.92013,0.92000,-0.56293,0.92000,-1.59336,0.92000,0.80952,0.92000,-0.17429,0.92000,-0.55956,0.92000,-1.59529
0.93013,0.93000,-0.53478,0.93000,-1.56582,0.93000,0.82919,0.93000,-0.16170,0.93000,-0.53147,0.93000,-1.56761
0.94013,0.94000,-0.51747,0.94000,-1.53756,0.94000,0.84827,0.94000,-0.14691,0.94000,-0.51435,0.94000,-1.53919
0.95014,0.95000,-0.51277,0.95000,-1.50913,0.95000,0.86543,0.95000,-0.13019,0.95000,-0.50997,0.95000,-1.51059
