Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,1.04137,0.00000,7.02522,0.00000,-0.75606,0.00000,-1.16639,0.00000,-4.55809,0.00000,2.14583
0.01000,0.01000,1.22892,0.01000,7.36851,0.01000,-0.86360,0.01000,-1.36096,0.01000,-4.91772,0.01000,2.08502
0.02000,0.02000,1.43430,0.02000,7.79777,0.02000,-0.96056,0.02000,-1.59505,0.02000,-5.31678,0.02000,2.00802
0.03000,0.03000,1.64719,0.03000,8.30984,0.03000,-1.03809,0.03000,-1.86605,0.03000,-5.73578,0.03000,1.91079
0.04001,0.04000,1.85490,0.04000,8.89591,0.04000,-1.08804,0.04000,-2.16931,0.04000,-6.15009,0.04000,1.78826
0.05001,0.05000,2.04346,0.05000,9.54162,0.05000,-1.10407,0.05000,-2.49845,0.05000,-6.53181,0.05000,1.63459
0.06001,0.06000,2.19887,0.06000,10.22761,0.06000,-1.08258,0.06000,-2.84582,0.06000,-6.85236,0.06000,1.44384
0.07001,0.07000,2.30866,0.07000,10.93074,0.07000,-1.02338,0.07000,-3.20292,0.07000,-7.08551,0.07000,1.21094
0.08001,0.08000,2.36331,0.08000,11.62562,0.08000,-0.92995,0.08000,-3.56095,0.08000,-7.21041,0.08000,0.93279
0.09001,0.09000,2.35748,0.09000,12.28647,0.09000,-0.80934,0.09000,-3.91124,0.09000,-7.21419,0.09000,0.60921
0.10001,0.10000,2.29088,0.10000,12.88913,0.10000,-0.67158,0.10000,-4.24577,0.10000,-7.09390,0.10000,0.24359
0.11002,0.11000,2.16856,0.11000,13.41293,0.11000,-0.52877,0.11000,-4.55752,0.11000,-6.85741,0.11000,-0.15707
0.12002,0.12000,2.00072,0.12000,13.84232,0.12000,-0.39383,0.12000,-4.84086,0.12000,-6.52320,0.12000,-0.58261
0.13002,0.13000,1.80183,0.13000,14.16798,0.13000,-0.27921,0.13000,-5.09183,0.13000,-6.11898,0.13000,-1.02074
0.14002,0.14000,1.58944,0.14000,14.38737,0.14000,-0.19557,0.14000,-5.30833,0.14000,-5.67929,0.14000,-1.45844
0.15002,0.15000,1.38246,0.15000,14.50459,0.15000,-0.15068,0.15000,-5.49022,0.15000,-5.24232,0.15000,-1.88345
0.16002,0.16000,1.19939,0.16000,14.52959,0.16000,-0.14863,0.16000,-5.63923,0.16000,-4.84624,0.16000,-2.28560
0.17002,0.17000,1.05652,0.17000,14.47685,0.17000,-0.18945,0.17000,-5.75869,0.17000,-4.52564,0.17000,-2.65780
0.18003,0.18000,0.96635,0.18000,14.36372,0.18000,-0.26901,0.18000,-5.85315,0.18000,-4.30810,0.18000,-2.99657
0.19003,0.19000,0.93636,0.19000,14.20865,0.19000,-0.37947,0.19000,-5.92791,0.19000,-4.21151,0.19000,-3.30200
0.20003,0.20000,0.96823,0.20000,14.02959,0.20000,-0.50997,0.20000,-5.98849,0.20000,-4.24218,0.20000,-3.57732
0.21003,0.21000,1.05766,0.21000,13.84276,0.21000,-0.64772,0.21000,-6.04022,0.21000,-4.39409,0.21000,-3.82795
0.22003,0.22000,1.19475,0.22000,13.66181,0.22000,-0.77924,0.22000,-6.08779,0.22000,-4.64925,0.22000,-4.06038
0.23003,0.23000,1.36490,0.23000,13.49746,0.23000,-0.89177,0.23000,-6.13501,0.23000,-4.97936,0.23000,-4.28096
0.24003,0.24000,1.55032,0.24000,13.35738,0.24000,-0.97457,0.24000,-6.18453,0.24000,-5.34851,0.24000,-4.49491
0.25004,0.25000,1.73177,0.25000,13.24638,0.25000,-1.02006,0.25000,-6.23779,0.25000,-5.71684,0.25000,-4.70567
0.26004,0.26000,1.89055,0.26000,13.16658,0.26000,-1.02462,0.26000,-6.29499,0.26000,-6.04463,0.26000,-4.91472
0.27004,0.27000,2.01047,0.27000,13.11781,0.27000,-0.98897,0.27000,-6.35525,0.27000,-6.29646,0.27000,-5.12178
0.28004,0.28000,2.07956,0.28000,13.09796,0.28000,-0.91816,0.28000,-6.41686,0.28000,-6.44501,0.28000,-5.32537
0.29004,0.29000,2.09133,0.29000,13.10342,0.29000,-0.82102,0.29000,-6.47757,0.29000,-6.47397,0.29000,-5.52345
0.30004,0.30000,2.04547,0.30000,13.12955,0.30000,-0.70922,0.30000,-6.53503,0.30000,-6.37977,0.30000,-5.71410
0.31004,0.31000,1.94782,0.31000,13.17111,0.31000,-0.59596,0.31000,-6.58712,0.31000,-6.17199,0.31000,-5.89608
0.32005,0.32000,1.80972,0.32000,13.22275,0.32000,-0.49454,0.32000,-6.63226,0.32000,-5.87219,0.32000,-6.06913
0.33005,0.33000,1.64669,0.33000,13.27939,0.33000,-0.41690,0.33000,-6.66962,0.33000,-5.51151,0.33000,-6.23401
0.34005,0.34000,1.47671,0.34000,13.33659,0.34000,-0.37231,0.34000,-6.69918,0.34000,-5.12725,0.34000,-6.39230
0.35005,0.35000,1.31824,0.35000,13.39079,0.35000,-0.36647,0.35000,-6.72168,0.35000,-4.75887,0.35000,-6.54596
0.36005,0.36000,1.18825,0.36000,13.43945,0.36000,-0.40090,0.36000,-6.73844,0.36000,-4.44380,0.36000,-6.69683
0.37005,0.37000,1.10043,0.37000,13.48106,0.37000,-0.47280,0.37000,-6.75114,0.37000,-4.21368,0.37000,-6.84615
0.38005,0.38000,1.06379,0.38000,13.51497,0.38000,-0.57529,0.38000,-6.76155,0.38000,-4.09115,0.38000,-6.99419
0.39006,0.39000,1.08176,0.39000,13.54113,0.39000,-0.69811,0.39000,-6.77117,0.39000,-4.08762,0.39000,-7.14002
