Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	8.39351	0.00000	7.89315	0.00000	0.54480	0.00000	3.04048	0.00000	4.30859	0.00000	5.11298	0.00000	0.14856	0.00000	-0.79789	0.00000	38.10499	0.00000	-20.59772	0.00000	-1.04857	0.00000	3.60835	0.00000	2.80249	0.00000	-0.76918	0.00000	-0.13377	0.00000	3.63670	0.00000	2.80717	0.00000	0.52502	0.00000	-1.35510	0.00000	3.58245	0.00000	0.50919	0.00000	1.27894	0.00000	1.42542	0.00000	0.15273	0.00000	-5.09803	0.00000	-1.40377	0.00000	1.48794	0.00000	1.15523	0.00000	-0.98442	0.00000	-2.08857	0.00000	-7.90385	0.00000	-5.06119	0.00000	-1.19321	0.00000	-1.45453	0.00000	-0.93705	0.00000	0.62814	0.00000	1.55676	0.00000	-0.35012	0.00000	1.24501	0.00000	-0.12243	0.00000	1.06671	0.00000	1.25624	
0.01001	0.01000	8.35884	0.01000	7.86515	0.01000	0.55219	0.01000	3.03630	0.01000	4.27817	0.01000	5.08686	0.01000	0.11622	0.01000	-0.82094	0.01000	37.67181	0.01000	-20.29353	0.01000	-1.06229	0.01000	3.57197	0.01000	2.77420	0.01000	-0.75839	0.01000	-0.13574	0.01000	3.59976	0.01000	2.77891	0.01000	0.51996	0.01000	-1.34468	0.01000	3.57281	0.01000	0.50759	0.01000	1.26839	0.01000	1.40875	0.01000	0.13262	0.01000	-5.08042	0.01000	-1.40788	0.01000	1.47823	0.01000	1.14832	0.01000	-0.98599	0.01000	-2.08974	0.01000	-7.85449	0.01000	-5.03301	0.01000	-1.18630	0.01000	-1.45118	0.01000	-0.94365	0.01000	0.63634	0.01000	1.57303	0.01000	-0.36590	0.01000	1.20537	0.01000	-0.11058	0.01000	1.05984	0.01000	1.21497	
0.02001	0.02000	8.31760	0.02000	7.83253	0.02000	0.56014	0.02000	3.03171	0.02000	4.24558	0.02000	5.05622	0.02000	0.07690	0.02000	-0.84642	0.02000	37.14676	0.02000	-19.93016	0.02000	-1.07458	0.02000	3.52881	0.02000	2.74031	0.02000	-0.74565	0.02000	-0.13806	0.02000	3.55594	0.02000	2.74507	0.02000	0.51486	0.02000	-1.33284	0.02000	3.55991	0.02000	0.50591	0.02000	1.25434	0.02000	1.38974	0.02000	0.11132	0.02000	-5.05981	0.02000	-1.41311	0.02000	1.46427	0.02000	1.14208	0.02000	-0.98957	0.02000	-2.09207	0.02000	-7.76579	0.02000	-5.00192	0.02000	-1.18120	0.02000	-1.44574	0.02000	-0.95005	0.02000	0.64725	0.02000	1.59100	0.02000	-0.38371	0.02000	1.15829	0.02000	-0.09524	0.02000	1.05404	0.02000	1.16565	
0.03002	0.03000	8.27052	0.03000	7.79567	0.03000	0.56828	0.03000	3.02668	0.03000	4.21183	0.03000	5.02160	0.03000	0.03083	0.03000	-0.87331	0.03000	36.53199	0.03000	-19.51107	0.03000	-1.08425	0.03000	3.47928	0.03000	2.70106	0.03000	-0.73111	0.03000	-0.14054	0.03000	3.50566	0.03000	2.70586	0.03000	0.51015	0.03000	-1.31984	0.03000	3.54353	0.03000	0.50424	0.03000	1.23659	0.03000	1.36905	0.03000	0.08966	0.03000	-5.03653	0.03000	-1.41936	0.03000	1.44588	0.03000	1.13685	0.03000	-0.99539	0.03000	-2.09573	0.03000	-7.71122	0.03000	-4.96875	0.03000	-1.17875	0.03000	-1.43794	0.03000	-0.95590	0.03000	0.66102	0.03000	1.60967	0.03000	-0.40300	0.03000	1.10418	0.03000	-0.07643	0.03000	1.04992	0.03000	1.10873	
0.04002	0.04000	8.21874	0.04000	7.75505	0.04000	0.57618	0.04000	3.02109	0.04000	4.17791	0.04000	4.98377	0.04000	-0.02150	0.04000	-0.90038	0.04000	35.83283	0.04000	-19.04206	0.04000	-1.09021	0.04000	3.42405	0.04000	2.65684	0.04000	-0.71498	0.04000	-0.14291	0.04000	3.44959	0.04000	2.66167	0.04000	0.50628	0.04000	-1.30590	0.04000	3.52359	0.04000	0.50267	0.04000	1.21508	0.04000	1.34752	0.04000	0.06839	0.04000	-5.01107	0.04000	-1.42640	0.04000	1.42323	0.04000	1.13285	0.04000	-1.00345	0.04000	-2.10080	0.04000	-7.68214	0.04000	-4.93445	0.04000	-1.17975	0.04000	-1.42760	0.04000	-0.96091	0.04000	0.67768	0.04000	1.62773	0.04000	-0.42313	0.04000	1.04368	0.04000	-0.05439	0.04000	1.04802	0.04000	1.04500	
0.05003	0.05000	8.16374	0.05000	7.71117	0.05000	0.58344	0.05000	3.01475	0.05000	4.14464	0.05000	4.94368	0.05000	-0.07935	0.05000	-0.92629	0.05000	35.05706	0.05000	-18.53066	0.05000	-1.09149	0.05000	3.36392	0.05000	2.60820	0.05000	-0.69752	0.05000	-0.14483	0.05000	3.38856	0.05000	2.61304	0.05000	0.50374	0.05000	-1.29127	0.05000	3.50017	0.05000	0.50130	0.05000	1.18992	0.05000	1.32609	0.05000	0.04816	0.05000	-4.98397	0.05000	-1.43391	0.05000	1.39687	0.05000	1.13006	0.05000	-1.01355	0.05000	-2.10728	0.05000	-7.66391	0.05000	-4.89987	0.05000	-1.18474	0.05000	-1.41470	0.05000	-0.96489	0.05000	0.69708	0.05000	1.64365	0.05000	-0.44342	0.05000	0.97761	0.05000	-0.02959	0.05000	1.04869	0.05000	0.97552	
0.06003	0.06000	8.10721	0.06000	7.66448	0.06000	0.58966	0.06000	3.00735	0.06000	4.11257	0.06000	4.90237	0.06000	-0.14178	0.06000	-0.94969	0.06000	34.21401	0.06000	-17.98540	0.06000	-1.08734	0.06000	3.29977	0.06000	2.55574	0.06000	-0.67895	0.06000	-0.14589	0.06000	3.32347	0.06000	2.56056	0.06000	0.50295	0.06000	-1.27612	0.06000	3.47356	0.06000	0.50018	0.06000	1.16140	0.06000	1.30570	0.06000	0.02940	0.06000	-4.95583	0.06000	-1.44146	0.06000	1.36778	0.06000	1.12822	0.06000	-1.02521	0.06000	-2.11503	0.06000	-7.67365	0.06000	-4.86573	0.06000	-1.19401	0.06000	-1.39938	0.06000	-0.96781	0.06000	0.71897	0.06000	1.65577	0.06000	-0.46317	0.06000	0.90686	0.06000	-0.00272	0.06000	1.05208	0.06000	0.90158	
0.07004	0.07000	8.05094	0.07000	7.61535	0.07000	0.59457	0.07000	2.99851	0.07000	4.08197	0.07000	4.86089	0.07000	-0.20775	0.07000	-0.96933	0.07000	33.31377	0.07000	-17.41512	0.07000	-1.07726	0.07000	3.23250	0.07000	2.50013	0.07000	-0.65948	0.07000	-0.14568	0.07000	3.25522	0.07000	2.50489	0.07000	0.50421	0.07000	-1.26053	0.07000	3.44421	0.07000	0.49937	0.07000	1.12995	0.07000	1.28721	0.07000	0.01221	0.07000	-4.92719	0.07000	-1.44854	0.07000	1.33735	0.07000	1.12682	0.07000	-1.03773	0.07000	-2.12382	0.07000	-7.67854	0.07000	-4.83252	0.07000	-1.20742	0.07000	-1.38194	0.07000	-0.96983	0.07000	0.74295	0.07000	1.66236	0.07000	-0.48183	0.07000	0.83235	0.07000	0.02543	0.07000	1.05804	0.07000	0.82463	
0.08004	0.08000	7.99664	0.08000	7.56407	0.08000	0.59802	0.08000	2.98780	0.08000	4.05277	0.08000	4.82013	0.08000	-0.27620	0.08000	-0.98418	0.08000	32.36638	0.08000	-16.82834	0.08000	-1.06101	0.08000	3.16297	0.08000	2.44203	0.08000	-0.63926	0.08000	-0.14383	0.08000	3.18469	0.08000	2.44668	0.08000	0.50768	0.08000	-1.24453	0.08000	3.41272	0.08000	0.49884	0.08000	1.09611	0.08000	1.27124	0.08000	-0.00358	0.08000	-4.89851	0.08000	-1.45463	0.08000	1.30724	0.08000	1.12515	0.08000	-1.05020	0.08000	-2.13330	0.08000	-7.62431	0.08000	-4.80039	0.08000	-1.22439	0.08000	-1.36286	0.08000	-0.97132	0.08000	0.76852	0.08000	1.66178	0.08000	-0.49897	0.08000	0.75502	0.08000	0.05394	0.08000	1.06616	0.08000	0.74625	
0.09005	0.09000	7.94575	0.09000	7.51076	0.09000	0.60004	0.09000	2.97472	0.09000	4.02458	0.09000	4.78065	0.09000	-0.34609	0.09000	-0.99348	0.09000	31.38125	0.09000	-16.23274	0.09000	-1.03864	0.09000	3.09201	0.09000	2.38209	0.09000	-0.61842	0.09000	-0.14002	0.09000	3.11272	0.09000	2.38656	0.09000	0.51328	0.09000	-1.22806	0.09000	3.37982	0.09000	0.49858	0.09000	1.06051	0.09000	1.25815	0.09000	-0.01843	0.09000	-4.87014	0.09000	-1.45923	0.09000	1.27933	0.09000	1.12233	0.09000	-1.06152	0.09000	-2.14303	0.09000	-7.52964	0.09000	-4.76912	0.09000	-1.24386	0.09000	-1.34275	0.09000	-0.97282	0.09000	0.79511	0.09000	1.65263	0.09000	-0.51442	0.09000	0.67572	0.09000	0.08191	0.09000	1.07576	0.09000	0.66813	
