Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,1.32910,0.00000,2.33744
0.01000,0.01000,1.33918,0.01000,2.34311
0.02000,0.02000,1.35123,0.02000,2.34727
0.03000,0.03000,1.36509,0.03000,2.34929
0.04001,0.04000,1.38051,0.04000,2.34866
0.05001,0.05000,1.39711,0.05000,2.34510
0.06001,0.06000,1.41444,0.06000,2.33855
0.07001,0.07000,1.43199,0.07000,2.32924
0.08001,0.08000,1.44918,0.08000,2.31770
0.09001,0.09000,1.46542,0.09000,2.30466
0.10001,0.10000,1.48018,0.10000,2.29100
0.11002,0.11000,1.49296,0.11000,2.27766
0.12002,0.12000,1.50341,0.12000,2.26557
0.13002,0.13000,1.51134,0.13000,2.25551
0.14002,0.14000,1.51676,0.14000,2.24812
0.15002,0.15000,1.51988,0.15000,2.24378
0.16002,0.16000,1.52110,0.16000,2.24265
0.17002,0.17000,1.52096,0.17000,2.24461
0.18003,0.18000,1.52010,0.18000,2.24930
0.19003,0.19000,1.51921,0.19000,2.25615
0.20003,0.20000,1.51895,0.20000,2.26443
0.21003,0.21000,1.51989,0.21000,2.27336
0.22003,0.22000,1.52248,0.22000,2.28213
0.23003,0.23000,1.52700,0.23000,2.29003
0.24003,0.24000,1.53354,0.24000,2.29648
0.25004,0.25000,1.54200,0.25000,2.30109
0.26004,0.26000,1.55210,0.26000,2.30367
0.27004,0.27000,1.56339,0.27000,2.30420
0.28004,0.28000,1.57528,0.28000,2.30287
0.29004,0.29000,1.58710,0.29000,2.29998
0.30004,0.30000,1.59815,0.30000,2.29593
0.31004,0.31000,1.60773,0.31000,2.29117
0.32005,0.32000,1.61528,0.32000,2.28617
0.33005,0.33000,1.62038,0.33000,2.28137
0.34005,0.34000,1.62281,0.34000,2.27715
0.35005,0.35000,1.62264,0.35000,2.27381
0.36005,0.36000,1.62019,0.36000,2.27155
0.37005,0.37000,1.61599,0.37000,2.27043
0.38005,0.38000,1.61077,0.38000,2.27040
0.39006,0.39000,1.60535,0.39000,2.27125
0.40006,0.40000,1.60055,0.40000,2.27268
0.41006,0.41000,1.59711,0.41000,2.27431
0.42006,0.42000,1.59560,0.42000,2.27570
0.43006,0.43000,1.59640,0.43000,2.27642
0.44006,0.44000,1.59963,0.44000,2.27605
0.45006,0.45000,1.60521,0.45000,2.27427
0.46007,0.46000,1.61282,0.46000,2.27085
0.47007,0.47000,1.62200,0.47000,2.26574
0.48007,0.48000,1.63217,0.48000,2.25902
0.49007,0.49000,1.64268,0.49000,2.25099
0.50007,0.50000,1.65291,0.50000,2.24210
0.51007,0.51000,1.66227,0.51000,2.23295
0.52007,0.52000,1.67029,0.52000,2.22425
0.53008,0.53000,1.67664,0.53000,2.21673
0.54008,0.54000,1.68117,0.54000,2.21111
