Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.20592,0.00000,0.05960,0.00000,-0.16681,0.00000,0.14499,0.00000,-0.17137,0.00000,-0.46659
0.01000,0.01000,0.20319,0.01000,0.05089,0.01000,-0.16779,0.01000,0.13291,0.01000,-0.14574,0.01000,-0.44396
0.02000,0.02000,0.19905,0.02000,0.04197,0.02000,-0.16850,0.02000,0.12089,0.02000,-0.11841,0.02000,-0.41820
0.03000,0.03000,0.19343,0.03000,0.03333,0.03000,-0.16878,0.03000,0.10971,0.03000,-0.09049,0.03000,-0.39015
0.04001,0.04000,0.18634,0.04000,0.02544,0.04000,-0.16846,0.04000,0.10017,0.04000,-0.06307,0.04000,-0.36090
0.05001,0.05000,0.17793,0.05000,0.01873,0.05000,-0.16738,0.05000,0.09299,0.05000,-0.03716,0.05000,-0.33171
0.06001,0.06000,0.16847,0.06000,0.01352,0.06000,-0.16546,0.06000,0.08872,0.06000,-0.01353,0.06000,-0.30392
0.07001,0.07000,0.15833,0.07000,0.00996,0.07000,-0.16268,0.07000,0.08768,0.07000,0.00735,0.07000,-0.27880
0.08001,0.08000,0.14794,0.08000,0.00803,0.08000,-0.15909,0.08000,0.08989,0.08000,0.02530,0.08000,-0.25751
0.09001,0.09000,0.13780,0.09000,0.00753,0.09000,-0.15485,0.09000,0.09510,0.09000,0.04039,0.09000,-0.24092
0.10002,0.10000,0.12838,0.10000,0.00811,0.10000,-0.15017,0.10000,0.10279,0.10000,0.05282,0.10000,-0.22961
0.11002,0.11000,0.12013,0.11000,0.00928,0.11000,-0.14527,0.11000,0.11223,0.11000,0.06287,0.11000,-0.22375
0.12002,0.12000,0.11344,0.12000,0.01050,0.12000,-0.14042,0.12000,0.12255,0.12000,0.07083,0.12000,-0.22312
0.13002,0.13000,0.10861,0.13000,0.01121,0.13000,-0.13586,0.13000,0.13282,0.13000,0.07695,0.13000,-0.22709
0.14002,0.14000,0.10580,0.14000,0.01087,0.14000,-0.13180,0.14000,0.14218,0.14000,0.08143,0.14000,-0.23473
0.15002,0.15000,0.10502,0.15000,0.00906,0.15000,-0.12839,0.15000,0.14986,0.15000,0.08448,0.15000,-0.24482
0.16002,0.16000,0.10617,0.16000,0.00542,0.16000,-0.12576,0.16000,0.15531,0.16000,0.08630,0.16000,-0.25604
0.17003,0.17000,0.10896,0.17000,-0.00022,0.17000,-0.12397,0.17000,0.15819,0.17000,0.08712,0.17000,-0.26705
0.18003,0.18000,0.11302,0.18000,-0.00793,0.18000,-0.12303,0.18000,0.15845,0.18000,0.08727,0.18000,-0.27667
0.19003,0.19000,0.11786,0.19000,-0.01761,0.19000,-0.12291,0.19000,0.15630,0.19000,0.08710,0.19000,-0.28394
0.20003,0.20000,0.12297,0.20000,-0.02900,0.20000,-0.12356,0.20000,0.15218,0.20000,0.08704,0.20000,-0.28826
0.21003,0.21000,0.12780,0.21000,-0.04174,0.21000,-0.12486,0.21000,0.14672,0.21000,0.08745,0.21000,-0.28938
0.22003,0.22000,0.13187,0.22000,-0.05531,0.22000,-0.12670,0.22000,0.14067,0.22000,0.08866,0.22000,-0.28741
0.23003,0.23000,0.13476,0.23000,-0.06910,0.23000,-0.12892,0.23000,0.13482,0.23000,0.09083,0.23000,-0.28276
0.24004,0.24000,0.13615,0.24000,-0.08245,0.24000,-0.13132,0.24000,0.12989,0.24000,0.09404,0.24000,-0.27610
0.25004,0.25000,0.13585,0.25000,-0.09471,0.25000,-0.13371,0.25000,0.12648,0.25000,0.09820,0.25000,-0.26828
0.26004,0.26000,0.13381,0.26000,-0.10525,0.26000,-0.13585,0.26000,0.12497,0.26000,0.10316,0.26000,-0.26023
0.27004,0.27000,0.13011,0.27000,-0.11356,0.27000,-0.13758,0.27000,0.12555,0.27000,0.10874,0.27000,-0.25298
0.28004,0.28000,0.12494,0.28000,-0.11924,0.28000,-0.13873,0.28000,0.12818,0.28000,0.11473,0.28000,-0.24753
0.29004,0.29000,0.11862,0.29000,-0.12206,0.29000,-0.13928,0.29000,0.13260,0.29000,0.12094,0.29000,-0.24480
0.30005,0.30000,0.11160,0.30000,-0.12195,0.30000,-0.13926,0.30000,0.13841,0.30000,0.12715,0.30000,-0.24557
0.31005,0.31000,0.10437,0.31000,-0.11901,0.31000,-0.13882,0.31000,0.14513,0.31000,0.13318,0.31000,-0.25034
0.32005,0.32000,0.09751,0.32000,-0.11349,0.32000,-0.13819,0.32000,0.15221,0.32000,0.13884,0.32000,-0.25925
0.33005,0.33000,0.09157,0.33000,-0.10582,0.33000,-0.13761,0.33000,0.15914,0.33000,0.14398,0.33000,-0.27209
0.34005,0.34000,0.08705,0.34000,-0.09651,0.34000,-0.13733,0.34000,0.16548,0.34000,0.14848,0.34000,-0.28828
0.35005,0.35000,0.08431,0.35000,-0.08620,0.35000,-0.13750,0.35000,0.17087,0.35000,0.15230,0.35000,-0.30695
0.36005,0.36000,0.08352,0.36000,-0.07557,0.36000,-0.13822,0.36000,0.17508,0.36000,0.15548,0.36000,-0.32708
0.37006,0.37000,0.08461,0.37000,-0.06533,0.37000,-0.13946,0.37000,0.17802,0.37000,0.15817,0.37000,-0.34763
0.38006,0.38000,0.08730,0.38000,-0.05619,0.38000,-0.14108,0.38000,0.17969,0.38000,0.16055,0.38000,-0.36764
0.39006,0.39000,0.09109,0.39000,-0.04878,0.39000,-0.14289,0.39000,0.18022,0.39000,0.16288,0.39000,-0.38635
0.40006,0.40000,0.09532,0.40000,-0.04361,0.40000,-0.14467,0.40000,0.17981,0.40000,0.16542,0.40000,-0.40323
0.41006,0.41000,0.09930,0.41000,-0.04104,0.41000,-0.14617,0.41000,0.17872,0.41000,0.16842,0.41000,-0.41798
0.42006,0.42000,0.10235,0.42000,-0.04122,0.42000,-0.14720,0.42000,0.17725,0.42000,0.17205,0.42000,-0.43052
0.43006,0.43000,0.10392,0.43000,-0.04409,0.43000,-0.14762,0.43000,0.17568,0.43000,0.17640,0.43000,-0.44089
0.44007,0.44000,0.10363,0.44000,-0.04936,0.44000,-0.14737,0.44000,0.17430,0.44000,0.18138,0.44000,-0.44925
0.45007,0.45000,0.10136,0.45000,-0.05651,0.45000,-0.14642,0.45000,0.17338,0.45000,0.18678,0.45000,-0.45575
0.46007,0.46000,0.09721,0.46000,-0.06489,0.46000,-0.14479,0.46000,0.17308,0.46000,0.19220,0.46000,-0.46060
0.47007,0.47000,0.09149,0.47000,-0.07368,0.47000,-0.14254,0.47000,0.17353,0.47000,0.19713,0.47000,-0.46399
0.48007,0.48000,0.08472,0.48000,-0.08202,0.48000,-0.13973,0.48000,0.17473,0.48000,0.20103,0.48000,-0.46610
0.49007,0.49000,0.07750,0.49000,-0.08907,0.49000,-0.13642,0.49000,0.17660,0.49000,0.20338,0.49000,-0.46714
0.50007,0.50000,0.07048,0.50000,-0.09405,0.50000,-0.13272,0.50000,0.17891,0.50000,0.20383,0.50000,-0.46728
0.51008,0.51000,0.06430,0.51000,-0.09633,0.51000,-0.12872,0.51000,0.18140,0.51000,0.20222,0.51000,-0.46671
0.52008,0.52000,0.05947,0.52000,-0.09549,0.52000,-0.12456,0.52000,0.18369,0.52000,0.19865,0.52000,-0.46557
0.53008,0.53000,0.05634,0.53000,-0.09133,0.53000,-0.12042,0.53000,0.18541,0.53000,0.19344,0.53000,-0.46400
0.54008,0.54000,0.05506,0.54000,-0.08395,0.54000,-0.11647,0.54000,0.18621,0.54000,0.18708,0.54000,-0.46211
0.55008,0.55000,0.05558,0.55000,-0.07370,0.55000,-0.11291,0.55000,0.18581,0.55000,0.18020,0.55000,-0.46000
0.56008,0.56000,0.05764,0.56000,-0.06120,0.56000,-0.10991,0.56000,0.18404,0.56000,0.17341,0.56000,-0.45775
0.57009,0.57000,0.06080,0.57000,-0.04727,0.57000,-0.10766,0.57000,0.18083,0.57000,0.16729,0.57000,-0.45542
0.58009,0.58000,0.06450,0.58000,-0.03286,0.58000,-0.10631,0.58000,0.17628,0.58000,0.16227,0.58000,-0.45310
0.59009,0.59000,0.06814,0.59000,-0.01900,0.59000,-0.10599,0.59000,0.17055,0.59000,0.15859,0.59000,-0.45085
0.60009,0.60000,0.07112,0.60000,-0.00667,0.60000,-0.10678,0.60000,0.16395,0.60000,0.15625,0.60000,-0.44873
0.61009,0.61000,0.07293,0.61000,0.00324,0.61000,-0.10868,0.61000,0.15681,0.61000,0.15498,0.61000,-0.44682
0.62009,0.62000,0.07321,0.62000,0.01003,0.62000,-0.11165,0.62000,0.14951,0.62000,0.15431,0.62000,-0.44516
0.63009,0.63000,0.07180,0.63000,0.01327,0.63000,-0.11555,0.63000,0.14243,0.63000,0.15359,0.63000,-0.44377
0.64010,0.64000,0.06875,0.64000,0.01283,0.64000,-0.12018,0.64000,0.13592,0.64000,0.15203,0.64000,-0.44260
0.65010,0.65000,0.06434,0.65000,0.00892,0.65000,-0.12526,0.65000,0.13026,0.65000,0.14883,0.65000,-0.44151
0.66010,0.66000,0.05901,0.66000,0.00207,0.66000,-0.13043,0.66000,0.12564,0.66000,0.14323,0.66000,-0.44021
0.67010,0.67000,0.05335,0.67000,-0.00689,0.67000,-0.13528,0.67000,0.12219,0.67000,0.13463,0.67000,-0.43828
0.68010,0.68000,0.04797,0.68000,-0.01690,0.68000,-0.13934,0.68000,0.11987,0.68000,0.12271,0.68000,-0.43519
0.69010,0.69000,0.04346,0.69000,-0.02676,0.69000,-0.14217,0.69000,0.11856,0.69000,0.10754,0.69000,-0.43031
0.70010,0.70000,0.04029,0.70000,-0.03529,0.70000,-0.14337,0.70000,0.11807,0.70000,0.08966,0.70000,-0.42301
0.71011,0.71000,0.03872,0.71000,-0.04141,0.71000,-0.14262,0.71000,0.11812,0.71000,0.07010,0.71000,-0.41275
0.72011,0.72000,0.03879,0.72000,-0.04428,0.72000,-0.13977,0.72000,0.11844,0.72000,0.05030,0.72000,-0.39924
0.73011,0.73000,0.04031,0.73000,-0.04341,0.73000,-0.13484,0.73000,0.11882,0.73000,0.03199,0.73000,-0.38244
