Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.09310,0.00000,0.20066,0.00000,-0.00229,0.00000,1.11165
0.01001,0.01000,-1.09815,0.01000,0.21382,0.01000,0.00511,0.01000,1.11933
0.02001,0.02000,-1.10255,0.02000,0.22844,0.02000,0.01301,0.02000,1.12679
0.03002,0.03000,-1.10599,0.03000,0.24416,0.03000,0.02117,0.03000,1.13364
0.04002,0.04000,-1.10823,0.04000,0.26059,0.04000,0.02937,0.04000,1.13962
0.05003,0.05000,-1.10921,0.05000,0.27733,0.05000,0.03749,0.05000,1.14458
0.06003,0.06000,-1.10900,0.06000,0.29404,0.06000,0.04546,0.06000,1.14852
0.07004,0.07000,-1.10781,0.07000,0.31044,0.07000,0.05331,0.07000,1.15159
0.08004,0.08000,-1.10597,0.08000,0.32630,0.08000,0.06114,0.08000,1.15407
0.09005,0.09000,-1.10386,0.09000,0.34148,0.09000,0.06905,0.09000,1.15627
0.10006,0.10000,-1.10184,0.10000,0.35587,0.10000,0.07715,0.10000,1.15851
0.11006,0.11000,-1.10026,0.11000,0.36944,0.11000,0.08553,0.11000,1.16109
0.12007,0.12000,-1.09939,0.12000,0.38220,0.12000,0.09420,0.12000,1.16429
0.13007,0.13000,-1.09947,0.13000,0.39424,0.13000,0.10317,0.13000,1.16831
0.14008,0.14000,-1.10072,0.14000,0.40565,0.14000,0.11243,0.14000,1.17339
0.15008,0.15000,-1.10335,0.15000,0.41662,0.15000,0.12197,0.15000,1.17974
0.16009,0.16000,-1.10759,0.16000,0.42734,0.16000,0.13183,0.16000,1.18764
0.17009,0.17000,-1.11366,0.17000,0.43800,0.17000,0.14203,0.17000,1.19733
0.18010,0.18000,-1.12178,0.18000,0.44878,0.18000,0.15265,0.18000,1.20903
0.19011,0.19000,-1.13206,0.19000,0.45981,0.19000,0.16370,0.19000,1.22289
0.20011,0.20000,-1.14451,0.20000,0.47115,0.20000,0.17519,0.20000,1.23892
0.21012,0.21000,-1.15898,0.21000,0.48278,0.21000,0.18701,0.21000,1.25695
0.22012,0.22000,-1.17514,0.22000,0.49462,0.22000,0.19899,0.22000,1.27664
0.23013,0.23000,-1.19254,0.23000,0.50653,0.23000,0.21083,0.23000,1.29748
0.24013,0.24000,-1.21062,0.24000,0.51834,0.24000,0.22218,0.24000,1.31890
0.25014,0.25000,-1.22881,0.25000,0.52989,0.25000,0.23265,0.25000,1.34031
0.26014,0.26000,-1.24664,0.26000,0.54106,0.26000,0.24185,0.26000,1.36122
0.27015,0.27000,-1.26382,0.27000,0.55177,0.27000,0.24947,0.27000,1.38133
0.28016,0.28000,-1.28033,0.28000,0.56203,0.28000,0.25531,0.28000,1.40061
0.29016,0.29000,-1.29640,0.29000,0.57185,0.29000,0.25931,0.29000,1.41931
0.30017,0.30000,-1.31255,0.30000,0.58126,0.30000,0.26155,0.30000,1.43789
0.31017,0.31000,-1.32940,0.31000,0.59023,0.31000,0.26224,0.31000,1.45695
0.32018,0.32000,-1.34762,0.32000,0.59866,0.32000,0.26173,0.32000,1.47707
0.33018,0.33000,-1.36772,0.33000,0.60638,0.33000,0.26038,0.33000,1.49864
0.34019,0.34000,-1.38994,0.34000,0.61309,0.34000,0.25860,0.34000,1.52179
0.35019,0.35000,-1.41415,0.35000,0.61847,0.35000,0.25680,0.35000,1.54627
0.36020,0.36000,-1.43987,0.36000,0.62216,0.36000,0.25530,0.36000,1.57152
0.37021,0.37000,-1.46629,0.37000,0.62389,0.37000,0.25440,0.37000,1.59669
0.38021,0.38000,-1.49244,0.38000,0.62349,0.38000,0.25427,0.38000,1.62081
0.39022,0.39000,-1.51730,0.39000,0.62094,0.39000,0.25501,0.39000,1.64294
0.40022,0.40000,-1.53998,0.40000,0.61645,0.40000,0.25661,0.40000,1.66234
0.41023,0.41000,-1.55984,0.41000,0.61040,0.41000,0.25894,0.41000,1.67855
0.42023,0.42000,-1.57654,0.42000,0.60332,0.42000,0.26176,0.42000,1.69147
0.43024,0.43000,-1.59009,0.43000,0.59580,0.43000,0.26474,0.43000,1.70131
0.44024,0.44000,-1.60080,0.44000,0.58845,0.44000,0.26746,0.44000,1.70859
0.45025,0.45000,-1.60919,0.45000,0.58178,0.45000,0.26942,0.45000,1.71397
0.46026,0.46000,-1.61591,0.46000,0.57614,0.46000,0.27014,0.46000,1.71820
0.47026,0.47000,-1.62162,0.47000,0.57168,0.47000,0.26916,0.47000,1.72194
0.48027,0.48000,-1.62693,0.48000,0.56834,0.48000,0.26609,0.48000,1.72573
0.49027,0.49000,-1.63224,0.49000,0.56587,0.49000,0.26063,0.49000,1.72987
0.50028,0.50000,-1.63781,0.50000,0.56388,0.50000,0.25260,0.50000,1.73445
0.51028,0.51000,-1.64366,0.51000,0.56189,0.51000,0.24187,0.51000,1.73932
0.52029,0.52000,-1.64964,0.52000,0.55943,0.52000,0.22836,0.52000,1.74418
0.53029,0.53000,-1.65548,0.53000,0.55610,0.53000,0.21198,0.53000,1.74861
0.54030,0.54000,-1.66085,0.54000,0.55160,0.54000,0.19266,0.54000,1.75218
0.55031,0.55000,-1.66543,0.55000,0.54580,0.55000,0.17030,0.55000,1.75457
0.56031,0.56000,-1.66903,0.56000,0.53873,0.56000,0.14481,0.56000,1.75556
0.57032,0.57000,-1.67155,0.57000,0.53053,0.57000,0.11617,0.57000,1.75512
0.58032,0.58000,-1.67308,0.58000,0.52146,0.58000,0.08448,0.58000,1.75342
0.59033,0.59000,-1.67387,0.59000,0.51178,0.59000,0.04998,0.59000,1.75079
0.60033,0.60000,-1.67429,0.60000,0.50172,0.60000,0.01311,0.60000,1.74769
0.61034,0.61000,-1.67480,0.61000,0.49142,0.61000,-0.02549,0.61000,1.74465
0.62034,0.62000,-1.67591,0.62000,0.48089,0.62000,-0.06501,0.62000,1.74221
0.63035,0.63000,-1.67812,0.63000,0.47000,0.63000,-0.10457,0.63000,1.74087
0.64036,0.64000,-1.68184,0.64000,0.45848,0.64000,-0.14326,0.64000,1.74102
0.65036,0.65000,-1.68739,0.65000,0.44598,0.65000,-0.18026,0.65000,1.74295
0.66037,0.66000,-1.69495,0.66000,0.43212,0.66000,-0.21488,0.66000,1.74677
0.67037,0.67000,-1.70453,0.67000,0.41651,0.67000,-0.24664,0.67000,1.75246
0.68038,0.68000,-1.71598,0.68000,0.39889,0.68000,-0.27529,0.68000,1.75986
0.69038,0.69000,-1.72903,0.69000,0.37907,0.69000,-0.30080,0.69000,1.76869
0.70039,0.70000,-1.74328,0.70000,0.35707,0.70000,-0.32332,0.70000,1.77859
0.71039,0.71000,-1.75828,0.71000,0.33307,0.71000,-0.34317,0.71000,1.78917
0.72040,0.72000,-1.77355,0.72000,0.30740,0.72000,-0.36078,0.72000,1.80005
0.73041,0.73000,-1.78863,0.73000,0.28055,0.73000,-0.37664,0.73000,1.81084
0.74041,0.74000,-1.80309,0.74000,0.25306,0.74000,-0.39122,0.74000,1.82122
0.75042,0.75000,-1.81654,0.75000,0.22554,0.75000,-0.40500,0.75000,1.83088
0.76042,0.76000,-1.82864,0.76000,0.19854,0.76000,-0.41836,0.76000,1.83958
0.77043,0.77000,-1.83914,0.77000,0.17257,0.77000,-0.43156,0.77000,1.84710
0.78043,0.78000,-1.84787,0.78000,0.14801,0.78000,-0.44475,0.78000,1.85329
0.79044,0.79000,-1.85479,0.79000,0.12514,0.79000,-0.45794,0.79000,1.85815
0.80044,0.80000,-1.86003,0.80000,0.10410,0.80000,-0.47099,0.80000,1.86178
0.81045,0.81000,-1.86393,0.81000,0.08489,0.81000,-0.48366,0.81000,1.86447
0.82046,0.82000,-1.86697,0.82000,0.06741,0.82000,-0.49562,0.82000,1.86668
0.83046,0.83000,-1.86977,0.83000,0.05143,0.83000,-0.50650,0.83000,1.86898
0.84047,0.84000,-1.87298,0.84000,0.03669,0.84000,-0.51593,0.84000,1.87197
0.85047,0.85000,-1.87721,0.85000,0.02289,0.85000,-0.52355,0.85000,1.87619
0.86048,0.86000,-1.88287,0.86000,0.00972,0.86000,-0.52906,0.86000,1.88203
0.87048,0.87000,-1.89018,0.87000,-0.00308,0.87000,-0.53223,0.87000,1.88964
0.88049,0.88000,-1.89904,0.88000,-0.01573,0.88000,-0.53296,0.88000,1.89892
0.89049,0.89000,-1.90910,0.89000,-0.02836,0.89000,-0.53125,0.89000,1.90947
