Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-0.11134,0.00000,-0.50544,0.00000,0.12631
0.01001,0.01000,-0.11472,0.01000,-0.50396,0.01000,0.13321
0.02001,0.02000,-0.11916,0.02000,-0.50181,0.02000,0.14100
0.03002,0.03000,-0.12473,0.03000,-0.49892,0.03000,0.14946
0.04002,0.04000,-0.13145,0.04000,-0.49520,0.04000,0.15836
0.05003,0.05000,-0.13928,0.05000,-0.49059,0.05000,0.16744
0.06003,0.06000,-0.14815,0.06000,-0.48503,0.06000,0.17646
0.07004,0.07000,-0.15793,0.07000,-0.47846,0.07000,0.18523
0.08005,0.08000,-0.16848,0.08000,-0.47083,0.08000,0.19360
0.09005,0.09000,-0.17961,0.09000,-0.46213,0.09000,0.20147
0.10006,0.10000,-0.19112,0.10000,-0.45238,0.10000,0.20879
0.11006,0.11000,-0.20284,0.11000,-0.44169,0.11000,0.21555
0.12007,0.12000,-0.21456,0.12000,-0.43019,0.12000,0.22174
0.13007,0.13000,-0.22613,0.13000,-0.41809,0.13000,0.22735
0.14008,0.14000,-0.23738,0.14000,-0.40564,0.14000,0.23237
0.15009,0.15000,-0.24814,0.15000,-0.39311,0.15000,0.23676
0.16009,0.16000,-0.25824,0.16000,-0.38075,0.16000,0.24052
0.17010,0.17000,-0.26745,0.17000,-0.36884,0.17000,0.24361
0.18010,0.18000,-0.27556,0.18000,-0.35760,0.18000,0.24606
0.19011,0.19000,-0.28231,0.19000,-0.34725,0.19000,0.24788
0.20011,0.20000,-0.28745,0.20000,-0.33796,0.20000,0.24915
0.21012,0.21000,-0.29078,0.21000,-0.32987,0.21000,0.24996
0.22012,0.22000,-0.29215,0.22000,-0.32308,0.22000,0.25042
0.23013,0.23000,-0.29149,0.23000,-0.31764,0.23000,0.25066
0.24014,0.24000,-0.28884,0.24000,-0.31357,0.24000,0.25077
0.25014,0.25000,-0.28431,0.25000,-0.31084,0.25000,0.25086
0.26015,0.26000,-0.27808,0.26000,-0.30941,0.26000,0.25100
0.27015,0.27000,-0.27037,0.27000,-0.30923,0.27000,0.25122
0.28016,0.28000,-0.26140,0.28000,-0.31024,0.28000,0.25153
0.29016,0.29000,-0.25139,0.29000,-0.31238,0.29000,0.25188
0.30017,0.30000,-0.24053,0.30000,-0.31560,0.30000,0.25223
0.31018,0.31000,-0.22898,0.31000,-0.31987,0.31000,0.25251
0.32018,0.32000,-0.21689,0.32000,-0.32513,0.32000,0.25264
0.33019,0.33000,-0.20439,0.33000,-0.33128,0.33000,0.25257
0.34019,0.34000,-0.19159,0.34000,-0.33822,0.34000,0.25226
0.35020,0.35000,-0.17862,0.35000,-0.34577,0.35000,0.25170
0.36020,0.36000,-0.16558,0.36000,-0.35373,0.36000,0.25095
0.37021,0.37000,-0.15259,0.37000,-0.36190,0.37000,0.25006
0.38021,0.38000,-0.13975,0.38000,-0.37004,0.38000,0.24915
0.39022,0.39000,-0.12712,0.39000,-0.37798,0.39000,0.24833
0.40023,0.40000,-0.11476,0.40000,-0.38558,0.40000,0.24772
0.41023,0.41000,-0.10273,0.41000,-0.39281,0.41000,0.24744
0.42024,0.42000,-0.09103,0.42000,-0.39972,0.42000,0.24756
0.43024,0.43000,-0.07966,0.43000,-0.40647,0.43000,0.24812
0.44025,0.44000,-0.06864,0.44000,-0.41326,0.44000,0.24913
0.45025,0.45000,-0.05793,0.45000,-0.42032,0.45000,0.25055
0.46026,0.46000,-0.04755,0.46000,-0.42783,0.46000,0.25231
0.47027,0.47000,-0.03749,0.47000,-0.43589,0.47000,0.25433
0.48027,0.48000,-0.02781,0.48000,-0.44451,0.48000,0.25654
0.49028,0.49000,-0.01858,0.49000,-0.45352,0.49000,0.25886
0.50028,0.50000,-0.00991,0.50000,-0.46266,0.50000,0.26127
0.51029,0.51000,-0.00194,0.51000,-0.47156,0.51000,0.26374
0.52029,0.52000,0.00518,0.52000,-0.47978,0.52000,0.26624
0.53030,0.53000,0.01129,0.53000,-0.48687,0.53000,0.26877
0.54030,0.54000,0.01625,0.54000,-0.49237,0.54000,0.27129
0.55031,0.55000,0.01998,0.55000,-0.49587,0.55000,0.27373
0.56032,0.56000,0.02242,0.56000,-0.49704,0.56000,0.27599
0.57032,0.57000,0.02360,0.57000,-0.49564,0.57000,0.27796
0.58033,0.58000,0.02359,0.58000,-0.49152,0.58000,0.27950
0.59033,0.59000,0.02253,0.59000,-0.48466,0.59000,0.28048
0.60034,0.60000,0.02060,0.60000,-0.47512,0.60000,0.28076
0.61034,0.61000,0.01800,0.61000,-0.46308,0.61000,0.28027
0.62035,0.62000,0.01495,0.62000,-0.44880,0.62000,0.27895
0.63036,0.63000,0.01165,0.63000,-0.43267,0.63000,0.27679
0.64036,0.64000,0.00826,0.64000,-0.41510,0.64000,0.27386
0.65037,0.65000,0.00495,0.65000,-0.39660,0.65000,0.27025
0.66037,0.66000,0.00186,0.66000,-0.37768,0.66000,0.26612
0.67038,0.67000,-0.00090,0.67000,-0.35887,0.67000,0.26166
0.68038,0.68000,-0.00322,0.68000,-0.34067,0.68000,0.25707
0.69039,0.69000,-0.00501,0.69000,-0.32350,0.69000,0.25257
0.70039,0.70000,-0.00623,0.70000,-0.30774,0.70000,0.24834
0.71040,0.71000,-0.00689,0.71000,-0.29367,0.71000,0.24454
0.72041,0.72000,-0.00702,0.72000,-0.28151,0.72000,0.24126
0.73041,0.73000,-0.00675,0.73000,-0.27140,0.73000,0.23858
0.74042,0.74000,-0.00623,0.74000,-0.26342,0.74000,0.23649
0.75042,0.75000,-0.00569,0.75000,-0.25756,0.75000,0.23495
0.76043,0.76000,-0.00538,0.76000,-0.25375,0.76000,0.23388
0.77043,0.77000,-0.00560,0.77000,-0.25182,0.77000,0.23315
0.78044,0.78000,-0.00666,0.78000,-0.25155,0.78000,0.23261
0.79045,0.79000,-0.00887,0.79000,-0.25259,0.79000,0.23209
0.80045,0.80000,-0.01250,0.80000,-0.25452,0.80000,0.23141
0.81046,0.81000,-0.01776,0.81000,-0.25687,0.81000,0.23038
0.82046,0.82000,-0.02481,0.82000,-0.25913,0.82000,0.22883
0.83047,0.83000,-0.03367,0.83000,-0.26077,0.83000,0.22662
0.84047,0.84000,-0.04431,0.84000,-0.26133,0.84000,0.22364
0.85048,0.85000,-0.05659,0.85000,-0.26042,0.85000,0.21980
0.86049,0.86000,-0.07031,0.86000,-0.25778,0.86000,0.21510
0.87049,0.87000,-0.08520,0.87000,-0.25327,0.87000,0.20953
0.88050,0.88000,-0.10099,0.88000,-0.24694,0.88000,0.20318
0.89050,0.89000,-0.11737,0.89000,-0.23892,0.89000,0.19615
0.90051,0.90000,-0.13404,0.90000,-0.22951,0.90000,0.18858
0.91051,0.91000,-0.15074,0.91000,-0.21906,0.91000,0.18063
0.92052,0.92000,-0.16721,0.92000,-0.20800,0.92000,0.17250
0.93052,0.93000,-0.18325,0.93000,-0.19680,0.93000,0.16439
0.94053,0.94000,-0.19868,0.94000,-0.18592,0.94000,0.15649
0.95054,0.95000,-0.21335,0.95000,-0.17580,0.95000,0.14900
0.96054,0.96000,-0.22715,0.96000,-0.16682,0.96000,0.14208
0.97055,0.97000,-0.23997,0.97000,-0.15929,0.97000,0.13585
0.98055,0.98000,-0.25174,0.98000,-0.15340,0.98000,0.13041
0.99056,0.99000,-0.26241,0.99000,-0.14924,0.99000,0.12581
