Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.23825,0.00000,0.11169,0.00000,0.02168,0.00000,0.26292
0.01000,0.01000,0.23866,0.01000,0.11048,0.01000,0.02116,0.01000,0.26278
0.02000,0.02000,0.23956,0.02000,0.10911,0.02000,0.02061,0.02000,0.26303
0.03000,0.03000,0.24103,0.03000,0.10757,0.03000,0.02006,0.03000,0.26377
0.04001,0.04000,0.24316,0.04000,0.10588,0.04000,0.01951,0.04000,0.26508
0.05001,0.05000,0.24602,0.05000,0.10404,0.05000,0.01895,0.05000,0.26704
0.06001,0.06000,0.24962,0.06000,0.10205,0.06000,0.01836,0.06000,0.26969
0.07001,0.07000,0.25399,0.07000,0.09992,0.07000,0.01772,0.07000,0.27304
0.08001,0.08000,0.25908,0.08000,0.09766,0.08000,0.01702,0.08000,0.27706
0.09001,0.09000,0.26484,0.09000,0.09530,0.09000,0.01626,0.09000,0.28171
0.10002,0.10000,0.27115,0.10000,0.09286,0.10000,0.01546,0.10000,0.28691
0.11002,0.11000,0.27790,0.11000,0.09039,0.11000,0.01465,0.11000,0.29255
0.12002,0.12000,0.28491,0.12000,0.08795,0.12000,0.01389,0.12000,0.29848
0.13002,0.13000,0.29201,0.13000,0.08560,0.13000,0.01321,0.13000,0.30456
0.14002,0.14000,0.29902,0.14000,0.08339,0.14000,0.01263,0.14000,0.31063
0.15002,0.15000,0.30577,0.15000,0.08137,0.15000,0.01218,0.15000,0.31653
0.16002,0.16000,0.31212,0.16000,0.07959,0.16000,0.01182,0.16000,0.32214
0.17003,0.17000,0.31798,0.17000,0.07805,0.17000,0.01155,0.17000,0.32738
0.18003,0.18000,0.32331,0.18000,0.07678,0.18000,0.01131,0.18000,0.33220
0.19003,0.19000,0.32815,0.19000,0.07577,0.19000,0.01104,0.19000,0.33663
0.20003,0.20000,0.33257,0.20000,0.07499,0.20000,0.01068,0.20000,0.34073
0.21003,0.21000,0.33669,0.21000,0.07441,0.21000,0.01014,0.21000,0.34462
0.22003,0.22000,0.34069,0.22000,0.07398,0.22000,0.00935,0.22000,0.34843
0.23003,0.23000,0.34473,0.23000,0.07364,0.23000,0.00822,0.23000,0.35233
0.24004,0.24000,0.34899,0.24000,0.07333,0.24000,0.00671,0.24000,0.35647
0.25004,0.25000,0.35362,0.25000,0.07298,0.25000,0.00481,0.25000,0.36098
0.26004,0.26000,0.35874,0.26000,0.07256,0.26000,0.00256,0.26000,0.36596
0.27004,0.27000,0.36443,0.27000,0.07202,0.27000,0.00008,0.27000,0.37149
0.28004,0.28000,0.37070,0.28000,0.07136,0.28000,-0.00246,0.28000,0.37756
0.29004,0.29000,0.37750,0.29000,0.07059,0.29000,-0.00482,0.29000,0.38414
0.30004,0.30000,0.38474,0.30000,0.06971,0.30000,-0.00675,0.30000,0.39114
0.31005,0.31000,0.39226,0.31000,0.06879,0.31000,-0.00801,0.31000,0.39840
0.32005,0.32000,0.39990,0.32000,0.06786,0.32000,-0.00837,0.32000,0.40578
0.33005,0.33000,0.40746,0.33000,0.06699,0.33000,-0.00769,0.33000,0.41308
0.34005,0.34000,0.41477,0.34000,0.06621,0.34000,-0.00587,0.34000,0.42016
0.35005,0.35000,0.42167,0.35000,0.06557,0.35000,-0.00290,0.35000,0.42686
0.36005,0.36000,0.42806,0.36000,0.06510,0.36000,0.00114,0.36000,0.43307
0.37005,0.37000,0.43386,0.37000,0.06480,0.37000,0.00614,0.37000,0.43872
0.38006,0.38000,0.43902,0.38000,0.06468,0.38000,0.01193,0.38000,0.44378
0.39006,0.39000,0.44354,0.39000,0.06474,0.39000,0.01835,0.39000,0.44823
0.40006,0.40000,0.44744,0.40000,0.06497,0.40000,0.02526,0.40000,0.45208
0.41006,0.41000,0.45070,0.41000,0.06537,0.41000,0.03253,0.41000,0.45533
0.42006,0.42000,0.45335,0.42000,0.06593,0.42000,0.04009,0.42000,0.45798
0.43006,0.43000,0.45535,0.43000,0.06665,0.43000,0.04788,0.43000,0.46002
0.44006,0.44000,0.45667,0.44000,0.06755,0.44000,0.05588,0.44000,0.46141
0.45007,0.45000,0.45724,0.45000,0.06864,0.45000,0.06407,0.45000,0.46210
0.46007,0.46000,0.45699,0.46000,0.06994,0.46000,0.07239,0.46000,0.46201
0.47007,0.47000,0.45583,0.47000,0.07151,0.47000,0.08080,0.47000,0.46109
0.48007,0.48000,0.45371,0.48000,0.07337,0.48000,0.08919,0.48000,0.45929
0.49007,0.49000,0.45059,0.49000,0.07557,0.49000,0.09746,0.49000,0.45659
0.50007,0.50000,0.44648,0.50000,0.07817,0.50000,0.10548,0.50000,0.45302
