Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.45623,0.00000,-0.61651
0.01001,0.01000,-0.45648,0.01000,-0.61291
0.02001,0.02000,-0.45766,0.02000,-0.60881
0.03002,0.03000,-0.45992,0.03000,-0.60432
0.04002,0.04000,-0.46330,0.04000,-0.59957
0.05003,0.05000,-0.46773,0.05000,-0.59471
0.06004,0.06000,-0.47303,0.06000,-0.58987
0.07004,0.07000,-0.47893,0.07000,-0.58518
0.08005,0.08000,-0.48510,0.08000,-0.58074
0.09005,0.09000,-0.49118,0.09000,-0.57659
0.10006,0.10000,-0.49686,0.10000,-0.57277
0.11007,0.11000,-0.50190,0.11000,-0.56924
0.12007,0.12000,-0.50615,0.12000,-0.56595
0.13008,0.13000,-0.50958,0.13000,-0.56282
0.14008,0.14000,-0.51224,0.14000,-0.55973
0.15009,0.15000,-0.51427,0.15000,-0.55663
0.16010,0.16000,-0.51584,0.16000,-0.55346
0.17010,0.17000,-0.51711,0.17000,-0.55024
0.18011,0.18000,-0.51825,0.18000,-0.54703
0.19011,0.19000,-0.51935,0.19000,-0.54396
0.20012,0.20000,-0.52048,0.20000,-0.54117
0.21013,0.21000,-0.52165,0.21000,-0.53881
0.22013,0.22000,-0.52286,0.22000,-0.53705
0.23014,0.23000,-0.52410,0.23000,-0.53601
0.24014,0.24000,-0.52534,0.24000,-0.53582
0.25015,0.25000,-0.52658,0.25000,-0.53653
0.26016,0.26000,-0.52782,0.26000,-0.53819
0.27016,0.27000,-0.52910,0.27000,-0.54079
0.28017,0.28000,-0.53043,0.28000,-0.54427
0.29017,0.29000,-0.53185,0.29000,-0.54857
0.30018,0.30000,-0.53340,0.30000,-0.55358
0.31019,0.31000,-0.53507,0.31000,-0.55919
0.32019,0.32000,-0.53685,0.32000,-0.56528
0.33020,0.33000,-0.53871,0.33000,-0.57173
0.34020,0.34000,-0.54058,0.34000,-0.57842
0.35021,0.35000,-0.54236,0.35000,-0.58523
0.36022,0.36000,-0.54394,0.36000,-0.59206
0.37022,0.37000,-0.54523,0.37000,-0.59876
0.38023,0.38000,-0.54614,0.38000,-0.60522
0.39023,0.39000,-0.54660,0.39000,-0.61131
0.40024,0.40000,-0.54662,0.40000,-0.61692
0.41025,0.41000,-0.54621,0.41000,-0.62193
0.42025,0.42000,-0.54546,0.42000,-0.62626
0.43026,0.43000,-0.54447,0.43000,-0.62985
0.44026,0.44000,-0.54336,0.44000,-0.63264
0.45027,0.45000,-0.54223,0.45000,-0.63457
0.46027,0.46000,-0.54117,0.46000,-0.63561
0.47028,0.47000,-0.54022,0.47000,-0.63568
0.48029,0.48000,-0.53940,0.48000,-0.63475
0.49029,0.49000,-0.53866,0.49000,-0.63276
0.50030,0.50000,-0.53793,0.50000,-0.62969
0.51030,0.51000,-0.53712,0.51000,-0.62552
0.52031,0.52000,-0.53613,0.52000,-0.62029
0.53032,0.53000,-0.53486,0.53000,-0.61407
0.54032,0.54000,-0.53325,0.54000,-0.60695
0.55033,0.55000,-0.53124,0.55000,-0.59909
0.56033,0.56000,-0.52878,0.56000,-0.59065
0.57034,0.57000,-0.52586,0.57000,-0.58183
0.58035,0.58000,-0.52246,0.58000,-0.57281
0.59035,0.59000,-0.51857,0.59000,-0.56381
0.60036,0.60000,-0.51419,0.60000,-0.55499
0.61036,0.61000,-0.50933,0.61000,-0.54654
0.62037,0.62000,-0.50402,0.62000,-0.53856
0.63038,0.63000,-0.49836,0.63000,-0.53116
0.64038,0.64000,-0.49242,0.64000,-0.52440
0.65039,0.65000,-0.48638,0.65000,-0.51831
0.66039,0.66000,-0.48040,0.66000,-0.51290
0.67040,0.67000,-0.47467,0.67000,-0.50814
0.68041,0.68000,-0.46938,0.68000,-0.50400
0.69041,0.69000,-0.46472,0.69000,-0.50045
0.70042,0.70000,-0.46080,0.70000,-0.49743
0.71042,0.71000,-0.45769,0.71000,-0.49487
0.72043,0.72000,-0.45538,0.72000,-0.49272
0.73044,0.73000,-0.45375,0.73000,-0.49091
0.74044,0.74000,-0.45260,0.74000,-0.48941
0.75045,0.75000,-0.45161,0.75000,-0.48814
0.76045,0.76000,-0.45039,0.76000,-0.48707
0.77046,0.77000,-0.44851,0.77000,-0.48614
0.78047,0.78000,-0.44554,0.78000,-0.48528
0.79047,0.79000,-0.44111,0.79000,-0.48442
0.80048,0.80000,-0.43498,0.80000,-0.48347
0.81048,0.81000,-0.42703,0.81000,-0.48235
0.82049,0.82000,-0.41732,0.82000,-0.48099
0.83050,0.83000,-0.40609,0.83000,-0.47932
0.84050,0.84000,-0.39372,0.84000,-0.47729
0.85051,0.85000,-0.38070,0.85000,-0.47486
0.86051,0.86000,-0.36762,0.86000,-0.47202
0.87052,0.87000,-0.35506,0.87000,-0.46874
0.88053,0.88000,-0.34360,0.88000,-0.46500
0.89053,0.89000,-0.33373,0.89000,-0.46079
0.90054,0.90000,-0.32583,0.90000,-0.45609
0.91054,0.91000,-0.32015,0.91000,-0.45084
0.92055,0.92000,-0.31680,0.92000,-0.44502
0.93056,0.93000,-0.31577,0.93000,-0.43860
0.94056,0.94000,-0.31695,0.94000,-0.43155
0.95057,0.95000,-0.32015,0.95000,-0.42386
0.96057,0.96000,-0.32511,0.96000,-0.41556
0.97058,0.97000,-0.33156,0.97000,-0.40670
0.98059,0.98000,-0.33917,0.98000,-0.39732
0.99059,0.99000,-0.34758,0.99000,-0.38752
1.00060,1.00000,-0.35642,1.00000,-0.37737
1.01060,1.01000,-0.36526,1.01000,-0.36694
1.02061,1.02000,-0.37366,1.02000,-0.35630
1.03062,1.03000,-0.38118,1.03000,-0.34550
1.04062,1.04000,-0.38741,1.04000,-0.33457
1.05063,1.05000,-0.39199,1.05000,-0.32355
1.06063,1.06000,-0.39465,1.06000,-0.31245
1.07064,1.07000,-0.39527,1.07000,-0.30125
1.08064,1.08000,-0.39381,1.08000,-0.28995
1.09065,1.09000,-0.39041,1.09000,-0.27855
1.10066,1.10000,-0.38526,1.10000,-0.26706
1.11066,1.11000,-0.37866,1.11000,-0.25553
1.12067,1.12000,-0.37093,1.12000,-0.24402
1.13067,1.13000,-0.36235,1.13000,-0.23266
1.14068,1.14000,-0.35321,1.14000,-0.22162
1.15069,1.15000,-0.34368,1.15000,-0.21107
1.16069,1.16000,-0.33390,1.16000,-0.20121
1.17070,1.17000,-0.32394,1.17000,-0.19220
1.18070,1.18000,-0.31382,1.18000,-0.18420
1.19071,1.19000,-0.30358,1.19000,-0.17730
1.20072,1.20000,-0.29324,1.20000,-0.17156
1.21072,1.21000,-0.28289,1.21000,-0.16696
1.22073,1.22000,-0.27264,1.22000,-0.16348
1.23073,1.23000,-0.26264,1.23000,-0.16103
1.24074,1.24000,-0.25304,1.24000,-0.15953
1.25075,1.25000,-0.24402,1.25000,-0.15887
1.26075,1.26000,-0.23572,1.26000,-0.15897
1.27076,1.27000,-0.22827,1.27000,-0.15972
1.28076,1.28000,-0.22174,1.28000,-0.16105
1.29077,1.29000,-0.21619,1.29000,-0.16287
