Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-0.14441,0.00000,0.01735,0.00000,-0.03686,0.00000,-0.01936,0.00000,0.23504,0.00000,0.30264
0.01000,0.01000,-0.13981,0.01000,0.01464,0.01000,-0.03258,0.01000,-0.01854,0.01000,0.23489,0.01000,0.29302
0.02000,0.02000,-0.13537,0.02000,0.01109,0.02000,-0.02783,0.02000,-0.01752,0.02000,0.23501,0.02000,0.28290
0.03000,0.03000,-0.13136,0.03000,0.00678,0.03000,-0.02274,0.03000,-0.01635,0.03000,0.23545,0.03000,0.27277
0.04001,0.04000,-0.12798,0.04000,0.00186,0.04000,-0.01750,0.04000,-0.01506,0.04000,0.23616,0.04000,0.26315
0.05001,0.05000,-0.12535,0.05000,-0.00347,0.05000,-0.01225,0.05000,-0.01372,0.05000,0.23709,0.05000,0.25453
0.06001,0.06000,-0.12349,0.06000,-0.00891,0.06000,-0.00713,0.06000,-0.01241,0.06000,0.23810,0.06000,0.24730
0.07001,0.07000,-0.12235,0.07000,-0.01416,0.07000,-0.00224,0.07000,-0.01117,0.07000,0.23900,0.07000,0.24175
0.08001,0.08000,-0.12177,0.08000,-0.01893,0.08000,0.00238,0.08000,-0.01008,0.08000,0.23958,0.08000,0.23800
0.09001,0.09000,-0.12156,0.09000,-0.02301,0.09000,0.00675,0.09000,-0.00915,0.09000,0.23959,0.09000,0.23600
0.10001,0.10000,-0.12148,0.10000,-0.02624,0.10000,0.01090,0.10000,-0.00838,0.10000,0.23879,0.10000,0.23557
0.11002,0.11000,-0.12134,0.11000,-0.02859,0.11000,0.01490,0.11000,-0.00770,0.11000,0.23694,0.11000,0.23637
0.12002,0.12000,-0.12097,0.12000,-0.03016,0.12000,0.01881,0.12000,-0.00705,0.12000,0.23385,0.12000,0.23803
0.13002,0.13000,-0.12025,0.13000,-0.03109,0.13000,0.02267,0.13000,-0.00631,0.13000,0.22937,0.13000,0.24013
0.14002,0.14000,-0.11912,0.14000,-0.03164,0.14000,0.02649,0.14000,-0.00536,0.14000,0.22342,0.14000,0.24227
0.15002,0.15000,-0.11757,0.15000,-0.03205,0.15000,0.03023,0.15000,-0.00411,0.15000,0.21597,0.15000,0.24412
0.16002,0.16000,-0.11569,0.16000,-0.03256,0.16000,0.03383,0.16000,-0.00248,0.16000,0.20707,0.16000,0.24546
0.17002,0.17000,-0.11359,0.17000,-0.03336,0.17000,0.03719,0.17000,-0.00043,0.17000,0.19689,0.17000,0.24614
0.18003,0.18000,-0.11142,0.18000,-0.03455,0.18000,0.04020,0.18000,0.00201,0.18000,0.18564,0.18000,0.24612
0.19003,0.19000,-0.10936,0.19000,-0.03611,0.19000,0.04274,0.19000,0.00474,0.19000,0.17359,0.19000,0.24543
0.20003,0.20000,-0.10757,0.20000,-0.03798,0.20000,0.04472,0.20000,0.00765,0.20000,0.16106,0.20000,0.24413
0.21003,0.21000,-0.10621,0.21000,-0.03998,0.21000,0.04609,0.21000,0.01058,0.21000,0.14835,0.21000,0.24231
0.22003,0.22000,-0.10537,0.22000,-0.04192,0.22000,0.04684,0.22000,0.01338,0.22000,0.13577,0.22000,0.23999
0.23003,0.23000,-0.10512,0.23000,-0.04362,0.23000,0.04700,0.23000,0.01592,0.23000,0.12359,0.23000,0.23715
0.24003,0.24000,-0.10547,0.24000,-0.04494,0.24000,0.04664,0.24000,0.01815,0.24000,0.11204,0.24000,0.23368
0.25004,0.25000,-0.10644,0.25000,-0.04579,0.25000,0.04584,0.25000,0.02004,0.25000,0.10134,0.25000,0.22943
0.26004,0.26000,-0.10802,0.26000,-0.04617,0.26000,0.04472,0.26000,0.02166,0.26000,0.09165,0.26000,0.22417
0.27004,0.27000,-0.11024,0.27000,-0.04615,0.27000,0.04338,0.27000,0.02310,0.27000,0.08308,0.27000,0.21768
0.28004,0.28000,-0.11316,0.28000,-0.04585,0.28000,0.04190,0.28000,0.02449,0.28000,0.07569,0.28000,0.20977
0.29004,0.29000,-0.11681,0.29000,-0.04545,0.29000,0.04038,0.29000,0.02595,0.29000,0.06946,0.29000,0.20033
0.30004,0.30000,-0.12125,0.30000,-0.04511,0.30000,0.03888,0.30000,0.02754,0.30000,0.06427,0.30000,0.18935
0.31004,0.31000,-0.12647,0.31000,-0.04500,0.31000,0.03750,0.31000,0.02931,0.31000,0.05997,0.31000,0.17693
0.32005,0.32000,-0.13238,0.32000,-0.04523,0.32000,0.03631,0.32000,0.03121,0.32000,0.05637,0.32000,0.16331
0.33005,0.33000,-0.13878,0.33000,-0.04590,0.33000,0.03540,0.33000,0.03312,0.33000,0.05324,0.33000,0.14888
0.34005,0.34000,-0.14537,0.34000,-0.04704,0.34000,0.03486,0.34000,0.03489,0.34000,0.05042,0.34000,0.13409
0.35005,0.35000,-0.15176,0.35000,-0.04865,0.35000,0.03475,0.35000,0.03632,0.35000,0.04774,0.35000,0.11951
0.36005,0.36000,-0.15753,0.36000,-0.05068,0.36000,0.03512,0.36000,0.03722,0.36000,0.04512,0.36000,0.10574
0.37005,0.37000,-0.16225,0.37000,-0.05304,0.37000,0.03598,0.37000,0.03742,0.37000,0.04253,0.37000,0.09334
0.38005,0.38000,-0.16559,0.38000,-0.05565,0.38000,0.03729,0.38000,0.03683,0.38000,0.03999,0.38000,0.08284
0.39006,0.39000,-0.16734,0.39000,-0.05840,0.39000,0.03894,0.39000,0.03541,0.39000,0.03757,0.39000,0.07462
0.40006,0.40000,-0.16746,0.40000,-0.06120,0.40000,0.04077,0.40000,0.03322,0.40000,0.03541,0.40000,0.06893
0.41006,0.41000,-0.16608,0.41000,-0.06399,0.41000,0.04259,0.41000,0.03037,0.41000,0.03367,0.41000,0.06587
0.42006,0.42000,-0.16350,0.42000,-0.06670,0.42000,0.04418,0.42000,0.02708,0.42000,0.03253,0.42000,0.06538
0.43006,0.43000,-0.16012,0.43000,-0.06932,0.43000,0.04533,0.43000,0.02355,0.43000,0.03216,0.43000,0.06727
0.44006,0.44000,-0.15639,0.44000,-0.07183,0.44000,0.04589,0.44000,0.02006,0.44000,0.03268,0.44000,0.07124
0.45006,0.45000,-0.15271,0.45000,-0.07426,0.45000,0.04576,0.45000,0.01683,0.45000,0.03416,0.45000,0.07694
0.46007,0.46000,-0.14940,0.46000,-0.07666,0.46000,0.04494,0.46000,0.01409,0.46000,0.03659,0.46000,0.08397
