Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,1.58973,0.00000,-0.01836,0.00000,0.90880
0.01000,0.01000,1.57225,0.01000,-0.01855,0.01000,0.90166
0.02000,0.02000,1.55176,0.02000,-0.01865,0.02000,0.89305
0.03000,0.03000,1.52859,0.03000,-0.01863,0.03000,0.88301
0.04001,0.04000,1.50323,0.04000,-0.01848,0.04000,0.87166
0.05001,0.05000,1.47624,0.05000,-0.01818,0.05000,0.85913
0.06001,0.06000,1.44823,0.06000,-0.01774,0.06000,0.84562
0.07001,0.07000,1.41980,0.07000,-0.01719,0.07000,0.83130
0.08001,0.08000,1.39152,0.08000,-0.01655,0.08000,0.81638
0.09001,0.09000,1.36385,0.09000,-0.01585,0.09000,0.80104
0.10001,0.10000,1.33713,0.10000,-0.01515,0.10000,0.78548
0.11002,0.11000,1.31160,0.11000,-0.01448,0.11000,0.76986
0.12002,0.12000,1.28732,0.12000,-0.01391,0.12000,0.75432
0.13002,0.13000,1.26426,0.13000,-0.01350,0.13000,0.73901
0.14002,0.14000,1.24228,0.14000,-0.01330,0.14000,0.72402
0.15002,0.15000,1.22119,0.15000,-0.01339,0.15000,0.70943
0.16002,0.16000,1.20075,0.16000,-0.01382,0.16000,0.69531
0.17002,0.17000,1.18074,0.17000,-0.01464,0.17000,0.68168
0.18003,0.18000,1.16097,0.18000,-0.01589,0.18000,0.66857
0.19003,0.19000,1.14128,0.19000,-0.01760,0.19000,0.65600
0.20003,0.20000,1.12161,0.20000,-0.01976,0.20000,0.64394
0.21003,0.21000,1.10194,0.21000,-0.02234,0.21000,0.63238
0.22003,0.22000,1.08235,0.22000,-0.02528,0.22000,0.62128
0.23003,0.23000,1.06294,0.23000,-0.02851,0.23000,0.61058
0.24003,0.24000,1.04385,0.24000,-0.03193,0.24000,0.60022
0.25004,0.25000,1.02522,0.25000,-0.03542,0.25000,0.59013
0.26004,0.26000,1.00718,0.26000,-0.03887,0.26000,0.58023
0.27004,0.27000,0.98979,0.27000,-0.04216,0.27000,0.57045
0.28004,0.28000,0.97303,0.28000,-0.04520,0.28000,0.56074
0.29004,0.29000,0.95684,0.29000,-0.04791,0.29000,0.55105
0.30004,0.30000,0.94106,0.30000,-0.05024,0.30000,0.54132
0.31004,0.31000,0.92550,0.31000,-0.05220,0.31000,0.53154
0.32005,0.32000,0.90991,0.32000,-0.05378,0.32000,0.52167
0.33005,0.33000,0.89401,0.33000,-0.05504,0.33000,0.51169
0.34005,0.34000,0.87754,0.34000,-0.05603,0.34000,0.50156
0.35005,0.35000,0.86026,0.35000,-0.05681,0.35000,0.49124
0.36005,0.36000,0.84195,0.36000,-0.05745,0.36000,0.48072
0.37005,0.37000,0.82248,0.37000,-0.05799,0.37000,0.46995
0.38005,0.38000,0.80179,0.38000,-0.05847,0.38000,0.45891
0.39006,0.39000,0.77987,0.39000,-0.05892,0.39000,0.44762
0.40006,0.40000,0.75681,0.40000,-0.05934,0.40000,0.43608
0.41006,0.41000,0.73274,0.41000,-0.05973,0.41000,0.42432
0.42006,0.42000,0.70784,0.42000,-0.06006,0.42000,0.41239
0.43006,0.43000,0.68231,0.43000,-0.06032,0.43000,0.40035
0.44006,0.44000,0.65633,0.44000,-0.06047,0.44000,0.38827
0.45006,0.45000,0.63005,0.45000,-0.06047,0.45000,0.37625
0.46007,0.46000,0.60359,0.46000,-0.06027,0.46000,0.36435
0.47007,0.47000,0.57701,0.47000,-0.05984,0.47000,0.35268
0.48007,0.48000,0.55029,0.48000,-0.05913,0.48000,0.34130
0.49007,0.49000,0.52340,0.49000,-0.05811,0.49000,0.33026
0.50007,0.50000,0.49629,0.50000,-0.05675,0.50000,0.31961
0.51007,0.51000,0.46887,0.51000,-0.05503,0.51000,0.30936
0.52007,0.52000,0.44109,0.52000,-0.05296,0.52000,0.29949
0.53008,0.53000,0.41288,0.53000,-0.05053,0.53000,0.28997
0.54008,0.54000,0.38422,0.54000,-0.04776,0.54000,0.28077
0.55008,0.55000,0.35508,0.55000,-0.04466,0.55000,0.27182
0.56008,0.56000,0.32546,0.56000,-0.04125,0.56000,0.26308
0.57008,0.57000,0.29535,0.57000,-0.03756,0.57000,0.25451
0.58008,0.58000,0.26477,0.58000,-0.03363,0.58000,0.24607
0.59008,0.59000,0.23371,0.59000,-0.02950,0.59000,0.23776
0.60009,0.60000,0.20223,0.60000,-0.02521,0.60000,0.22955
0.61009,0.61000,0.17039,0.61000,-0.02083,0.61000,0.22144
0.62009,0.62000,0.13833,0.62000,-0.01639,0.62000,0.21342
0.63009,0.63000,0.10625,0.63000,-0.01196,0.63000,0.20549
0.64009,0.64000,0.07444,0.64000,-0.00757,0.64000,0.19764
0.65009,0.65000,0.04326,0.65000,-0.00325,0.65000,0.18988
0.66009,0.66000,0.01312,0.66000,0.00096,0.66000,0.18220
0.67010,0.67000,-0.01553,0.67000,0.00504,0.67000,0.17461
0.68010,0.68000,-0.04224,0.68000,0.00899,0.68000,0.16711
0.69010,0.69000,-0.06656,0.69000,0.01281,0.69000,0.15971
0.70010,0.70000,-0.08815,0.70000,0.01648,0.70000,0.15242
0.71010,0.71000,-0.10672,0.71000,0.02002,0.71000,0.14523
0.72010,0.72000,-0.12214,0.72000,0.02342,0.72000,0.13816
0.73010,0.73000,-0.13440,0.73000,0.02668,0.73000,0.13120
0.74011,0.74000,-0.14363,0.74000,0.02977,0.74000,0.12435
0.75011,0.75000,-0.15007,0.75000,0.03272,0.75000,0.11762
0.76011,0.76000,-0.15406,0.76000,0.03551,0.76000,0.11101
0.77011,0.77000,-0.15603,0.77000,0.03817,0.77000,0.10454
0.78011,0.78000,-0.15640,0.78000,0.04072,0.78000,0.09825
0.79011,0.79000,-0.15560,0.79000,0.04320,0.79000,0.09217
0.80011,0.80000,-0.15402,0.80000,0.04563,0.80000,0.08639
0.81012,0.81000,-0.15200,0.81000,0.04803,0.81000,0.08094
0.82012,0.82000,-0.14979,0.82000,0.05040,0.82000,0.07591
0.83012,0.83000,-0.14758,0.83000,0.05272,0.83000,0.07134
0.84012,0.84000,-0.14549,0.84000,0.05493,0.84000,0.06728
0.85012,0.85000,-0.14360,0.85000,0.05697,0.85000,0.06377
0.86012,0.86000,-0.14197,0.86000,0.05876,0.86000,0.06082
0.87012,0.87000,-0.14067,0.87000,0.06018,0.87000,0.05844
0.88013,0.88000,-0.13975,0.88000,0.06115,0.88000,0.05663
0.89013,0.89000,-0.13931,0.89000,0.06159,0.89000,0.05536
0.90013,0.90000,-0.13941,0.90000,0.06143,0.90000,0.05461
0.91013,0.91000,-0.14011,0.91000,0.06065,0.91000,0.05434
0.92013,0.92000,-0.14145,0.92000,0.05925,0.92000,0.05450
0.93013,0.93000,-0.14342,0.93000,0.05727,0.93000,0.05503
0.94013,0.94000,-0.14599,0.94000,0.05476,0.94000,0.05586
0.95014,0.95000,-0.14907,0.95000,0.05183,0.95000,0.05689
0.96014,0.96000,-0.15256,0.96000,0.04856,0.96000,0.05804
0.97014,0.97000,-0.15634,0.97000,0.04509,0.97000,0.05918
0.98014,0.98000,-0.16026,0.98000,0.04155,0.98000,0.06023
0.99014,0.99000,-0.16417,0.99000,0.03809,0.99000,0.06108
1.00014,1.00000,-0.16790,1.00000,0.03486,1.00000,0.06165
1.01014,1.01000,-0.17130,1.01000,0.03201,1.01000,0.06187
1.02015,1.02000,-0.17418,1.02000,0.02968,1.02000,0.06173
1.03015,1.03000,-0.17639,1.03000,0.02799,1.03000,0.06125
1.04015,1.04000,-0.17778,1.04000,0.02704,1.04000,0.06046
1.05015,1.05000,-0.17821,1.05000,0.02688,1.05000,0.05946
1.06015,1.06000,-0.17757,1.06000,0.02753,1.06000,0.05835
1.07015,1.07000,-0.17578,1.07000,0.02896,1.07000,0.05728
1.08015,1.08000,-0.17279,1.08000,0.03110,1.08000,0.05636
1.09016,1.09000,-0.16860,1.09000,0.03383,1.09000,0.05571
1.10016,1.10000,-0.16324,1.10000,0.03698,1.10000,0.05544
1.11016,1.11000,-0.15683,1.11000,0.04040,1.11000,0.05562
1.12016,1.12000,-0.14950,1.12000,0.04388,1.12000,0.05630
1.13016,1.13000,-0.14146,1.13000,0.04727,1.13000,0.05749
1.14016,1.14000,-0.13295,1.14000,0.05041,1.14000,0.05916
1.15016,1.15000,-0.12423,1.15000,0.05319,1.15000,0.06129
1.16017,1.16000,-0.11558,1.16000,0.05555,1.16000,0.06380
1.17017,1.17000,-0.10727,1.17000,0.05749,1.17000,0.06663
1.18017,1.18000,-0.09952,1.18000,0.05902,1.18000,0.06969
1.19017,1.19000,-0.09252,1.19000,0.06022,1.19000,0.07292
1.20017,1.20000,-0.08633,1.20000,0.06118,1.20000,0.07623
1.21017,1.21000,-0.08096,1.21000,0.06200,1.21000,0.07959
1.22017,1.22000,-0.07628,1.22000,0.06281,1.22000,0.08295
1.23018,1.23000,-0.07206,1.23000,0.06369,1.23000,0.08628
1.24018,1.24000,-0.06802,1.24000,0.06473,1.24000,0.08954
1.25018,1.25000,-0.06382,1.25000,0.06598,1.25000,0.09272
1.26018,1.26000,-0.05911,1.26000,0.06745,1.26000,0.09578
1.27018,1.27000,-0.05359,1.27000,0.06914,1.27000,0.09870
1.28018,1.28000,-0.04701,1.28000,0.07101,1.28000,0.10146
1.29018,1.29000,-0.03923,1.29000,0.07298,1.29000,0.10402
1.30019,1.30000,-0.03019,1.30000,0.07495,1.30000,0.10638
1.31019,1.31000,-0.01996,1.31000,0.07683,1.31000,0.10852
1.32019,1.32000,-0.00868,1.32000,0.07850,1.32000,0.11044
1.33019,1.33000,0.00339,1.33000,0.07985,1.33000,0.11217
1.34019,1.34000,0.01592,1.34000,0.08081,1.34000,0.11374
1.35019,1.35000,0.02856,1.35000,0.08131,1.35000,0.11518
1.36019,1.36000,0.04093,1.36000,0.08133,1.36000,0.11654
1.37020,1.37000,0.05267,1.37000,0.08085,1.37000,0.11788
1.38020,1.38000,0.06346,1.38000,0.07993,1.38000,0.11924
1.39020,1.39000,0.07305,1.39000,0.07860,1.39000,0.12067
1.40020,1.40000,0.08128,1.40000,0.07692,1.40000,0.12221
1.41020,1.41000,0.08807,1.41000,0.07498,1.41000,0.12389
1.42020,1.42000,0.09344,1.42000,0.07281,1.42000,0.12572
1.43020,1.43000,0.09750,1.43000,0.07045,1.43000,0.12771
1.44021,1.44000,0.10045,1.44000,0.06792,1.44000,0.12983
1.45021,1.45000,0.10254,1.45000,0.06519,1.45000,0.13204
1.46021,1.46000,0.10407,1.46000,0.06222,1.46000,0.13432
1.47021,1.47000,0.10537,1.47000,0.05896,1.47000,0.13659
1.48021,1.48000,0.10677,1.48000,0.05536,1.48000,0.13883
1.49021,1.49000,0.10858,1.49000,0.05138,1.49000,0.14097
1.50021,1.50000,0.11105,1.50000,0.04700,1.50000,0.14299
1.51021,1.51000,0.11437,1.51000,0.04221,1.51000,0.14488
1.52022,1.52000,0.11865,1.52000,0.03706,1.52000,0.14664
1.53022,1.53000,0.12391,1.53000,0.03158,1.53000,0.14830
1.54022,1.54000,0.13006,1.54000,0.02586,1.54000,0.14990
1.55022,1.55000,0.13695,1.55000,0.01997,1.55000,0.15148
1.56022,1.56000,0.14437,1.56000,0.01402,1.56000,0.15308
1.57022,1.57000,0.15204,1.57000,0.00809,1.57000,0.15474
1.58022,1.58000,0.15970,1.58000,0.00228,1.58000,0.15647
1.59023,1.59000,0.16707,1.59000,-0.00334,1.59000,0.15826
1.60023,1.60000,0.17392,1.60000,-0.00870,1.60000,0.16008
1.61023,1.61000,0.18005,1.61000,-0.01377,1.61000,0.16188
1.62023,1.62000,0.18532,1.62000,-0.01852,1.62000,0.16359
1.63023,1.63000,0.18969,1.63000,-0.02297,1.63000,0.16513
1.64023,1.64000,0.19313,1.64000,-0.02714,1.64000,0.16645
1.65023,1.65000,0.19569,1.65000,-0.03108,1.65000,0.16747
1.66024,1.66000,0.19743,1.66000,-0.03486,1.66000,0.16815
1.67024,1.67000,0.19842,1.67000,-0.03855,1.67000,0.16844
1.68024,1.68000,0.19874,1.68000,-0.04225,1.68000,0.16833
1.69024,1.69000,0.19843,1.69000,-0.04607,1.69000,0.16783
1.70024,1.70000,0.19749,1.70000,-0.05014,1.70000,0.16695
1.71024,1.71000,0.19592,1.71000,-0.05456,1.71000,0.16573
1.72024,1.72000,0.19367,1.72000,-0.05945,1.72000,0.16422
1.73025,1.73000,0.19067,1.73000,-0.06488,1.73000,0.16246
1.74025,1.74000,0.18686,1.74000,-0.07092,1.74000,0.16050
1.75025,1.75000,0.18220,1.75000,-0.07757,1.75000,0.15839
1.76025,1.76000,0.17671,1.76000,-0.08480,1.76000,0.15617
1.77025,1.77000,0.17045,1.77000,-0.09253,1.77000,0.15385
1.78025,1.78000,0.16356,1.78000,-0.10064,1.78000,0.15145
1.79025,1.79000,0.15623,1.79000,-0.10897,1.79000,0.14898
1.80026,1.80000,0.14873,1.80000,-0.11736,1.80000,0.14642
1.81026,1.81000,0.14139,1.81000,-0.12560,1.81000,0.14378
1.82026,1.82000,0.13453,1.82000,-0.13351,1.82000,0.14104
1.83026,1.83000,0.12852,1.83000,-0.14091,1.83000,0.13820
1.84026,1.84000,0.12367,1.84000,-0.14764,1.84000,0.13529
1.85026,1.85000,0.12025,1.85000,-0.15358,1.85000,0.13233
1.86026,1.86000,0.11845,1.86000,-0.15866,1.86000,0.12935
1.87027,1.87000,0.11833,1.87000,-0.16285,1.87000,0.12639
1.88027,1.88000,0.11990,1.88000,-0.16615,1.88000,0.12349
1.89027,1.89000,0.12301,1.89000,-0.16861,1.89000,0.12070
1.90027,1.90000,0.12746,1.90000,-0.17028,1.90000,0.11801
1.91027,1.91000,0.13295,1.91000,-0.17124,1.91000,0.11543
1.92027,1.92000,0.13914,1.92000,-0.17155,1.92000,0.11296
1.93027,1.93000,0.14567,1.93000,-0.17127,1.93000,0.11056
1.94028,1.94000,0.15215,1.94000,-0.17047,1.94000,0.10821
1.95028,1.95000,0.15827,1.95000,-0.16917,1.95000,0.10587
1.96028,1.96000,0.16374,1.96000,-0.16741,1.96000,0.10353
1.97028,1.97000,0.16837,1.97000,-0.16525,1.97000,0.10119
1.98028,1.98000,0.17203,1.98000,-0.16272,1.98000,0.09886
1.99028,1.99000,0.17470,1.99000,-0.15991,1.99000,0.09656
2.00028,2.00000,0.17643,2.00000,-0.15692,2.00000,0.09434
2.01029,2.01000,0.17735,2.01000,-0.15388,2.01000,0.09224
2.02029,2.02000,0.17763,2.02000,-0.15094,2.02000,0.09029
2.03029,2.03000,0.17751,2.03000,-0.14825,2.03000,0.08852
2.04029,2.04000,0.17721,2.04000,-0.14596,2.04000,0.08696
2.05029,2.05000,0.17698,2.05000,-0.14421,2.05000,0.08559
2.06029,2.06000,0.17703,2.06000,-0.14311,2.06000,0.08442
2.07029,2.07000,0.17754,2.07000,-0.14269,2.07000,0.08340
2.08030,2.08000,0.17866,2.08000,-0.14298,2.08000,0.08252
2.09030,2.09000,0.18048,2.09000,-0.14390,2.09000,0.08175
2.10030,2.10000,0.18305,2.10000,-0.14536,2.10000,0.08108
2.11030,2.11000,0.18638,2.11000,-0.14719,2.11000,0.08050
2.12030,2.12000,0.19045,2.12000,-0.14921,2.12000,0.08002
2.13030,2.13000,0.19519,2.13000,-0.15123,2.13000,0.07963
2.14030,2.14000,0.20051,2.14000,-0.15303,2.14000,0.07934
2.15031,2.15000,0.20627,2.15000,-0.15444,2.15000,0.07914
2.16031,2.16000,0.21234,2.16000,-0.15530,2.16000,0.07902
2.17031,2.17000,0.21855,2.17000,-0.15547,2.17000,0.07894
2.18031,2.18000,0.22472,2.18000,-0.15485,2.18000,0.07886
2.19031,2.19000,0.23069,2.19000,-0.15337,2.19000,0.07875
2.20031,2.20000,0.23630,2.20000,-0.15098,2.20000,0.07858
2.21031,2.21000,0.24139,2.21000,-0.14767,2.21000,0.07832
2.22032,2.22000,0.24586,2.22000,-0.14345,2.22000,0.07800
2.23032,2.23000,0.24960,2.23000,-0.13837,2.23000,0.07761
2.24032,2.24000,0.25253,2.24000,-0.13247,2.24000,0.07721
2.25032,2.25000,0.25457,2.25000,-0.12585,2.25000,0.07681
2.26032,2.26000,0.25565,2.26000,-0.11861,2.26000,0.07647
2.27032,2.27000,0.25573,2.27000,-0.11088,2.27000,0.07620
2.28032,2.28000,0.25475,2.28000,-0.10278,2.28000,0.07601
2.29033,2.29000,0.25267,2.29000,-0.09446,2.29000,0.07590
2.30033,2.30000,0.24949,2.30000,-0.08605,2.30000,0.07582
2.31033,2.31000,0.24524,2.31000,-0.07769,2.31000,0.07574
2.32033,2.32000,0.23997,2.32000,-0.06953,2.32000,0.07558
2.33033,2.33000,0.23382,2.33000,-0.06168,2.33000,0.07530
2.34033,2.34000,0.22694,2.34000,-0.05424,2.34000,0.07484
2.35033,2.35000,0.21958,2.35000,-0.04730,2.35000,0.07415
2.36034,2.36000,0.21198,2.36000,-0.04091,2.36000,0.07322
2.37034,2.37000,0.20447,2.37000,-0.03509,2.37000,0.07206
2.38034,2.38000,0.19734,2.38000,-0.02984,2.38000,0.07069
2.39034,2.39000,0.19091,2.39000,-0.02511,2.39000,0.06918
2.40034,2.40000,0.18544,2.40000,-0.02085,2.40000,0.06756
2.41034,2.41000,0.18118,2.41000,-0.01699,2.41000,0.06593
2.42034,2.42000,0.17828,2.42000,-0.01347,2.42000,0.06432
2.43035,2.43000,0.17683,2.43000,-0.01021,2.43000,0.06280
