Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-0.17991	0.00000	-0.87840	0.00000	1.99106	0.00000	-1.66770	0.00000	-0.63358	0.00000	-0.11488	0.00000	-0.23510	0.00000	-1.10837	0.00000	0.11409	0.00000	0.41758	0.00000	-0.96284	0.00000	-0.05991	0.00000	-1.39999	0.00000	-0.15356	0.00000	-0.16942	0.00000	-0.06038	0.00000	-1.40462	0.00000	-0.10732	0.00000	-1.00887	0.00000	0.04100	0.00000	0.70917	0.00000	-1.29830	0.00000	0.58136	0.00000	-1.05058	0.00000	2.25872	0.00000	-0.43742	0.00000	1.58386	0.00000	0.22179	0.00000	0.00495	0.00000	-0.62476	0.00000	1.33922	0.00000	-0.08694	0.00000	-0.23497	0.00000	-1.15467	0.00000	-2.13710	0.00000	2.48543	0.00000	1.17195	0.00000	-1.08461	0.00000	-0.25779	0.00000	-0.63903	0.00000	-1.05006	0.00000	0.69298	
0.01001	0.01000	-0.17599	0.01000	-0.87532	0.01000	1.99358	0.01000	-1.67236	0.01000	-0.63359	0.01000	-0.11776	0.01000	-0.23211	0.01000	-1.11649	0.01000	0.13231	0.01000	0.40759	0.01000	-0.95369	0.01000	-0.05889	0.01000	-1.39975	0.01000	-0.14972	0.01000	-0.16794	0.01000	-0.05934	0.01000	-1.40433	0.01000	-0.10097	0.01000	-1.02137	0.01000	0.03853	0.01000	0.71026	0.01000	-1.28931	0.01000	0.58121	0.01000	-1.04623	0.01000	2.26284	0.01000	-0.43554	0.01000	1.59458	0.01000	0.22549	0.01000	0.00838	0.01000	-0.62615	0.01000	1.35770	0.01000	-0.08740	0.01000	-0.23012	0.01000	-1.15685	0.01000	-2.13844	0.01000	2.48875	0.01000	1.18008	0.01000	-1.08276	0.01000	-0.24816	0.01000	-0.64229	0.01000	-1.05190	0.01000	0.69285	
0.02001	0.02000	-0.17158	0.02000	-0.87175	0.02000	1.99616	0.02000	-1.67749	0.02000	-0.63390	0.02000	-0.12162	0.02000	-0.22888	0.02000	-1.12584	0.02000	0.15439	0.02000	0.39655	0.02000	-0.94307	0.02000	-0.05722	0.02000	-1.40046	0.02000	-0.14525	0.02000	-0.16699	0.02000	-0.05765	0.02000	-1.40499	0.02000	-0.09311	0.02000	-1.03384	0.02000	0.03518	0.02000	0.71013	0.02000	-1.27847	0.02000	0.58080	0.02000	-1.04090	0.02000	2.26749	0.02000	-0.43365	0.02000	1.60641	0.02000	0.23007	0.02000	0.01269	0.02000	-0.62791	0.02000	1.36797	0.02000	-0.08783	0.02000	-0.22461	0.02000	-1.15898	0.02000	-2.14008	0.02000	2.49287	0.02000	1.18956	0.02000	-1.08077	0.02000	-0.23632	0.02000	-0.64584	0.02000	-1.05322	0.02000	0.69242	
0.03002	0.03000	-0.16670	0.03000	-0.86770	0.03000	1.99873	0.03000	-1.68292	0.03000	-0.63459	0.03000	-0.12651	0.03000	-0.22556	0.03000	-1.13622	0.03000	0.18028	0.03000	0.38490	0.03000	-0.93119	0.03000	-0.05482	0.03000	-1.40229	0.03000	-0.14034	0.03000	-0.16675	0.03000	-0.05522	0.03000	-1.40680	0.03000	-0.08383	0.03000	-1.04530	0.03000	0.03089	0.03000	0.70838	0.03000	-1.26600	0.03000	0.58001	0.03000	-1.03462	0.03000	2.27248	0.03000	-0.43187	0.03000	1.61893	0.03000	0.23550	0.03000	0.01782	0.03000	-0.63008	0.03000	1.37301	0.03000	-0.08819	0.03000	-0.21864	0.03000	-1.16095	0.03000	-2.14202	0.03000	2.49778	0.03000	1.20025	0.03000	-1.07876	0.03000	-0.22237	0.03000	-0.64959	0.03000	-1.05389	0.03000	0.69170	
0.04003	0.04000	-0.16135	0.04000	-0.86314	0.04000	2.00127	0.04000	-1.68842	0.04000	-0.63575	0.04000	-0.13241	0.04000	-0.22232	0.04000	-1.14739	0.04000	0.20976	0.04000	0.37312	0.04000	-0.91838	0.04000	-0.05165	0.04000	-1.40534	0.04000	-0.13523	0.04000	-0.16737	0.04000	-0.05202	0.04000	-1.40986	0.04000	-0.07327	0.04000	-1.05463	0.04000	0.02563	0.04000	0.70465	0.04000	-1.25231	0.04000	0.57868	0.04000	-1.02754	0.04000	2.27756	0.04000	-0.43028	0.04000	1.63167	0.04000	0.24170	0.04000	0.02365	0.04000	-0.63267	0.04000	1.37992	0.04000	-0.08843	0.04000	-0.21242	0.04000	-1.16262	0.04000	-2.14424	0.04000	2.50338	0.04000	1.21200	0.04000	-1.07684	0.04000	-0.20657	0.04000	-0.65345	0.04000	-1.05381	0.04000	0.69075	
0.05003	0.05000	-0.15550	0.05000	-0.85803	0.05000	2.00379	0.05000	-1.69381	0.05000	-0.63745	0.05000	-0.13925	0.05000	-0.21932	0.05000	-1.15909	0.05000	0.24252	0.05000	0.36173	0.05000	-0.90503	0.05000	-0.04771	0.05000	-1.40961	0.05000	-0.13027	0.05000	-0.16892	0.05000	-0.04806	0.05000	-1.41416	0.05000	-0.06168	0.05000	-1.06072	0.05000	0.01941	0.05000	0.69863	0.05000	-1.23798	0.05000	0.57667	0.05000	-1.01982	0.05000	2.28240	0.05000	-0.42896	0.05000	1.64417	0.05000	0.24853	0.05000	0.03000	0.05000	-0.63571	0.05000	1.39674	0.05000	-0.08848	0.05000	-0.20621	0.05000	-1.16390	0.05000	-2.14674	0.05000	2.50956	0.05000	1.22460	0.05000	-1.07511	0.05000	-0.18926	0.05000	-0.65738	0.05000	-1.05298	0.05000	0.68965	
0.06004	0.06000	-0.14911	0.06000	-0.85235	0.06000	2.00636	0.06000	-1.69888	0.06000	-0.63975	0.06000	-0.14687	0.06000	-0.21672	0.06000	-1.17105	0.06000	0.27817	0.06000	0.35122	0.06000	-0.89153	0.06000	-0.04307	0.06000	-1.41499	0.06000	-0.12579	0.06000	-0.17142	0.06000	-0.04339	0.06000	-1.41958	0.06000	-0.04934	0.06000	-1.06251	0.06000	0.01231	0.06000	0.69014	0.06000	-1.22372	0.06000	0.57377	0.06000	-1.01170	0.06000	2.28668	0.06000	-0.42796	0.06000	1.65597	0.06000	0.25580	0.06000	0.03661	0.06000	-0.63919	0.06000	1.41975	0.06000	-0.08827	0.06000	-0.20026	0.06000	-1.16472	0.06000	-2.14949	0.06000	2.51617	0.06000	1.23784	0.06000	-1.07366	0.06000	-0.17088	0.06000	-0.66133	0.06000	-1.05150	0.06000	0.68855	
0.07005	0.07000	-0.14210	0.07000	-0.84605	0.07000	2.00904	0.07000	-1.70350	0.07000	-0.64269	0.07000	-0.15508	0.07000	-0.21465	0.07000	-1.18302	0.07000	0.31621	0.07000	0.34200	0.07000	-0.87831	0.07000	-0.03784	0.07000	-1.42122	0.07000	-0.12217	0.07000	-0.17476	0.07000	-0.03814	0.07000	-1.42589	0.07000	-0.03660	0.07000	-1.05916	0.07000	0.00444	0.07000	0.67913	0.07000	-1.21036	0.07000	0.56981	0.07000	-1.00340	0.07000	2.29009	0.07000	-0.42732	0.07000	1.66670	0.07000	0.26329	0.07000	0.04324	0.07000	-0.64308	0.07000	1.43610	0.07000	-0.08776	0.07000	-0.19480	0.07000	-1.16504	0.07000	-2.15247	0.07000	2.52301	0.07000	1.25149	0.07000	-1.07256	0.07000	-0.15193	0.07000	-0.66529	0.07000	-1.04952	0.07000	0.68760	
0.08005	0.08000	-0.13439	0.08000	-0.83913	0.08000	2.01193	0.08000	-1.70757	0.08000	-0.64626	0.08000	-0.16368	0.08000	-0.21321	0.08000	-1.19478	0.08000	0.35611	0.08000	0.33432	0.08000	-0.86574	0.08000	-0.03219	0.08000	-1.42796	0.08000	-0.11972	0.08000	-0.17882	0.08000	-0.03248	0.08000	-1.43274	0.08000	-0.02378	0.08000	-1.05013	0.08000	-0.00405	0.08000	0.66569	0.08000	-1.19879	0.08000	0.56459	0.08000	-0.99517	0.08000	2.29235	0.08000	-0.42701	0.08000	1.67608	0.08000	0.27078	0.08000	0.04962	0.08000	-0.64734	0.08000	1.44824	0.08000	-0.08687	0.08000	-0.19004	0.08000	-1.16489	0.08000	-2.15563	0.08000	2.52991	0.08000	1.26536	0.08000	-1.07182	0.08000	-0.13288	0.08000	-0.66926	0.08000	-1.04726	0.08000	0.68696	
0.09006	0.09000	-0.12595	0.09000	-0.83161	0.09000	2.01509	0.09000	-1.71103	0.09000	-0.65042	0.09000	-0.17245	0.09000	-0.21244	0.09000	-1.20614	0.09000	0.39728	0.09000	0.32827	0.09000	-0.85414	0.09000	-0.02633	0.09000	-1.43480	0.09000	-0.11867	0.09000	-0.18338	0.09000	-0.02661	0.09000	-1.43970	0.09000	-0.01117	0.09000	-1.03527	0.09000	-0.01296	0.09000	0.65010	0.09000	-1.18984	0.09000	0.55795	0.09000	-0.98720	0.09000	2.29325	0.09000	-0.42705	0.09000	1.68397	0.09000	0.27801	0.09000	0.05550	0.09000	-0.65188	0.09000	1.46813	0.09000	-0.08554	0.09000	-0.18612	0.09000	-1.16428	0.09000	-2.15894	0.09000	2.53668	0.09000	1.27925	0.09000	-1.07138	0.09000	-0.11418	0.09000	-0.67325	0.09000	-1.04493	0.09000	0.68676	
