Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.09554,0.00000,-0.15890
0.01000,0.01000,-0.09407,0.01000,-0.15953
0.02000,0.02000,-0.09195,0.02000,-0.15996
0.03000,0.03000,-0.08909,0.03000,-0.16014
0.04001,0.04000,-0.08546,0.04000,-0.15998
0.05001,0.05000,-0.08104,0.05000,-0.15943
0.06001,0.06000,-0.07585,0.06000,-0.15842
0.07001,0.07000,-0.06994,0.07000,-0.15689
0.08001,0.08000,-0.06339,0.08000,-0.15477
0.09001,0.09000,-0.05631,0.09000,-0.15196
0.10001,0.10000,-0.04885,0.10000,-0.14838
0.11002,0.11000,-0.04119,0.11000,-0.14391
0.12002,0.12000,-0.03356,0.12000,-0.13849
0.13002,0.13000,-0.02615,0.13000,-0.13206
0.14002,0.14000,-0.01917,0.14000,-0.12461
0.15002,0.15000,-0.01278,0.15000,-0.11619
0.16002,0.16000,-0.00708,0.16000,-0.10695
0.17002,0.17000,-0.00216,0.17000,-0.09710
0.18003,0.18000,0.00196,0.18000,-0.08693
0.19003,0.19000,0.00527,0.19000,-0.07679
0.20003,0.20000,0.00778,0.20000,-0.06704
0.21003,0.21000,0.00951,0.21000,-0.05804
0.22003,0.22000,0.01050,0.22000,-0.05006
0.23003,0.23000,0.01080,0.23000,-0.04331
0.24004,0.24000,0.01050,0.24000,-0.03789
0.25004,0.25000,0.00967,0.25000,-0.03380
0.26004,0.26000,0.00842,0.26000,-0.03095
0.27004,0.27000,0.00689,0.27000,-0.02923
0.28004,0.28000,0.00520,0.28000,-0.02845
0.29004,0.29000,0.00349,0.29000,-0.02848
0.30004,0.30000,0.00185,0.30000,-0.02917
0.31005,0.31000,0.00040,0.31000,-0.03044
0.32005,0.32000,-0.00080,0.32000,-0.03221
0.33005,0.33000,-0.00169,0.33000,-0.03442
0.34005,0.34000,-0.00225,0.34000,-0.03701
0.35005,0.35000,-0.00244,0.35000,-0.03988
0.36005,0.36000,-0.00228,0.36000,-0.04289
0.37005,0.37000,-0.00177,0.37000,-0.04583
0.38006,0.38000,-0.00093,0.38000,-0.04847
0.39006,0.39000,0.00019,0.39000,-0.05054
0.40006,0.40000,0.00153,0.40000,-0.05176
0.41006,0.41000,0.00301,0.41000,-0.05190
0.42006,0.42000,0.00456,0.42000,-0.05080
0.43006,0.43000,0.00608,0.43000,-0.04841
0.44006,0.44000,0.00747,0.44000,-0.04480
0.45007,0.45000,0.00864,0.45000,-0.04017
0.46007,0.46000,0.00950,0.46000,-0.03488
0.47007,0.47000,0.00994,0.47000,-0.02937
0.48007,0.48000,0.00991,0.48000,-0.02414
0.49007,0.49000,0.00935,0.49000,-0.01973
0.50007,0.50000,0.00826,0.50000,-0.01656
0.51007,0.51000,0.00664,0.51000,-0.01497
0.52008,0.52000,0.00455,0.52000,-0.01511
0.53008,0.53000,0.00206,0.53000,-0.01693
0.54008,0.54000,-0.00077,0.54000,-0.02020
0.55008,0.55000,-0.00383,0.55000,-0.02450
0.56008,0.56000,-0.00707,0.56000,-0.02933
0.57008,0.57000,-0.01042,0.57000,-0.03413
0.58008,0.58000,-0.01386,0.58000,-0.03836
0.59009,0.59000,-0.01737,0.59000,-0.04157
0.60009,0.60000,-0.02095,0.60000,-0.04341
0.61009,0.61000,-0.02461,0.61000,-0.04368
0.62009,0.62000,-0.02835,0.62000,-0.04231
0.63009,0.63000,-0.03214,0.63000,-0.03930
0.64009,0.64000,-0.03594,0.64000,-0.03472
0.65009,0.65000,-0.03965,0.65000,-0.02866
0.66010,0.66000,-0.04317,0.66000,-0.02118
0.67010,0.67000,-0.04635,0.67000,-0.01234
0.68010,0.68000,-0.04906,0.68000,-0.00218
0.69010,0.69000,-0.05115,0.69000,0.00927
0.70010,0.70000,-0.05252,0.70000,0.02187
0.71010,0.71000,-0.05309,0.71000,0.03545
0.72010,0.72000,-0.05285,0.72000,0.04972
0.73011,0.73000,-0.05187,0.73000,0.06428
0.74011,0.74000,-0.05026,0.74000,0.07871
0.75011,0.75000,-0.04821,0.75000,0.09255
0.76011,0.76000,-0.04598,0.76000,0.10533
0.77011,0.77000,-0.04383,0.77000,0.11667
0.78011,0.78000,-0.04205,0.78000,0.12626
0.79011,0.79000,-0.04088,0.79000,0.13389
0.80012,0.80000,-0.04052,0.80000,0.13947
0.81012,0.81000,-0.04106,0.81000,0.14306
0.82012,0.82000,-0.04249,0.82000,0.14482
0.83012,0.83000,-0.04472,0.83000,0.14501
0.84012,0.84000,-0.04755,0.84000,0.14395
0.85012,0.85000,-0.05074,0.85000,0.14199
0.86012,0.86000,-0.05402,0.86000,0.13946
0.87013,0.87000,-0.05713,0.87000,0.13665
0.88013,0.88000,-0.05985,0.88000,0.13385
0.89013,0.89000,-0.06197,0.89000,0.13131
0.90013,0.90000,-0.06335,0.90000,0.12922
0.91013,0.91000,-0.06391,0.91000,0.12777
0.92013,0.92000,-0.06360,0.92000,0.12707
0.93013,0.93000,-0.06242,0.93000,0.12712
0.94014,0.94000,-0.06043,0.94000,0.12786
0.95014,0.95000,-0.05772,0.95000,0.12909
0.96014,0.96000,-0.05437,0.96000,0.13049
0.97014,0.97000,-0.05051,0.97000,0.13164
0.98014,0.98000,-0.04628,0.98000,0.13208
0.99014,0.99000,-0.04182,0.99000,0.13129
1.00014,1.00000,-0.03725,1.00000,0.12881
1.01015,1.01000,-0.03273,1.01000,0.12427
1.02015,1.02000,-0.02836,1.02000,0.11748
1.03015,1.03000,-0.02422,1.03000,0.10848
1.04015,1.04000,-0.02037,1.04000,0.09753
1.05015,1.05000,-0.01683,1.05000,0.08513
1.06015,1.06000,-0.01356,1.06000,0.07198
1.07015,1.07000,-0.01051,1.07000,0.05891
1.08016,1.08000,-0.00760,1.08000,0.04674
1.09016,1.09000,-0.00475,1.09000,0.03628
1.10016,1.10000,-0.00188,1.10000,0.02818
1.11016,1.11000,0.00105,1.11000,0.02286
1.12016,1.12000,0.00405,1.12000,0.02052
1.13016,1.13000,0.00709,1.13000,0.02106
1.14016,1.14000,0.01006,1.14000,0.02413
1.15017,1.15000,0.01284,1.15000,0.02914
1.16017,1.16000,0.01525,1.16000,0.03530
1.17017,1.17000,0.01716,1.17000,0.04171
1.18017,1.18000,0.01842,1.18000,0.04745
