Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.31816,0.00000,0.15989,0.00000,-0.28510,0.00000,0.12019,0.00000,-0.30274,0.00000,0.72794
0.01000,0.01000,0.31502,0.01000,0.15981,0.01000,-0.28770,0.01000,0.12095,0.01000,-0.30979,0.01000,0.73042
0.02000,0.02000,0.31244,0.02000,0.15955,0.02000,-0.29167,0.02000,0.12239,0.02000,-0.31946,0.02000,0.73366
0.03000,0.03000,0.31060,0.03000,0.15915,0.03000,-0.29699,0.03000,0.12453,0.03000,-0.33175,0.03000,0.73769
0.04001,0.04000,0.30963,0.04000,0.15873,0.04000,-0.30345,0.04000,0.12737,0.04000,-0.34639,0.04000,0.74252
0.05001,0.05000,0.30949,0.05000,0.15844,0.05000,-0.31068,0.05000,0.13083,0.05000,-0.36290,0.05000,0.74810
0.06001,0.06000,0.31007,0.06000,0.15848,0.06000,-0.31814,0.06000,0.13474,0.06000,-0.38060,0.06000,0.75436
0.07001,0.07000,0.31109,0.07000,0.15907,0.07000,-0.32522,0.07000,0.13892,0.07000,-0.39868,0.07000,0.76114
0.08001,0.08000,0.31227,0.08000,0.16038,0.08000,-0.33131,0.08000,0.14316,0.08000,-0.41629,0.08000,0.76822
0.09001,0.09000,0.31327,0.09000,0.16250,0.09000,-0.33585,0.09000,0.14728,0.09000,-0.43263,0.09000,0.77530
0.10001,0.10000,0.31384,0.10000,0.16539,0.10000,-0.33847,0.10000,0.15112,0.10000,-0.44696,0.10000,0.78201
0.11002,0.11000,0.31378,0.11000,0.16893,0.11000,-0.33898,0.11000,0.15459,0.11000,-0.45875,0.11000,0.78797
0.12002,0.12000,0.31301,0.12000,0.17284,0.12000,-0.33740,0.12000,0.15767,0.12000,-0.46762,0.12000,0.79277
0.13002,0.13000,0.31152,0.13000,0.17680,0.13000,-0.33393,0.13000,0.16038,0.13000,-0.47343,0.13000,0.79610
0.14002,0.14000,0.30938,0.14000,0.18040,0.14000,-0.32889,0.14000,0.16281,0.14000,-0.47622,0.14000,0.79769
0.15002,0.15000,0.30674,0.15000,0.18327,0.15000,-0.32270,0.15000,0.16503,0.15000,-0.47624,0.15000,0.79741
0.16002,0.16000,0.30375,0.16000,0.18510,0.16000,-0.31578,0.16000,0.16714,0.16000,-0.47393,0.16000,0.79526
0.17002,0.17000,0.30063,0.17000,0.18567,0.17000,-0.30852,0.17000,0.16920,0.17000,-0.46982,0.17000,0.79139
