Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.77087,0.00000,2.02694
0.01000,0.01000,-0.78027,0.01000,1.98460
0.02000,0.02000,-0.79043,0.02000,1.94326
0.03000,0.03000,-0.80100,0.03000,1.90513
0.04001,0.04000,-0.81166,0.04000,1.87201
0.05001,0.05000,-0.82212,0.05000,1.84495
0.06001,0.06000,-0.83213,0.06000,1.82407
0.07001,0.07000,-0.84158,0.07000,1.80847
0.08001,0.08000,-0.85039,0.08000,1.79636
0.09001,0.09000,-0.85853,0.09000,1.78540
0.10001,0.10000,-0.86601,0.10000,1.77313
0.11002,0.11000,-0.87277,0.11000,1.75751
0.12002,0.12000,-0.87869,0.12000,1.73736
0.13002,0.13000,-0.88358,0.13000,1.71270
0.14002,0.14000,-0.88715,0.14000,1.68482
0.15002,0.15000,-0.88908,0.15000,1.65608
0.16002,0.16000,-0.88905,0.16000,1.62950
0.17002,0.17000,-0.88682,0.17000,1.60811
0.18003,0.18000,-0.88228,0.18000,1.59440
0.19003,0.19000,-0.87548,0.19000,1.58971
0.20003,0.20000,-0.86663,0.20000,1.59385
0.21003,0.21000,-0.85610,0.21000,1.60502
0.22003,0.22000,-0.84437,0.22000,1.61999
0.23003,0.23000,-0.83199,0.23000,1.63456
0.24003,0.24000,-0.81950,0.24000,1.64424
0.25004,0.25000,-0.80739,0.25000,1.64510
0.26004,0.26000,-0.79607,0.26000,1.63450
0.27004,0.27000,-0.78582,0.27000,1.61158
0.28004,0.28000,-0.77678,0.28000,1.57746
0.29004,0.29000,-0.76899,0.29000,1.53501
0.30004,0.30000,-0.76243,0.30000,1.48825
0.31004,0.31000,-0.75698,0.31000,1.44160
0.32005,0.32000,-0.75250,0.32000,1.39908
0.33005,0.33000,-0.74885,0.33000,1.36372
0.34005,0.34000,-0.74587,0.34000,1.33715
0.35005,0.35000,-0.74342,0.35000,1.31960
0.36005,0.36000,-0.74139,0.36000,1.31005
0.37005,0.37000,-0.73964,0.37000,1.30665
0.38005,0.38000,-0.73805,0.38000,1.30712
0.39006,0.39000,-0.73649,0.39000,1.30915
0.40006,0.40000,-0.73479,0.40000,1.31072
0.41006,0.41000,-0.73274,0.41000,1.31025
0.42006,0.42000,-0.73012,0.42000,1.30673
0.43006,0.43000,-0.72673,0.43000,1.29970
0.44006,0.44000,-0.72239,0.44000,1.28919
0.45006,0.45000,-0.71700,0.45000,1.27565
0.46007,0.46000,-0.71055,0.46000,1.25985
0.47007,0.47000,-0.70314,0.47000,1.24275
0.48007,0.48000,-0.69499,0.48000,1.22542
0.49007,0.49000,-0.68640,0.49000,1.20892
0.50007,0.50000,-0.67769,0.50000,1.19418
0.51007,0.51000,-0.66921,0.51000,1.18195
0.52007,0.52000,-0.66124,0.52000,1.17274
0.53008,0.53000,-0.65397,0.53000,1.16676
0.54008,0.54000,-0.64746,0.54000,1.16397
0.55008,0.55000,-0.64165,0.55000,1.16404
0.56008,0.56000,-0.63636,0.56000,1.16640
0.57008,0.57000,-0.63136,0.57000,1.17028
0.58008,0.58000,-0.62637,0.58000,1.17473
0.59008,0.59000,-0.62113,0.59000,1.17875
0.60009,0.60000,-0.61541,0.60000,1.18130
0.61009,0.61000,-0.60906,0.61000,1.18147
0.62009,0.62000,-0.60201,0.62000,1.17855
0.63009,0.63000,-0.59423,0.63000,1.17213
0.64009,0.64000,-0.58578,0.64000,1.16220
0.65009,0.65000,-0.57675,0.65000,1.14919
0.66009,0.66000,-0.56727,0.66000,1.13397
0.67010,0.67000,-0.55751,0.67000,1.11785
0.68010,0.68000,-0.54763,0.68000,1.10235
0.69010,0.69000,-0.53783,0.69000,1.08905
0.70010,0.70000,-0.52834,0.70000,1.07935
0.71010,0.71000,-0.51940,0.71000,1.07422
0.72010,0.72000,-0.51126,0.72000,1.07405
0.73010,0.73000,-0.50419,0.73000,1.07856
0.74011,0.74000,-0.49843,0.74000,1.08690
0.75011,0.75000,-0.49417,0.75000,1.09773
0.76011,0.76000,-0.49154,0.76000,1.10951
0.77011,0.77000,-0.49056,0.77000,1.12075
0.78011,0.78000,-0.49111,0.78000,1.13026
0.79011,0.79000,-0.49298,0.79000,1.13731
0.80011,0.80000,-0.49583,0.80000,1.14162
0.81012,0.81000,-0.49927,0.81000,1.14336
0.82012,0.82000,-0.50292,0.82000,1.14292
0.83012,0.83000,-0.50642,0.83000,1.14080
0.84012,0.84000,-0.50951,0.84000,1.13740
0.85012,0.85000,-0.51204,0.85000,1.13301
0.86012,0.86000,-0.51399,0.86000,1.12774
0.87012,0.87000,-0.51542,0.87000,1.12159
0.88013,0.88000,-0.51644,0.88000,1.11454
0.89013,0.89000,-0.51716,0.89000,1.10664
0.90013,0.90000,-0.51764,0.90000,1.09803
0.91013,0.91000,-0.51789,0.91000,1.08899
0.92013,0.92000,-0.51778,0.92000,1.07994
0.93013,0.93000,-0.51713,0.93000,1.07133
0.94013,0.94000,-0.51569,0.94000,1.06364
0.95014,0.95000,-0.51318,0.95000,1.05728
0.96014,0.96000,-0.50933,0.96000,1.05257
0.97014,0.97000,-0.50394,0.97000,1.04972
0.98014,0.98000,-0.49688,0.98000,1.04877
0.99014,0.99000,-0.48817,0.99000,1.04968
1.00014,1.00000,-0.47790,1.00000,1.05221
1.01014,1.01000,-0.46630,1.01000,1.05602
1.02015,1.02000,-0.45366,1.02000,1.06057
1.03015,1.03000,-0.44035,1.03000,1.06516
1.04015,1.04000,-0.42670,1.04000,1.06897
1.05015,1.05000,-0.41304,1.05000,1.07104
1.06015,1.06000,-0.39968,1.06000,1.07042
1.07015,1.07000,-0.38681,1.07000,1.06624
1.08016,1.08000,-0.37461,1.08000,1.05780
1.09016,1.09000,-0.36319,1.09000,1.04471
1.10016,1.10000,-0.35259,1.10000,1.02696
1.11016,1.11000,-0.34283,1.11000,1.00497
1.12016,1.12000,-0.33388,1.12000,0.97963
1.13016,1.13000,-0.32568,1.13000,0.95221
1.14016,1.14000,-0.31814,1.14000,0.92428
1.15017,1.15000,-0.31116,1.15000,0.89757
1.16017,1.16000,-0.30460,1.16000,0.87373
1.17017,1.17000,-0.29835,1.17000,0.85420
1.18017,1.18000,-0.29228,1.18000,0.84001
1.19017,1.19000,-0.28630,1.19000,0.83166
1.20017,1.20000,-0.28033,1.20000,0.82909
1.21017,1.21000,-0.27432,1.21000,0.83166
1.22018,1.22000,-0.26823,1.22000,0.83826
1.23018,1.23000,-0.26204,1.23000,0.84745
1.24018,1.24000,-0.25572,1.24000,0.85761
1.25018,1.25000,-0.24924,1.25000,0.86712
1.26018,1.26000,-0.24257,1.26000,0.87456
1.27018,1.27000,-0.23563,1.27000,0.87884
1.28018,1.28000,-0.22838,1.28000,0.87927
1.29019,1.29000,-0.22075,1.29000,0.87562
1.30019,1.30000,-0.21269,1.30000,0.86805
1.31019,1.31000,-0.20418,1.31000,0.85708
1.32019,1.32000,-0.19519,1.32000,0.84342
1.33019,1.33000,-0.18577,1.33000,0.82793
1.34019,1.34000,-0.17595,1.34000,0.81146
1.35019,1.35000,-0.16582,1.35000,0.79481
1.36020,1.36000,-0.15547,1.36000,0.77860
1.37020,1.37000,-0.14504,1.37000,0.76331
1.38020,1.38000,-0.13465,1.38000,0.74923
1.39020,1.39000,-0.12441,1.39000,0.73653
1.40020,1.40000,-0.11445,1.40000,0.72522
1.41020,1.41000,-0.10484,1.41000,0.71529
1.42020,1.42000,-0.09569,1.42000,0.70665
1.43021,1.43000,-0.08706,1.43000,0.69922
1.44021,1.44000,-0.07903,1.44000,0.69293
1.45021,1.45000,-0.07168,1.45000,0.68773
1.46021,1.46000,-0.06508,1.46000,0.68359
1.47021,1.47000,-0.05930,1.47000,0.68048
1.48021,1.48000,-0.05439,1.48000,0.67838
1.49021,1.49000,-0.05038,1.49000,0.67726
1.50022,1.50000,-0.04724,1.50000,0.67704
1.51022,1.51000,-0.04492,1.51000,0.67757
1.52022,1.52000,-0.04329,1.52000,0.67864
1.53022,1.53000,-0.04218,1.53000,0.67996
1.54022,1.54000,-0.04138,1.54000,0.68112
1.55022,1.55000,-0.04063,1.55000,0.68161
1.56022,1.56000,-0.03972,1.56000,0.68084
1.57023,1.57000,-0.03843,1.57000,0.67813
1.58023,1.58000,-0.03663,1.58000,0.67278
1.59023,1.59000,-0.03422,1.59000,0.66410
1.60023,1.60000,-0.03120,1.60000,0.65149
1.61023,1.61000,-0.02761,1.61000,0.63449
1.62023,1.62000,-0.02353,1.62000,0.61287
1.63023,1.63000,-0.01905,1.63000,0.58668
1.64024,1.64000,-0.01426,1.64000,0.55634
1.65024,1.65000,-0.00923,1.65000,0.52260
1.66024,1.66000,-0.00397,1.66000,0.48655
1.67024,1.67000,0.00150,1.67000,0.44955
1.68024,1.68000,0.00718,1.68000,0.41309
1.69024,1.69000,0.01308,1.69000,0.37871
1.70024,1.70000,0.01916,1.70000,0.34779
1.71025,1.71000,0.02533,1.71000,0.32144
1.72025,1.72000,0.03145,1.72000,0.30036
1.73025,1.73000,0.03733,1.73000,0.28483
1.74025,1.74000,0.04271,1.74000,0.27467
1.75025,1.75000,0.04731,1.75000,0.26928
1.76025,1.76000,0.05084,1.76000,0.26778
1.77025,1.77000,0.05303,1.77000,0.26911
1.78026,1.78000,0.05370,1.78000,0.27215
1.79026,1.79000,0.05276,1.79000,0.27584
1.80026,1.80000,0.05022,1.80000,0.27929
1.81026,1.81000,0.04621,1.81000,0.28181
1.82026,1.82000,0.04097,1.82000,0.28293
1.83026,1.83000,0.03480,1.83000,0.28240
1.84026,1.84000,0.02803,1.84000,0.28020
1.85027,1.85000,0.02098,1.85000,0.27643
1.86027,1.86000,0.01398,1.86000,0.27135
1.87027,1.87000,0.00728,1.87000,0.26523
1.88027,1.88000,0.00108,1.88000,0.25834
1.89027,1.89000,-0.00452,1.89000,0.25093
1.90027,1.90000,-0.00947,1.90000,0.24312
1.91027,1.91000,-0.01380,1.91000,0.23494
1.92028,1.92000,-0.01756,1.92000,0.22630
1.93028,1.93000,-0.02085,1.93000,0.21703
1.94028,1.94000,-0.02373,1.94000,0.20690
1.95028,1.95000,-0.02627,1.95000,0.19567
1.96028,1.96000,-0.02850,1.96000,0.18315
1.97028,1.97000,-0.03045,1.97000,0.16921
1.98028,1.98000,-0.03210,1.98000,0.15388
1.99029,1.99000,-0.03344,1.99000,0.13732
2.00029,2.00000,-0.03449,2.00000,0.11983
2.01029,2.01000,-0.03524,2.01000,0.10184
2.02029,2.02000,-0.03572,2.02000,0.08384
2.03029,2.03000,-0.03596,2.03000,0.06638
2.04029,2.04000,-0.03597,2.04000,0.04997
2.05029,2.05000,-0.03580,2.05000,0.03506
2.06030,2.06000,-0.03545,2.06000,0.02198
2.07030,2.07000,-0.03494,2.07000,0.01095
2.08030,2.08000,-0.03430,2.08000,0.00204
2.09030,2.09000,-0.03353,2.09000,-0.00480
2.10030,2.10000,-0.03265,2.10000,-0.00972
2.11030,2.11000,-0.03169,2.11000,-0.01292
2.12030,2.12000,-0.03066,2.12000,-0.01461
2.13031,2.13000,-0.02958,2.13000,-0.01501
2.14031,2.14000,-0.02845,2.14000,-0.01432
2.15031,2.15000,-0.02726,2.15000,-0.01273
2.16031,2.16000,-0.02599,2.16000,-0.01045
2.17031,2.17000,-0.02464,2.17000,-0.00770
2.18031,2.18000,-0.02318,2.18000,-0.00474
2.19031,2.19000,-0.02161,2.19000,-0.00186
2.20032,2.20000,-0.01991,2.20000,0.00063
2.21032,2.21000,-0.01806,2.21000,0.00246
2.22032,2.22000,-0.01603,2.22000,0.00338
2.23032,2.23000,-0.01373,2.23000,0.00327
2.24032,2.24000,-0.01110,2.24000,0.00209
2.25032,2.25000,-0.00802,2.25000,-0.00010
2.26032,2.26000,-0.00437,2.26000,-0.00318
2.27033,2.27000,-0.00002,2.27000,-0.00702
2.28033,2.28000,0.00512,2.28000,-0.01148
2.29033,2.29000,0.01111,2.29000,-0.01647
2.30033,2.30000,0.01794,2.30000,-0.02195
2.31033,2.31000,0.02555,2.31000,-0.02786
2.32033,2.32000,0.03378,2.32000,-0.03418
2.33033,2.33000,0.04240,2.33000,-0.04085
2.34034,2.34000,0.05113,2.34000,-0.04781
2.35034,2.35000,0.05966,2.35000,-0.05493
2.36034,2.36000,0.06766,2.36000,-0.06204
2.37034,2.37000,0.07484,2.37000,-0.06891
2.38034,2.38000,0.08098,2.38000,-0.07524
2.39034,2.39000,0.08596,2.39000,-0.08068
2.40034,2.40000,0.08980,2.40000,-0.08482
2.41035,2.41000,0.09262,2.41000,-0.08719
2.42035,2.42000,0.09465,2.42000,-0.08734
2.43035,2.43000,0.09619,2.43000,-0.08485
2.44035,2.44000,0.09758,2.44000,-0.07941
2.45035,2.45000,0.09911,2.45000,-0.07085
2.46035,2.46000,0.10103,2.46000,-0.05923
2.47035,2.47000,0.10351,2.47000,-0.04481
2.48036,2.48000,0.10657,2.48000,-0.02812
2.49036,2.49000,0.11014,2.49000,-0.00995
2.50036,2.50000,0.11402,2.50000,0.00869
2.51036,2.51000,0.11791,2.51000,0.02660
2.52036,2.52000,0.12151,2.52000,0.04253
2.53036,2.53000,0.12449,2.53000,0.05521
2.54036,2.54000,0.12660,2.54000,0.06355
2.55037,2.55000,0.12767,2.55000,0.06666
2.56037,2.56000,0.12767,2.56000,0.06406
2.57037,2.57000,0.12669,2.57000,0.05571
2.58037,2.58000,0.12497,2.58000,0.04211
2.59037,2.59000,0.12280,2.59000,0.02426
2.60037,2.60000,0.12056,2.60000,0.00361
2.61037,2.61000,0.11861,2.61000,-0.01810
2.62038,2.62000,0.11727,2.62000,-0.03906
2.63038,2.63000,0.11678,2.63000,-0.05756
2.64038,2.64000,0.11728,2.64000,-0.07225
2.65038,2.65000,0.11875,2.65000,-0.08222
2.66038,2.66000,0.12111,2.66000,-0.08708
2.67038,2.67000,0.12415,2.67000,-0.08698
2.68038,2.68000,0.12763,2.68000,-0.08247
2.69039,2.69000,0.13128,2.69000,-0.07447
2.70039,2.70000,0.13485,2.70000,-0.06409
2.71039,2.71000,0.13812,2.71000,-0.05252
2.72039,2.72000,0.14095,2.72000,-0.04091
2.73039,2.73000,0.14328,2.73000,-0.03027
2.74039,2.74000,0.14508,2.74000,-0.02136
2.75039,2.75000,0.14641,2.75000,-0.01471
2.76040,2.76000,0.14736,2.76000,-0.01056
2.77040,2.77000,0.14802,2.77000,-0.00893
2.78040,2.78000,0.14848,2.78000,-0.00967
2.79040,2.79000,0.14882,2.79000,-0.01252
2.80040,2.80000,0.14906,2.80000,-0.01719
2.81040,2.81000,0.14921,2.81000,-0.02337
2.82040,2.82000,0.14925,2.82000,-0.03082
2.83041,2.83000,0.14916,2.83000,-0.03932
2.84041,2.84000,0.14893,2.84000,-0.04865
2.85041,2.85000,0.14858,2.85000,-0.05862
2.86041,2.86000,0.14814,2.86000,-0.06898
2.87041,2.87000,0.14768,2.87000,-0.07945
2.88041,2.88000,0.14730,2.88000,-0.08964
2.89041,2.89000,0.14708,2.89000,-0.09913
2.90042,2.90000,0.14710,2.90000,-0.10745
2.91042,2.91000,0.14740,2.91000,-0.11413
2.92042,2.92000,0.14799,2.92000,-0.11875
2.93042,2.93000,0.14883,2.93000,-0.12099
2.94042,2.94000,0.14983,2.94000,-0.12069
2.95042,2.95000,0.15086,2.95000,-0.11785
2.96042,2.96000,0.15176,2.96000,-0.11265
2.97043,2.97000,0.15235,2.97000,-0.10547
2.98043,2.98000,0.15247,2.98000,-0.09682
2.99043,2.99000,0.15197,2.99000,-0.08732
3.00043,3.00000,0.15077,3.00000,-0.07766
3.01043,3.01000,0.14885,3.01000,-0.06858
3.02043,3.02000,0.14626,3.02000,-0.06078
3.03043,3.03000,0.14313,3.03000,-0.05490
3.04044,3.04000,0.13966,3.04000,-0.05148
3.05044,3.05000,0.13608,3.05000,-0.05087
3.06044,3.06000,0.13264,3.06000,-0.05321
3.07044,3.07000,0.12955,3.07000,-0.05833
3.08044,3.08000,0.12698,3.08000,-0.06581
3.09044,3.09000,0.12503,3.09000,-0.07492
3.10044,3.10000,0.12370,3.10000,-0.08476
3.11045,3.11000,0.12290,3.11000,-0.09428
3.12045,3.12000,0.12249,3.12000,-0.10247
3.13045,3.13000,0.12225,3.13000,-0.10843
3.14045,3.14000,0.12194,3.14000,-0.11149
3.15045,3.15000,0.12130,3.15000,-0.11125
3.16045,3.16000,0.12013,3.16000,-0.10759
3.17045,3.17000,0.11824,3.17000,-0.10064
3.18046,3.18000,0.11553,3.18000,-0.09075
3.19046,3.19000,0.11194,3.19000,-0.07844
3.20046,3.20000,0.10748,3.20000,-0.06440
3.21046,3.21000,0.10221,3.21000,-0.04944
3.22046,3.22000,0.09626,3.22000,-0.03449
3.23046,3.23000,0.08979,3.23000,-0.02051
3.24046,3.24000,0.08298,3.24000,-0.00852
3.25047,3.25000,0.07605,3.25000,0.00060
3.26047,3.26000,0.06918,3.26000,0.00608
3.27047,3.27000,0.06253,3.27000,0.00742
3.28047,3.28000,0.05625,3.28000,0.00444
3.29047,3.29000,0.05043,3.29000,-0.00273
3.30047,3.30000,0.04510,3.30000,-0.01360
3.31047,3.31000,0.04030,3.31000,-0.02742
3.32048,3.32000,0.03602,3.32000,-0.04316
3.33048,3.33000,0.03224,3.33000,-0.05969
3.34048,3.34000,0.02895,3.34000,-0.07580
3.35048,3.35000,0.02616,3.35000,-0.09036
3.36048,3.36000,0.02385,3.36000,-0.10239
3.37048,3.37000,0.02203,3.37000,-0.11116
3.38048,3.38000,0.02067,3.38000,-0.11626
3.39049,3.39000,0.01973,3.39000,-0.11761
3.40049,3.40000,0.01914,3.40000,-0.11547
3.41049,3.41000,0.01879,3.41000,-0.11040
3.42049,3.42000,0.01855,3.42000,-0.10316
3.43049,3.43000,0.01827,3.43000,-0.09464
3.44049,3.44000,0.01781,3.44000,-0.08574
3.45049,3.45000,0.01707,3.45000,-0.07728
3.46050,3.46000,0.01598,3.46000,-0.06988
3.47050,3.47000,0.01449,3.47000,-0.06393
3.48050,3.48000,0.01265,3.48000,-0.05954
