Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.04973,0.00000,0.22640,0.00000,-0.03156,0.00000,1.07378
0.01001,0.01000,-1.04575,0.01000,0.23137,0.01000,-0.02845,0.01000,1.07111
0.02001,0.02000,-1.04037,0.02000,0.23728,0.02000,-0.02477,0.02000,1.06733
0.03002,0.03000,-1.03358,0.03000,0.24396,0.03000,-0.02064,0.03000,1.06239
0.04003,0.04000,-1.02549,0.04000,0.25113,0.04000,-0.01624,0.04000,1.05631
0.05003,0.05000,-1.01630,0.05000,0.25844,0.05000,-0.01182,0.05000,1.04923
0.06004,0.06000,-1.00636,0.06000,0.26550,0.06000,-0.00765,0.06000,1.04136
0.07005,0.07000,-0.99608,0.07000,0.27187,0.07000,-0.00403,0.07000,1.03301
0.08005,0.08000,-0.98596,0.08000,0.27711,0.08000,-0.00124,0.08000,1.02453
0.09006,0.09000,-0.97648,0.09000,0.28086,0.09000,0.00048,0.09000,1.01631
0.10007,0.10000,-0.96812,0.10000,0.28280,0.10000,0.00094,0.10000,1.00871
0.11007,0.11000,-0.96126,0.11000,0.28276,0.11000,0.00006,0.11000,1.00207
0.12008,0.12000,-0.95616,0.12000,0.28067,0.12000,-0.00220,0.12000,0.99660
0.13008,0.13000,-0.95291,0.13000,0.27662,0.13000,-0.00578,0.13000,0.99242
0.14009,0.14000,-0.95142,0.14000,0.27085,0.14000,-0.01059,0.14000,0.98951
0.15010,0.15000,-0.95145,0.15000,0.26372,0.15000,-0.01648,0.15000,0.98771
0.16010,0.16000,-0.95255,0.16000,0.25570,0.16000,-0.02331,0.16000,0.98672
0.17011,0.17000,-0.95419,0.17000,0.24730,0.17000,-0.03095,0.17000,0.98616
0.18012,0.18000,-0.95575,0.18000,0.23910,0.18000,-0.03925,0.18000,0.98558
0.19012,0.19000,-0.95659,0.19000,0.23162,0.19000,-0.04810,0.19000,0.98448
0.20013,0.20000,-0.95610,0.20000,0.22533,0.20000,-0.05738,0.20000,0.98240
0.21014,0.21000,-0.95374,0.21000,0.22060,0.21000,-0.06699,0.21000,0.97890
0.22014,0.22000,-0.94909,0.22000,0.21765,0.22000,-0.07679,0.22000,0.97364
0.23015,0.23000,-0.94187,0.23000,0.21653,0.23000,-0.08667,0.23000,0.96635
0.24016,0.24000,-0.93195,0.24000,0.21715,0.24000,-0.09654,0.24000,0.95688
0.25016,0.25000,-0.91936,0.25000,0.21922,0.25000,-0.10630,0.25000,0.94520
0.26017,0.26000,-0.90428,0.26000,0.22235,0.26000,-0.11591,0.26000,0.93137
0.27018,0.27000,-0.88704,0.27000,0.22604,0.27000,-0.12532,0.27000,0.91560
0.28018,0.28000,-0.86808,0.28000,0.22974,0.28000,-0.13452,0.28000,0.89817
0.29019,0.29000,-0.84795,0.29000,0.23290,0.29000,-0.14350,0.29000,0.87947
0.30020,0.30000,-0.82725,0.30000,0.23503,0.30000,-0.15224,0.30000,0.85995
0.31020,0.31000,-0.80658,0.31000,0.23576,0.31000,-0.16067,0.31000,0.84010
0.32021,0.32000,-0.78650,0.32000,0.23481,0.32000,-0.16872,0.32000,0.82039
0.33021,0.33000,-0.76751,0.33000,0.23208,0.33000,-0.17629,0.33000,0.80126
0.34022,0.34000,-0.74999,0.34000,0.22758,0.34000,-0.18328,0.34000,0.78308
0.35023,0.35000,-0.73417,0.35000,0.22148,0.35000,-0.18957,0.35000,0.76613
0.36023,0.36000,-0.72016,0.36000,0.21407,0.36000,-0.19509,0.36000,0.75059
0.37024,0.37000,-0.70793,0.37000,0.20575,0.37000,-0.19980,0.37000,0.73652
0.38025,0.38000,-0.69729,0.38000,0.19700,0.38000,-0.20367,0.38000,0.72389
0.39025,0.39000,-0.68794,0.39000,0.18831,0.39000,-0.20674,0.39000,0.71254
0.40026,0.40000,-0.67946,0.40000,0.18023,0.40000,-0.20909,0.40000,0.70221
0.41027,0.41000,-0.67134,0.41000,0.17322,0.41000,-0.21080,0.41000,0.69255
0.42027,0.42000,-0.66306,0.42000,0.16769,0.42000,-0.21197,0.42000,0.68317
0.43028,0.43000,-0.65410,0.43000,0.16397,0.43000,-0.21264,0.43000,0.67366
0.44029,0.44000,-0.64400,0.44000,0.16222,0.44000,-0.21286,0.44000,0.66365
0.45029,0.45000,-0.63244,0.45000,0.16249,0.45000,-0.21259,0.45000,0.65282
0.46030,0.46000,-0.61924,0.46000,0.16465,0.46000,-0.21177,0.46000,0.64098
0.47031,0.47000,-0.60440,0.47000,0.16843,0.47000,-0.21028,0.47000,0.62807
0.48031,0.48000,-0.58810,0.48000,0.17341,0.48000,-0.20801,0.48000,0.61413
0.49032,0.49000,-0.57071,0.49000,0.17909,0.49000,-0.20487,0.49000,0.59937
0.50033,0.50000,-0.55273,0.50000,0.18486,0.50000,-0.20081,0.50000,0.58409
0.51033,0.51000,-0.53474,0.51000,0.19013,0.51000,-0.19582,0.51000,0.56866
0.52034,0.52000,-0.51738,0.52000,0.19430,0.52000,-0.19000,0.52000,0.55350
0.53034,0.53000,-0.50127,0.53000,0.19689,0.53000,-0.18350,0.53000,0.53903
0.54035,0.54000,-0.48696,0.54000,0.19751,0.54000,-0.17656,0.54000,0.52564
0.55036,0.55000,-0.47484,0.55000,0.19596,0.55000,-0.16946,0.55000,0.51365
0.56036,0.56000,-0.46515,0.56000,0.19220,0.56000,-0.16252,0.56000,0.50326
0.57037,0.57000,-0.45797,0.57000,0.18640,0.57000,-0.15605,0.57000,0.49458
0.58038,0.58000,-0.45315,0.58000,0.17888,0.58000,-0.15032,0.58000,0.48759
0.59038,0.59000,-0.45041,0.59000,0.17011,0.59000,-0.14553,0.59000,0.48216
0.60039,0.60000,-0.44931,0.60000,0.16070,0.60000,-0.14181,0.60000,0.47808
0.61040,0.61000,-0.44933,0.61000,0.15126,0.61000,-0.13917,0.61000,0.47505
0.62040,0.62000,-0.44990,0.62000,0.14245,0.62000,-0.13757,0.62000,0.47275
0.63041,0.63000,-0.45044,0.63000,0.13485,0.63000,-0.13689,0.63000,0.47080
0.64042,0.64000,-0.45042,0.64000,0.12892,0.64000,-0.13702,0.64000,0.46885
0.65042,0.65000,-0.44936,0.65000,0.12499,0.65000,-0.13780,0.65000,0.46655
0.66043,0.66000,-0.44690,0.66000,0.12322,0.66000,-0.13911,0.66000,0.46360
0.67044,0.67000,-0.44283,0.67000,0.12356,0.67000,-0.14081,0.67000,0.45978
0.68044,0.68000,-0.43706,0.68000,0.12581,0.68000,-0.14283,0.68000,0.45496
0.69045,0.69000,-0.42967,0.69000,0.12959,0.69000,-0.14509,0.69000,0.44910
0.70046,0.70000,-0.42092,0.70000,0.13438,0.70000,-0.14758,0.70000,0.44226
0.71046,0.71000,-0.41117,0.71000,0.13957,0.71000,-0.15031,0.71000,0.43464
0.72047,0.72000,-0.40093,0.72000,0.14451,0.72000,-0.15337,0.72000,0.42650
0.73047,0.73000,-0.39077,0.73000,0.14854,0.73000,-0.15690,0.73000,0.41820
0.74048,0.74000,-0.38129,0.74000,0.15108,0.74000,-0.16108,0.74000,0.41010
0.75049,0.75000,-0.37306,0.75000,0.15164,0.75000,-0.16610,0.75000,0.40262
0.76049,0.76000,-0.36655,0.76000,0.14990,0.76000,-0.17218,0.76000,0.39612
0.77050,0.77000,-0.36213,0.77000,0.14574,0.77000,-0.17946,0.77000,0.39089
0.78051,0.78000,-0.35997,0.78000,0.13922,0.78000,-0.18804,0.78000,0.38714
0.79051,0.79000,-0.36007,0.79000,0.13063,0.79000,-0.19793,0.79000,0.38497
0.80052,0.80000,-0.36225,0.80000,0.12043,0.80000,-0.20903,0.80000,0.38433
0.81053,0.81000,-0.36614,0.81000,0.10922,0.81000,-0.22116,0.81000,0.38506
0.82053,0.82000,-0.37123,0.82000,0.09772,0.82000,-0.23407,0.82000,0.38687
0.83054,0.83000,-0.37692,0.83000,0.08666,0.83000,-0.24748,0.83000,0.38939
0.84055,0.84000,-0.38254,0.84000,0.07677,0.84000,-0.26112,0.84000,0.39215
0.85055,0.85000,-0.38741,0.85000,0.06868,0.85000,-0.27474,0.85000,0.39468
0.86056,0.86000,-0.39091,0.86000,0.06288,0.86000,-0.28814,0.86000,0.39647
0.87057,0.87000,-0.39252,0.87000,0.05967,0.87000,-0.30120,0.87000,0.39710
0.88057,0.88000,-0.39185,0.88000,0.05916,0.88000,-0.31381,0.88000,0.39621
0.89058,0.89000,-0.38870,0.89000,0.06124,0.89000,-0.32591,0.89000,0.39357
0.90058,0.90000,-0.38303,0.90000,0.06559,0.90000,-0.33746,0.90000,0.38909
0.91059,0.91000,-0.37504,0.91000,0.07174,0.91000,-0.34838,0.91000,0.38282
0.92060,0.92000,-0.36508,0.92000,0.07908,0.92000,-0.35861,0.92000,0.37498
0.93060,0.93000,-0.35366,0.93000,0.08690,0.93000,-0.36807,0.93000,0.36587
0.94061,0.94000,-0.34140,0.94000,0.09449,0.94000,-0.37669,0.94000,0.35592
0.95062,0.95000,-0.32895,0.95000,0.10116,0.95000,-0.38441,0.95000,0.34558
0.96062,0.96000,-0.31699,0.96000,0.10629,0.96000,-0.39119,0.96000,0.33533
0.97063,0.97000,-0.30610,0.97000,0.10941,0.97000,-0.39702,0.97000,0.32559
0.98064,0.98000,-0.29673,0.98000,0.11019,0.98000,-0.40194,0.98000,0.31672
0.99064,0.99000,-0.28923,0.99000,0.10853,0.99000,-0.40601,0.99000,0.30900
1.00065,1.00000,-0.28373,1.00000,0.10450,1.00000,-0.40936,1.00000,0.30258
1.01066,1.01000,-0.28020,1.01000,0.09841,1.01000,-0.41211,1.01000,0.29751
1.02066,1.02000,-0.27847,1.02000,0.09070,1.02000,-0.41444,1.02000,0.29374
1.03067,1.03000,-0.27819,1.03000,0.08199,1.03000,-0.41651,1.03000,0.29112
1.04068,1.04000,-0.27891,1.04000,0.07294,1.04000,-0.41851,1.04000,0.28938
1.05068,1.05000,-0.28010,1.05000,0.06425,1.05000,-0.42062,1.05000,0.28822
1.06069,1.06000,-0.28121,1.06000,0.05657,1.06000,-0.42304,1.06000,0.28726
1.07070,1.07000,-0.28168,1.07000,0.05047,1.07000,-0.42593,1.07000,0.28614
1.08070,1.08000,-0.28100,1.08000,0.04639,1.08000,-0.42942,1.08000,0.28450
1.09071,1.09000,-0.27876,1.09000,0.04461,1.09000,-0.43364,1.09000,0.28201
1.10071,1.10000,-0.27465,1.10000,0.04523,1.10000,-0.43864,1.10000,0.27842
1.11072,1.11000,-0.26851,1.11000,0.04814,1.11000,-0.44443,1.11000,0.27355
1.12073,1.12000,-0.26027,1.12000,0.05307,1.12000,-0.45095,1.12000,0.26729
1.13073,1.13000,-0.25005,1.13000,0.05956,1.13000,-0.45807,1.13000,0.25965
1.14074,1.14000,-0.23810,1.14000,0.06703,1.14000,-0.46562,1.14000,0.25069
1.15075,1.15000,-0.22483,1.15000,0.07479,1.15000,-0.47335,1.15000,0.24062
1.16075,1.16000,-0.21075,1.16000,0.08215,1.16000,-0.48101,1.16000,0.22972
1.17076,1.17000,-0.19651,1.17000,0.08840,1.17000,-0.48833,1.17000,0.21839
1.18077,1.18000,-0.18282,1.18000,0.09296,1.18000,-0.49507,1.18000,0.20707
1.19077,1.19000,-0.17040,1.19000,0.09532,1.19000,-0.50101,1.19000,0.19628
1.20078,1.20000,-0.15991,1.20000,0.09520,1.20000,-0.50602,1.20000,0.18654
1.21079,1.21000,-0.15193,1.21000,0.09246,1.21000,-0.51000,1.21000,0.17832
1.22079,1.22000,-0.14686,1.22000,0.08722,1.22000,-0.51295,1.22000,0.17205
1.23080,1.23000,-0.14489,1.23000,0.07975,1.23000,-0.51489,1.23000,0.16798
1.24081,1.24000,-0.14597,1.24000,0.07052,1.24000,-0.51588,1.24000,0.16626
1.25081,1.25000,-0.14984,1.25000,0.06013,1.25000,-0.51604,1.25000,0.16683
1.26082,1.26000,-0.15601,1.26000,0.04930,1.26000,-0.51549,1.26000,0.16946
1.27083,1.27000,-0.16382,1.27000,0.03875,1.27000,-0.51438,1.27000,0.17377
1.28083,1.28000,-0.17252,1.28000,0.02922,1.28000,-0.51284,1.28000,0.17925
1.29084,1.29000,-0.18127,1.29000,0.02136,1.29000,-0.51104,1.29000,0.18530
1.30084,1.30000,-0.18928,1.30000,0.01572,1.30000,-0.50911,1.30000,0.19129
1.31085,1.31000,-0.19585,1.31000,0.01267,1.31000,-0.50721,1.31000,0.19665
1.32086,1.32000,-0.20039,1.32000,0.01243,1.32000,-0.50544,1.32000,0.20086
1.33086,1.33000,-0.20252,1.33000,0.01498,1.33000,-0.50393,1.33000,0.20357
1.34087,1.34000,-0.20210,1.34000,0.02012,1.34000,-0.50277,1.34000,0.20457
1.35088,1.35000,-0.19918,1.35000,0.02746,1.35000,-0.50201,1.35000,0.20383
1.36088,1.36000,-0.19408,1.36000,0.03647,1.36000,-0.50166,1.36000,0.20151
1.37089,1.37000,-0.18727,1.37000,0.04647,1.37000,-0.50166,1.37000,0.19791
1.38090,1.38000,-0.17942,1.38000,0.05674,1.38000,-0.50190,1.38000,0.19343
1.39090,1.39000,-0.17124,1.39000,0.06655,1.39000,-0.50219,1.39000,0.18855
1.40091,1.40000,-0.16350,1.40000,0.07520,1.40000,-0.50229,1.40000,0.18378
1.41092,1.41000,-0.15692,1.41000,0.08209,1.41000,-0.50192,1.41000,0.17958
1.42092,1.42000,-0.15209,1.42000,0.08678,1.42000,-0.50081,1.42000,0.17636
1.43093,1.43000,-0.14949,1.43000,0.08896,1.43000,-0.49871,1.43000,0.17445
1.44094,1.44000,-0.14937,1.44000,0.08857,1.44000,-0.49545,1.44000,0.17407
1.45094,1.45000,-0.15183,1.45000,0.08572,1.45000,-0.49093,1.45000,0.17532
1.46095,1.46000,-0.15675,1.46000,0.08072,1.46000,-0.48515,1.46000,0.17820
1.47096,1.47000,-0.16384,1.47000,0.07407,1.47000,-0.47821,1.47000,0.18261
1.48096,1.48000,-0.17267,1.48000,0.06640,1.48000,-0.47028,1.48000,0.18838
1.49097,1.49000,-0.18274,1.49000,0.05843,1.49000,-0.46157,1.49000,0.19525
1.50097,1.50000,-0.19346,1.50000,0.05093,1.50000,-0.45235,1.50000,0.20292
1.51098,1.51000,-0.20426,1.51000,0.04464,1.51000,-0.44286,1.51000,0.21109
1.52099,1.52000,-0.21460,1.52000,0.04024,1.52000,-0.43332,1.52000,0.21946
1.53099,1.53000,-0.22404,1.53000,0.03826,1.53000,-0.42389,1.53000,0.22777
1.54100,1.54000,-0.23226,1.54000,0.03909,1.54000,-0.41470,1.54000,0.23582
1.55101,1.55000,-0.23909,1.55000,0.04290,1.55000,-0.40584,1.55000,0.24351
1.56101,1.56000,-0.24453,1.56000,0.04963,1.56000,-0.39735,1.56000,0.25083
1.57102,1.57000,-0.24875,1.57000,0.05905,1.57000,-0.38928,1.57000,0.25786
1.58103,1.58000,-0.25207,1.58000,0.07068,1.58000,-0.38166,1.58000,0.26477
1.59103,1.59000,-0.25495,1.59000,0.08392,1.59000,-0.37454,1.59000,0.27180
1.60104,1.60000,-0.25791,1.60000,0.09803,1.60000,-0.36795,1.60000,0.27923
1.61105,1.61000,-0.26154,1.61000,0.11223,1.61000,-0.36196,1.61000,0.28735
1.62105,1.62000,-0.26642,1.62000,0.12571,1.62000,-0.35660,1.62000,0.29642
1.63106,1.63000,-0.27307,1.63000,0.13775,1.63000,-0.35190,1.63000,0.30668
1.64107,1.64000,-0.28191,1.64000,0.14773,1.64000,-0.34787,1.64000,0.31830
1.65107,1.65000,-0.29321,1.65000,0.15522,1.65000,-0.34448,1.65000,0.33138
1.66108,1.66000,-0.30708,1.66000,0.15995,1.66000,-0.34169,1.66000,0.34593
1.67108,1.67000,-0.32346,1.67000,0.16190,1.67000,-0.33942,1.67000,0.36188
1.68109,1.68000,-0.34209,1.68000,0.16124,1.68000,-0.33757,1.68000,0.37906
1.69110,1.69000,-0.36258,1.69000,0.15837,1.69000,-0.33604,1.69000,0.39726
1.70110,1.70000,-0.38441,1.70000,0.15383,1.70000,-0.33470,1.70000,0.41616
1.71111,1.71000,-0.40695,1.71000,0.14829,1.71000,-0.33342,1.71000,0.43543
1.72112,1.72000,-0.42951,1.72000,0.14248,1.72000,-0.33209,1.72000,0.45467
1.73112,1.73000,-0.45138,1.73000,0.13714,1.73000,-0.33060,1.73000,0.47343
1.74113,1.74000,-0.47187,1.74000,0.13293,1.74000,-0.32885,1.74000,0.49127
1.75114,1.75000,-0.49030,1.75000,0.13039,1.75000,-0.32676,1.75000,0.50773
1.76114,1.76000,-0.50611,1.76000,0.12989,1.76000,-0.32429,1.76000,0.52236
1.77115,1.77000,-0.51886,1.77000,0.13158,1.77000,-0.32146,1.77000,0.53480
1.78116,1.78000,-0.52831,1.78000,0.13543,1.78000,-0.31831,1.78000,0.54478
1.79116,1.79000,-0.53439,1.79000,0.14120,1.79000,-0.31490,1.79000,0.55216
1.80117,1.80000,-0.53726,1.80000,0.14847,1.80000,-0.31132,1.80000,0.55698
1.81118,1.81000,-0.53728,1.81000,0.15671,1.81000,-0.30763,1.81000,0.55939
1.82118,1.82000,-0.53499,1.82000,0.16529,1.82000,-0.30392,1.82000,0.55974
1.83119,1.83000,-0.53107,1.83000,0.17354,1.83000,-0.30023,1.83000,0.55844
1.84120,1.84000,-0.52628,1.84000,0.18083,1.84000,-0.29660,1.84000,0.55606
1.85120,1.85000,-0.52145,1.85000,0.18658,1.85000,-0.29303,1.85000,0.55321
1.86121,1.86000,-0.51741,1.86000,0.19035,1.86000,-0.28953,1.86000,0.55053
1.87121,1.87000,-0.51492,1.87000,0.19185,1.87000,-0.28610,1.87000,0.54869
1.88122,1.88000,-0.51469,1.88000,0.19099,1.88000,-0.28273,1.88000,0.54831
1.89123,1.89000,-0.51724,1.89000,0.18786,1.89000,-0.27942,1.89000,0.54995
1.90123,1.90000,-0.52296,1.90000,0.18273,1.90000,-0.27621,1.90000,0.55405
1.91124,1.91000,-0.53201,1.91000,0.17604,1.91000,-0.27312,1.91000,0.56092
1.92125,1.92000,-0.54437,1.92000,0.16834,1.92000,-0.27018,1.92000,0.57069
1.93125,1.93000,-0.55979,1.93000,0.16030,1.93000,-0.26745,1.93000,0.58332
1.94126,1.94000,-0.57787,1.94000,0.15260,1.94000,-0.26493,1.94000,0.59861
1.95127,1.95000,-0.59803,1.95000,0.14590,1.95000,-0.26265,1.95000,0.61620
1.96127,1.96000,-0.61957,1.96000,0.14084,1.96000,-0.26059,1.96000,0.63558
1.97128,1.97000,-0.64176,1.97000,0.13794,1.97000,-0.25867,1.97000,0.65617
1.98129,1.98000,-0.66384,1.98000,0.13759,1.98000,-0.25683,1.98000,0.67734
1.99129,1.99000,-0.68509,1.99000,0.14002,1.99000,-0.25495,1.99000,0.69846
2.00130,2.00000,-0.70488,2.00000,0.14530,2.00000,-0.25290,2.00000,0.71893
2.01131,2.01000,-0.72275,2.01000,0.15332,2.01000,-0.25058,2.01000,0.73827
2.02131,2.02000,-0.73839,2.02000,0.16378,2.02000,-0.24792,2.02000,0.75610
2.03132,2.03000,-0.75168,2.03000,0.17622,2.03000,-0.24489,2.03000,0.77218
2.04133,2.04000,-0.76270,2.04000,0.19006,2.04000,-0.24157,2.04000,0.78645
2.05133,2.05000,-0.77171,2.05000,0.20459,2.05000,-0.23812,2.05000,0.79897
2.06134,2.06000,-0.77913,2.06000,0.21908,2.06000,-0.23477,2.06000,0.80995
2.07134,2.07000,-0.78550,2.07000,0.23280,2.07000,-0.23180,2.07000,0.81971
2.08135,2.08000,-0.79143,2.08000,0.24508,2.08000,-0.22947,2.08000,0.82866
2.09136,2.09000,-0.79754,2.09000,0.25535,2.09000,-0.22797,2.09000,0.83724
2.10136,2.10000,-0.80439,2.10000,0.26325,2.10000,-0.22740,2.10000,0.84588
2.11137,2.11000,-0.81247,2.11000,0.26859,2.11000,-0.22767,2.11000,0.85499
2.12138,2.12000,-0.82210,2.12000,0.27138,2.12000,-0.22853,2.12000,0.86489
2.13138,2.13000,-0.83345,2.13000,0.27186,2.13000,-0.22958,2.13000,0.87582
2.14139,2.14000,-0.84653,2.14000,0.27043,2.14000,-0.23032,2.14000,0.88788
2.15140,2.15000,-0.86116,2.15000,0.26763,2.15000,-0.23018,2.15000,0.90105
2.16140,2.16000,-0.87699,2.16000,0.26409,2.16000,-0.22861,2.16000,0.91519
2.17141,2.17000,-0.89355,2.17000,0.26046,2.17000,-0.22513,2.17000,0.93003
2.18142,2.18000,-0.91027,2.18000,0.25737,2.18000,-0.21939,2.18000,0.94521
2.19142,2.19000,-0.92653,2.19000,0.25538,2.19000,-0.21118,2.19000,0.96029
2.20143,2.20000,-0.94170,2.20000,0.25495,2.20000,-0.20049,2.20000,0.97478
2.21144,2.21000,-0.95518,2.21000,0.25637,2.21000,-0.18745,2.21000,0.98821
2.22144,2.22000,-0.96646,2.22000,0.25979,2.22000,-0.17237,2.22000,1.00013
2.23145,2.23000,-0.97517,2.23000,0.26517,2.23000,-0.15565,2.23000,1.01015
2.24146,2.24000,-0.98107,2.24000,0.27231,2.24000,-0.13778,2.24000,1.01801
2.25146,2.25000,-0.98411,2.25000,0.28082,2.25000,-0.11928,2.25000,1.02352
2.26147,2.26000,-0.98438,2.26000,0.29019,2.26000,-0.10065,2.26000,1.02665
2.27147,2.27000,-0.98217,2.27000,0.29982,2.27000,-0.08236,2.27000,1.02749
2.28148,2.28000,-0.97790,2.28000,0.30904,2.28000,-0.06484,2.28000,1.02623
2.29149,2.29000,-0.97209,2.29000,0.31719,2.29000,-0.04839,2.29000,1.02317
2.30149,2.30000,-0.96531,2.30000,0.32364,2.30000,-0.03326,2.30000,1.01868
2.31150,2.31000,-0.95814,2.31000,0.32789,2.31000,-0.01957,2.31000,1.01314
2.32151,2.32000,-0.95111,2.32000,0.32958,2.32000,-0.00732,2.32000,1.00695
2.33151,2.33000,-0.94462,2.33000,0.32855,2.33000,0.00359,2.33000,1.00043
2.34152,2.34000,-0.93892,2.34000,0.32481,2.34000,0.01333,2.34000,0.99385
2.35153,2.35000,-0.93410,2.35000,0.31863,2.35000,0.02211,2.35000,0.98733
2.36153,2.36000,-0.93002,2.36000,0.31042,2.36000,0.03017,2.36000,0.98091
2.37154,2.37000,-0.92639,2.37000,0.30077,2.37000,0.03771,2.37000,0.97447
2.38155,2.38000,-0.92272,2.38000,0.29034,2.38000,0.04490,2.38000,0.96777
2.39155,2.39000,-0.91845,2.39000,0.27988,2.39000,0.05184,2.39000,0.96050
2.40156,2.40000,-0.91294,2.40000,0.27008,2.40000,0.05855,2.40000,0.95228
2.41157,2.41000,-0.90558,2.41000,0.26160,2.41000,0.06503,2.41000,0.94273
2.42157,2.42000,-0.89581,2.42000,0.25495,2.42000,0.07119,2.42000,0.93150
2.43158,2.43000,-0.88322,2.43000,0.25050,2.43000,0.07694,2.43000,0.91833
2.44158,2.44000,-0.86757,2.44000,0.24846,2.44000,0.08216,2.44000,0.90304
2.45159,2.45000,-0.84881,2.45000,0.24880,2.45000,0.08676,2.45000,0.88561
2.46160,2.46000,-0.82712,2.46000,0.25131,2.46000,0.09062,2.46000,0.86614
2.47160,2.47000,-0.80285,2.47000,0.25560,2.47000,0.09366,2.47000,0.84484
2.48161,2.48000,-0.77657,2.48000,0.26108,2.48000,0.09581,2.48000,0.82206
2.49162,2.49000,-0.74895,2.49000,0.26707,2.49000,0.09701,2.49000,0.79821
2.50162,2.50000,-0.72078,2.50000,0.27280,2.50000,0.09725,2.50000,0.77376
2.51163,2.51000,-0.69287,2.51000,0.27751,2.51000,0.09655,2.51000,0.74921
2.52164,2.52000,-0.66598,2.52000,0.28048,2.52000,0.09500,2.52000,0.72501
2.53164,2.53000,-0.64079,2.53000,0.28113,2.53000,0.09271,2.53000,0.70156
2.54165,2.54000,-0.61780,2.54000,0.27903,2.54000,0.08990,2.54000,0.67919
2.55166,2.55000,-0.59734,2.55000,0.27399,2.55000,0.08684,2.55000,0.65810
2.56166,2.56000,-0.57951,2.56000,0.26605,2.56000,0.08388,2.56000,0.63840
2.57167,2.57000,-0.56423,2.57000,0.25548,2.57000,0.08141,2.57000,0.62011
2.58168,2.58000,-0.55124,2.58000,0.24279,2.58000,0.07983,2.58000,0.60316
2.59168,2.59000,-0.54012,2.59000,0.22864,2.59000,0.07953,2.59000,0.58742
2.60169,2.60000,-0.53037,2.60000,0.21382,2.60000,0.08077,2.60000,0.57271
2.61170,2.61000,-0.52142,2.61000,0.19916,2.61000,0.08371,2.61000,0.55885
2.62170,2.62000,-0.51272,2.62000,0.18550,2.62000,0.08832,2.62000,0.54561
