Tiempo;Evento
2.13;Posición inicial
4.29;< Contacto inicial izquierdo
4.33;> Despegue derecho
4.74;< Contacto inicial derecho
4.78;> Despegue izquierdo
5.18;< Contacto inicial izquierdo
5.24;> Despegue derecho
5.6;< Contacto inicial derecho
5.65;> Despegue izquierdo
6.03;< Contacto inicial izquierdo
6.08;> Despegue derecho
6.44;< Contacto inicial derecho
6.49;> Despegue izquierdo
6.85;< Contacto inicial izquierdo
6.91;> Despegue derecho
7.28;< Contacto inicial derecho
7.33;> Despegue izquierdo
7.7;< Contacto inicial izquierdo
7.76;> Despegue derecho
8.13;< Contacto inicial derecho
8.19;> Despegue izquierdo
8.58;< Contacto inicial izquierdo
8.64;> Despegue derecho
9.02;< Contacto inicial derecho
9.08;> Despegue izquierdo
9.47;< Contacto inicial izquierdo
9.53;> Despegue derecho
9.91;< Contacto inicial derecho
9.97;> Despegue izquierdo
10.36;< Contacto inicial izquierdo
10.42;> Despegue derecho
10.81;< Contacto inicial derecho
10.87;> Despegue izquierdo
11.27;< Contacto inicial izquierdo
11.33;> Despegue derecho
11.71;< Contacto inicial derecho
11.77;> Despegue izquierdo
12.17;< Contacto inicial izquierdo
12.24;> Despegue derecho
12.61;< Contacto inicial derecho
12.67;> Despegue izquierdo
13.05;< Contacto inicial izquierdo
13.12;> Despegue derecho
13.49;< Contacto inicial derecho
13.55;> Despegue izquierdo
13.92;< Contacto inicial izquierdo
14;> Despegue derecho
14.39;< Contacto inicial derecho
14.47;> Despegue izquierdo
14.65;< Contacto inicial izquierdo
14.7;> Despegue derecho
15.38;< Contacto inicial derecho
15.4;> Despegue izquierdo
15.89;< Contacto inicial izquierdo
15.94;> Despegue derecho
16.39;< Contacto inicial derecho
16.44;> Despegue izquierdo
16.85;< Contacto inicial izquierdo
16.91;> Despegue derecho
17.28;< Contacto inicial derecho
17.34;> Despegue izquierdo
17.74;< Contacto inicial izquierdo
17.81;> Despegue derecho
18.2;< Contacto inicial derecho
18.26;> Despegue izquierdo
18.66;< Contacto inicial izquierdo
18.72;> Despegue derecho
19.09;< Contacto inicial derecho
19.15;> Despegue izquierdo
19.56;< Contacto inicial izquierdo
19.63;> Despegue derecho
19.99;< Contacto inicial derecho
20.05;> Despegue izquierdo
20.46;< Contacto inicial izquierdo
20.52;> Despegue derecho
20.88;< Contacto inicial derecho
20.94;> Despegue izquierdo
21.36;< Contacto inicial izquierdo
21.42;> Despegue derecho
21.78;< Contacto inicial derecho
21.84;> Despegue izquierdo
22.23;< Contacto inicial izquierdo
22.3;> Despegue derecho
22.66;< Contacto inicial derecho
22.72;> Despegue izquierdo
23.14;< Contacto inicial izquierdo
23.2;> Despegue derecho
23.59;< Contacto inicial derecho
23.64;> Despegue izquierdo
24.03;< Contacto inicial izquierdo
24.09;> Despegue derecho
24.44;< Contacto inicial derecho
24.5;> Despegue izquierdo
24.89;< Contacto inicial izquierdo
24.95;> Despegue derecho
25.3;< Contacto inicial derecho
25.36;> Despegue izquierdo
25.77;< Contacto inicial izquierdo
25.83;> Despegue derecho
26.18;< Contacto inicial derecho
26.24;> Despegue izquierdo
26.65;< Contacto inicial izquierdo
26.76;> Despegue derecho
27.93;< Contacto inicial izquierdo
27.97;> Despegue derecho
28.49;< Contacto inicial derecho
28.55;> Despegue izquierdo
28.98;< Contacto inicial izquierdo
29.03;> Despegue derecho
29.41;< Contacto inicial derecho
29.47;> Despegue izquierdo
29.89;< Contacto inicial izquierdo
29.96;> Despegue derecho
30.33;< Contacto inicial derecho
30.39;> Despegue izquierdo
30.78;< Contacto inicial izquierdo
30.85;> Despegue derecho
31.22;< Contacto inicial derecho
31.28;> Despegue izquierdo
31.68;< Contacto inicial izquierdo
31.74;> Despegue derecho
32.12;< Contacto inicial derecho
32.17;> Despegue izquierdo
32.57;< Contacto inicial izquierdo
32.63;> Despegue derecho
33;< Contacto inicial derecho
33.06;> Despegue izquierdo
33.45;< Contacto inicial izquierdo
33.51;> Despegue derecho
33.88;< Contacto inicial derecho
