Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-1.32011,0.00000,-0.07206,0.00000,-1.05947,0.00000,0.12669,0.00000,0.87404,0.00000,0.34523
0.01000,0.01000,-1.32202,0.01000,-0.07376,0.01000,-1.06025,0.01000,0.12472,0.01000,0.87787,0.01000,0.34045
0.02000,0.02000,-1.32473,0.02000,-0.07611,0.02000,-1.06136,0.02000,0.12232,0.02000,0.88359,0.02000,0.33440
0.03000,0.03000,-1.32830,0.03000,-0.07918,0.03000,-1.06282,0.03000,0.11953,0.03000,0.89139,0.03000,0.32699
0.04001,0.04000,-1.33276,0.04000,-0.08307,0.04000,-1.06461,0.04000,0.11643,0.04000,0.90132,0.04000,0.31819
0.05001,0.05000,-1.33810,0.05000,-0.08780,0.05000,-1.06671,0.05000,0.11312,0.05000,0.91332,0.05000,0.30797
0.06001,0.06000,-1.34425,0.06000,-0.09339,0.06000,-1.06906,0.06000,0.10973,0.06000,0.92722,0.06000,0.29639
0.07001,0.07000,-1.35111,0.07000,-0.09981,0.07000,-1.07157,0.07000,0.10640,0.07000,0.94273,0.07000,0.28350
0.08001,0.08000,-1.35854,0.08000,-0.10699,0.08000,-1.07416,0.08000,0.10327,0.08000,0.95949,0.08000,0.26944
0.09001,0.09000,-1.36639,0.09000,-0.11477,0.09000,-1.07674,0.09000,0.10047,0.09000,0.97708,0.09000,0.25438
0.10002,0.10000,-1.37447,0.10000,-0.12298,0.10000,-1.07921,0.10000,0.09807,0.10000,0.99510,0.10000,0.23859
0.11002,0.11000,-1.38263,0.11000,-0.13138,0.11000,-1.08149,0.11000,0.09611,0.11000,1.01319,0.11000,0.22236
0.12002,0.12000,-1.39072,0.12000,-0.13974,0.12000,-1.08351,0.12000,0.09459,0.12000,1.03104,0.12000,0.20605
0.13002,0.13000,-1.39863,0.13000,-0.14783,0.13000,-1.08522,0.13000,0.09343,0.13000,1.04847,0.13000,0.19004
0.14002,0.14000,-1.40631,0.14000,-0.15544,0.14000,-1.08660,0.14000,0.09254,0.14000,1.06539,0.14000,0.17468
0.15002,0.15000,-1.41379,0.15000,-0.16245,0.15000,-1.08764,0.15000,0.09180,0.15000,1.08180,0.15000,0.16025
0.16002,0.16000,-1.42112,0.16000,-0.16876,0.16000,-1.08836,0.16000,0.09108,0.16000,1.09777,0.16000,0.14697
0.17003,0.17000,-1.42842,0.17000,-0.17436,0.17000,-1.08881,0.17000,0.09025,0.17000,1.11341,0.17000,0.13492
0.18003,0.18000,-1.43583,0.18000,-0.17926,0.18000,-1.08904,0.18000,0.08921,0.18000,1.12883,0.18000,0.12411
0.19003,0.19000,-1.44349,0.19000,-0.18350,0.19000,-1.08911,0.19000,0.08788,0.19000,1.14412,0.19000,0.11444
0.20003,0.20000,-1.45157,0.20000,-0.18714,0.20000,-1.08910,0.20000,0.08622,0.20000,1.15933,0.20000,0.10575
0.21003,0.21000,-1.46019,0.21000,-0.19021,0.21000,-1.08906,0.21000,0.08424,0.21000,1.17451,0.21000,0.09783
0.22003,0.22000,-1.46943,0.22000,-0.19272,0.22000,-1.08905,0.22000,0.08196,0.22000,1.18965,0.22000,0.09041
0.23003,0.23000,-1.47935,0.23000,-0.19469,0.23000,-1.08913,0.23000,0.07947,0.23000,1.20473,0.23000,0.08320
0.24004,0.24000,-1.48995,0.24000,-0.19609,0.24000,-1.08935,0.24000,0.07684,0.24000,1.21973,0.24000,0.07589
