Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,1.33743,0.00000,0.66438,0.00000,-0.00526
0.01000,0.01000,1.33771,0.01000,0.66240,0.01000,-0.00581
0.02000,0.02000,1.33839,0.02000,0.65994,0.02000,-0.00656
0.03000,0.03000,1.33950,0.03000,0.65701,0.03000,-0.00750
0.04001,0.04000,1.34107,0.04000,0.65363,0.04000,-0.00864
0.05001,0.05000,1.34308,0.05000,0.64986,0.05000,-0.00994
0.06001,0.06000,1.34546,0.06000,0.64575,0.06000,-0.01136
0.07001,0.07000,1.34811,0.07000,0.64140,0.07000,-0.01286
0.08001,0.08000,1.35090,0.08000,0.63692,0.08000,-0.01437
0.09001,0.09000,1.35370,0.09000,0.63241,0.09000,-0.01585
0.10001,0.10000,1.35639,0.10000,0.62800,0.10000,-0.01724
0.11002,0.11000,1.35891,0.11000,0.62378,0.11000,-0.01851
0.12002,0.12000,1.36121,0.12000,0.61979,0.12000,-0.01961
0.13002,0.13000,1.36328,0.13000,0.61605,0.13000,-0.02054
0.14002,0.14000,1.36514,0.14000,0.61249,0.14000,-0.02130
0.15002,0.15000,1.36677,0.15000,0.60899,0.15000,-0.02189
0.16002,0.16000,1.36812,0.16000,0.60538,0.16000,-0.02234
0.17002,0.17000,1.36911,0.17000,0.60144,0.17000,-0.02267
0.18003,0.18000,1.36958,0.18000,0.59692,0.18000,-0.02291
0.19003,0.19000,1.36934,0.19000,0.59160,0.19000,-0.02310
0.20003,0.20000,1.36817,0.20000,0.58525,0.20000,-0.02329
0.21003,0.21000,1.36588,0.21000,0.57771,0.21000,-0.02350
0.22003,0.22000,1.36227,0.22000,0.56889,0.22000,-0.02375
0.23003,0.23000,1.35719,0.23000,0.55877,0.23000,-0.02405
0.24003,0.24000,1.35058,0.24000,0.54741,0.24000,-0.02441
0.25004,0.25000,1.34242,0.25000,0.53496,0.25000,-0.02479
0.26004,0.26000,1.33279,0.26000,0.52165,0.26000,-0.02517
0.27004,0.27000,1.32184,0.27000,0.50776,0.27000,-0.02552
0.28004,0.28000,1.30978,0.28000,0.49359,0.28000,-0.02580
0.29004,0.29000,1.29688,0.29000,0.47949,0.29000,-0.02599
0.30004,0.30000,1.28343,0.30000,0.46577,0.30000,-0.02606
0.31004,0.31000,1.26975,0.31000,0.45273,0.31000,-0.02603
0.32005,0.32000,1.25613,0.32000,0.44058,0.32000,-0.02588
0.33005,0.33000,1.24284,0.33000,0.42948,0.33000,-0.02566
0.34005,0.34000,1.23010,0.34000,0.41946,0.34000,-0.02537
0.35005,0.35000,1.21808,0.35000,0.41047,0.35000,-0.02506
0.36005,0.36000,1.20685,0.36000,0.40235,0.36000,-0.02478
0.37005,0.37000,1.19642,0.37000,0.39489,0.37000,-0.02455
0.38005,0.38000,1.18673,0.38000,0.38780,0.38000,-0.02445
0.39006,0.39000,1.17769,0.39000,0.38078,0.39000,-0.02450
0.40006,0.40000,1.16917,0.40000,0.37355,0.40000,-0.02475
0.41006,0.41000,1.16106,0.41000,0.36586,0.41000,-0.02524
0.42006,0.42000,1.15329,0.42000,0.35751,0.42000,-0.02599
0.43006,0.43000,1.14584,0.43000,0.34843,0.43000,-0.02702
0.44006,0.44000,1.13880,0.44000,0.33861,0.44000,-0.02833
0.45006,0.45000,1.13238,0.45000,0.32814,0.45000,-0.02989
0.46007,0.46000,1.12685,0.46000,0.31721,0.46000,-0.03171
0.47007,0.47000,1.12261,0.47000,0.30606,0.47000,-0.03375
0.48007,0.48000,1.12008,0.48000,0.29498,0.48000,-0.03600
0.49007,0.49000,1.11972,0.49000,0.28426,0.49000,-0.03844
0.50007,0.50000,1.12192,0.50000,0.27416,0.50000,-0.04106
0.51007,0.51000,1.12698,0.51000,0.26489,0.51000,-0.04385
0.52007,0.52000,1.13507,0.52000,0.25660,0.52000,-0.04676
0.53008,0.53000,1.14618,0.53000,0.24935,0.53000,-0.04977
0.54008,0.54000,1.16008,0.54000,0.24312,0.54000,-0.05281
0.55008,0.55000,1.17637,0.55000,0.23779,0.55000,-0.05580
0.56008,0.56000,1.19446,0.56000,0.23321,0.56000,-0.05864
0.57008,0.57000,1.21360,0.57000,0.22915,0.57000,-0.06123
0.58008,0.58000,1.23295,0.58000,0.22538,0.58000,-0.06345
0.59008,0.59000,1.25165,0.59000,0.22165,0.59000,-0.06520
0.60009,0.60000,1.26885,0.60000,0.21770,0.60000,-0.06640
0.61009,0.61000,1.28380,0.61000,0.21334,0.61000,-0.06700
0.62009,0.62000,1.29589,0.62000,0.20839,0.62000,-0.06700
0.63009,0.63000,1.30471,0.63000,0.20274,0.63000,-0.06644
0.64009,0.64000,1.31008,0.64000,0.19634,0.64000,-0.06540
0.65009,0.65000,1.31206,0.65000,0.18919,0.65000,-0.06400
0.66009,0.66000,1.31096,0.66000,0.18136,0.66000,-0.06236
0.67010,0.67000,1.30729,0.67000,0.17295,0.67000,-0.06066
0.68010,0.68000,1.30172,0.68000,0.16409,0.68000,-0.05904
0.69010,0.69000,1.29502,0.69000,0.15493,0.69000,-0.05765
0.70010,0.70000,1.28800,0.70000,0.14563,0.70000,-0.05662
0.71010,0.71000,1.28140,0.71000,0.13633,0.71000,-0.05606
0.72010,0.72000,1.27588,0.72000,0.12715,0.72000,-0.05603
0.73010,0.73000,1.27189,0.73000,0.11819,0.73000,-0.05657
0.74011,0.74000,1.26966,0.74000,0.10952,0.74000,-0.05768
0.75011,0.75000,1.26919,0.75000,0.10118,0.75000,-0.05933
0.76011,0.76000,1.27017,0.76000,0.09320,0.76000,-0.06144
0.77011,0.77000,1.27211,0.77000,0.08558,0.77000,-0.06391
0.78011,0.78000,1.27432,0.78000,0.07831,0.78000,-0.06664
0.79011,0.79000,1.27604,0.79000,0.07136,0.79000,-0.06951
0.80011,0.80000,1.27652,0.80000,0.06470,0.80000,-0.07237
0.81012,0.81000,1.27508,0.81000,0.05827,0.81000,-0.07513
0.82012,0.82000,1.27123,0.82000,0.05204,0.82000,-0.07767
0.83012,0.83000,1.26470,0.83000,0.04599,0.83000,-0.07992
0.84012,0.84000,1.25550,0.84000,0.04010,0.84000,-0.08181
0.85012,0.85000,1.24387,0.85000,0.03439,0.85000,-0.08334
0.86012,0.86000,1.23031,0.86000,0.02887,0.86000,-0.08451
0.87012,0.87000,1.21553,0.87000,0.02357,0.87000,-0.08539
0.88012,0.88000,1.20034,0.88000,0.01852,0.88000,-0.08606
0.89013,0.89000,1.18559,0.89000,0.01370,0.89000,-0.08667
0.90013,0.90000,1.17208,0.90000,0.00910,0.90000,-0.08735
0.91013,0.91000,1.16051,0.91000,0.00466,0.91000,-0.08826
0.92013,0.92000,1.15135,0.92000,0.00030,0.92000,-0.08956
0.93013,0.93000,1.14487,0.93000,-0.00408,0.93000,-0.09137
0.94013,0.94000,1.14112,0.94000,-0.00857,0.94000,-0.09377
0.95013,0.95000,1.13994,0.95000,-0.01325,0.95000,-0.09680
0.96014,0.96000,1.14098,0.96000,-0.01820,0.96000,-0.10042
0.97014,0.97000,1.14379,0.97000,-0.02343,0.97000,-0.10456
0.98014,0.98000,1.14785,0.98000,-0.02897,0.98000,-0.10911
0.99014,0.99000,1.15262,0.99000,-0.03480,0.99000,-0.11388
1.00014,1.00000,1.15761,1.00000,-0.04085,1.00000,-0.11871
